Indicator,Pillar,Sub-Pillar,Data Source,Filename,Data Link,Raw/Index,min,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of population covered by mobile 5G+ data connectivity,Infrastructure,Connectivity Technology,GSMA: Mobile Connectivity Index,countries_mobile_connectivity,https://www.mobileconnectivityindex.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Coverage Maps,Infrastructure,Connectivity Technology,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/en/Pages/default.aspx,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Density,Infrastructure,Connectivity Technology,World Bank: World Development Indicators,electricity_density,https://datacatalog.worldbank.org,Raw,"54,799.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of population covered by electricity,Infrastructure,Connectivity Technology,World Bank: World Development Indicators,population_electricity_coverage,https://datacatalog.worldbank.org,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity supply quality,Infrastructure,Connectivity Technology,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Environmental Sustainability,Infrastructure,Connectivity Technology,Sustainable Development Report,sustainability_index,,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical Distribution Grid Maps,Infrastructure,Connectivity Technology,Facebook: Social Connectedness Index,electrical_distribution_grid,https://dataforgood.facebook.com/dfg/tools/electrical-distribution-grid-maps,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellphone Signal Density,Infrastructure,Connectivity Technology,GSMA: Mobile Connectivity Index,mobile_density,https://www.mobileconnectivityindex.com,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecommunication Infrastructure Index (TII),Infrastructure,Connectivity Technology,UN: E-Government Survey ,e_government_index,https://publicadministration.un.org/egovkb/Data-Center,Raw,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSMA Mobile Connectivity Index ,Infrastructure,Connectivity Technology,GSMA: Mobile Connectivity Index,countries_mobile_connectivity,https://www.mobileconnectivityindex.com,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Allocated to Mobile Providers,Infrastructure,Connectivity Technology,GSMA: Mobile Connectivity Index,spectrum_allocated_mobile_providers,https://www.mobileconnectivityindex.com,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News deserts,,,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Cell Tower Map,Infrastructure,Connectivity Technology,OpenCellid,global_fintech_ranking,https://www.opencellid.org/stats.php,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet Exchange Points (IXPs) map,Infrastructure,Connectivity Technology,Packet Clearing House: Internet Exchange Directory,countries_ixp,https://www.pch.net/ixp/dir,Raw,0,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISP Speeds - Fixed,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,fixed_speed,https://www.speedtest.net/global-index,Raw,0,197.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISP Speeds - Mobile,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,mobile_speed,https://www.speedtest.net/global-index,Raw,0,135.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individuals using the Internet (% of population),Infrastructure,Connectivity Technology,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/itu-d/sites/statistics,Raw,6.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile cellular subscriptions (per 100 people),Infrastructure,Connectivity Technology,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/itu-d/sites/statistics,Raw,0,430.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average fixed broadband download speeds ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,fixed_bdbd_spd_dl_ul,https://www.speedtest.net,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average fixed broadband upload speeds ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,,https://www.itu.int/itu-d/sites/statistics,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average fixed broadband latency,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,,https://www.itu.int/itu-d/sites/statistics,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISP internet dowload speed at the slowest hour of the day,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,,https://www.itu.int/itu-d/sites/statistics,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISP internet download speed average ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,,https://www.speedtest.net,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile dowload speed at the slowest hour of the day,Infrastructure,Connectivity Technology,GSMA: Mobile Connectivity Index,mobile_latency,https://www.mobileconnectivityindex.com,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile download speed average ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,mobile_speed,https://www.speedtest.net,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average mobile broadband download speeds ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,broadband_download,https://www.speedtest.net,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average mobile broadband upload speeds ,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,broadband_upload,https://www.speedtest.net,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average mobile broadband latency,Infrastructure,Connectivity Technology,Ookla: Speedtest Intelligence,broadband_latency,https://www.speedtest.net,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postal Coverage,Infrastructure,Connectivity Technology,"Universal Postal Union: Postal Statistics
",postal_coverage,https://www.upu.int/en/Universal-Postal-Union/Activities/Research-Publications,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistics Performance Index (LPI) - Infrastructure Rating,Infrastructure,Connectivity Technology,World Bank: Logistics Performance Index ,logistics_performance_index,https://datacatalog.worldbank.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with Internet proportion,Infrastructure,Connectivity Technology,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National cyber security index,Infrastructure,Connectivity Technology,e-Governance Academy Foundation: National Cyber Security Index,national_cybersecurity_index,https://ncsi.ega.ee,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Cybersecurity Index (GCI),Infrastructure,Connectivity Technology,ITU: Global Cybersecurity Index,dice_export_global_cybersecurity_index,https://www.itu.int/en/ITU-D/Cybersecurity/Pages/global-cybersecurity-index.aspx,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer Ecosystem size,Infrastructure,Innovation Ecosystem,Ben Frederickson Blog: Where Do The World's Software Developers Live?,software_developer_ecosystem_size,https://www.benfrederickson.com,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Work Ecosystem size,Infrastructure,Innovation Ecosystem,The Global Entrepreneurship and Development Institute: Digital Platform Economy Index,digital_platform_economy_index,https://thegedi.org/downloads,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country, Industry, Skill Migration Data (Skill)",Infrastructure,Innovation Ecosystem,World Bank/LinkedIn: Digital Data For Development ,migration_skill,https://linkedindata.worldbank.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country, Industry, Skill Migration Data (Industry)",Infrastructure,Innovation Ecosystem,World Bank/LinkedIn: Digital Data For Development ,migration_industry,http://linkedin.com/workforce,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country, Industry, Skill Migration Data (Country)",Infrastructure,Innovation Ecosystem,World Bank/LinkedIn: Digital Data For Development ,migration_country,http://linkedin.com/workforce,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universities with Digital Education size,Infrastructure,Innovation Ecosystem,,,,Index,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Finance Ecosystem size,Infrastructure,Innovation Ecosystem,Findexable: Global Fintech Rankings,global_fintech_ranking,https://findexable.com,Index,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tech hubs & spaces size,Infrastructure,Innovation Ecosystem,Nature: Global Innovation Hubs Index ,tech_hubs,https://www.nature.com,Raw,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking Ecosystem size,Infrastructure,Innovation Ecosystem,IMF/The Global Economy: Bank assets to GDP - Country rankings,banking_sector_size,https://www.theglobaleconomy.com,Index,0,266.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Ecosystem size,Infrastructure,Innovation Ecosystem,Statista,angel_investment,https://www.statista.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Startup Ecosystem size,Infrastructure,Innovation Ecosystem,Startup Genome: Global Startup Ecosystem Report ,startup_eco_size,https://startupgenome.com/reports,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Ecosystem size,Infrastructure,Innovation Ecosystem,Startup Genome: Global Startup Ecosystem Report ,startup_eco_size,https://startupgenome.com/reports,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Co-Inventions,Infrastructure,Innovation Ecosystem,"OECD: Science, Technology and Innovation Scoreboard",international_co_inventions,https://stats.oecd.org,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of scientists and engineers,Infrastructure,Innovation Ecosystem,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific and technical articles/bn PPP$ GDP,Infrastructure,Innovation Ecosystem,"Global Innovation Index/Clarivate, Web of Science: Scientific and technical articles/bn PPP$ GDP",global_innovation_dataset,https://www.globalinnovationindex.org/analysis-indicator,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile app creation/bn PPP$ GDP,Infrastructure,Innovation Ecosystem,Global Innovation Index/App Annie Intelligence: Mobile app creation/bn PPP$ GDP,global_innovation_dataset,https://www.globalinnovationindex.org/analysis-indicator,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patents by origin/bn PPP$ GDP,Infrastructure,Innovation Ecosystem,Global Innovation Index/WIPO: Patents by origin/bn PPP$ GDP,,https://www.globalinnovationindex.org/analysis-indicator,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International patent applications by origin (PCT System),Infrastructure,Innovation Ecosystem,WIPO: Intellectual Property Statistics,patent_application_PCT,https://www.wipo.int/ipstats/en,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International industrial applications by origin (Hague System),Infrastructure,Innovation Ecosystem,WIPO: Intellectual Property Statistics,Hague_system,https://www.wipo.int/ipstats/en,Raw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online-Service-Index (OSI),Government,Digital Public Services,UN: E-Government Survey,e_government_index,https://publicadministration.un.org/egovkb,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Participation index,Government,Digital Public Services,UN: E-Government Survey,e_government_index,https://publicadministration.un.org/egovkb,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use of public services online (% of services online, penetration, frequency of use)",Government,Digital Public Services,Boston Consulting Group/Salesforce: The Global Trust Imperative,digital_public_service_use,https://www.salesforce.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security incidents (# of relevant issues),Government,Digital Public Services,SPECOPS,cyber_attacks,https://specopssoft.com,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
