Pillar,Sub-Pillar,Indicator,Country Name,Year,data_col,new_rank_score,higher_is_better
Infrastructure,Connectivity Technology,Spectrum Allocated to Mobile Providers,Armenia,2019,21.43,1.787301937,TRUE
Infrastructure,Connectivity Technology,Telecommunication Infrastructure Index (TII),Armenia,2020,0.6536,4.268,TRUE
People,Usage and ownership,% of population using digital financial services,Armenia,2017,15,1.795454545,TRUE
People,Usage and ownership,% of population using Facebook,Armenia,2021,42.18,3.101016139,TRUE
People,Digital Literacy Skills,% of population using internet (all),Armenia,2019,66.54394969,3.993627865,TRUE
People,Digital Literacy Skills,% of population using internet (female),Armenia,2019,67.22694118,4.127008946,TRUE
People,Digital Literacy Skills,% of population using internet (male),Armenia,2019,65.78686376,3.825202061,TRUE
People,Usage and ownership,E-commerce activity (% of individuals buying online and frequency),Armenia,2017,8.51,1.544008211,TRUE
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Armenia,2021,4.817254028,1.34305718,TRUE
People,Usage and ownership,Financial Inclusiveness,Armenia,2017,48,3.142857143,TRUE
People,Usage and ownership,Gender gap for social media use,Armenia,2019,88.38256073,5.419128037,TRUE
People,Usage and ownership,Gender gap in internet usage,Armenia,2019,67.22694118,4.127008946,TRUE
People,Usage and ownership,Gender gap in mobile usage,Armenia,2019,100,6,TRUE
People,Usage and ownership,Global Crypto Adoption Index,Armenia,2019,0.02,1.1,TRUE
People,Digital Wellbeing,Global Wellbeing Initiative (World Happiness Index),Armenia,2021,5.283,3.594472645,TRUE
People,Digital Wellbeing,Gross National Wellbeing,Armenia,2019,5.06,3.328094303,TRUE
People,Digital Literacy Skills,Human Capital Index (HCI),Armenia,2020,0.7872,4.936,TRUE
People,Usage and ownership,Internet Usage,Armenia,2019,66.54394969,3.993627865,TRUE
People,Culture,Number of mobile apps available in national language(s),Armenia,2019,12.54147625,1.491828673,TRUE
People,Usage and ownership,Tax as % of total cost of mobile ownership,Armenia,2019,57.58,3.121,FALSE
People,Usage and ownership,UNDP Human Development Index (HDI) ,Armenia,2019,0.776,4.392539964,TRUE
Business,Financing Incentives,Venture Capital Availability,Armenia,2018,2.780549526,2.599264714,TRUE
Strategy,Ambition,SDG Index,Armenia,2019,71.8,4.518907563,TRUE
