CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Score,Pillar,Sub-Pillar
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,4.920131598199999,Business,Startup Environment
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,2.878354946666668,Business,Financing Incentives
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.2548999999999992,Business,Technology Adoption
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,3.400666666666667,Business,Startup Environment
iceland,Europe,Northern Europe,Iceland,High Income,,Business,Impact commitments
iceland,Europe,Northern Europe,Iceland,High Income,3.5089179375,Business,Technology Adoption
oman,Asia,Western Asia,Oman,High Income,3.3266660606333343,Business,Startup Environment
oman,Asia,Western Asia,Oman,High Income,3.29073245548889,Business,
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Technology Adoption
san-marino,Europe,Southern Europe,San Marino,High Income,2.826833333333333,Business,Startup Environment
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Impact commitments
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Financing Incentives
san-marino,Europe,Southern Europe,San Marino,High Income,2.826833333333333,Business,
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Impact commitments
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Financing Incentives
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,2.3001666666666662,Business,Startup Environment
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,2.25,Business,
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Financing Incentives
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Impact commitments
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,2.25,Business,Startup Environment
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Technology Adoption
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Technology Adoption
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,2.3001666666666662,Business,
oman,Asia,Western Asia,Oman,High Income,2.9294000000000007,Business,Technology Adoption
oman,Asia,Western Asia,Oman,High Income,,Business,Impact commitments
oman,Asia,Western Asia,Oman,High Income,3.6161313058333344,Business,Financing Incentives
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.188388504305556,Business,
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,2.683026949166667,Business,Financing Incentives
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,3.755700000000001,Business,Technology Adoption
jordan,Asia,Western Asia,Jordan,Upper Middle Income,,Business,Impact commitments
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.658399999999999,Business,Technology Adoption
jordan,Asia,Western Asia,Jordan,Upper Middle Income,4.686493616766667,Business,Startup Environment
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.5396402674999994,Business,Financing Incentives
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.961511294755555,Business,
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,4.304734214533334,Business,Startup Environment
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,2.777416666666667,Business,Startup Environment
japan,Asia,Eastern Asia,Japan,High income,3.786727746666669,Business,Financing Incentives
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,2.777416666666667,Business,
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,4.146525390766668,Business,Startup Environment
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,,Business,Impact commitments
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,,Business,Technology Adoption
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.357944444444445,Business,Startup Environment
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,,Business,Impact commitments
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.018832564166667,Business,Financing Incentives
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,,Business,Impact commitments
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Financing Incentives
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Impact commitments
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,4.4692500000000015,Business,
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,2.1889000000000007,Business,Technology Adoption
slovenia,Europe,Southern Europe,Slovenia,High Income,,Business,Impact commitments
slovenia,Europe,Southern Europe,Slovenia,High Income,2.8969080841666672,Business,Financing Incentives
slovenia,Europe,Southern Europe,Slovenia,High Income,3.8068072235,Business,Startup Environment
slovenia,Europe,Southern Europe,Slovenia,High Income,3.369147624999999,Business,Technology Adoption
slovenia,Europe,Southern Europe,Slovenia,High Income,3.3576209775555554,Business,
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.592650890688889,Business,
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.305538058333333,Business,Financing Incentives
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,,Business,Impact commitments
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,4.137164613733334,Business,Startup Environment
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.3352500000000007,Business,Technology Adoption
bahrain,Asia,Western Asia,Bahrain,High Income,3.680592536666666,Business,Financing Incentives
bahrain,Asia,Western Asia,Bahrain,High Income,3.8422924502,Business,Startup Environment
bahrain,Asia,Western Asia,Bahrain,High Income,,Business,Impact commitments
bahrain,Asia,Western Asia,Bahrain,High Income,2.8631999999999995,Business,Technology Adoption
bahrain,Asia,Western Asia,Bahrain,High Income,3.462028328955555,Business,
turkey,Asia,Western Asia,Turkey,Upper Middle Income,3.401486322911111,Business,
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,4.194436475966667,Business,Startup Environment
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,,Business,Impact commitments
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,2.942382255833333,Business,Financing Incentives
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,3.1085729106,Business,
chad,Africa,Sub-Saharan Africa,Chad,Low Income,3.439333333333333,Business,Startup Environment
chad,Africa,Sub-Saharan Africa,Chad,Low Income,1.2292000000000003,Business,Technology Adoption
chad,Africa,Sub-Saharan Africa,Chad,Low Income,2.2175829569444443,Business,
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,2.727351745,Business,Financing Incentives
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,,Business,Impact commitments
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.472854069066667,Business,Startup Environment
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.342999999999998,Business,Technology Adoption
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.1810686046888885,Business,
turkey,Asia,Western Asia,Turkey,Upper Middle Income,4.093700046233334,Business,Startup Environment
sudan,Africa,Northern Africa,Sudan (the),Low Income,,Business,Financing Incentives
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.846,Business,Startup Environment
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.0850000000000004,Business,Technology Adoption
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.4655000000000005,Business,
palau,Oceania,Micronesia,Palau,High Income,4.473083333333334,Business,
palau,Oceania,Micronesia,Palau,High Income,,Business,Technology Adoption
palau,Oceania,Micronesia,Palau,High Income,4.473083333333334,Business,Startup Environment
palau,Oceania,Micronesia,Palau,High Income,,Business,Impact commitments
palau,Oceania,Micronesia,Palau,High Income,,Business,Financing Incentives
sudan,Africa,Northern Africa,Sudan (the),Low Income,,Business,Impact commitments
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Financing Incentives
turkey,Asia,Western Asia,Turkey,Upper Middle Income,,Business,Impact commitments
turkey,Asia,Western Asia,Turkey,Upper Middle Income,3.4919374999999997,Business,Technology Adoption
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,3.0110939756333326,Business,Startup Environment
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,,Business,Impact commitments
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.65416797,Business,Financing Incentives
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.055,Business,Technology Adoption
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.2475833333333326,Business,Startup Environment
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,,Business,Impact commitments
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,,Business,Financing Incentives
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.1512916666666664,Business,
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.438374230744444,Business,
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.423,Business,Technology Adoption
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.564486251400001,Business,Startup Environment
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,,Business,Impact commitments
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.327636440833332,Business,Financing Incentives
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Technology Adoption
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,4.4692500000000015,Business,Startup Environment
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Impact commitments
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Financing Incentives
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.5523750000000005,Business,Technology Adoption
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.739212315211111,Business,
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,2.7487784225000005,Business,Financing Incentives
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,,Business,Impact commitments
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,2.606600000000001,Business,Technology Adoption
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,4.559550787966667,Business,Startup Environment
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,,Business,Impact commitments
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,1.6695549683333333,Business,Financing Incentives
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,2.9452352521000003,Business,
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,3.092599999999999,Business,Technology Adoption
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,3.713797311033333,Business,Startup Environment
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,2.117049058333333,Business,Financing Incentives
turkey,Asia,Western Asia,Turkey,Upper Middle Income,2.618821422499999,Business,Financing Incentives
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,,Business,Impact commitments
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,3.4275228834888902,Business,
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,2.7792500000000016,Business,Technology Adoption
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,4.709727270466668,Business,Startup Environment
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,,Business,Impact commitments
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,2.7935913800000005,Business,Financing Incentives
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,3.294201951611111,Business,
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,3.0017999999999985,Business,Technology Adoption
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,4.132027432333335,Business,Startup Environment
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,2.974482123122222,Business,
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Impact commitments
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Technology Adoption
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,1.5009999999999997,Business,Startup Environment
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,,Business,Impact commitments
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,2.1068387825,Business,Financing Incentives
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.6562976441666657,Business,Financing Incentives
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,,Business,Impact commitments
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,3.8986666666666654,Business,Startup Environment
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.188625000000001,Business,Technology Adoption
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.914529770277777,Business,
kuwait,Asia,Western Asia,Kuwait,High Income,3.262287230722222,Business,
kuwait,Asia,Western Asia,Kuwait,High Income,3.661876678333334,Business,Financing Incentives
kuwait,Asia,Western Asia,Kuwait,High Income,,Business,Impact commitments
kuwait,Asia,Western Asia,Kuwait,High Income,3.263285013833332,Business,Startup Environment
kuwait,Asia,Western Asia,Kuwait,High Income,2.8616999999999995,Business,Technology Adoption
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.098129153333333,Business,Financing Incentives
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.965023886122222,Business,
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Technology Adoption
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,4.562583333333333,Business,Startup Environment
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Impact commitments
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,3.198832258166668,Business,Startup Environment
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,3.0363333333333333,Business,Technology Adoption
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,2.780668124666667,Business,
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.485500000000001,Business,Technology Adoption
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,,Business,Impact commitments
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,3.4665,Business,Startup Environment
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,1.6,Business,Technology Adoption
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,2.53325,Business,
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,2.9692761506222216,Business,
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.445722222222221,Business,Startup Environment
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.8290000000000006,Business,Technology Adoption
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,1.887324015,Business,Financing Incentives
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Financing Incentives
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,,Business,Impact commitments
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,2.7278000000000007,Business,Technology Adoption
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,3.2556485868666654,Business,Startup Environment
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,,Business,Impact commitments
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,2.9243798649999992,Business,Financing Incentives
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.307310590577778,Business,
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.132885655000001,Business,Financing Incentives
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,,Business,Impact commitments
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.303546116733333,Business,Startup Environment
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.387348745740741,Business,
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,,Business,Financing Incentives
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,4.562583333333333,Business,
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.6146000000000003,Business,Technology Adoption
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.5453,Business,Technology Adoption
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,,Business,Impact commitments
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.386123696666666,Business,Financing Incentives
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.8040033641888886,Business,
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,3.3010833333333336,Business,
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,,Business,Impact commitments
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,,Business,Financing Incentives
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,4.217166666666668,Business,Startup Environment
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,2.385,Business,Technology Adoption
france,Europe,Western Europe,France,High Income,3.6859184108333327,Business,Financing Incentives
france,Europe,Western Europe,France,High Income,,Business,Impact commitments
france,Europe,Western Europe,France,High Income,4.1337294669333335,Business,Startup Environment
france,Europe,Western Europe,France,High Income,4.043713055555557,Business,Technology Adoption
france,Europe,Western Europe,France,High Income,3.954453644440741,Business,
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,3.060083333333333,Business,
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,,Business,Financing Incentives
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,3.060083333333333,Business,Startup Environment
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,3.4805863959000005,Business,Startup Environment
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,3.528666666666667,Business,
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Financing Incentives
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Technology Adoption
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,3.820149233799999,Business,Startup Environment
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,,Business,Impact commitments
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.5308850999999994,Business,Financing Incentives
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,,Business,Impact commitments
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,3.906942505033334,Business,Startup Environment
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.669280298033333,Business,
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.044999999999999,Business,Technology Adoption
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,4.713757176599999,Business,Startup Environment
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.988544777933333,Business,
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.2490837175,Business,Financing Incentives
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Impact commitments
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,3.528666666666667,Business,Startup Environment
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.615722706377778,Business,
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.6211874008,Business,Startup Environment
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.3137,Business,Technology Adoption
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,,Business,Impact commitments
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.912280718333333,Business,Financing Incentives
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.889999999999999,Business,Technology Adoption
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,,Business,Impact commitments
lithuania,Europe,Northern Europe,Lithuania,High Income,3.900335285714285,Business,Technology Adoption
lithuania,Europe,Northern Europe,Lithuania,High Income,4.237833959,Business,Startup Environment
greece,Europe,Southern Europe,Greece,High Income,2.066109538333333,Business,Financing Incentives
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Technology Adoption
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Startup Environment
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Impact commitments
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Financing Incentives
israel,Asia,Western Asia,Israel,High Income,4.5173000000000005,Business,Technology Adoption
israel,Asia,Western Asia,Israel,High Income,,Business,Impact commitments
israel,Asia,Western Asia,Israel,High Income,4.564153355,Business,Startup Environment
israel,Asia,Western Asia,Israel,High Income,4.487971623333335,Business,Financing Incentives
israel,Asia,Western Asia,Israel,High Income,4.523141659444446,Business,
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,2.802268886688889,Business,
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,4.404713278866666,Business,Startup Environment
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,4.043499999999999,Business,Technology Adoption
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,,Business,Impact commitments
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,3.025000055833332,Business,Financing Incentives
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,3.824404444899999,Business,
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,,Business,Impact commitments
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,1.8425033091666665,Business,Financing Incentives
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,,Business,Technology Adoption
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,,Business,Financing Incentives
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,,Business,Impact commitments
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,1.5009999999999997,Business,
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.25,Business,Financing Incentives
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.863699834666666,Business,Startup Environment
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,,Business,Impact commitments
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.245,Business,Technology Adoption
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.452899944888889,Business,
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,,Business,Financing Incentives
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,,Business,Impact commitments
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,3.9288033509,Business,Startup Environment
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,3.5704166666666666,Business,Startup Environment
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,3.5704166666666666,Business,
laos,Asia,South-eastern Asia,Lao People's Democratic Republic (the),Lower Middle Income,3.032306430355556,Business,
laos,Asia,South-eastern Asia,Lao People's Democratic Republic (the),Lower Middle Income,,Business,Impact commitments
laos,Asia,South-eastern Asia,Lao People's Democratic Republic (the),Lower Middle Income,3.4991330718999976,Business,Startup Environment
