Country,Pillar,Sub-pillar,Source,Link,Availability
Anguilla,Regulation,Fair market competition,A source used for this project 6672,https://www.undp.org/,
Antigua and Barbuda,Regulation,Cybersecurity,A source used for this project 5105,https://www.undp.org/,
Antigua and Barbuda,Regulation,Data standards and protection,A source used for this project 4599,https://www.undp.org/,
Antigua and Barbuda,Regulation,E-commerce,A source used for this project 6538,https://www.undp.org/,1
Antigua and Barbuda,Regulation,Fair market competition,A source used for this project 8453,https://www.undp.org/,
Argentina,Regulation,Cybersecurity,A source used for this project 6453,https://www.undp.org/,1
Argentina,Regulation,Data standards and protection,A source used for this project 3493,https://www.undp.org/,
Argentina,Regulation,E-commerce,A source used for this project 2071,https://www.undp.org/,
Argentina,Regulation,Fair market competition,A source used for this project 5689,https://www.undp.org/,1
Armenia,Regulation,Cybersecurity,A source used for this project 3878,https://www.undp.org/,
Armenia,Regulation,Data standards and protection,A source used for this project 2837,https://www.undp.org/,
Armenia,Regulation,E-commerce,A source used for this project 3590,https://www.undp.org/,
Armenia,Regulation,Fair market competition,A source used for this project 2213,https://www.undp.org/,1
Aruba,Regulation,Cybersecurity,A source used for this project 3592,https://www.undp.org/,1
Aruba,Regulation,Data standards and protection,A source used for this project 3543,https://www.undp.org/,1
Aruba,Regulation,E-commerce,A source used for this project 5143,https://www.undp.org/,1
Aruba,Regulation,Fair market competition,A source used for this project 9015,https://www.undp.org/,
Australia,Regulation,Cybersecurity,A source used for this project 6878,https://www.undp.org/,
Australia,Regulation,Data standards and protection,A source used for this project 4559,https://www.undp.org/,1
Australia,Regulation,E-commerce,A source used for this project 8885,https://www.undp.org/,
Australia,Regulation,Fair market competition,A source used for this project 9107,https://www.undp.org/,
Austria,Regulation,Cybersecurity,A source used for this project 2152,https://www.undp.org/,
Austria,Regulation,Data standards and protection,A source used for this project 1436,https://www.undp.org/,
Austria,Regulation,E-commerce,A source used for this project 2829,https://www.undp.org/,
Austria,Regulation,Fair market competition,A source used for this project 7463,https://www.undp.org/,1
Azerbaijan,Regulation,Cybersecurity,A source used for this project 7548,https://www.undp.org/,
Azerbaijan,Regulation,Data standards and protection,A source used for this project 1245,https://www.undp.org/,1
Azerbaijan,Regulation,E-commerce,A source used for this project 9356,https://www.undp.org/,1
Azerbaijan,Regulation,Fair market competition,A source used for this project 9207,https://www.undp.org/,1
Bahamas,Regulation,Cybersecurity,A source used for this project 4996,https://www.undp.org/,1
Bahamas,Regulation,Data standards and protection,A source used for this project 3821,https://www.undp.org/,
Bahamas,Regulation,E-commerce,A source used for this project 9676,https://www.undp.org/,
Bahamas,Regulation,Fair market competition,A source used for this project 3639,https://www.undp.org/,
Bahrain,Regulation,Cybersecurity,A source used for this project 7809,https://www.undp.org/,
Bahrain,Regulation,Data standards and protection,A source used for this project 5142,https://www.undp.org/,1
Bahrain,Regulation,E-commerce,A source used for this project 9097,https://www.undp.org/,1
Bahrain,Regulation,Fair market competition,A source used for this project 2754,https://www.undp.org/,1
Bangladesh,Regulation,Cybersecurity,A source used for this project 6307,https://www.undp.org/,1
Bangladesh,Regulation,Data standards and protection,A source used for this project 9637,https://www.undp.org/,1
Bangladesh,Regulation,E-commerce,A source used for this project 9524,https://www.undp.org/,
Bangladesh,Regulation,Fair market competition,A source used for this project 8520,https://www.undp.org/,
Barbados,Regulation,Cybersecurity,A source used for this project 8953,https://www.undp.org/,1
Barbados,Regulation,Data standards and protection,A source used for this project 6175,https://www.undp.org/,
Barbados,Regulation,E-commerce,A source used for this project 9804,https://www.undp.org/,
Barbados,Regulation,Fair market competition,A source used for this project 9947,https://www.undp.org/,
Belarus,Regulation,Cybersecurity,A source used for this project 4795,https://www.undp.org/,1
Belarus,Regulation,Data standards and protection,A source used for this project 5958,https://www.undp.org/,
Belarus,Regulation,E-commerce,A source used for this project 4886,https://www.undp.org/,
Belarus,Regulation,Fair market competition,A source used for this project 4831,https://www.undp.org/,1
Belgium,Regulation,Cybersecurity,A source used for this project 1370,https://www.undp.org/,
Belgium,Regulation,Data standards and protection,A source used for this project 9610,https://www.undp.org/,1
Belgium,Regulation,E-commerce,A source used for this project 8974,https://www.undp.org/,
Belgium,Regulation,Fair market competition,A source used for this project 6156,https://www.undp.org/,1
Belize,Regulation,Cybersecurity,A source used for this project 3031,https://www.undp.org/,1
Belize,Regulation,Data standards and protection,A source used for this project 3706,https://www.undp.org/,
Belize,Regulation,E-commerce,A source used for this project 6593,https://www.undp.org/,1
Belize,Regulation,Fair market competition,A source used for this project 3829,https://www.undp.org/,
Benin,Regulation,Cybersecurity,A source used for this project 7107,https://www.undp.org/,
Benin,Regulation,Data standards and protection,A source used for this project 7891,https://www.undp.org/,
Benin,Regulation,E-commerce,A source used for this project 8424,https://www.undp.org/,
Benin,Regulation,Fair market competition,A source used for this project 9971,https://www.undp.org/,1
Bermuda,Regulation,Cybersecurity,A source used for this project 6736,https://www.undp.org/,1
Bermuda,Regulation,Data standards and protection,A source used for this project 9368,https://www.undp.org/,
Bermuda,Regulation,E-commerce,A source used for this project 5271,https://www.undp.org/,
Bermuda,Regulation,Fair market competition,A source used for this project 4492,https://www.undp.org/,1
Bhutan,Regulation,Cybersecurity,A source used for this project 1802,https://www.undp.org/,1
Bhutan,Regulation,Data standards and protection,A source used for this project 1774,https://www.undp.org/,
Bhutan,Regulation,E-commerce,A source used for this project 6712,https://www.undp.org/,
Bhutan,Regulation,Fair market competition,A source used for this project 1487,https://www.undp.org/,1
Bolivia (Plurinational State of),Regulation,Cybersecurity,A source used for this project 6921,https://www.undp.org/,
Bolivia (Plurinational State of),Regulation,Data standards and protection,A source used for this project 9272,https://www.undp.org/,
Bolivia (Plurinational State of),Regulation,E-commerce,A source used for this project 7694,https://www.undp.org/,
Bolivia (Plurinational State of),Regulation,Fair market competition,A source used for this project 5972,https://www.undp.org/,1
Bosnia and Herzegovina,Regulation,Cybersecurity,A source used for this project 2832,https://www.undp.org/,1
Bosnia and Herzegovina,Regulation,Data standards and protection,A source used for this project 9553,https://www.undp.org/,1
Bosnia and Herzegovina,Regulation,E-commerce,A source used for this project 4956,https://www.undp.org/,
Bosnia and Herzegovina,Regulation,Fair market competition,A source used for this project 1085,https://www.undp.org/,1
Botswana,Regulation,Cybersecurity,A source used for this project 1101,https://www.undp.org/,1
Botswana,Regulation,Data standards and protection,A source used for this project 8736,https://www.undp.org/,
Botswana,Regulation,E-commerce,A source used for this project 9458,https://www.undp.org/,
Botswana,Regulation,Fair market competition,A source used for this project 7084,https://www.undp.org/,
Bouvet Island,Regulation,Cybersecurity,A source used for this project 3022,https://www.undp.org/,1
Bouvet Island,Regulation,Data standards and protection,A source used for this project 1482,https://www.undp.org/,
Bouvet Island,Regulation,E-commerce,A source used for this project 2858,https://www.undp.org/,
Bouvet Island,Regulation,Fair market competition,A source used for this project 5689,https://www.undp.org/,1
Brazil,Regulation,Cybersecurity,A source used for this project 1497,https://www.undp.org/,1
Brazil,Regulation,Data standards and protection,A source used for this project 7295,https://www.undp.org/,1
Brazil,Regulation,E-commerce,A source used for this project 7885,https://www.undp.org/,1
Brazil,Regulation,Fair market competition,A source used for this project 5596,https://www.undp.org/,1
British Indian Ocean Territory,Regulation,Cybersecurity,A source used for this project 8077,https://www.undp.org/,1
British Indian Ocean Territory,Regulation,Data standards and protection,A source used for this project 2199,https://www.undp.org/,
British Indian Ocean Territory,Regulation,E-commerce,A source used for this project 8654,https://www.undp.org/,
British Indian Ocean Territory,Regulation,Fair market competition,A source used for this project 5222,https://www.undp.org/,1
British Virgin Islands,Regulation,Cybersecurity,A source used for this project 9791,https://www.undp.org/,
British Virgin Islands,Regulation,Data standards and protection,A source used for this project 7512,https://www.undp.org/,
British Virgin Islands,Regulation,E-commerce,A source used for this project 8923,https://www.undp.org/,
British Virgin Islands,Regulation,Fair market competition,A source used for this project 2217,https://www.undp.org/,1
Brunei Darussalam,Regulation,Cybersecurity,A source used for this project 7111,https://www.undp.org/,1
Brunei Darussalam,Regulation,Data standards and protection,A source used for this project 8696,https://www.undp.org/,1
Brunei Darussalam,Regulation,E-commerce,A source used for this project 6089,https://www.undp.org/,1
Brunei Darussalam,Regulation,Fair market competition,A source used for this project 7333,https://www.undp.org/,
Bulgaria,Regulation,Cybersecurity,A source used for this project 3347,https://www.undp.org/,
Bulgaria,Regulation,Data standards and protection,A source used for this project 9195,https://www.undp.org/,
Bulgaria,Regulation,E-commerce,A source used for this project 4756,https://www.undp.org/,
Bulgaria,Regulation,Fair market competition,A source used for this project 6517,https://www.undp.org/,1
Burkina Faso,Regulation,Cybersecurity,A source used for this project 7737,https://www.undp.org/,
Burkina Faso,Regulation,Data standards and protection,A source used for this project 2192,https://www.undp.org/,
Burkina Faso,Regulation,E-commerce,A source used for this project 5083,https://www.undp.org/,1
Burkina Faso,Regulation,Fair market competition,A source used for this project 3470,https://www.undp.org/,1
Burundi,Regulation,Cybersecurity,A source used for this project 1254,https://www.undp.org/,1
Burundi,Regulation,Data standards and protection,A source used for this project 8132,https://www.undp.org/,1
Burundi,Regulation,E-commerce,A source used for this project 6276,https://www.undp.org/,1
Burundi,Regulation,Fair market competition,A source used for this project 3637,https://www.undp.org/,
Cabo Verde,Regulation,Cybersecurity,A source used for this project 3789,https://www.undp.org/,
Cabo Verde,Regulation,Data standards and protection,A source used for this project 5368,https://www.undp.org/,
Cabo Verde,Regulation,E-commerce,A source used for this project 6631,https://www.undp.org/,
Cabo Verde,Regulation,Fair market competition,A source used for this project 5918,https://www.undp.org/,1
Cambodia,Regulation,Cybersecurity,A source used for this project 5146,https://www.undp.org/,1
Cambodia,Regulation,Data standards and protection,A source used for this project 2625,https://www.undp.org/,1
Cambodia,Regulation,E-commerce,A source used for this project 6529,https://www.undp.org/,1
Cambodia,Regulation,Fair market competition,A source used for this project 7269,https://www.undp.org/,
Cameroon,Regulation,Cybersecurity,A source used for this project 6769,https://www.undp.org/,
Cameroon,Regulation,Data standards and protection,A source used for this project 8938,https://www.undp.org/,
Cameroon,Regulation,E-commerce,A source used for this project 6830,https://www.undp.org/,
Cameroon,Regulation,Fair market competition,A source used for this project 8824,https://www.undp.org/,
Canada,Regulation,Cybersecurity,A source used for this project 9443,https://www.undp.org/,
Canada,Regulation,Data standards and protection,A source used for this project 4082,https://www.undp.org/,1
Canada,Regulation,E-commerce,A source used for this project 6587,https://www.undp.org/,
Canada,Regulation,Fair market competition,A source used for this project 2958,https://www.undp.org/,
Cayman Islands,Regulation,Cybersecurity,A source used for this project 8943,https://www.undp.org/,1
Cayman Islands,Regulation,Data standards and protection,A source used for this project 3487,https://www.undp.org/,1
Cayman Islands,Regulation,E-commerce,A source used for this project 2341,https://www.undp.org/,1
Cayman Islands,Regulation,Fair market competition,A source used for this project 4329,https://www.undp.org/,1
Central African Republic,Regulation,Cybersecurity,A source used for this project 9453,https://www.undp.org/,
Central African Republic,Regulation,Data standards and protection,A source used for this project 8944,https://www.undp.org/,1
Central African Republic,Regulation,E-commerce,A source used for this project 8050,https://www.undp.org/,
Central African Republic,Regulation,Fair market competition,A source used for this project 6555,https://www.undp.org/,1
Chad,Regulation,Cybersecurity,A source used for this project 3983,https://www.undp.org/,1
Chad,Regulation,Data standards and protection,A source used for this project 6153,https://www.undp.org/,
Chad,Regulation,E-commerce,A source used for this project 4671,https://www.undp.org/,1
Chad,Regulation,Fair market competition,A source used for this project 6645,https://www.undp.org/,1
Chile,Regulation,Cybersecurity,A source used for this project 1731,https://www.undp.org/,
Chile,Regulation,Data standards and protection,A source used for this project 3872,https://www.undp.org/,
Chile,Regulation,E-commerce,A source used for this project 7537,https://www.undp.org/,1
Chile,Regulation,Fair market competition,A source used for this project 6492,https://www.undp.org/,1
China,Regulation,Cybersecurity,A source used for this project 6656,https://www.undp.org/,
China,Regulation,Cybersecurity,A source used for this project 4099,https://www.undp.org/,
China,Regulation,Cybersecurity,A source used for this project 5952,https://www.undp.org/,1
China,Regulation,Data standards and protection,A source used for this project 2902,https://www.undp.org/,1
China,Regulation,Data standards and protection,A source used for this project 4925,https://www.undp.org/,1
China,Regulation,Data standards and protection,A source used for this project 3554,https://www.undp.org/,1
China,Regulation,E-commerce,A source used for this project 1903,https://www.undp.org/,1
China,Regulation,E-commerce,A source used for this project 5677,https://www.undp.org/,1
China,Regulation,E-commerce,A source used for this project 9685,https://www.undp.org/,
China,Regulation,Fair market competition,A source used for this project 6079,https://www.undp.org/,
China,Regulation,Fair market competition,A source used for this project 3113,https://www.undp.org/,1
China,Regulation,Fair market competition,A source used for this project 5008,https://www.undp.org/,1
Christmas Island,Regulation,Cybersecurity,A source used for this project 1620,https://www.undp.org/,
Christmas Island,Regulation,Data standards and protection,A source used for this project 8718,https://www.undp.org/,
Christmas Island,Regulation,E-commerce,A source used for this project 3971,https://www.undp.org/,
Christmas Island,Regulation,Fair market competition,A source used for this project 7416,https://www.undp.org/,1
Cocos (Keeling) Islands,Regulation,Cybersecurity,A source used for this project 5083,https://www.undp.org/,1
Cocos (Keeling) Islands,Regulation,Data standards and protection,A source used for this project 9582,https://www.undp.org/,1
Cocos (Keeling) Islands,Regulation,E-commerce,A source used for this project 2793,https://www.undp.org/,1
Cocos (Keeling) Islands,Regulation,Fair market competition,A source used for this project 8127,https://www.undp.org/,
Colombia,Regulation,Cybersecurity,A source used for this project 9393,https://www.undp.org/,1
Colombia,Regulation,Data standards and protection,A source used for this project 1705,https://www.undp.org/,1
Colombia,Regulation,E-commerce,A source used for this project 1159,https://www.undp.org/,1
Colombia,Regulation,Fair market competition,A source used for this project 8487,https://www.undp.org/,1
Comoros,Regulation,Cybersecurity,A source used for this project 2149,https://www.undp.org/,1
Comoros,Regulation,Data standards and protection,A source used for this project 5521,https://www.undp.org/,1
Comoros,Regulation,E-commerce,A source used for this project 1939,https://www.undp.org/,1
Comoros,Regulation,Fair market competition,A source used for this project 5409,https://www.undp.org/,
Congo,Regulation,Cybersecurity,A source used for this project 6285,https://www.undp.org/,
Congo,Regulation,Data standards and protection,A source used for this project 2305,https://www.undp.org/,
Congo,Regulation,E-commerce,A source used for this project 1762,https://www.undp.org/,
Congo,Regulation,Fair market competition,A source used for this project 9085,https://www.undp.org/,1
Cook Islands,Regulation,Cybersecurity,A source used for this project 9592,https://www.undp.org/,
Cook Islands,Regulation,Data standards and protection,A source used for this project 9535,https://www.undp.org/,1
Cook Islands,Regulation,E-commerce,A source used for this project 3031,https://www.undp.org/,
Cook Islands,Regulation,Fair market competition,A source used for this project 1108,https://www.undp.org/,1
Costa Rica,Regulation,Cybersecurity,A source used for this project 2477,https://www.undp.org/,
Costa Rica,Regulation,Data standards and protection,A source used for this project 8690,https://www.undp.org/,
Costa Rica,Regulation,E-commerce,A source used for this project 5085,https://www.undp.org/,
Costa Rica,Regulation,Fair market competition,A source used for this project 6215,https://www.undp.org/,
Côte d’Ivoire,Regulation,Cybersecurity,A source used for this project 6400,https://www.undp.org/,1
Côte d’Ivoire,Regulation,Data standards and protection,A source used for this project 6588,https://www.undp.org/,
Côte d’Ivoire,Regulation,E-commerce,A source used for this project 3699,https://www.undp.org/,1
Côte d’Ivoire,Regulation,Fair market competition,A source used for this project 7777,https://www.undp.org/,1
Croatia,Regulation,Cybersecurity,A source used for this project 9209,https://www.undp.org/,1
Croatia,Regulation,Data standards and protection,A source used for this project 4788,https://www.undp.org/,1
Croatia,Regulation,E-commerce,A source used for this project 5021,https://www.undp.org/,1
Croatia,Regulation,Fair market competition,A source used for this project 6893,https://www.undp.org/,
Cuba,Regulation,Cybersecurity,A source used for this project 4928,https://www.undp.org/,
Cuba,Regulation,Data standards and protection,A source used for this project 3794,https://www.undp.org/,1
Cuba,Regulation,E-commerce,A source used for this project 9799,https://www.undp.org/,
Cuba,Regulation,Fair market competition,A source used for this project 3925,https://www.undp.org/,
Curaçao,Regulation,Cybersecurity,A source used for this project 9087,https://www.undp.org/,1
Curaçao,Regulation,Data standards and protection,A source used for this project 8313,https://www.undp.org/,1
Curaçao,Regulation,E-commerce,A source used for this project 8883,https://www.undp.org/,1
Curaçao,Regulation,Fair market competition,A source used for this project 3357,https://www.undp.org/,
Cyprus,Regulation,Cybersecurity,A source used for this project 9120,https://www.undp.org/,1
Cyprus,Regulation,Data standards and protection,A source used for this project 9956,https://www.undp.org/,1
Cyprus,Regulation,E-commerce,A source used for this project 2050,https://www.undp.org/,1
Cyprus,Regulation,Fair market competition,A source used for this project 2509,https://www.undp.org/,
Czechia,Regulation,Cybersecurity,A source used for this project 4940,https://www.undp.org/,
Czechia,Regulation,Data standards and protection,A source used for this project 7293,https://www.undp.org/,1
Czechia,Regulation,E-commerce,A source used for this project 1839,https://www.undp.org/,
Czechia,Regulation,Fair market competition,A source used for this project 6105,https://www.undp.org/,1
Democratic People's Republic of Korea,Regulation,Cybersecurity,A source used for this project 7502,https://www.undp.org/,
Democratic People's Republic of Korea,Regulation,Data standards and protection,A source used for this project 7625,https://www.undp.org/,1
Democratic People's Republic of Korea,Regulation,E-commerce,A source used for this project 6693,https://www.undp.org/,
Democratic People's Republic of Korea,Regulation,Fair market competition,A source used for this project 9825,https://www.undp.org/,
Democratic Republic of the Congo,Regulation,Cybersecurity,A source used for this project 4750,https://www.undp.org/,
Democratic Republic of the Congo,Regulation,Data standards and protection,A source used for this project 1941,https://www.undp.org/,
Democratic Republic of the Congo,Regulation,E-commerce,A source used for this project 5581,https://www.undp.org/,1
Democratic Republic of the Congo,Regulation,Fair market competition,A source used for this project 6419,https://www.undp.org/,1
Denmark,Regulation,Cybersecurity,A source used for this project 7656,https://www.undp.org/,1
Denmark,Regulation,Data standards and protection,A source used for this project 6165,https://www.undp.org/,
Denmark,Regulation,E-commerce,A source used for this project 2128,https://www.undp.org/,1
Denmark,Regulation,Fair market competition,A source used for this project 6866,https://www.undp.org/,
Djibouti,Regulation,Cybersecurity,A source used for this project 1180,https://www.undp.org/,1
Djibouti,Regulation,Data standards and protection,A source used for this project 7855,https://www.undp.org/,
Djibouti,Regulation,E-commerce,A source used for this project 4733,https://www.undp.org/,1
Djibouti,Regulation,Fair market competition,A source used for this project 8516,https://www.undp.org/,
Dominica,Regulation,Cybersecurity,A source used for this project 8182,https://www.undp.org/,
Dominica,Regulation,Data standards and protection,A source used for this project 5620,https://www.undp.org/,1
Dominica,Regulation,E-commerce,A source used for this project 6889,https://www.undp.org/,1
Dominica,Regulation,Fair market competition,A source used for this project 9719,https://www.undp.org/,
Dominican Republic,Regulation,Cybersecurity,A source used for this project 6881,https://www.undp.org/,1
Dominican Republic,Regulation,Data standards and protection,A source used for this project 5638,https://www.undp.org/,1
Dominican Republic,Regulation,E-commerce,A source used for this project 2205,https://www.undp.org/,1
Dominican Republic,Regulation,Fair market competition,A source used for this project 9577,https://www.undp.org/,1
Ecuador,Regulation,Cybersecurity,A source used for this project 1086,https://www.undp.org/,
Ecuador,Regulation,Data standards and protection,A source used for this project 5501,https://www.undp.org/,1
Ecuador,Regulation,E-commerce,A source used for this project 5152,https://www.undp.org/,1
Ecuador,Regulation,Fair market competition,A source used for this project 4320,https://www.undp.org/,1
Egypt,Regulation,Cybersecurity,A source used for this project 8970,https://www.undp.org/,1
Egypt,Regulation,Data standards and protection,A source used for this project 3932,https://www.undp.org/,1
Egypt,Regulation,E-commerce,A source used for this project 7362,https://www.undp.org/,
Egypt,Regulation,Fair market competition,A source used for this project 4226,https://www.undp.org/,
El Salvador,Regulation,Cybersecurity,A source used for this project 1684,https://www.undp.org/,1
El Salvador,Regulation,Data standards and protection,A source used for this project 5109,https://www.undp.org/,1
El Salvador,Regulation,E-commerce,A source used for this project 6465,https://www.undp.org/,1
El Salvador,Regulation,Fair market competition,A source used for this project 1119,https://www.undp.org/,1
Equatorial Guinea,Regulation,Cybersecurity,A source used for this project 7009,https://www.undp.org/,1
Equatorial Guinea,Regulation,Data standards and protection,A source used for this project 9501,https://www.undp.org/,1
Equatorial Guinea,Regulation,E-commerce,A source used for this project 7313,https://www.undp.org/,1
Equatorial Guinea,Regulation,Fair market competition,A source used for this project 7261,https://www.undp.org/,1
Eritrea,Regulation,Cybersecurity,A source used for this project 4273,https://www.undp.org/,1
Eritrea,Regulation,Data standards and protection,A source used for this project 8057,https://www.undp.org/,1
Eritrea,Regulation,E-commerce,A source used for this project 7073,https://www.undp.org/,1
Eritrea,Regulation,Fair market competition,A source used for this project 8479,https://www.undp.org/,
Estonia,Regulation,Cybersecurity,A source used for this project 4490,https://www.undp.org/,1
Estonia,Regulation,Data standards and protection,A source used for this project 1270,https://www.undp.org/,
Estonia,Regulation,E-commerce,A source used for this project 6475,https://www.undp.org/,
Estonia,Regulation,Fair market competition,A source used for this project 8707,https://www.undp.org/,1
Eswatini,Regulation,Cybersecurity,A source used for this project 1625,https://www.undp.org/,
Eswatini,Regulation,Data standards and protection,A source used for this project 1528,https://www.undp.org/,
Eswatini,Regulation,E-commerce,A source used for this project 5458,https://www.undp.org/,
Eswatini,Regulation,Fair market competition,A source used for this project 7557,https://www.undp.org/,
Ethiopia,Regulation,Cybersecurity,A source used for this project 3175,https://www.undp.org/,
Ethiopia,Regulation,Data standards and protection,A source used for this project 1392,https://www.undp.org/,
Ethiopia,Regulation,E-commerce,A source used for this project 4705,https://www.undp.org/,
Ethiopia,Regulation,Fair market competition,A source used for this project 4015,https://www.undp.org/,1
Falkland Islands (Malvinas),Regulation,Cybersecurity,A source used for this project 3457,https://www.undp.org/,1
Falkland Islands (Malvinas),Regulation,Data standards and protection,A source used for this project 6563,https://www.undp.org/,
Falkland Islands (Malvinas),Regulation,E-commerce,A source used for this project 9135,https://www.undp.org/,1
Falkland Islands (Malvinas),Regulation,Fair market competition,A source used for this project 8136,https://www.undp.org/,
Faroe Islands,Regulation,Cybersecurity,A source used for this project 1326,https://www.undp.org/,
Faroe Islands,Regulation,Data standards and protection,A source used for this project 5698,https://www.undp.org/,1
Faroe Islands,Regulation,E-commerce,A source used for this project 2736,https://www.undp.org/,
Faroe Islands,Regulation,Fair market competition,A source used for this project 6131,https://www.undp.org/,1
Fiji,Regulation,Cybersecurity,A source used for this project 5532,https://www.undp.org/,
Fiji,Regulation,Data standards and protection,A source used for this project 5836,https://www.undp.org/,1
Fiji,Regulation,E-commerce,A source used for this project 6763,https://www.undp.org/,1
Fiji,Regulation,Fair market competition,A source used for this project 4573,https://www.undp.org/,1
Finland,Regulation,Cybersecurity,A source used for this project 2096,https://www.undp.org/,
Finland,Regulation,Data standards and protection,A source used for this project 4858,https://www.undp.org/,
Finland,Regulation,E-commerce,A source used for this project 7613,https://www.undp.org/,1
Finland,Regulation,Fair market competition,A source used for this project 4435,https://www.undp.org/,1
France,Regulation,Cybersecurity,A source used for this project 6960,https://www.undp.org/,1
France,Regulation,Data standards and protection,A source used for this project 8962,https://www.undp.org/,
France,Regulation,E-commerce,A source used for this project 5554,https://www.undp.org/,1
France,Regulation,Fair market competition,A source used for this project 2324,https://www.undp.org/,1
French Guiana,Regulation,Cybersecurity,A source used for this project 4217,https://www.undp.org/,1
French Guiana,Regulation,Data standards and protection,A source used for this project 8399,https://www.undp.org/,
French Guiana,Regulation,E-commerce,A source used for this project 5202,https://www.undp.org/,1
French Guiana,Regulation,Fair market competition,A source used for this project 8482,https://www.undp.org/,
French Polynesia,Regulation,Cybersecurity,A source used for this project 9559,https://www.undp.org/,1
French Polynesia,Regulation,Data standards and protection,A source used for this project 4457,https://www.undp.org/,1
French Polynesia,Regulation,E-commerce,A source used for this project 4685,https://www.undp.org/,
French Polynesia,Regulation,Fair market competition,A source used for this project 6332,https://www.undp.org/,
French Southern Territories,Regulation,Cybersecurity,A source used for this project 1857,https://www.undp.org/,
French Southern Territories,Regulation,Data standards and protection,A source used for this project 3046,https://www.undp.org/,1
French Southern Territories,Regulation,E-commerce,A source used for this project 7482,https://www.undp.org/,1
French Southern Territories,Regulation,Fair market competition,A source used for this project 7084,https://www.undp.org/,1
Gabon,Regulation,Cybersecurity,A source used for this project 2870,https://www.undp.org/,
Gabon,Regulation,Data standards and protection,A source used for this project 5982,https://www.undp.org/,
Gabon,Regulation,E-commerce,A source used for this project 2325,https://www.undp.org/,1
Gabon,Regulation,Fair market competition,A source used for this project 5490,https://www.undp.org/,1
Gambia,Regulation,Cybersecurity,A source used for this project 8151,https://www.undp.org/,1
Gambia,Regulation,Data standards and protection,A source used for this project 9173,https://www.undp.org/,1
Gambia,Regulation,E-commerce,A source used for this project 6395,https://www.undp.org/,
Gambia,Regulation,Fair market competition,A source used for this project 8054,https://www.undp.org/,
Georgia,Regulation,Cybersecurity,A source used for this project 7103,https://www.undp.org/,
Georgia,Regulation,Data standards and protection,A source used for this project 4360,https://www.undp.org/,1
Georgia,Regulation,E-commerce,A source used for this project 9502,https://www.undp.org/,1
Georgia,Regulation,Fair market competition,A source used for this project 2658,https://www.undp.org/,
Germany,Regulation,Cybersecurity,A source used for this project 6910,https://www.undp.org/,
Germany,Regulation,Data standards and protection,A source used for this project 2157,https://www.undp.org/,1
Germany,Regulation,E-commerce,A source used for this project 1215,https://www.undp.org/,
Germany,Regulation,Fair market competition,A source used for this project 4655,https://www.undp.org/,
Ghana,Regulation,Cybersecurity,A source used for this project 8364,https://www.undp.org/,
Ghana,Regulation,Data standards and protection,A source used for this project 9476,https://www.undp.org/,1
Ghana,Regulation,E-commerce,A source used for this project 8968,https://www.undp.org/,1
