Code,Country,Region,Sub-region,Income,Pillar,Sub-pillar,2020
el-salvador,El Salvador,Americas,Latin America and the Caribbean,Lower middle income,Business,Total,3.1
guatemala,Guatemala,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.4
honduras,Honduras,Americas,Latin America and the Caribbean,Lower middle income,Business,Total,3.1
mexico,Mexico,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,5.5
nicaragua,Nicaragua,Americas,Latin America and the Caribbean,Lower middle income,Business,Total,4
panama,Panama,Americas,Latin America and the Caribbean,High income,Business,Total,5.5
argentina,Argentina,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,1.4
bolivia-(plurinational-state-of),Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Lower middle income,Business,Total,2.7
bouvet-island,Bouvet Island,Americas,Latin America and the Caribbean,,Business,Total,5.7
brazil,Brazil,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,1.6
chile,Chile,Americas,Latin America and the Caribbean,High income,Business,Total,4
colombia,Colombia,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.5
ecuador,Ecuador,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,5.6
falkland-islands-(malvinas),Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,,Business,Total,2.7
french-guiana,French Guiana,Americas,Latin America and the Caribbean,,Business,Total,1.2
guyana,Guyana,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,5.5
paraguay,Paraguay,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,1.7
peru,Peru,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,2.5
south-georgia-and-the-south-sandwich-islands,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,,Business,Total,2.4
suriname,Suriname,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.1
uruguay,Uruguay,Americas,Latin America and the Caribbean,High income,Business,Total,2.2
venezuela-(bolivarian-republic-of),Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.5
bermuda,Bermuda,Americas,Northern America,High income,Business,Total,4.9
canada,Canada,Americas,Northern America,High income,Business,Total,1.5
greenland,Greenland,Americas,Northern America,High income,Business,Total,2.1
saint-pierre-and-miquelon,Saint Pierre and Miquelon,Americas,Northern America,,Business,Total,2.6
united-states-of-america,United States of America,Americas,Northern America,High income,Business,Total,3.6
kazakhstan,Kazakhstan,Asia,Central Asia,Upper middle income,Business,Total,1.9
kyrgyzstan,Kyrgyzstan,Asia,Central Asia,Lower middle income,Business,Total,2.9
tajikistan,Tajikistan,Asia,Central Asia,Low income,Business,Total,1.5
turkmenistan,Turkmenistan,Asia,Central Asia,Upper middle income,Business,Total,1.6
uzbekistan,Uzbekistan,Asia,Central Asia,Lower middle income,Business,Total,3.7
china,China,Asia,Eastern Asia,Upper middle income,Business,Total,1.6
china,China,Asia,Eastern Asia,Upper middle income,Business,Total,4.5
china,China,Asia,Eastern Asia,Upper middle income,Business,Total,4.9
democratic-people's-republic-of-korea,Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Business,Total,1.9
japan,Japan,Asia,Eastern Asia,High income,Business,Total,4.4
mongolia,Mongolia,Asia,Eastern Asia,Lower middle income,Business,Total,4.5
republic-of-korea,Republic of Korea,Asia,Eastern Asia,High income,Business,Total,5.2
brunei-darussalam,Brunei Darussalam,Asia,South-eastern Asia,High income,Business,Total,1.1
cambodia,Cambodia,Asia,South-eastern Asia,Lower middle income,Business,Total,5
indonesia,Indonesia,Asia,South-eastern Asia,Upper middle income,Business,Total,4.3
lao-people's-democratic-republic,Lao People's Democratic Republic,Asia,South-eastern Asia,Lower middle income,Business,Total,5.6
malaysia,Malaysia,Asia,South-eastern Asia,Upper middle income,Business,Total,2.7
myanmar,Myanmar,Asia,South-eastern Asia,Lower middle income,Business,Total,6
philippines,Philippines,Asia,South-eastern Asia,Lower middle income,Business,Total,5.2
singapore,Singapore,Asia,South-eastern Asia,High income,Business,Total,1.8
thailand,Thailand,Asia,South-eastern Asia,Upper middle income,Business,Total,2.6
timor-leste,Timor-Leste,Asia,South-eastern Asia,Lower middle income,Business,Total,3.5
viet-nam,Viet Nam,Asia,South-eastern Asia,Lower middle income,Business,Total,3.9
afghanistan,Afghanistan,Asia,Southern Asia,Low income,Business,Total,4.6
bangladesh,Bangladesh,Asia,Southern Asia,Lower middle income,Business,Total,4.5
bhutan,Bhutan,Asia,Southern Asia,Lower middle income,Business,Total,2.6
india,India,Asia,Southern Asia,Lower middle income,Business,Total,3.6
iran-(islamic-republic-of),Iran (Islamic Republic of),Asia,Southern Asia,Upper middle income,Business,Total,1.1
maldives,Maldives,Asia,Southern Asia,Upper middle income,Business,Total,5.6
nepal,Nepal,Asia,Southern Asia,Lower middle income,Business,Total,1.6
pakistan,Pakistan,Asia,Southern Asia,Lower middle income,Business,Total,4.5
sri-lanka,Sri Lanka,Asia,Southern Asia,Lower middle income,Business,Total,1
armenia,Armenia,Asia,Western Asia,Upper middle income,Business,Total,1.1
azerbaijan,Azerbaijan,Asia,Western Asia,Upper middle income,Business,Total,2
bahrain,Bahrain,Asia,Western Asia,High income,Business,Total,3.1
cyprus,Cyprus,Asia,Western Asia,High income,Business,Total,5.3
georgia,Georgia,Asia,Western Asia,Upper middle income,Business,Total,1.4
iraq,Iraq,Asia,Western Asia,Upper middle income,Business,Total,5.2
israel,Israel,Asia,Western Asia,High income,Business,Total,4.7
jordan,Jordan,Asia,Western Asia,Upper middle income,Business,Total,2
kuwait,Kuwait,Asia,Western Asia,High income,Business,Total,1.1
lebanon,Lebanon,Asia,Western Asia,Upper middle income,Business,Total,3
oman,Oman,Asia,Western Asia,High income,Business,Total,2.7
qatar,Qatar,Asia,Western Asia,High income,Business,Total,2.5
saudi-arabia,Saudi Arabia,Asia,Western Asia,High income,Business,Total,4.5
state-of-palestine,State of Palestine,Asia,Western Asia,Lower middle income,Business,Total,5
syrian-arab-republic,Syrian Arab Republic,Asia,Western Asia,Low income,Business,Total,1.6
turkey,Turkey,Asia,Western Asia,Upper middle income,Business,Total,5.5
united-arab-emirates,United Arab Emirates,Asia,Western Asia,High income,Business,Total,5.7
yemen,Yemen,Asia,Western Asia,Low income,Business,Total,2.2
belarus,Belarus,Europe,Eastern Europe,Upper middle income,Business,Total,3.4
bulgaria,Bulgaria,Europe,Eastern Europe,Upper middle income,Business,Total,5.5
czechia,Czechia,Europe,Eastern Europe,High income,Business,Total,1.6
hungary,Hungary,Europe,Eastern Europe,High income,Business,Total,2.1
poland,Poland,Europe,Eastern Europe,High income,Business,Total,4.6
republic-of-moldova,Republic of Moldova,Europe,Eastern Europe,Lower middle income,Business,Total,5.3
romania,Romania,Europe,Eastern Europe,High income,Business,Total,4.3
russian-federation,Russian Federation,Europe,Eastern Europe,Upper middle income,Business,Total,2.5
slovakia,Slovakia,Europe,Eastern Europe,High income,Business,Total,3
ukraine,Ukraine,Europe,Eastern Europe,Lower middle income,Business,Total,2.5
åland-islands,Åland Islands,Europe,Northern Europe,,Business,Total,5.6
guernsey,Guernsey,Europe,Northern Europe,,Business,Total,2.8
jersey,Jersey,Europe,Northern Europe,,Business,Total,5.4
sark,Sark,Europe,Northern Europe,,Business,Total,5
denmark,Denmark,Europe,Northern Europe,High income,Business,Total,1.1
estonia,Estonia,Europe,Northern Europe,High income,Business,Total,2.7
faroe-islands,Faroe Islands,Europe,Northern Europe,High income,Business,Total,4.9
finland,Finland,Europe,Northern Europe,High income,Business,Total,4.6
iceland,Iceland,Europe,Northern Europe,High income,Business,Total,3
ireland,Ireland,Europe,Northern Europe,High income,Business,Total,1
isle-of-man,Isle of Man,Europe,Northern Europe,High income,Business,Total,2
latvia,Latvia,Europe,Northern Europe,High income,Business,Total,5.1
lithuania,Lithuania,Europe,Northern Europe,High income,Business,Total,5
norway,Norway,Europe,Northern Europe,High income,Business,Total,3.1
svalbard-and-jan-mayen-islands,Svalbard and Jan Mayen Islands,Europe,Northern Europe,,Business,Total,6
sweden,Sweden,Europe,Northern Europe,High income,Business,Total,3.3
united-kingdom-of-great-britain-and-northern-ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,High income,Business,Total,3.3
albania,Albania,Europe,Southern Europe,Upper middle income,Business,Total,4.9
andorra,Andorra,Europe,Southern Europe,High income,Business,Total,1.9
bosnia-and-herzegovina,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income,Business,Total,4.1
croatia,Croatia,Europe,Southern Europe,High income,Business,Total,2.7
gibraltar,Gibraltar,Europe,Southern Europe,High income,Business,Total,1.4
greece,Greece,Europe,Southern Europe,High income,Business,Total,3.2
holy-see,Holy See,Europe,Southern Europe,,Business,Total,1
italy,Italy,Europe,Southern Europe,High income,Business,Total,1.9
malta,Malta,Europe,Southern Europe,High income,Business,Total,1.2
montenegro,Montenegro,Europe,Southern Europe,Upper middle income,Business,Total,4.3
north-macedonia,North Macedonia,Europe,Southern Europe,Upper middle income,Business,Total,4.6
portugal,Portugal,Europe,Southern Europe,High income,Business,Total,3.5
san-marino,San Marino,Europe,Southern Europe,High income,Business,Total,2.2
serbia,Serbia,Europe,Southern Europe,Upper middle income,Business,Total,1.3
slovenia,Slovenia,Europe,Southern Europe,High income,Business,Total,4.4
spain,Spain,Europe,Southern Europe,High income,Business,Total,1.7
austria,Austria,Europe,Western Europe,High income,Business,Total,3.8
belgium,Belgium,Europe,Western Europe,High income,Business,Total,3.4
france,France,Europe,Western Europe,High income,Business,Total,1.9
germany,Germany,Europe,Western Europe,High income,Business,Total,4.1
liechtenstein,Liechtenstein,Europe,Western Europe,High income,Business,Total,2.9
luxembourg,Luxembourg,Europe,Western Europe,High income,Business,Total,2
monaco,Monaco,Europe,Western Europe,High income,Business,Total,5.4
netherlands,Netherlands,Europe,Western Europe,High income,Business,Total,3.9
switzerland,Switzerland,Europe,Western Europe,High income,Business,Total,5.2
australia,Australia,Oceania,Australia and New Zealand,High income,Business,Total,2.9
christmas-island,Christmas Island,Oceania,Australia and New Zealand,,Business,Total,1.5
cocos-(keeling)-islands,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,Business,Total,1.1
heard-island-and-mcdonald-islands,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,Business,Total,3.9
new-zealand,New Zealand,Oceania,Australia and New Zealand,High income,Business,Total,2.3
norfolk-island,Norfolk Island,Oceania,Australia and New Zealand,,Business,Total,5.1
fiji,Fiji,Oceania,Melanesia,Upper middle income,Business,Total,3.5
new-caledonia,New Caledonia,Oceania,Melanesia,High income,Business,Total,1.2
papua-new-guinea,Papua New Guinea,Oceania,Melanesia,Lower middle income,Business,Total,3.5
solomon-islands,Solomon Islands,Oceania,Melanesia,Lower middle income,Business,Total,1.4
vanuatu,Vanuatu,Oceania,Melanesia,Lower middle income,Business,Total,3.1
guam,Guam,Oceania,Micronesia,High income,Business,Total,1.4
kiribati,Kiribati,Oceania,Micronesia,Lower middle income,Business,Total,2
marshall-islands,Marshall Islands,Oceania,Micronesia,Upper middle income,Business,Total,4.5
micronesia-(federated-states-of),Micronesia (Federated States of),Oceania,Micronesia,Lower middle income,Business,Total,4.9
nauru,Nauru,Oceania,Micronesia,High income,Business,Total,1.2
northern-mariana-islands,Northern Mariana Islands,Oceania,Micronesia,High income,Business,Total,1.1
palau,Palau,Oceania,Micronesia,High income,Business,Total,1.3
united-states-minor-outlying-islands,United States Minor Outlying Islands,Oceania,Micronesia,,Business,Total,5.2
american-samoa,American Samoa,Oceania,Polynesia,Upper middle income,Business,Total,2.4
cook-islands,Cook Islands,Oceania,Polynesia,,Business,Total,3.7
french-polynesia,French Polynesia,Oceania,Polynesia,High income,Business,Total,2.1
niue,Niue,Oceania,Polynesia,,Business,Total,3.3
pitcairn,Pitcairn,Oceania,Polynesia,,Business,Total,3.3
samoa,Samoa,Oceania,Polynesia,Upper middle income,Business,Total,3
tokelau,Tokelau,Oceania,Polynesia,,Business,Total,6
tonga,Tonga,Oceania,Polynesia,Upper middle income,Business,Total,2.1
tuvalu,Tuvalu,Oceania,Polynesia,Upper middle income,Business,Total,1.5
wallis-and-futuna-islands,Wallis and Futuna Islands,Oceania,Polynesia,,Business,Total,4.3
algeria,Algeria,Africa,Northern Africa,Lower middle income,Business,Technology adoption,2.7
egypt,Egypt,Africa,Northern Africa,Lower middle income,Business,Technology adoption,3.1
libya,Libya,Africa,Northern Africa,Upper middle income,Business,Technology adoption,5.6
morocco,Morocco,Africa,Northern Africa,Lower middle income,Business,Technology adoption,4
sudan,Sudan,Africa,Northern Africa,Low income,Business,Technology adoption,2.7
tunisia,Tunisia,Africa,Northern Africa,Lower middle income,Business,Technology adoption,1.6
western-sahara,Western Sahara,Africa,Northern Africa,,Business,Technology adoption,3.4
british-indian-ocean-territory,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,Business,Technology adoption,1.7
burundi,Burundi,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,1.9
comoros,Comoros,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,5.4
djibouti,Djibouti,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,4.2
eritrea,Eritrea,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,6
ethiopia,Ethiopia,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4.1
french-southern-territories,French Southern Territories,Africa,Sub-Saharan Africa,,Business,Technology adoption,1.4
kenya,Kenya,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,4.1
madagascar,Madagascar,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,1.1
malawi,Malawi,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,1.7
mauritius,Mauritius,Africa,Sub-Saharan Africa,High income,Business,Technology adoption,5.3
mayotte,Mayotte,Africa,Sub-Saharan Africa,,Business,Technology adoption,5.1
mozambique,Mozambique,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,5.7
réunion,Réunion,Africa,Sub-Saharan Africa,,Business,Technology adoption,3.7
rwanda,Rwanda,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,3.1
seychelles,Seychelles,Africa,Sub-Saharan Africa,High income,Business,Technology adoption,1.1
somalia,Somalia,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4.4
south-sudan,South Sudan,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,5.1
uganda,Uganda,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,5.8
united-republic-of-tanzania,United Republic of Tanzania,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.7
zambia,Zambia,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.3
zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,5.5
angola,Angola,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,1.5
cameroon,Cameroon,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,3.2
central-african-republic,Central African Republic,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4.6
chad,Chad,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,6
congo,Congo,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,4.7
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,5.3
equatorial-guinea,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income,Business,Technology adoption,1.3
gabon,Gabon,Africa,Sub-Saharan Africa,Upper middle income,Business,Technology adoption,1
sao-tome-and-principe,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.7
botswana,Botswana,Africa,Sub-Saharan Africa,Upper middle income,Business,Technology adoption,2.2
eswatini,Eswatini,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,4.8
lesotho,Lesotho,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.4
namibia,Namibia,Africa,Sub-Saharan Africa,Upper middle income,Business,Technology adoption,5.3
south-africa,South Africa,Africa,Sub-Saharan Africa,Upper middle income,Business,Technology adoption,1.9
benin,Benin,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,1
burkina-faso,Burkina Faso,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4.6
cabo-verde,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,1.9
côte-d’ivoire,Côte d’Ivoire,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,3.1
gambia,Gambia,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4
ghana,Ghana,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.1
guinea,Guinea,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,2.6
guinea-bissau,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,4.8
liberia,Liberia,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,3.7
mali,Mali,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,1.8
mauritania,Mauritania,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,2.7
niger,Niger,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,5.9
nigeria,Nigeria,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,5.3
saint-helena,Saint Helena,Africa,Sub-Saharan Africa,,Business,Technology adoption,5.6
senegal,Senegal,Africa,Sub-Saharan Africa,Lower middle income,Business,Technology adoption,1.3
sierra-leone,Sierra Leone,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,2.2
togo,Togo,Africa,Sub-Saharan Africa,Low income,Business,Technology adoption,1.8
anguilla,Anguilla,Americas,Latin America and the Caribbean,,Business,Technology adoption,2.3
antigua-and-barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.5
aruba,Aruba,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.2
bahamas,Bahamas,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.9
barbados,Barbados,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,1.6
british-virgin-islands,British Virgin Islands,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,5.7
cayman-islands,Cayman Islands,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,5.9
cuba,Cuba,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,3.5
curaçao,Curaçao,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,6
dominica,Dominica,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,1.3
dominican-republic,Dominican Republic,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,2.4
grenada,Grenada,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,3.9
guadeloupe,Guadeloupe,Americas,Latin America and the Caribbean,,Business,Technology adoption,1.2
haiti,Haiti,Americas,Latin America and the Caribbean,Low income,Business,Technology adoption,2.9
jamaica,Jamaica,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,4.9
martinique,Martinique,Americas,Latin America and the Caribbean,,Business,Technology adoption,2.7
montserrat,Montserrat,Americas,Latin America and the Caribbean,,Business,Technology adoption,3.2
puerto-rico,Puerto Rico,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.4
saint-barthélemy,Saint Barthélemy,Americas,Latin America and the Caribbean,,Business,Technology adoption,1.9
saint-kitts-and-nevis,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.3
saint-lucia,Saint Lucia,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,4.4
saint-martin-(french-part),Saint Martin (French Part),Americas,Latin America and the Caribbean,,Business,Technology adoption,5.1
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Upper middle income,Business,Technology adoption,5.8
sint-maarten-(dutch-part),Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,High income,Business,Technology adoption,2
trinidad-and-tobago,Trinidad and Tobago,Americas,Latin America and the Caribbean,High income,Business,Technology adoption,4.4
