CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Score,Pillar,Sub-Pillar
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,1.8408183025483345,Business,Financing Incentives
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,,Business,Impact commitments
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Technology Adoption
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,,Business,Technology Adoption
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,3.552564101437279,Business,Startup Environment
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,,Business,Impact commitments
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Financing Incentives
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.2475,Business,Financing Incentives
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,,Business,Impact commitments
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,3.1792503624977777,Business,Startup Environment
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.242509999999999,Business,Technology Adoption
madagascar,Africa,Sub-Saharan Africa,Madagascar,Low Income,2.5564201208325925,Business,
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,,Business,Financing Incentives
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,,Business,Impact commitments
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,4.094438120165166,Business,Startup Environment
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,3.0168661072649887,Business,Startup Environment
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,3.0168661072649887,Business,
laos,Asia,South-eastern Asia,Lao People's Democratic Republic (the),Lower Middle Income,,Business,Impact commitments
laos,Asia,South-eastern Asia,Lao People's Democratic Republic (the),Lower Middle Income,3.1255113375532466,Business,Startup Environment
