Question,Pillar,Sub-Pillar,1,2,3,0
Does the government have fact checking / data sourcing governance mechanisms to ensure digital data accuracy?,Government,Monitoring,No,Some,Yes,I don't know
Does the government have a formal oversight board for digital programmes?,Government,Monitoring,No,"Yes, with limited scope",Yes,I don't know
Do you use user feedback to improve digital projects?,Government,Monitoring,No,"Collected, but not used",Collected and used,I don't know
Are digital efforts increasing efficiency in the government?,Government,Monitoring,No,Limited,Yes,I don't know
Is there a way for digital projects to improve from user feedback once deployed?,Government,Monitoring,No,Limited,Yes,I don't know
Is the adoption of new technology tools fast in the public sector?,Government,Capabilities,No,Limited,Yes,I don't know
Are digital staff being recruited in the public sector?,Government,Capabilities,No,Limited,Yes,I don't know
Is there technical support that is available to help with *evaluation* of proposals for digital programmes?,Government,Capabilities,No,Yes (external),Yes (internal),I don't know
Is there technical support that is available to help with *implementation* of proposals for digital programmes?,Government,Capabilities,No,Yes (external),Yes (internal),I don't know
Teams have the right skills to properly implement digital programmes,Government,Capabilities,No,Some,Yes,I don't know
Digital teams are seen as thought leaders inside the government,Government,Capabilities,No,Only in certain projects,Yes,I don't know
Do teams use any digital tools besides email for programme management?,Government,Capabilities,No,Real-time chat,Chat and Project Management tools,I don't know
How are official documents shared with partners?,Government,Capabilities,Stamped and sent physically,Scanned and sent via email,Collaboration online,I don't know
Does your office receive IT support,Government,Capabilities,No,Limited,Dedicated,I don't know
Is there a file management system used?,Government,Capabilities,No,Intranet,Cloud-based,I don't know
Is there an open data law in place?,Regulation,Data Standards and Protection,No,Weak,Strong,I don't know
Is there a digital privacy law in place?,Regulation,Data Standards and Protection,No,Weak,Strong,I don't know
Is international data storage prohibited?,Regulation,Data Standards and Protection,Yes,Some,No,I don't know
Is there a digital consumer protections law in place?,Regulation,E-Commerce,No,Weak,Strong,I don't know
Is there a digital transactions law in place?,Regulation,E-Commerce,No,Weak,Strong,I don't know
Are there digital payments laws in place?,Regulation,E-Commerce,No,Restrictive,Permissive,I don't know
Is there an intellectual property law in place?,Regulation,Fair Market Competition,No,Weak,Strong,I don't know
Is there a digital ID law in place?,Regulation,Fair Market Competition,No,Weak,Strong,I don't know
Are any common carrier or network neutrality laws in place?,Regulation,Fair Market Competition,No,Weak,Strong,I don't know
Does internet policy enable competition in telecoms networks?,Regulation,Fair Market Competition,No,Weak,Strong,I don't know
What impact do regulations have on digital development?,Regulation,Fair Market Competition,A barrier,Limited impact,An enabler,I don't know
Is there a cyber crime law in place?,Regulation,Cybersecurity,No,Weak,Strong,I don't know
Is there a content filtering law in place?,Regulation,Cybersecurity,Strong,Weak,No,I don't know
Is there a law allowing for electronic courts?,Regulation,Ethical standards,No,Weak,Strong,I don't know
Is there a law for Freedom of Information requests for government information?,Regulation,Ethical standards,No,Weak,Strong,I don't know
Is there an institutional focus on addressing the needs of vulnerable groups?,Regulation,Ethical standards,No,Weak,Strong,I don't know
Is data gathered on vulnerable groups to better understand their needs and perspectives?,Regulation,Ethical standards,No,Weak,Strong,I don't know
Key drivers of the economy are adopting digital technologies,Business,Technology adoption,No interest,Need help,Making progress,I don't know
How is the process of getting technology through customs?,Business,Technology adoption,Slow,Medium,Fast,I don't know
There are financial vehicles to encourage corporate digital transformation,Business,Financing Incentives,No,Weak,Strong,I don't know
Local corporations are adhering to responsible behavior around protecting customers online,Business,Impact Commitments,No,Weak,Strong,I don't know
Startup companies feel comfortable growing here,Business,Startup Environment,No interest,Need help,Making progress,I don't know
Getting internet set up in offices is:,Business,Technology adoption,Easy,Medium,Hard,I don't know
Has the government's position on digital resulted in greater popularity and/or electability for officials?,People,Culture,Decreased,Neutral,Increased,I don't know
Are there efforts underway to close the digital divide for women and girls?,People,Digital Literacy Skills,No,Weak,Strong,I don't know
Are there efforts underway to close the digital divide for ethnic and/or religious minorities?,People,Digital Literacy Skills,No,Weak,Strong,I don't know
Are there efforts underway to close the digital divide for other marginalized groups?,People,Digital Literacy Skills,No,Weak,Strong,I don't know
Are people motivated to embrace technology solutions?,People,Culture,Nervous,Interested,Excited,I don't know
How are citizens' attitudes towards entrepreneurial risk?,People,Culture,Negative,Neutral,Positive,I don't know
What impact is the internet having on individuals?,People,Digital Wellbeing,Negative,Neutral,Positive,I don't know
Are people having beneficial financial impacts from the digital economy who had less opportunity in the physical economy?,People,Usage and Ownership,No,Few,Many,I don't know
Do you have grid electricity at the office?,Business,Technology adoption,No,Sometimes Disconnected,Yes,I don't know
Is inclusivity a priority for digital transformation?,Strategy,Ambition,Not,Somewhat,Very,I don't know
Are any countries in your region and/or income-group doing interesting work on digital?,Infrastructure,Innovation Ecosystem,No,Some,Many,I don't know
