,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar,Unnamed: 0
49,Israel,2020.0,% of internet users who own cryptocurrency,4.9,1.24451,True,Digital Literacy Skills,
50,United Kingdom,2020.0,% of internet users who own cryptocurrency,4.7,1.23453,True,Digital Literacy Skills,
51,Italy,2020.0,% of internet users who own cryptocurrency,4.7,1.23453,True,Digital Literacy Skills,
52,Denmark,2020.0,% of internet users who own cryptocurrency,4.4,1.21956,True,Digital Literacy Skills,
53,Sweden,2020.0,% of internet users who own cryptocurrency,4.3,1.21457,True,Digital Literacy Skills,
54,Japan,2020.0,% of internet users who own cryptocurrency,3.7,1.18463,True,Digital Literacy Skills,
0,Afghanistan,2017.0,% of population using digital financial services,1.0,1.0499,True,Usage and ownership,
1,Albania,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
2,Arab world,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
3,United Arab Emirates,2017.0,% of population using digital financial services,60.0,3.994,True,Usage and ownership,
4,Argentina,2017.0,% of population using digital financial services,19.0,1.9481,True,Usage and ownership,
5,Armenia,2017.0,% of population using digital financial services,15.0,1.7485,True,Usage and ownership,
6,Australia,2017.0,% of population using digital financial services,76.0,4.792400000000001,True,Usage and ownership,
7,Austria,2017.0,% of population using digital financial services,63.0,4.1437,True,Usage and ownership,
8,Azerbaijan,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
9,Belgium,2017.0,% of population using digital financial services,71.0,4.5429,True,Usage and ownership,
10,Benin,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
11,Burkina Faso,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
12,Bangladesh,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
13,Bulgaria,2017.0,% of population using digital financial services,26.0,2.2974,True,Usage and ownership,
14,Bahrain,2017.0,% of population using digital financial services,44.0,3.1956,True,Usage and ownership,
15,Bosnia and Herzegovina,2017.0,% of population using digital financial services,15.0,1.7485,True,Usage and ownership,
16,Belarus,2017.0,% of population using digital financial services,46.0,3.2954000000000003,True,Usage and ownership,
17,Bolivia,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
18,Brazil,2017.0,% of population using digital financial services,18.0,1.8982,True,Usage and ownership,
19,Botswana,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
20,Central African Republic,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
21,Canada,2017.0,% of population using digital financial services,80.0,4.992000000000001,True,Usage and ownership,
22,Switzerland,2017.0,% of population using digital financial services,72.0,4.5928,True,Usage and ownership,
23,Chile,2017.0,% of population using digital financial services,29.0,2.4471,True,Usage and ownership,
24,China,2017.0,% of population using digital financial services,49.0,3.4451,True,Usage and ownership,
25,Cote d'Ivoire,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
26,Cameroon,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
27,"Congo, Dem. Rep.",2017.0,% of population using digital financial services,3.0,1.1497,True,Usage and ownership,
28,"Congo, Rep.",2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
29,Colombia,2017.0,% of population using digital financial services,12.0,1.5988,True,Usage and ownership,
30,Costa Rica,2017.0,% of population using digital financial services,27.0,2.3473,True,Usage and ownership,
31,Cyprus,2017.0,% of population using digital financial services,39.0,2.9461000000000004,True,Usage and ownership,
32,Czech Republic,2017.0,% of population using digital financial services,66.0,4.2934,True,Usage and ownership,
33,Germany,2017.0,% of population using digital financial services,81.0,5.0419,True,Usage and ownership,
34,Denmark,2017.0,% of population using digital financial services,88.0,5.3912,True,Usage and ownership,
35,Dominican Republic,2017.0,% of population using digital financial services,13.0,1.6487,True,Usage and ownership,
36,Algeria,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
37,East Asia & Pacific (excluding high income),2017.0,% of population using digital financial services,39.0,2.9461000000000004,True,Usage and ownership,
38,East Asia & Pacific,2017.0,% of population using digital financial services,41.0,3.0459,True,Usage and ownership,
39,Europe & Central Asia (excluding high income),2017.0,% of population using digital financial services,31.0,2.5469,True,Usage and ownership,
40,Europe & Central Asia,2017.0,% of population using digital financial services,53.0,3.6447,True,Usage and ownership,
41,Ecuador,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
42,"Egypt, Arab Rep.",2017.0,% of population using digital financial services,3.0,1.1497,True,Usage and ownership,
43,Euro area,2017.0,% of population using digital financial services,69.0,4.443099999999999,True,Usage and ownership,
44,Spain,2017.0,% of population using digital financial services,65.0,4.2435,True,Usage and ownership,
45,Estonia,2017.0,% of population using digital financial services,75.0,4.7425,True,Usage and ownership,
46,Ethiopia,2017.0,% of population using digital financial services,1.0,1.0499,True,Usage and ownership,
47,Finland,2017.0,% of population using digital financial services,88.0,5.3912,True,Usage and ownership,
48,France,2017.0,% of population using digital financial services,67.0,4.343300000000001,True,Usage and ownership,
49,Gabon,2017.0,% of population using digital financial services,17.0,1.8483,True,Usage and ownership,
50,United Kingdom,2017.0,% of population using digital financial services,81.0,5.0419,True,Usage and ownership,
51,Georgia,2017.0,% of population using digital financial services,14.0,1.6986,True,Usage and ownership,
52,Ghana,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
53,Guinea,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
54,Greece,2017.0,% of population using digital financial services,26.0,2.2974,True,Usage and ownership,
55,Guatemala,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
56,High income,2017.0,% of population using digital financial services,68.0,4.3932,True,Usage and ownership,
57,"Hong Kong SAR, China",2017.0,% of population using digital financial services,53.0,3.6447,True,Usage and ownership,
58,Honduras,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
59,Croatia,2017.0,% of population using digital financial services,54.0,3.6946,True,Usage and ownership,
60,Haiti,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
61,Hungary,2017.0,% of population using digital financial services,38.0,2.8962000000000003,True,Usage and ownership,
62,Indonesia,2017.0,% of population using digital financial services,11.0,1.5489000000000002,True,Usage and ownership,
63,India,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
64,Ireland,2017.0,% of population using digital financial services,69.0,4.443099999999999,True,Usage and ownership,
65,"Iran, Islamic Rep.",2017.0,% of population using digital financial services,46.0,3.2954000000000003,True,Usage and ownership,
66,Iraq,2017.0,% of population using digital financial services,14.0,1.6986,True,Usage and ownership,
67,Israel,2017.0,% of population using digital financial services,50.0,3.495,True,Usage and ownership,
68,Italy,2017.0,% of population using digital financial services,65.0,4.2435,True,Usage and ownership,
69,Jordan,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
70,Japan,2017.0,% of population using digital financial services,48.0,3.3952,True,Usage and ownership,
71,Kazakhstan,2017.0,% of population using digital financial services,24.0,2.1976,True,Usage and ownership,
72,Kenya,2017.0,% of population using digital financial services,26.0,2.2974,True,Usage and ownership,
73,Kyrgyz Republic,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
74,Cambodia,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
75,"Korea, Rep.",2017.0,% of population using digital financial services,76.0,4.792400000000001,True,Usage and ownership,
76,Kuwait,2017.0,% of population using digital financial services,36.0,2.7964,True,Usage and ownership,
77,Latin America & Caribbean (excluding high income),2017.0,% of population using digital financial services,15.0,1.7485,True,Usage and ownership,
78,Lao PDR,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
79,Lebanon,2017.0,% of population using digital financial services,16.0,1.7984,True,Usage and ownership,
80,Liberia,2017.0,% of population using digital financial services,2.0,1.0998,True,Usage and ownership,
81,Libya,2017.0,% of population using digital financial services,21.0,2.0479000000000003,True,Usage and ownership,
82,Latin America & Caribbean,2017.0,% of population using digital financial services,16.0,1.7984,True,Usage and ownership,
83,Low income,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
84,Sri Lanka,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
85,Lower middle income,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
86,Developing,2017.0,% of population using digital financial services,21.0,2.0479000000000003,True,Usage and ownership,
87,Lesotho,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
88,Lithuania,2017.0,% of population using digital financial services,56.0,3.7944,True,Usage and ownership,
89,Luxembourg,2017.0,% of population using digital financial services,76.0,4.792400000000001,True,Usage and ownership,
90,Latvia,2017.0,% of population using digital financial services,61.0,4.0439,True,Usage and ownership,
91,Morocco,2017.0,% of population using digital financial services,2.0,1.0998,True,Usage and ownership,
92,Moldova,2017.0,% of population using digital financial services,37.0,2.8463000000000003,True,Usage and ownership,
93,Madagascar,2017.0,% of population using digital financial services,2.0,1.0998,True,Usage and ownership,
94,Middle East & North Africa,2017.0,% of population using digital financial services,16.0,1.7984,True,Usage and ownership,
95,Mexico,2017.0,% of population using digital financial services,13.0,1.6487,True,Usage and ownership,
96,Middle income,2017.0,% of population using digital financial services,22.0,2.0978000000000003,True,Usage and ownership,
97,"Macedonia, FYR",2017.0,% of population using digital financial services,20.0,1.998,True,Usage and ownership,
98,Mali,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
99,Malta,2017.0,% of population using digital financial services,53.0,3.6447,True,Usage and ownership,
100,Myanmar,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
101,Middle East & North Africa (excluding high income),2017.0,% of population using digital financial services,12.0,1.5988,True,Usage and ownership,
102,Montenegro,2017.0,% of population using digital financial services,15.0,1.7485,True,Usage and ownership,
103,Mongolia,2017.0,% of population using digital financial services,17.0,1.8483,True,Usage and ownership,
104,Mozambique,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
105,Mauritania,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
106,Mauritius,2017.0,% of population using digital financial services,16.0,1.7984,True,Usage and ownership,
107,Malawi,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
108,Malaysia,2017.0,% of population using digital financial services,39.0,2.9461000000000004,True,Usage and ownership,
109,North America,2017.0,% of population using digital financial services,78.0,4.892200000000001,True,Usage and ownership,
110,Namibia,2017.0,% of population using digital financial services,18.0,1.8982,True,Usage and ownership,
111,Niger,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
112,Nigeria,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
113,Nicaragua,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
114,Netherlands,2017.0,% of population using digital financial services,85.0,5.2415,True,Usage and ownership,
115,Norway,2017.0,% of population using digital financial services,89.0,5.4411000000000005,True,Usage and ownership,
116,Nepal,2017.0,% of population using digital financial services,2.0,1.0998,True,Usage and ownership,
117,New Zealand,2017.0,% of population using digital financial services,80.0,4.992000000000001,True,Usage and ownership,
118,High income: OECD,2017.0,% of population using digital financial services,70.0,4.493,True,Usage and ownership,
119,Pakistan,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
120,Panama,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
121,Peru,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
122,Philippines,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
123,Poland,2017.0,% of population using digital financial services,65.0,4.2435,True,Usage and ownership,
124,Portugal,2017.0,% of population using digital financial services,35.0,2.7465,True,Usage and ownership,
125,Paraguay,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
126,West Bank and Gaza,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
127,Romania,2017.0,% of population using digital financial services,19.0,1.9481,True,Usage and ownership,
128,Russian Federation,2017.0,% of population using digital financial services,40.0,2.9960000000000004,True,Usage and ownership,
129,Rwanda,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
130,South Asia,2017.0,% of population using digital financial services,5.0,1.2495,True,Usage and ownership,
131,Saudi Arabia,2017.0,% of population using digital financial services,39.0,2.9461000000000004,True,Usage and ownership,
132,Senegal,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
133,Singapore,2017.0,% of population using digital financial services,57.0,3.8443,True,Usage and ownership,
134,Sierra Leone,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
135,El Salvador,2017.0,% of population using digital financial services,6.0,1.2994,True,Usage and ownership,
136,Serbia,2017.0,% of population using digital financial services,23.0,2.1477000000000004,True,Usage and ownership,
137,Sub-Saharan Africa (excluding high income),2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
138,South Sudan,2017.0,% of population using digital financial services,4.0,1.1996,True,Usage and ownership,
139,Sub-Saharan Africa,2017.0,% of population using digital financial services,8.0,1.3992,True,Usage and ownership,
140,Slovak Republic,2017.0,% of population using digital financial services,57.0,3.8443,True,Usage and ownership,
141,Slovenia,2017.0,% of population using digital financial services,55.0,3.7445,True,Usage and ownership,
142,Sweden,2017.0,% of population using digital financial services,84.0,5.1916,True,Usage and ownership,
143,Chad,2017.0,% of population using digital financial services,3.0,1.1497,True,Usage and ownership,
144,Togo,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
145,Thailand,2017.0,% of population using digital financial services,19.0,1.9481,True,Usage and ownership,
146,Tajikistan,2017.0,% of population using digital financial services,13.0,1.6487,True,Usage and ownership,
147,Turkmenistan,2017.0,% of population using digital financial services,2.0,1.0998,True,Usage and ownership,
148,Trinidad and Tobago,2017.0,% of population using digital financial services,20.0,1.998,True,Usage and ownership,
149,Tunisia,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
150,Turkey,2017.0,% of population using digital financial services,36.0,2.7964,True,Usage and ownership,
151,"Taiwan, China",2017.0,% of population using digital financial services,46.0,3.2954000000000003,True,Usage and ownership,
152,Tanzania,2017.0,% of population using digital financial services,12.0,1.5988,True,Usage and ownership,
153,Uganda,2017.0,% of population using digital financial services,9.0,1.4491,True,Usage and ownership,
154,Ukraine,2017.0,% of population using digital financial services,29.0,2.4471,True,Usage and ownership,
155,Upper middle income,2017.0,% of population using digital financial services,38.0,2.8962000000000003,True,Usage and ownership,
156,Uruguay,2017.0,% of population using digital financial services,31.0,2.5469,True,Usage and ownership,
157,United States,2017.0,% of population using digital financial services,77.0,4.8423,True,Usage and ownership,
158,Uzbekistan,2017.0,% of population using digital financial services,7.0,1.3493,True,Usage and ownership,
159,"Venezuela, RB",2017.0,% of population using digital financial services,29.0,2.4471,True,Usage and ownership,
160,Vietnam,2017.0,% of population using digital financial services,21.0,2.0479000000000003,True,Usage and ownership,
161,World,2017.0,% of population using digital financial services,29.0,2.4471,True,Usage and ownership,
162,Kosovo,2017.0,% of population using digital financial services,15.0,1.7485,True,Usage and ownership,
163,South Africa,2017.0,% of population using digital financial services,14.0,1.6986,True,Usage and ownership,
164,Zambia,2017.0,% of population using digital financial services,11.0,1.5489000000000002,True,Usage and ownership,
165,Zimbabwe,2017.0,% of population using digital financial services,10.0,1.499,True,Usage and ownership,
0,India,2021.0,% of population using Facebook,18.01,1.898699,True,Usage and ownership,
1,United States,2021.0,% of population using Facebook,72.09,4.597291,True,Usage and ownership,
2,Brazil,2021.0,% of population using Facebook,64.96,4.241504,True,Usage and ownership,
3,Indonesia,2021.0,% of population using Facebook,49.56,3.473044,True,Usage and ownership,
4,Mexico,2021.0,% of population using Facebook,59.88,3.988012,True,Usage and ownership,
5,Philippines,2021.0,% of population using Facebook,64.62,4.224538000000001,True,Usage and ownership,
6,Vietnam,2021.0,% of population using Facebook,67.96,4.391204,True,Usage and ownership,
7,Thailand,2021.0,% of population using Facebook,65.76,4.281424000000001,True,Usage and ownership,
8,United Kingdom,2021.0,% of population using Facebook,64.51,4.219049,True,Usage and ownership,
9,Turkey,2021.0,% of population using Facebook,51.74,3.5818260000000004,True,Usage and ownership,
10,Egypt,2021.0,% of population using Facebook,40.67,3.029433,True,Usage and ownership,
11,Iran,2021.0,% of population using Facebook,47.04,3.347296,True,Usage and ownership,
12,Pakistan,2021.0,% of population using Facebook,16.46,1.821354,True,Usage and ownership,
13,Bangladesh,2021.0,% of population using Facebook,20.27,2.011473,True,Usage and ownership,
14,France,2021.0,% of population using Facebook,50.44,3.516956,True,Usage and ownership,
15,Germany,2021.0,% of population using Facebook,36.95,2.843805,True,Usage and ownership,
16,Argentina,2021.0,% of population using Facebook,65.78,4.282422,True,Usage and ownership,
17,Italy,2021.0,% of population using Facebook,49.7,3.48003,True,Usage and ownership,
18,Colombia,2021.0,% of population using Facebook,56.57,3.822843,True,Usage and ownership,
19,Japan,2021.0,% of population using Facebook,22.21,2.1082790000000005,True,Usage and ownership,
20,Nigeria,2021.0,% of population using Facebook,12.83,1.6402170000000005,True,Usage and ownership,
21,Malaysia,2021.0,% of population using Facebook,77.86,4.885214,True,Usage and ownership,
22,Saudi Arabia,2021.0,% of population using Facebook,67.12,4.349288,True,Usage and ownership,
23,Canada,2021.0,% of population using Facebook,60.42,4.014958,True,Usage and ownership,
24,Spain,2021.0,% of population using Facebook,49.2,3.4550800000000006,True,Usage and ownership,
25,Myanmar,2021.0,% of population using Facebook,40.51,3.021449,True,Usage and ownership,
26,South Korea,2021.0,% of population using Facebook,42.56,3.1237440000000003,True,Usage and ownership,
27,South Africa,2021.0,% of population using Facebook,35.44,2.768456,True,Usage and ownership,
28,Iraq,2021.0,% of population using Facebook,51.67,3.578333,True,Usage and ownership,
29,Peru,2021.0,% of population using Facebook,59.95,3.991505,True,Usage and ownership,
30,Taiwan,2021.0,% of population using Facebook,80.44,5.013956,True,Usage and ownership,
31,Algeria,2021.0,% of population using Facebook,42.58,3.124742,True,Usage and ownership,
32,Morocco,2021.0,% of population using Facebook,49.08,3.449092,True,Usage and ownership,
33,Australia,2021.0,% of population using Facebook,58.17,3.902683,True,Usage and ownership,
34,Poland,2021.0,% of population using Facebook,37.04,2.848296,True,Usage and ownership,
35,Russia,2021.0,% of population using Facebook,8.98,1.448102,True,Usage and ownership,
36,Chile,2021.0,% of population using Facebook,67.67,4.376733,True,Usage and ownership,
37,Venezuela,2021.0,% of population using Facebook,45.29,3.259971,True,Usage and ownership,
38,Nepal,2021.0,% of population using Facebook,35.11,2.751989,True,Usage and ownership,
39,Ecuador,2021.0,% of population using Facebook,55.9,3.78941,True,Usage and ownership,
40,Netherlands,2021.0,% of population using Facebook,57.07,3.847793,True,Usage and ownership,
41,Ukraine,2021.0,% of population using Facebook,21.86,2.090814,True,Usage and ownership,
42,Kazakhstan,2021.0,% of population using Facebook,48.68,3.429132,True,Usage and ownership,
43,Romania,2021.0,% of population using Facebook,46.53,3.321847,True,Usage and ownership,
44,United Arab Emirates,2021.0,% of population using Facebook,87.45,5.363755,True,Usage and ownership,
45,Cambodia,2021.0,% of population using Facebook,46.09,3.299891000000001,True,Usage and ownership,
46,Syria,2021.0,% of population using Facebook,41.64,3.077836,True,Usage and ownership,
47,Tunisia,2021.0,% of population using Facebook,62.37,4.112263,True,Usage and ownership,
48,Kenya,2021.0,% of population using Facebook,12.73,1.635227,True,Usage and ownership,
49,Guatemala,2021.0,% of population using Facebook,37.26,2.859274,True,Usage and ownership,
50,Belgium,2021.0,% of population using Facebook,55.88,3.788412,True,Usage and ownership,
51,Sri Lanka,2021.0,% of population using Facebook,29.9,2.49201,True,Usage and ownership,
52,Sweden,2021.0,% of population using Facebook,62.01,4.094299,True,Usage and ownership,
53,Bolivia,2021.0,% of population using Facebook,51.55,3.572345,True,Usage and ownership,
54,Ethiopia,2021.0,% of population using Facebook,5.1,1.25449,True,Usage and ownership,
55,Israel,2021.0,% of population using Facebook,66.86,4.336314,True,Usage and ownership,
56,Portugal,2021.0,% of population using Facebook,57.04,3.846296,True,Usage and ownership,
57,Jordan,2021.0,% of population using Facebook,56.04,3.796396,True,Usage and ownership,
58,Hong Kong,2021.0,% of population using Facebook,70.98,4.541902,True,Usage and ownership,
59,Hungary,2021.0,% of population using Facebook,55.01,3.744999,True,Usage and ownership,
60,Dominican Republic,2021.0,% of population using Facebook,46.56,3.323344,True,Usage and ownership,
61,Libya,2021.0,% of population using Facebook,73.2,4.65268,True,Usage and ownership,
62,Greece,2021.0,% of population using Facebook,48.21,3.405679,True,Usage and ownership,
63,Ghana,2021.0,% of population using Facebook,15.44,1.770456,True,Usage and ownership,
64,Ivory Coast,2021.0,% of population using Facebook,17.59,1.877741,True,Usage and ownership,
65,Czech Republic,2021.0,% of population using Facebook,42.89,3.1402110000000003,True,Usage and ownership,
66,Singapore,2021.0,% of population using Facebook,75.8,4.78242,True,Usage and ownership,
67,Tanzania,2021.0,% of population using Facebook,6.94,1.346306,True,Usage and ownership,
68,Kuwait,2021.0,% of population using Facebook,94.55,5.718045,True,Usage and ownership,
69,Lebanon,2021.0,% of population using Facebook,58.61,3.924639,True,Usage and ownership,
70,Belarus,2021.0,% of population using Facebook,40.77,3.0344230000000003,True,Usage and ownership,
71,Afghanistan,2021.0,% of population using Facebook,9.66,1.482034,True,Usage and ownership,
72,Denmark,2021.0,% of population using Facebook,63.65,4.176135,True,Usage and ownership,
73,Switzerland,2021.0,% of population using Facebook,42.46,3.118754,True,Usage and ownership,
74,Austria,2021.0,% of population using Facebook,40.92,3.0419080000000003,True,Usage and ownership,
75,Senegal,2021.0,% of population using Facebook,19.82,1.989018,True,Usage and ownership,
76,Norway,2021.0,% of population using Facebook,62.2,4.10378,True,Usage and ownership,
77,El Salvador,2021.0,% of population using Facebook,52.16,3.602784,True,Usage and ownership,
78,Serbia,2021.0,% of population using Facebook,39.09,2.950591,True,Usage and ownership,
79,Honduras,2021.0,% of population using Facebook,33.79,2.686121,True,Usage and ownership,
80,Bulgaria,2021.0,% of population using Facebook,47.85,3.387715,True,Usage and ownership,
81,Paraguay,2021.0,% of population using Facebook,45.71,3.280929,True,Usage and ownership,
82,Costa Rica,2021.0,% of population using Facebook,62.27,4.107273,True,Usage and ownership,
83,Slovakia,2021.0,% of population using Facebook,58.6,3.92414,True,Usage and ownership,
84,DR Congo,2021.0,% of population using Facebook,3.37,1.168163,True,Usage and ownership,
85,New Zealand,2021.0,% of population using Facebook,63.77,4.182123000000001,True,Usage and ownership,
86,Uzbekistan,2021.0,% of population using Facebook,9.12,1.455088,True,Usage and ownership,
87,Laos,2021.0,% of population using Facebook,41.41,3.066359,True,Usage and ownership,
88,Qatar,2021.0,% of population using Facebook,100.0,5.99,True,Usage and ownership,
89,Ireland,2021.0,% of population using Facebook,54.18,3.703582,True,Usage and ownership,
90,Finland,2021.0,% of population using Facebook,48.67,3.428633,True,Usage and ownership,
