Country or Area,Category,Demographic,% of population
Latvia,Age,18-19 years old,2.07085013190149e-02
"China, Macao Special Administrative Region",Age,18-19 years old,1.81219080069397e-02
Morocco,Age,18-19 years old,4.64143598087942e-02
Republic of Moldova (the),Age,18-19 years old,2.51091115975453e-02
Madagascar,Age,18-19 years old,7.91118359732732e-02
Maldives,Age,18-19 years old,2.79115060261044e-02
Mexico,Age,18-19 years old,5.02646427136598e-02
North Macedonia,Age,18-19 years old,2.95906087156249e-02
Mali,Age,18-19 years old,9.00026888798616e-02
Malta,Age,18-19 years old,2.33621626937513e-02
Myanmar,Age,18-19 years old,5.38146975430474e-02
Montenegro,Age,18-19 years old,3.21207249193573e-02
Mongolia,Age,18-19 years old,3.98393625701989e-02
Mozambique,Age,18-19 years old,8.80015201942499e-02
Mauritania,Age,18-19 years old,7.19207846785704e-02
Martinique,Age,18-19 years old,3.27364695990122e-02
Mauritius,Age,18-19 years old,3.83035242954552e-02
Malawi,Age,18-19 years old,8.6384619699819e-02
Malaysia,Age,18-19 years old,4.72777282749807e-02
Mayotte,Age,18-19 years old,7.59205459090602e-02
Namibia,Age,18-19 years old,6.61316893056945e-02
New Caledonia,Age,18-19 years old,4.17169313809167e-02
Niger (the),Age,18-19 years old,9.33889218076984e-02
Nigeria,Age,18-19 years old,8.05872225963195e-02
Nicaragua,Age,18-19 years old,5.52647037713485e-02
Netherlands (the),Age,18-19 years old,2.96383925768058e-02
Norway,Age,18-19 years old,0.03051695278905
Nepal,Age,18-19 years old,6.89409393103265e-02
New Zealand,Age,18-19 years old,3.28467951471643e-02
Oman,Age,18-19 years old,2.19585777514906e-02
Pakistan,Age,18-19 years old,6.61555490344359e-02
Panama,Age,18-19 years old,4.79969366824162e-02
Peru,Age,18-19 years old,4.16025415688356e-02
Philippines (the),Age,18-19 years old,5.88875753649803e-02
Papua New Guinea,Age,18-19 years old,6.87479432956592e-02
Poland,Age,18-19 years old,2.22861033682727e-02
Puerto Rico,Age,18-19 years old,2.97781415991694e-02
"Democratic People's Republic of Korea (the)",Age,18-19 years old,3.91924890638885e-02
Portugal,Age,18-19 years old,2.49051527616034e-02
Paraguay,Age,18-19 years old,5.66232458974193e-02
State of Palestine (the) *,Age,18-19 years old,7.13963081977688e-02
French Polynesia,Age,18-19 years old,4.12139487379018e-02
Qatar,Age,18-19 years old,2.02383057832544e-02
R̩union,Age,18-19 years old,4.3014611166317e-02
Romania,Age,18-19 years old,2.50659425757883e-02
Russian Federation (the),Age,18-19 years old,2.35736473722315e-02
Rwanda,Age,18-19 years old,7.40973028659994e-02
Saudi Arabia,Age,18-19 years old,3.48163021948109e-02
Sudan (the),Age,18-19 years old,7.88832264054311e-02
Senegal,Age,18-19 years old,7.88185527809181e-02
Singapore,Age,18-19 years old,2.36782767497546e-02
Solomon Islands,Age,18-19 years old,7.32039892975355e-02
Sierra Leone,Age,18-19 years old,7.94073455344109e-02
El Salvador,Age,18-19 years old,5.44302085346433e-02
Somalia,Age,18-19 years old,9.32815205797497e-02
Serbia,Age,18-19 years old,2.91998192644719e-02
South Sudan,Age,18-19 years old,7.92788647058894e-02
Sao Tome and Principe,Age,18-19 years old,8.30303301022915e-02
Suriname,Age,18-19 years old,5.02246999829849e-02
Slovakia,Age,18-19 years old,2.36527820197266e-02
Slovenia,Age,18-19 years old,2.12140472612008e-02
Sweden,Age,18-19 years old,2.64667347213621e-02
Eswatini,Age,18-19 years old,7.64507528959323e-02
Seychelles,Age,18-19 years old,3.52181073434399e-02
Syrian Arab Republic (the),Age,18-19 years old,5.58720376718526e-02
Chad,Age,18-19 years old,9.20197539179385e-02
Togo,Age,18-19 years old,7.76301304984322e-02
Thailand,Age,18-19 years old,3.23466968625432e-02
Tajikistan,Age,18-19 years old,5.81157634682963e-02
Turkmenistan,Age,18-19 years old,4.88580152388377e-02
Timor-Leste,Age,18-19 years old,8.03457049982211e-02
Tonga,Age,18-19 years old,0.0712959824383
Trinidad and Tobago,Age,18-19 years old,3.28076516104054e-02
Tunisia,Age,18-19 years old,3.70444707811378e-02
Turkey,Age,18-19 years old,4.55073423955606e-02
United Republic of Tanzania (the),Age,18-19 years old,8.15248566118459e-02
Uganda,Age,18-19 years old,9.28154645188811e-02
Ukraine,Age,18-19 years old,2.17658983056419e-02
Uruguay,Age,18-19 years old,3.80132564016976e-02
United States of America (the),Age,18-19 years old,3.32456636785635e-02
Uzbekistan,Age,18-19 years old,0.04528188245877
Saint Vincent and the Grenadines,Age,18-19 years old,4.55613657336204e-02
Venezuela (Bolivarian Republic of),Age,18-19 years old,5.01025241578261e-02
United States Virgin Islands,Age,18-19 years old,3.31562671454935e-02
Viet Nam,Age,18-19 years old,3.63072245707057e-02
Vanuatu,Age,18-19 years old,6.57398666674485e-02
Samoa,Age,18-19 years old,6.5153116037895e-02
Yemen,Age,18-19 years old,7.62620187436272e-02
South Africa,Age,18-19 years old,4.92041709851656e-02
Zambia,Age,18-19 years old,8.97927794663107e-02
Zimbabwe,Age,18-19 years old,8.18314299583289e-02
Aruba,Age,20-29 years old,0.178482068390325
Afghanistan,Age,20-29 years old,0.355502022674836
Angola,Age,20-29 years old,0.344350682836283
Albania,Age,20-29 years old,0.208556076588971
United Arab Emirates (the),Age,20-29 years old,0.261935254917144
Argentina,Age,20-29 years old,0.218537483826937
Armenia,Age,20-29 years old,0.182404466305329
Antigua and Barbuda,Age,20-29 years old,0.205817729565398
Australia,Age,20-29 years old,0.171629952542438
Austria,Age,20-29 years old,0.149876135314308
Azerbaijan,Age,20-29 years old,0.218172013354584
Burundi,Age,20-29 years old,0.352875669798056
Belgium,Age,20-29 years old,0.150178149552446
Benin,Age,20-29 years old,0.330349968427359
Burkina Faso,Age,20-29 years old,0.344090912078064
Bangladesh,Age,20-29 years old,0.267473078457877
Bulgaria,Age,20-29 years old,0.12033759978539
Bahrain,Age,20-29 years old,0.229626429315389
Bahamas (the),Age,20-29 years old,0.230401284775822
Bosnia and Herzegovina,Age,20-29 years old,0.148863237861802
Belarus,Age,20-29 years old,0.142798203644858
Belize,Age,20-29 years old,0.294195936612395
Bolivia (Plurinational State of),Age,20-29 years old,0.27341767604078
Brazil,Age,20-29 years old,0.214545775857074
Barbados,Age,20-29 years old,0.164906198573779
Brunei Darussalam,Age,20-29 years old,0.217899416608828
Bhutan,Age,20-29 years old,0.284881301006377
Botswana,Age,20-29 years old,0.281874969362102
Central African Republic (the),Age,20-29 years old,0.356418645839124
Canada,Age,20-29 years old,0.166436434566955
Switzerland,Age,20-29 years old,0.146235932726315
Chile,Age,20-29 years old,0.203743597427619
China,Age,20-29 years old,0.163103721167366
"C̫te d'Ivoire",Age,20-29 years old,0.341544430583661
Cameroon,Age,20-29 years old,0.334454331915314
Democratic Republic of the Congo (the),Age,20-29 years old,0.332357123356623
Congo (the),Age,20-29 years old,0.303127417317555
Colombia,Age,20-29 years old,0.23857897656662
Comoros (the),Age,20-29 years old,0.31743409630872
Cabo Verde,Age,20-29 years old,0.264383780030101
Costa Rica,Age,20-29 years old,0.215921929777236
Cuba,Age,20-29 years old,0.155391527283643
Cura̤ao,Age,20-29 years old,0.153218786514739
Cyprus,Age,20-29 years old,0.198797072593342
Czechia,Age,20-29 years old,0.126755134875411
Germany,Age,20-29 years old,0.134595384774617
Djibouti,Age,20-29 years old,0.273619274074463
Denmark,Age,20-29 years old,0.16694014493954
Dominican Republic (the),Age,20-29 years old,0.254226547874233
Algeria,Age,20-29 years old,0.230177687090856
Ecuador,Age,20-29 years old,0.255649387965604
Egypt,Age,20-29 years old,0.264830953979636
Eritrea,Age,20-29 years old,0.309403055122401
Western Sahara,Age,20-29 years old,0.258692700620212
Spain,Age,20-29 years old,0.119433663529618
Estonia,Age,20-29 years old,0.136188201214292
Ethiopia,Age,20-29 years old,0.350463879385883
Finland,Age,20-29 years old,0.149950934694078
Fiji,Age,20-29 years old,0.240344401361351
France,Age,20-29 years old,0.143419435893554
Micronesia (Federated States of),Age,20-29 years old,0.309229279092293
Gabon,Age,20-29 years old,0.287642984585731
United Kingdom of Great Britain and Northern Ireland (the),Age,20-29 years old,0.159419443020546
Georgia,Age,20-29 years old,0.164107804869895
Ghana,Age,20-29 years old,0.306428336398322
Guinea,Age,20-29 years old,0.361203584951753
Guadeloupe,Age,20-29 years old,0.151931964763763
Gambia (the),Age,20-29 years old,0.358780821173451
Guinea-Bissau,Age,20-29 years old,0.337389288966145
Equatorial Guinea,Age,20-29 years old,0.351566480112252
Greece,Age,20-29 years old,0.121763755629415
Grenada,Age,20-29 years old,0.225001230254417
Guatemala,Age,20-29 years old,0.317003859595287
French Guiana,Age,20-29 years old,0.247595676244583
Guam,Age,20-29 years old,0.224827414122931
Guyana,Age,20-29 years old,0.277222169226366
"China, Hong Kong Special Administrative Region",Age,20-29 years old,0.135709292757048
Honduras,Age,20-29 years old,0.30483493329899
Croatia,Age,20-29 years old,0.139186147175939
Haiti,Age,20-29 years old,0.291877941772517
Hungary,Age,20-29 years old,0.144361383665174
Indonesia,Age,20-29 years old,0.231038054311987
India,Age,20-29 years old,0.254386590571794
Ireland,Age,20-29 years old,0.152606843377435
Iran (Islamic Republic of),Age,20-29 years old,0.20625921127775
Iraq,Age,20-29 years old,0.318181319645277
Iceland,Age,20-29 years old,0.182448345490703
Israel,Age,20-29 years old,0.204959542333077
Italy,Age,20-29 years old,0.119943583574936
Jamaica,Age,20-29 years old,0.242201907278471
Jordan,Age,20-29 years old,0.290082623215062
Japan,Age,20-29 years old,0.113167052058162
Kazakhstan,Age,20-29 years old,0.204184315561445
Kenya,Age,20-29 years old,0.327205471221252
Kyrgyzstan,Age,20-29 years old,0.264773557166996
Cambodia,Age,20-29 years old,0.292241897462029
Kiribati,Age,20-29 years old,0.291840855444643
Republic of Korea (the),Age,20-29 years old,0.154672449940977
Kuwait,Age,20-29 years old,0.138491653119939
"Lao People's Democratic Republic (the)",Age,20-29 years old,0.301319181513061
Lebanon,Age,20-29 years old,0.24658238194288
Liberia,Age,20-29 years old,0.314378703755632
Libya,Age,20-29 years old,0.23711201181863
Saint Lucia,Age,20-29 years old,0.229349398600812
Sri Lanka,Age,20-29 years old,0.189339158115645
Lesotho,Age,20-29 years old,0.299174830045271
Lithuania,Age,20-29 years old,0.142208527449408
Luxembourg,Age,20-29 years old,0.168209797636138
Latvia,Age,20-29 years old,0.123732342193161
"China, Macao Special Administrative Region",Age,20-29 years old,0.162512119600913
Morocco,Age,20-29 years old,0.233168547013642
Republic of Moldova (the),Age,20-29 years old,0.174417531676279
Madagascar,Age,20-29 years old,0.332067490813253
Maldives,Age,20-29 years old,0.332576201292362
Mexico,Age,20-29 years old,0.24454825838911
North Macedonia,Age,20-29 years old,0.169263593341021
Mali,Age,20-29 years old,0.343762238641628
Malta,Age,20-29 years old,0.15082690910283
Myanmar,Age,20-29 years old,0.244418124093209
Montenegro,Age,20-29 years old,0.171351235843009
Mongolia,Age,20-29 years old,0.235297882292707
Mozambique,Age,20-29 years old,0.346327919767235
Mauritania,Age,20-29 years old,0.313259938692017
Martinique,Age,20-29 years old,0.13695755083935
Mauritius,Age,20-29 years old,0.196396371224058
Malawi,Age,20-29 years old,0.353490320225462
Malaysia,Age,20-29 years old,0.248679068280935
Mayotte,Age,20-29 years old,0.294757111006013
Namibia,Age,20-29 years old,0.3246045866778
New Caledonia,Age,20-29 years old,0.205947845491434
Niger (the),Age,20-29 years old,0.35299317441145
Nigeria,Age,20-29 years old,0.3225044102604
Nicaragua,Age,20-29 years old,0.270837093346583
Netherlands (the),Age,20-29 years old,0.151567672702622
Norway,Age,20-29 years old,0.169124626858895
Nepal,Age,20-29 years old,0.312216991767723
New Zealand,Age,20-29 years old,0.181236126857594
Oman,Age,20-29 years old,0.283594641096526
Pakistan,Age,20-29 years old,0.305638795595357
Panama,Age,20-29 years old,0.22942915942782
Peru,Age,20-29 years old,0.230089989071572
Philippines (the),Age,20-29 years old,0.278423890541492
Papua New Guinea,Age,20-29 years old,0.296658652359512
Poland,Age,20-29 years old,0.142748763724591
Puerto Rico,Age,20-29 years old,0.125864039481014
"Democratic People's Republic of Korea (the)",Age,20-29 years old,0.200767246161928
Portugal,Age,20-29 years old,0.125527460074489
Paraguay,Age,20-29 years old,0.282444456892596
State of Palestine (the) *,Age,20-29 years old,0.341317464738157
French Polynesia,Age,20-29 years old,0.19639122610768
Qatar,Age,20-29 years old,0.295052913425985
R̩union,Age,20-29 years old,0.181369842847153
Romania,Age,20-29 years old,0.133311002625562
Russian Federation (the),Age,20-29 years old,0.136002334587866
Rwanda,Age,20-29 years old,0.315664957930717
Saudi Arabia,Age,20-29 years old,0.215370561759864
Sudan (the),Age,20-29 years old,0.325302878983865
Senegal,Age,20-29 years old,0.331435287085707
Singapore,Age,20-29 years old,0.167162802625377
Solomon Islands,Age,20-29 years old,0.303155166758384
Sierra Leone,Age,20-29 years old,0.333145686440383
El Salvador,Age,20-29 years old,0.275457491381008
Somalia,Age,20-29 years old,0.362387406202383
Serbia,Age,20-29 years old,0.155521990923443
South Sudan,Age,20-29 years old,0.33680250108138
Sao Tome and Principe,Age,20-29 years old,0.300397552150802
Suriname,Age,20-29 years old,0.239643282521444
Slovakia,Age,20-29 years old,0.147272102549361
Slovenia,Age,20-29 years old,0.120268144340033
Sweden,Age,20-29 years old,0.159822981025957
Eswatini,Age,20-29 years old,0.329594399185021
Seychelles,Age,20-29 years old,0.189054516278873
Syrian Arab Republic (the),Age,20-29 years old,0.277692946596308
Chad,Age,20-29 years old,0.364132762438802
Togo,Age,20-29 years old,0.315267899347989
Thailand,Age,20-29 years old,0.172993760496056
Tajikistan,Age,20-29 years old,0.300235395250024
Turkmenistan,Age,20-29 years old,0.260320089836753
Timor-Leste,Age,20-29 years old,0.331295663266341
Tonga,Age,20-29 years old,0.276661340048101
Trinidad and Tobago,Age,20-29 years old,0.171971409830643
Tunisia,Age,20-29 years old,0.203583819830586
Turkey,Age,20-29 years old,0.219358378852742
United Republic of Tanzania (the),Age,20-29 years old,0.331473189375176
Uganda,Age,20-29 years old,0.367467955382797
Ukraine,Age,20-29 years old,0.137852996907427
Uruguay,Age,20-29 years old,0.195149492155834
United States of America (the),Age,20-29 years old,0.178999266567873
Uzbekistan,Age,20-29 years old,0.266625841036671
Saint Vincent and the Grenadines,Age,20-29 years old,0.215342971393417
Venezuela (Bolivarian Republic of),Age,20-29 years old,0.215775555419727
United States Virgin Islands,Age,20-29 years old,0.158748566013268
Viet Nam,Age,20-29 years old,0.217265394078473
Vanuatu,Age,20-29 years old,0.297670491524529
Samoa,Age,20-29 years old,0.277864100082573
Yemen,Age,20-29 years old,0.352044577339877
South Africa,Age,20-29 years old,0.258415298283791
Zambia,Age,20-29 years old,0.354311507476298
Zimbabwe,Age,20-29 years old,0.325927887110667
Aruba,Age,30-39 years old,0.133968783510068
Afghanistan,Age,30-39 years old,0.229122424944169
Angola,Age,30-39 years old,0.240104659552731
Albania,Age,30-39 years old,0.172417398947069
United Arab Emirates (the),Age,30-39 years old,0.386236664181786
Argentina,Age,30-39 years old,0.201167998951158
Armenia,Age,30-39 years old,0.224793061810922
Antigua and Barbuda,Age,30-39 years old,0.194762661507635
Australia,Age,30-39 years old,0.189064701890904
Austria,Age,30-39 years old,0.167081071842055
Azerbaijan,Age,30-39 years old,0.239556459890823
Burundi,Age,30-39 years old,0.267675288057283
Belgium,Age,30-39 years old,0.162953560851196
Benin,Age,30-39 years old,0.230156302599371
Burkina Faso,Age,30-39 years old,0.238155247843366
Bangladesh,Age,30-39 years old,0.238237535078676
Bulgaria,Age,30-39 years old,0.167026182158276
Bahrain,Age,30-39 years old,0.380177114930023
Bahamas (the),Age,30-39 years old,0.191944538664415
Bosnia and Herzegovina,Age,30-39 years old,0.169207570293207
Belarus,Age,30-39 years old,0.202756114157797
Belize,Age,30-39 years old,0.231708547393255
Bolivia (Plurinational State of),Age,30-39 years old,0.219735802090461
Brazil,Age,30-39 years old,0.216886705201097
Barbados,Age,30-39 years old,0.16291387822271
Brunei Darussalam,Age,30-39 years old,0.239384219049942
Bhutan,Age,30-39 years old,0.257690906928691
Botswana,Age,30-39 years old,0.25580999600832
Central African Republic (the),Age,30-39 years old,0.212722939334703
Canada,Age,30-39 years old,0.172381344038405
Switzerland,Age,30-39 years old,0.17148156764148
Chile,Age,30-39 years old,0.200333698600284
China,Age,30-39 years old,0.201586088698033
"C̫te d'Ivoire",Age,30-39 years old,0.232450924816455
Cameroon,Age,30-39 years old,0.249812191283912
Democratic Republic of the Congo (the),Age,30-39 years old,0.228987734094241
Congo (the),Age,30-39 years old,0.235799825042985
Colombia,Age,30-39 years old,0.210620582597915
Comoros (the),Age,30-39 years old,0.247004951588907
Cabo Verde,Age,30-39 years old,0.265575391732214
Costa Rica,Age,30-39 years old,0.216235943373842
Cuba,Age,30-39 years old,0.166546980704261
Cura̤ao,Age,30-39 years old,0.146827481825953
Cyprus,Age,30-39 years old,0.195259599528613
Czechia,Age,30-39 years old,0.169514246691903
Germany,Age,30-39 years old,0.156048563681971
Djibouti,Age,30-39 years old,0.250609875586923
Denmark,Age,30-39 years old,0.144636193578299
Dominican Republic (the),Age,30-39 years old,0.214476508286657
Algeria,Age,30-39 years old,0.254741309190076
Ecuador,Age,30-39 years old,0.218319057793308
Egypt,Age,30-39 years old,0.24377454871868
Eritrea,Age,30-39 years old,0.249131109001213
Western Sahara,Age,30-39 years old,0.267883763851277
Spain,Age,30-39 years old,0.152654365638108
Estonia,Age,30-39 years old,0.181171644814464
Ethiopia,Age,30-39 years old,0.225472054924844
Finland,Age,30-39 years old,0.15758438117498
Fiji,Age,30-39 years old,0.228507086134205
France,Age,30-39 years old,0.155872439508115
Micronesia (Federated States of),Age,30-39 years old,0.208772658087726
Gabon,Age,30-39 years old,0.274062237977395
United Kingdom of Great Britain and Northern Ireland (the),Age,30-39 years old,0.17313451073189
Georgia,Age,30-39 years old,0.185208213223661
Ghana,Age,30-39 years old,0.237851472088473
Guinea,Age,30-39 years old,0.224573409063149
Guadeloupe,Age,30-39 years old,0.109416424131248
Gambia (the),Age,30-39 years old,0.236689056733112
Guinea-Bissau,Age,30-39 years old,0.250793256628866
Equatorial Guinea,Age,30-39 years old,0.305649296523312
Greece,Age,30-39 years old,0.153931728100074
Grenada,Age,30-39 years old,0.224029329265292
Guatemala,Age,30-39 years old,0.235170427378942
French Guiana,Age,30-39 years old,0.207912923475114
Guam,Age,30-39 years old,0.181610247026533
Guyana,Age,30-39 years old,0.177638080702089
"China, Hong Kong Special Administrative Region",Age,30-39 years old,0.175522277962946
Honduras,Age,30-39 years old,0.235325257912971
Croatia,Age,30-39 years old,0.158961957849766
Haiti,Age,30-39 years old,0.247220748168354
Hungary,Age,30-39 years old,0.157579521037435
Indonesia,Age,30-39 years old,0.218286549755728
India,Age,30-39 years old,0.228655702592609
Ireland,Age,30-39 years old,0.187196278927642
Iran (Islamic Republic of),Age,30-39 years old,0.279728667581023
Iraq,Age,30-39 years old,0.239945487794411
Iceland,Age,30-39 years old,0.178909920948466
Israel,Age,30-39 years old,0.192163429967697
Italy,Age,30-39 years old,0.13753191700096
Jamaica,Age,30-39 years old,0.208320158167765
Jordan,Age,30-39 years old,0.239883962830899
Japan,Age,30-39 years old,0.134669716583231
Kazakhstan,Age,30-39 years old,0.237535608579386
Kenya,Age,30-39 years old,0.254763689469526
Kyrgyzstan,Age,30-39 years old,0.248090431903094
Cambodia,Age,30-39 years old,0.270837762512032
Kiribati,Age,30-39 years old,0.236100446492051
Republic of Korea (the),Age,30-39 years old,0.163044685553919
Kuwait,Age,30-39 years old,0.273494258698804
"Lao People's Democratic Republic (the)",Age,30-39 years old,0.240265684961163
Lebanon,Age,30-39 years old,0.211598178779321
Liberia,Age,30-39 years old,0.235473052548932
Libya,Age,30-39 years old,0.251842439919261
Saint Lucia,Age,30-39 years old,0.198814674000405
Sri Lanka,Age,30-39 years old,0.18399955683841
Lesotho,Age,30-39 years old,0.247763713719018
Lithuania,Age,30-39 years old,0.151492440524301
Luxembourg,Age,30-39 years old,0.193348935082303
Latvia,Age,30-39 years old,0.173034510005515
"China, Macao Special Administrative Region",Age,30-39 years old,0.238808111991552
Morocco,Age,30-39 years old,0.222193457892218
Republic of Moldova (the),Age,30-39 years old,0.236457145511055
Madagascar,Age,30-39 years old,0.228501589251252
Maldives,Age,30-39 years old,0.327631033842374
Mexico,Age,30-39 years old,0.212420174357982
North Macedonia,Age,30-39 years old,0.194980046032893
Mali,Age,30-39 years old,0.231811809311421
Malta,Age,30-39 years old,0.178529866525343
Myanmar,Age,30-39 years old,0.215341026821258
Montenegro,Age,30-39 years old,0.179801166139224
Mongolia,Age,30-39 years old,0.265539280783272
Mozambique,Age,30-39 years old,0.234749586590892
Mauritania,Age,30-39 years old,0.246416345614809
Martinique,Age,30-39 years old,0.112890998712257
Mauritius,Age,30-39 years old,0.174740869433321
Malawi,Age,30-39 years old,0.239254684153503
Malaysia,Age,30-39 years old,0.243544194563059
Mayotte,Age,30-39 years old,0.222863320045943
Namibia,Age,30-39 years old,0.245043299243748
New Caledonia,Age,30-39 years old,0.197837147094024
Niger (the),Age,30-39 years old,0.214511782401604
Nigeria,Age,30-39 years old,0.236872060314455
Nicaragua,Age,30-39 years old,0.245159135374646
Netherlands (the),Age,30-39 years old,0.151571358054238
Norway,Age,30-39 years old,0.17199799672034
Nepal,Age,30-39 years old,0.201169429226056
New Zealand,Age,30-39 years old,0.167150288809766
Oman,Age,30-39 years old,0.376148375645737
Pakistan,Age,30-39 years old,0.235874950363806
Panama,Age,30-39 years old,0.209248337094827
Peru,Age,30-39 years old,0.223899952734647
Philippines (the),Age,30-39 years old,0.220388158802088
Papua New Guinea,Age,30-39 years old,0.232972969464955
Poland,Age,30-39 years old,0.193429790270457
