iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
AUS,EAS,Australia,HIC,47784.1796875,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,23789338,NA,20000000,574000,7000000,31000000,NA,13345000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,48.87,NA,NA,42.1,NA,NA,NA,NA
AUT,ECS,Austria,HIC,56029.61328125,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,NA,Yes,Yes,No,NA,8877067,1887723,42423893,166174,1272288,NA,696748,5219715.5,NA,NA,NA,NA,NA,NA,NA,97.77,NA,NA,NA,NA,NA,31.24,NA,37.9,2.98,NA,NA,25.66,NA,2.22,NA,NA
AZE,ECS,Azerbaijan,UMC,14853.91015625,45.19,5.28,3.49,13.729999999999999,10.93,7.87,3.09,NA,10.42,NA,Yes,Yes,No,NA,9649341,NA,NA,63000,296979.4,NA,NA,2930349,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Various
BDI,SSF,Burundi,LIC,839.77850341796875,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,6741569,NA,NA,5000,NA,NA,NA,1872016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,ECS,Belgium,HIC,51914.9140625,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,NA,Yes,Yes,No,NA,11484055,5635143,35824399,603575,2946195,NA,2397368,4765883,NA,NA,NA,NA,NA,NA,NA,97.74,NA,NA,NA,NA,NA,19.137,NA,43.39,0.91,NA,NA,34.303,NA,2.26,NA,NA
BEN,SSF,Benin,LIC,2227.352294921875,52.1,1.6,1.6,34.3,3.1,7.3,NA,NA,NA,NA,NA,Yes,Yes,NA,5521763,NA,NA,8200,NA,NA,1698,685936.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,75,NA,NA
BFA,SSF,Burkina Faso,LIC,1925.3311767578125,21,1,1,61,7,9,NA,NA,NA,No,No,Yes,Yes,NA,18110624,NA,NA,11000,7871,NA,NA,2575251.11,NA,NA,NA,NA,NA,NA,9.6,34.52,NA,NA,NA,NA,NA,NA,NA,NA,17,59,NA,12,NA,12,NA,NA
BGD,SAS,Bangladesh,LMC,3195.737060546875,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,No,Yes,Yes,Yes,NA,155727056,65000000,NA,142000,114358,26884,12271,14778497.33,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,60.39,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,94.75,NA,Source
BGR,ECS,Bulgaria,UMC,22279.361328125,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,Yes,Yes,Yes,Yes,Yes,7025037,983646,172369117,53785,12206169,NA,518228,2859190,NA,NA,NA,NA,NA,NA,NA,98.3,NA,NA,NA,NA,NA,10.32,NA,2.75,66.22,NA,NA,19.03,NA,1.68,NA,Other
BHR,MEA,Bahrain,HIC,47937.77734375,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,No,Yes,Yes,NA,NA,1425171,NA,570099.67,20000,31000,140000,911000,951942.9694500001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,8,NA,NA,NA,Disposal Site
BHS,LCN,"Bahamas, The",HIC,35400.08203125,46,7,7,12,15,13,NA,NA,NA,No,Yes,No,No,No,386838,NA,NA,4900,NA,NA,NA,264000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,ECS,Bosnia and Herzegovina,UMC,12671.0078125,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,No,No,No,Yes,Yes,3535961,NA,252310,1409,8408,4048650,8150,1248718,NA,NA,NA,NA,NA,NA,NA,73.99,NA,NA,NA,NA,NA,NA,8.55,NA,NA,41.75,0.025,9.7e-4,24.12,25.554029999999997,NA,Other
BLR,ECS,Belarus,UMC,18307.51953125,30,8,2,35,5,12,6,2,NA,Yes,Yes,Yes,Yes,Yes,9489616,NA,NA,72000,1336926,NA,NA,4280000,NA,NA,69.2,NA,NA,NA,93.2,NA,NA,NA,100,NA,NA,NA,76.9,NA,NA,7.1,NA,16,NA,NA,NA,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,7259.0244140625,47,8,5,5,16,19,NA,NA,NA,Yes,Yes,Yes,NA,NA,359288,NA,NA,2300,NA,NA,188,101378.83030000002,NA,NA,NA,NA,NA,NA,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA
BMU,NAC,Bermuda,HIC,80982.3671875,17,9,6,26,29,13,NA,NA,NA,Yes,Yes,Yes,No,NA,64798,NA,NA,NA,525,NA,NA,82000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,18.3,12.2,67.6,NA,NA,NA,2,NA,NA,NA,NA
BOL,LCN,Bolivia,LMC,7984.41357421875,55.19691119691119,2.9034749034749034,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,NA,NA,NA,Yes,Yes,Yes,No,Yes,10724705,NA,NA,35392,545183,NA,4683,2219052,NA,NA,5.9,NA,NA,NA,57.6,NA,NA,NA,85.4,NA,NA,0.4,0.04,NA,NA,55.52,NA,12.11,31.93,NA,NA,Source
BRA,LCN,Brazil,UMC,14596.24609375,51.4,2.4,2.9,16.7,13.1,13.5,NA,NA,NA,Yes,Yes,Yes,Yes,NA,208494896,NA,45158165,1411900,NA,NA,260063,79069584,NA,NA,NA,NA,NA,NA,91.3,90.81,NA,NA,NA,NA,NA,0.2,21.88521,NA,NA,15.61932,NA,1.4,53.30547000000001,7.589999999999989,NA,NA
BRB,LCN,Barbados,HIC,15444.74609375,18.3,3.7,4.9,5.7,19.7,17.1,12.1,NA,18.6,No,Yes,No,No,No,280601,NA,184957,3800,9410.337,NA,NA,174815.44444444444,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,9,NA,1,NA,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,60865.98828125,36,3,4,15,18,16,1,1,6,NA,Yes,Yes,Yes,Yes,423196,NA,NA,7700,NA,NA,195,216253.15599999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,70,28,NA,NA
BTN,SAS,Bhutan,LMC,6743.01611328125,58,4,1,7,17,13,NA,NA,NA,No,Yes,Yes,Yes,Yes,686958,NA,NA,1457.5,NA,1476.37,358,111314.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,1.39,98,NA,NA,NA,NA,0.86,NA,NA,NA,Source
BWA,SSF,Botswana,UMC,14126.3896484375,8.1,NA,0.1,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014866,NA,NA,16000,NA,NA,2500,210854.442618916,NA,7,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,99,NA,NA
CAF,SSF,Central African Republic,LIC,822.6104736328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,4515392,NA,NA,2700,NA,NA,NA,1105983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,NAC,Canada,HIC,47672.078125,24,6,13,8,47,3,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,35544564,181000000,653255,724000,NA,1118000000,NA,25103034,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,4.08,NA,3,72.33,NA,NA,20.590000000000003,NA,NA,NA,NA
CHE,ECS,Switzerland,HIC,68394.2890625,29,4,3,29,20,15,NA,NA,NA,NA,Yes,Yes,NA,Yes,8574832,NA,6390000,184000,1200000,1470000,NA,6079556,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,21,NA,47,NA,NA,NA,32,NA,NA,NA,NA
CHI,ECS,Channel Islands,HIC,46672.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,164541,NA,NA,NA,NA,NA,NA,178933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.909826589595378,39.218063583815,16.441907514450865,NA,NA,NA,28.430202312138732,NA,NA,NA,NA
CHL,LCN,Chile,HIC,20361.71484375,53.3,6.6,2.3,16,12.4,9.4,NA,NA,NA,Yes,No,Yes,Yes,NA,16829442,NA,NA,176000,249755,NA,NA,6517000,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,0.44,85.25,0.14,NA,8.43,0.04,0.37,NA,5.33,NA,Other
CHN,EAS,China,UMC,16092.30078125,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,NA,NA,Yes,Yes,Yes,NA,1400050048,4000000000,1500000000,7211000,34652400,3270790000,NA,395081376,NA,NA,20,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,3,NA,29.84,60.16,8.21,NA,NA,NA,NA,NA,At Generator level
CIV,SSF,Côte d’Ivoire,LMC,3660.90283203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,20401332,NA,NA,22000,NA,NA,NA,4440814.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,97,NA,NA
CMR,SSF,Cameroon,LMC,3262.763671875,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,NA,NA,Yes,Yes,NA,21655716,NA,NA,19000,8716.6,NA,NA,3270616.59,NA,NA,NA,NA,NA,NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,0.4,19.3,NA,NA,NA
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,78736152,NA,NA,NA,NA,NA,NA,14385226.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,95.1,NA,NA
COG,SSF,"Congo, Rep.",LMC,4899.57958984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,NA,2648507,NA,NA,NA,NA,NA,NA,451200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,73.8,NA,NA
COL,LCN,Colombia,UMC,12523.0068359375,59.58,2.35,1.1,15.74,8.4,12.83,NA,NA,NA,Yes,NA,No,Yes,NA,46406648,NA,NA,252200,270146.3,NA,27704,12150120,NA,24.1,NA,NA,NA,NA,80.6,NA,NA,97.4,NA,NA,NA,NA,NA,NA,NA,4,NA,17.2,89,NA,NA,NA
COM,SSF,Comoros,LIC,2959.5400390625,50,2,4,22,7,5,NA,NA,10,NA,NA,Yes,NA,NA,777424,NA,NA,600,NA,NA,NA,91013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,SSF,Cabo Verde,LMC,6353.783203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,513979,NA,NA,2400,3548.92,NA,76,132555,NA,NA,NA,NA,NA,NA,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,LCN,Costa Rica,UMC,18168.71484375,58,1,2,7,21,11,NA,NA,NA,NA,NA,Yes,No,NA,4757575,NA,800000,35800,NA,NA,NA,1460000,NA,NA,NA,NA,NA,NA,90.4,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,9.1,NA,1.26,67.5,NA,NA,NA
CUB,LCN,Cuba,UMC,12984.7109375,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,No,No,No,Yes,Yes,11303687,NA,NA,NA,565216,NA,NA,2692691.98,NA,NA,0.04,NA,NA,NA,76.9,NA,NA,NA,100,NA,NA,NA,30.68,NA,NA,42.22999999999999,NA,9.49,NA,17.6,NA,Other
CUW,LCN,Curacao,HIC,27503.7890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,153822,NA,NA,NA,NA,NA,NA,24703.813200000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,98,NA,NA
CYM,LCN,Cayman Islands,HIC,66207.4453125,10.9,3.5,6.2,11.4,31.1,11,NA,7.3,18.6,NA,Yes,Yes,NA,NA,59172,NA,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,79,NA,NA
CYP,ECS,Cyprus,HIC,39544.68359375,41.47,2.66,3.25,10.07,25.7,14.77,NA,2.08,NA,Yes,Yes,Yes,No,Yes,1198575,112018,1377767,18137,173377,NA,21404,769485.125,NA,NA,NA,NA,NA,NA,NA,92.42,NA,NA,NA,NA,NA,4.62,NA,NA,74.49,NA,NA,13.31,NA,7.58,NA,NA
CZE,ECS,Czech Republic,HIC,40836.328125,62.3,2.4,8.4,14.899999999999997,9.1,2.2,NA,0.7,NA,NA,Yes,Yes,Yes,NA,10669709,583264,13379041,79581,1162342,NA,797432,5334854.5,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,4.22,NA,17.68,52.59,NA,NA,25.5,NA,0.01,NA,NA
DEU,ECS,Germany,HIC,53784.78125,30,10,1.4,17.7,24,13,4,NA,NA,NA,Yes,Yes,Yes,Yes,83132800,15011037,275413069,2465085,21812660,NA,8821344,50627876,NA,NA,NA,NA,NA,NA,NA,97.55,NA,NA,NA,NA,NA,18.23,NA,31.71,0.21,NA,NA,47.83,NA,2.02,NA,NA
DJI,MEA,Djibouti,LMC,6596.775390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746221,NA,NA,900,NA,NA,NA,114997.24900398408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMA,LCN,Dominica,UMC,11708.6396484375,45,8,5,14,12,16,NA,NA,NA,Yes,Yes,Yes,No,NA,72400,NA,NA,NA,627,NA,NA,13176,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,6,NA,Disposal site
DNK,ECS,Denmark,HIC,57821.19921875,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,Yes,Yes,Yes,Yes,Yes,5818553,1087281,11402900,168614,1718394,NA,317413,4910858.5,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,18.99,NA,52.59,1.13,NA,NA,27.27,NA,0.02,NA,NA
DOM,LCN,Dominican Republic,UMC,15328.3525390625,51,6,3,10,16,10,NA,4,NA,No,Yes,No,No,NA,10528394,NA,NA,57000,NA,NA,NA,4063910,NA,NA,NA,NA,NA,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.57583140374663,NA,8.2,0.1,19.124168596253362,NA,Other
DZA,MEA,Algeria,UMC,11826.1650390625,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,Yes,Yes,Yes,NA,Yes,40606052,NA,11000000,252000,330000,2547000,30000,12378740,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,1,2,NA,NA,NA,NA,8,89,NA,NA,Disposal Site
ECU,LCN,Ecuador,UMC,11896.376953125,58.67,3.01,1.53,13.780000000000001,10.25,11.44,0.44999999999999996,0.86,NA,Yes,Yes,No,Yes,Yes,16144368,NA,NA,73000,193812,NA,11292,5297211.142533937,NA,63.4,NA,NA,NA,88.4,NA,NA,NA,99.3,NA,NA,NA,NA,NA,NA,NA,22.28,NA,12.9,53.22,11.6,NA,NA
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.107421875,56,4,2,15,10,13,NA,NA,NA,Yes,Yes,No,Yes,NA,87813256,30000000,4000000,497000,380000,6000000,28300,21000000,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,57.5,NA,NA,7,NA,NA,7,84,NA,12.5,NA,NA,NA,Disposal Site
ERI,SSF,Eritrea,LIC,1714.5523681640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4474690,NA,NA,3800,NA,NA,NA,726957.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,ECS,Spain,HIC,40985.55859375,49,8,3,14,15,9,NA,2,NA,No,Yes,Yes,Yes,Yes,47076780,8058640,52155411,1202597,2984518,NA,2990346,22408548,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,16.45,NA,11.62,55.09,NA,NA,16.84,NA,NA,NA,NA
EST,ECS,Estonia,HIC,36956.28515625,36.7,8.3,2.6,15.899999999999999,17.5,18.6,NA,0.4,NA,Yes,Yes,Yes,No,Yes,1326590,149633,18094986,34312,10410321,NA,1750157,489511.71875,NA,NA,NA,NA,NA,NA,NA,86.89,NA,NA,NA,NA,NA,3.6,7.4,51.37,NA,NA,NA,24.74,NA,12.89,NA,NA
ETH,SSF,Ethiopia,LIC,1779.083984375,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,NA,Yes,Yes,NA,NA,99873032,NA,NA,49000,NA,NA,NA,6532786.97,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,57,NA,NA
FIN,ECS,Finland,HIC,48814.30859375,35.88,9.24,1.7,13.129999999999999,37.83,1.45,NA,0.73,NA,Yes,Yes,Yes,Yes,Yes,5520314,1079091,84662998,212954,1998693,NA,1006713,3124497.75,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,12.45,NA,47.92,11.5,NA,NA,28.12,NA,0.01,NA,NA
FJI,EAS,Fiji,UMC,10787.685546875,33.2,4.1,1.9,3.5,12.5,7.5,0.1,NA,37.2,NA,Yes,Yes,Yes,NA,867086,NA,NA,4600,NA,NA,316.16,189389.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,5.45,NA,42.55,NA,Household waste collected
FRA,ECS,France,HIC,46110.18359375,32,10,3,26,20,9,NA,NA,NA,NA,Yes,Yes,Yes,NA,67059888,11304163,236301207,2218682,10783405,NA,4867183,36748820,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,17.26,NA,34.7,25.76,NA,NA,22.26,NA,0.02,NA,NA
FRO,ECS,Faeroe Islands,HIC,44402.87890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,48842,NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,33,NA,NA
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064208984375,23.83,7.07,16.73,9.32,13.3,26.17,3.58,NA,NA,NA,Yes,Yes,None,NA,104937,NA,NA,200,NA,NA,73.47,26039.57,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,SSF,Gabon,UMC,18514.65234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1086137,NA,NA,14000,NA,NA,NA,238102.31,NA,NA,3.8,NA,NA,NA,23.6,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,ECS,United Kingdom,HIC,46290.12109375,16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,Yes,Yes,Yes,No,NA,66460344,10365788,156803699,3584126,5755258,NA,4218205,30771140,NA,NA,NA,NA,NA,NA,NA,97.43,NA,NA,NA,NA,NA,16.23,NA,31.38,22.568,NA,NA,27.25,NA,2.5720000000000027,NA,NA
GEO,ECS,Georgia,LMC,12605.1396484375,39,3,5,16,34,3,NA,NA,NA,No,No,Yes,NA,NA,3717100,NA,NA,21000,NA,NA,NA,800000,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
