Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Angola,AGO,Rule of Law: Number of Sources,RL.NO.SRC,8,9,10,12,12,14,13,14,15,16,16,15,16,14,13
Anguilla,AIA,Rule of Law: Estimate,RL.EST,..,..,..,1.159125,1.644845,1.599525,1.636583,1.670906,1.400128,1.382129,1.360597,1.364446,1.367896,0.0188626,-0.0392533
Anguilla,AIA,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,86.1244,93.30144,92.3445,92.82297,92.78846,89.09953,88.6256,88.26291,88.26291,88.26291,59.13462,56.73077
Anguilla,AIA,Rule of Law: Number of Sources,RL.NO.SRC,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,1.058924,1.061046,1.068989,0.9226655,0.6685986,0.9316705,0.9067558,0.946843,0.9790636,0.9592275,0.9494721,0.9515464,0.8378081,-0.1772038,0.5898856
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,84.15842,83.16832,83.16832,78.94736,70.33493,78.94736,80.38277,81.73077,81.51659,80.56872,79.81221,79.34272,74.64789,49.51923,70.67308
Antigua and Barbuda,ATG,Rule of Law: Number of Sources,RL.NO.SRC,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.1499227,-0.7579951,-0.7735142,-0.8073725,-0.5546548,-0.568944,-0.5916041,-0.6766081,-0.6754778,-0.590509,-0.5608934,-0.6796814,-0.7076761,-0.8860345,-0.770812
Argentina,ARG,Rule of Law: Percentile Rank,RL.PER.RNK,48.0198,27.72277,26.23762,23.92344,34.92823,34.44976,34.44976,27.88461,30.80569,33.17535,33.33333,30.98592,29.57747,18.75,24.03846
Argentina,ARG,Rule of Law: Number of Sources,RL.NO.SRC,10,11,12,13,13,16,16,16,18,18,19,19,18,16,16
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.4785657,-0.423272,-0.3025564,-0.4226077,-0.4002492,-0.5464354,-0.4983765,-0.3405266,-0.475852,-0.4886399,-0.4409667,-0.4179131,-0.3442122,-0.3659055,-0.387853
Armenia,ARM,Rule of Law: Percentile Rank,RL.PER.RNK,36.63366,39.60396,44.55445,39.23445,40.19139,35.4067,37.32058,44.71154,39.81042,37.44076,42.25352,42.723,44.60094,41.34615,41.34615
Armenia,ARM,Rule of Law: Number of Sources,RL.NO.SRC,8,10,10,11,12,16,16,16,16,16,16,17,16,15,15
Aruba,ABW,Rule of Law: Estimate,RL.EST,..,..,..,0.9298062,0.8572026,0.820513,0.8393938,0.8558134,1.433195,1.422983,1.330821,1.316215,1.299766,1.038312,1.261027
Aruba,ABW,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,80.86124,78.4689,73.20574,77.03349,77.88461,89.57346,90.04739,87.79343,86.85446,86.85446,81.73077,85.57692
Aruba,ABW,Rule of Law: Number of Sources,RL.NO.SRC,..,..,..,1,1,1,1,1,2,3,3,3,3,3,3
Australia,AUS,Rule of Law: Estimate,RL.EST,1.751407,1.79999,1.882049,1.815572,1.724451,1.77004,1.761237,1.770851,1.740398,1.764966,1.74258,1.766946,1.778639,1.923105,1.825212
Australia,AUS,Rule of Law: Percentile Rank,RL.PER.RNK,95.04951,95.54456,96.0396,95.69378,95.21531,94.25837,94.25837,95.19231,94.78673,95.26067,95.77465,95.77465,95.77465,96.15385,94.71154
Australia,AUS,Rule of Law: Number of Sources,RL.NO.SRC,8,8,9,9,9,10,10,10,11,11,12,12,12,11,11
Austria,AUT,Rule of Law: Estimate,RL.EST,1.842372,1.891656,1.887247,1.836986,1.859191,1.913557,1.960128,1.922995,1.78489,1.8003,1.801555,1.858179,1.851382,1.952464,1.855247
Austria,AUT,Rule of Law: Percentile Rank,RL.PER.RNK,98.0198,97.52475,96.53465,96.17225,97.60766,98.56459,99.52153,98.55769,96.20853,96.20853,96.71362,97.1831,97.65258,96.63461,96.15385
Austria,AUT,Rule of Law: Number of Sources,RL.NO.SRC,9,9,9,9,9,10,10,10,11,11,12,12,12,11,11
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-1.14998,-0.908657,-0.8365198,-0.8747746,-0.7917499,-0.8850427,-0.87931,-0.8324519,-0.8799943,-0.893052,-0.8937066,-0.8345112,-0.7238573,-0.6722394,-0.6736943
Azerbaijan,AZE,Rule of Law: Percentile Rank,RL.PER.RNK,13.36634,20.29703,22.77228,20.09569,26.31579,21.5311,21.5311,21.63461,20.85308,20.85308,20.18779,23.47418,28.16901,28.84615,30.28846
Azerbaijan,AZE,Rule of Law: Number of Sources,RL.NO.SRC,10,11,12,13,14,16,16,15,16,16,16,16,15,14,14
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,1.316824,1.430701,1.453665,1.399562,1.377809,1.086698,1.266324,1.195434,0.7967279,0.7224865,0.617183,0.6197219,0.6379098,0.6654289,0.5971192
"Bahamas, The",BHS,Rule of Law: Percentile Rank,RL.PER.RNK,87.62376,90.09901,90.09901,90.43062,89.95216,86.1244,87.55981,86.05769,72.98578,70.14218,68.07512,68.5446,69.95305,75.48077,72.59615
"Bahamas, The",BHS,Rule of Law: Number of Sources,RL.NO.SRC,4,4,4,4,4,4,4,5,6,6,6,6,6,6,7
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.2984581,0.5676903,0.6202008,0.7094293,0.6062749,0.3795384,0.5328299,0.5328768,0.5172865,0.4355193,0.352287,0.258339,0.3310837,0.4137195,0.4250485
Bahrain,BHR,Rule of Law: Percentile Rank,RL.PER.RNK,61.88119,68.31683,71.28713,71.29186,67.46411,61.72249,66.50718,65.86539,64.45498,63.50711,62.44131,61.50235,61.97183,68.26923,67.30769
Bahrain,BHR,Rule of Law: Number of Sources,RL.NO.SRC,6,8,8,9,9,9,9,9,11,11,11,11,11,9,9
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.9116927,-0.9030272,-1.047653,-1.01997,-0.9789066,-0.9039655,-0.8267857,-0.7501396,-0.7855526,-0.8029345,-0.7324304,-0.9293042,-0.8668169,-0.7776653,-0.75128
Bangladesh,BGD,Rule of Law: Percentile Rank,RL.PER.RNK,22.27723,21.28713,15.84158,15.78947,17.70335,20.57416,22.96651,25,24.17062,25.59242,27.69953,18.30986,21.12676,23.55769,25.96154
Bangladesh,BGD,Rule of Law: Number of Sources,RL.NO.SRC,10,11,11,13,13,15,16,16,16,16,17,17,16,14,14
Barbados,BRB,Rule of Law: Estimate,RL.EST,1.423044,1.524477,1.555118,1.441817,1.345576,1.236725,1.328913,1.308763,1.01432,1.08103,1.081796,1.031676,1.046183,1.082493,1.095215
Barbados,BRB,Rule of Law: Percentile Rank,RL.PER.RNK,90.09901,92.07921,91.08911,91.38756,89.47369,88.99522,88.51675,87.98077,82.46445,83.41232,83.56808,81.69014,83.09859,83.17308,82.21154
Barbados,BRB,Rule of Law: Number of Sources,RL.NO.SRC,4,4,4,5,5,6,6,6,7,7,7,7,7,7,7
Belarus,BLR,Rule of Law: Estimate,RL.EST,-1.133808,-1.335948,-1.194219,-1.261963,-1.22759,-1.334362,-1.209228,-1.062698,-1.030047,-1.069661,-1.107304,-0.9370039,-0.9009195,-0.840305,-0.8129373
Belarus,BLR,Rule of Law: Percentile Rank,RL.PER.RNK,13.86139,7.425743,11.38614,9.569378,11.00478,8.133971,11.00478,13.94231,15.63981,14.21801,14.08451,17.37089,20.18779,20.67308,22.59615
Belarus,BLR,Rule of Law: Number of Sources,RL.NO.SRC,9,10,10,10,10,12,12,13,13,13,12,14,14,13,13
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.340115,1.374162,1.365136,1.328163,1.268298,1.23609,1.330672,1.345495,1.384073,1.393128,1.418426,1.427129,1.438435,1.523439,1.463494
Belgium,BEL,Rule of Law: Percentile Rank,RL.PER.RNK,88.61386,89.10891,89.10891,88.99522,88.03828,88.51675,88.99522,89.42308,88.6256,89.09953,89.67136,89.67136,89.67136,88.94231,88.94231
Belgium,BEL,Rule of Law: Number of Sources,RL.NO.SRC,9,9,9,9,9,10,10,10,11,11,12,12,12,11,11
Belize,BLZ,Rule of Law: Estimate,RL.EST,0.1299858,-0.0890892,0.099129,-0.1918428,-0.1627513,-0.044787,-0.1077924,-0.2087325,-0.3678742,-0.339512,-0.4850156,-0.4578074,-0.4670518,-0.7451519,-0.7209607
Belize,BLZ,Rule of Law: Percentile Rank,RL.PER.RNK,55.44555,50.49505,55.94059,46.41148,46.41148,53.11005,52.15311,49.03846,44.07583,44.54976,38.96714,41.31455,40.84507,25.96154,27.88461
Belize,BLZ,Rule of Law: Number of Sources,RL.NO.SRC,4,5,5,6,6,7,8,9,9,9,10,9,9,8,9
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.1571775,-0.2285811,-0.3779382,-0.5095385,-0.5415416,-0.5339224,-0.5172428,-0.5339108,-0.6538837,-0.6731734,-0.6632972,-0.5856726,-0.5686672,-0.4880224,-0.5360081
Benin,BEN,Rule of Law: Percentile Rank,RL.PER.RNK,46.53465,47.52475,42.57426,36.84211,35.4067,36.36364,36.36364,36.53846,31.27962,29.85782,30.51643,33.33333,34.2723,36.05769,33.65385
Benin,BEN,Rule of Law: Number of Sources,RL.NO.SRC,7,8,8,9,11,15,15,15,14,14,14,14,15,13,14
Bermuda,BMU,Rule of Law: Estimate,RL.EST,1.256536,1.237166,1.261434,1.108165,0.8572026,0.820513,0.8393938,0.8558134,0.8631719,1.117741,1.098715,1.102443,1.108083,0.0188626,0.883742
Bermuda,BMU,Rule of Law: Percentile Rank,RL.PER.RNK,85.64356,85.14851,86.13861,84.689,78.4689,73.20574,77.03349,77.88461,77.25118,84.83412,84.97652,85.44601,85.44601,59.13462,78.84615
Bermuda,BMU,Rule of Law: Number of Sources,RL.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.1334748,0.0583945,0.2066349,0.341372,0.3117011,0.1937875,0.3385213,0.3841602,0.2132208,0.1618682,0.1955957,0.2363134,0.2903239,0.379015,0.5223479
Bhutan,BTN,Rule of Law: Percentile Rank,RL.PER.RNK,55.94059,55.94059,60.39604,60.76555,59.33014,58.85167,60.28708,62.01923,61.13744,60.66351,60.56338,60.09389,60.56338,67.78846,70.19231
Bhutan,BTN,Rule of Law: Number of Sources,RL.NO.SRC,5,5,5,7,8,8,8,9,10,10,10,11,13,11,11
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-0.3875248,-0.400345,-0.4520893,-0.6847711,-0.7563288,-0.8501064,-0.8301125,-0.9745278,-1.10793,-1.023741,-0.9790578,-1.016074,-1.046429,-1.055193,-1.141064
Bolivia,BOL,Rule of Law: Percentile Rank,RL.PER.RNK,39.60396,40.59406,40.09901,30.14354,27.7512,23.92344,22.48804,17.30769,14.21801,15.16588,16.90141,15.96244,15.02347,12.98077,10.57692
Bolivia,BOL,Rule of Law: Number of Sources,RL.NO.SRC,9,11,11,14,14,16,16,16,16,17,18,18,17,15,15
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.6121617,-0.6596539,-0.6275073,-0.5021658,-0.5184901,-0.4960479,-0.470455,-0.411505,-0.3580605,-0.3508607,-0.3326799,-0.2067376,-0.1515693,-0.1856171,-0.2813664
Bosnia and Herzegovina,BIH,Rule of Law: Percentile Rank,RL.PER.RNK,31.18812,30.69307,30.69307,37.32058,37.32058,39.23445,38.75598,40.86538,45.0237,44.07583,45.07042,49.29578,51.17371,49.03846,46.15385
Bosnia and Herzegovina,BIH,Rule of Law: Number of Sources,RL.NO.SRC,8,10,10,12,12,13,14,14,14,14,13,16,15,13,14
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.5947238,0.5702705,0.7305223,0.6527846,0.639999,0.6225433,0.6498755,0.6959755,0.6662246,0.674656,0.6676847,0.6624952,0.5960982,0.6336159,0.5961598
Botswana,BWA,Rule of Law: Percentile Rank,RL.PER.RNK,69.80198,68.81188,73.76237,70.33493,69.37799,67.46411,71.29186,71.15385,68.72038,68.24644,69.01408,70.42254,68.5446,74.03846,72.11539
Botswana,BWA,Rule of Law: Number of Sources,RL.NO.SRC,8,11,11,12,12,14,14,15,15,15,15,16,17,15,16
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.2084501,-0.231834,-0.3228946,-0.3648767,-0.4294896,-0.3664047,-0.3710029,-0.315275,-0.1565112,0.0440805,0.0376608,-0.0694494,-0.0801801,-0.0498579,-0.1470753
Brazil,BRA,Rule of Law: Percentile Rank,RL.PER.RNK,44.05941,47.0297,44.05941,41.62679,39.23445,44.01914,43.54067,46.15385,50.7109,55.92417,56.33803,53.05164,52.58216,56.25,51.44231
Brazil,BRA,Rule of Law: Number of Sources,RL.NO.SRC,11,12,12,13,13,17,17,17,18,18,19,18,18,16,16
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.537964,0.5020638,0.590917,0.3814886,0.2419076,0.1228208,0.4125388,0.4651492,0.7886911,0.7791997,0.8499882,0.7930567,0.5946086,0.4725353,0.4079765
Brunei Darussalam,BRN,Rule of Law: Percentile Rank,RL.PER.RNK,66.83168,66.83168,68.81188,62.67942,58.85167,57.41627,62.20096,65.38461,72.03792,72.51185,76.52582,73.23943,68.07512,69.23077,66.82692
Brunei Darussalam,BRN,Rule of Law: Number of Sources,RL.NO.SRC,3,4,3,3,3,3,3,5,6,6,6,6,7,5,5
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.1210048,-0.0334654,-0.1403736,-0.1125419,-0.0955871,-0.0935352,-0.0459552,-0.1072635,-0.0383404,-0.0692405,-0.1117412,-0.085205,-0.1024054,-0.0460172,-0.0970044
Bulgaria,BGR,Rule of Law: Percentile Rank,RL.PER.RNK,48.51485,51.9802,48.51485,49.2823,50.23923,51.19617,53.11005,52.40385,54.50237,53.08057,52.11267,52.11267,52.11267,56.73077,54.32692
Bulgaria,BGR,Rule of Law: Number of Sources,RL.NO.SRC,11,12,12,12,12,16,16,16,16,16,17,17,16,15,15
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.6203501,-0.6517585,-0.5402954,-0.5669359,-0.5200291,-0.4310352,-0.3993784,-0.3448814,-0.2071238,-0.1944903,-0.3589491,-0.4367974,-0.5304499,-0.5472528,-0.5233565
Burkina Faso,BFA,Rule of Law: Percentile Rank,RL.PER.RNK,30.69307,31.18812,33.66337,35.4067,36.84211,42.10526,42.10526,44.23077,48.81517,49.2891,44.60094,42.25352,37.55869,33.17308,34.61538
Burkina Faso,BFA,Rule of Law: Number of Sources,RL.NO.SRC,8,9,9,11,11,15,15,16,16,16,17,18,18,16,15
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.354132,-1.247862,-1.397837,-1.53741,-1.153885,-0.9704405,-1.064636,-1.023133,-1.147297,-1.195465,-1.13863,-1.083531,-1.069999,-0.9660203,-1.167582
Burundi,BDI,Rule of Law: Percentile Rank,RL.PER.RNK,7.425743,9.405941,6.930693,5.263158,12.44019,17.70335,13.8756,15.86539,12.32228,11.37441,13.61502,14.08451,14.08451,14.90385,9.615385
Burundi,BDI,Rule of Law: Number of Sources,RL.NO.SRC,5,7,7,8,9,12,13,13,13,12,13,14,15,14,14
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.7816455,0.3412981,0.2935199,0.3570846,0.4021337,0.6533312,0.62836,0.5762206,0.535593,0.4746596,0.510735,0.5241493,0.5359706,0.6348052,0.5907446
Cabo Verde,CPV,Rule of Law: Percentile Rank,RL.PER.RNK,74.25742,62.87129,62.37624,61.72249,61.72249,68.42105,69.85646,67.30769,64.92891,64.45498,65.7277,66.66666,66.19718,74.51923,71.15385
Cabo Verde,CPV,Rule of Law: Number of Sources,RL.NO.SRC,5,7,7,8,8,9,9,9,9,10,11,11,12,11,11
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-1.059129,-1.143052,-1.253176,-1.279729,-1.233935,-1.234537,-1.142244,-1.148304,-1.118063,-1.118508,-1.04504,-0.9796743,-1.004117,-0.9552101,-0.9784721
Cambodia,KHM,Rule of Law: Percentile Rank,RL.PER.RNK,16.83168,12.87129,9.90099,8.61244,10.52632,10.52632,12.44019,11.53846,13.74408,12.79621,15.02347,16.90141,15.49296,15.86539,14.90385
Cambodia,KHM,Rule of Law: Number of Sources,RL.NO.SRC,8,9,10,11,12,14,14,15,15,15,15,15,15,13,13
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.198869,-1.23003,-1.076435,-1.185956,-1.207887,-1.154537,-1.184693,-1.099858,-1.123142,-1.07124,-1.074481,-1.041518,-1.050953,-0.8964483,-0.975968
Cameroon,CMR,Rule of Law: Percentile Rank,RL.PER.RNK,12.37624,10.39604,14.85149,11.96172,11.48325,11.96172,11.96172,12.98077,13.27014,13.74408,14.55399,15.49296,14.55399,17.78846,15.38461
Cameroon,CMR,Rule of Law: Number of Sources,RL.NO.SRC,9,10,11,11,12,14,15,15,15,15,17,17,17,16,16
Canada,CAN,Rule of Law: Estimate,RL.EST,1.694389,1.693409,1.734842,1.706601,1.661659,1.814535,1.814706,1.80829,1.804082,1.805715,1.736531,1.763582,1.755976,1.890682,1.84206
Canada,CAN,Rule of Law: Percentile Rank,RL.PER.RNK,94.0594,94.55446,94.55446,94.73684,93.77991,96.65072,96.17225,96.15385,96.68246,96.68246,94.3662,95.30516,95.30516,95.19231,95.67308
Canada,CAN,Rule of Law: Number of Sources,RL.NO.SRC,9,9,9,9,9,12,13,13,13,13,14,14,13,12,12
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,1.518952,1.499741,1.261434,1.159125,0.8572026,1.080184,1.105124,1.127511,0.8972524,0.9007724,0.8837404,0.8967372,0.9020077,0.5872959,0.8168695
Cayman Islands,CYM,Rule of Law: Percentile Rank,RL.PER.RNK,91.58416,90.59406,86.13861,86.1244,78.4689,85.64594,85.16747,85.09615,78.19905,79.14692,76.99531,76.52582,77.46479,73.07692,77.40385
Cayman Islands,CYM,Rule of Law: Number of Sources,RL.NO.SRC,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.280691,-1.047229,-1.437395,-1.584722,-1.453295,-1.538241,-1.568371,-1.414786,-1.305087,-1.294276,-1.290684,-1.443371,-1.793081,-1.695697,-1.684804
Central African Republic,CAF,Rule of Law: Percentile Rank,RL.PER.RNK,9.90099,16.33663,4.950495,3.827751,6.698565,3.349282,3.349282,5.769231,7.582938,8.056872,7.511737,3.755868,0.9389671,1.442308,1.442308
Central African Republic,CAF,Rule of Law: Number of Sources,RL.NO.SRC,5,7,7,8,9,9,10,9,12,12,12,12,13,12,11
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.091776,-1.048938,-1.335489,-1.40671,-1.510952,-1.548558,-1.538855,-1.616698,-1.513378,-1.503324,-1.47423,-1.466066,-1.382488,-1.138649,-1.183278
Chad,TCD,Rule of Law: Percentile Rank,RL.PER.RNK,16.33663,15.84158,7.920792,7.177033,4.30622,2.870813,4.30622,2.403846,3.791469,3.317536,2.347418,2.816901,5.633803,9.615385,8.653846
Chad,TCD,Rule of Law: Number of Sources,RL.NO.SRC,6,7,8,10,10,13,13,13,13,13,13,13,14,13,13
Chile,CHL,Rule of Law: Estimate,RL.EST,1.322716,1.355726,1.289519,1.321666,1.304793,1.271957,1.28842,1.313308,1.296515,1.33554,1.365901,1.391888,1.367829,1.43314,1.344083
Chile,CHL,Rule of Law: Percentile Rank,RL.PER.RNK,88.11881,88.11881,87.12872,88.51675,88.99522,89.47369,88.03828,88.46154,88.15166,88.15166,88.73239,88.73239,87.79343,87.98077,87.01923
Chile,CHL,Rule of Law: Number of Sources,RL.NO.SRC,10,11,12,13,13,16,16,16,16,16,16,16,16,15,15
China,CHN,Rule of Law: Estimate,RL.EST,-0.5271608,-0.4977296,-0.5298271,-0.5293402,-0.5890847,-0.6394754,-0.5422143,-0.4197974,-0.4070508,-0.409916,-0.4648362,-0.5428899,-0.5245902,-0.4144774,-0.4097969
China,CHN,Rule of Law: Percentile Rank,RL.PER.RNK,34.15842,37.12871,34.65347,35.88517,33.49282,31.10048,35.4067,39.90385,42.65403,40.75829,39.43662,35.68075,38.96714,38.94231,39.90385
China,CHN,Rule of Law: Number of Sources,RL.NO.SRC,10,11,11,13,13,14,15,15,16,16,17,17,16,14,14
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.8896748,-0.7168011,-0.7032688,-0.6855181,-0.6232535,-0.5051838,-0.4358616,-0.3967666,-0.3884734,-0.3085898,-0.2558286,-0.353872,-0.4058876,-0.2919019,-0.2684166
Colombia,COL,Rule of Law: Percentile Rank,RL.PER.RNK,23.26733,28.71287,28.71287,29.66507,32.05742,38.75598,40.66986,41.82692,43.12796,45.97157,47.41784,45.07042,41.78404,44.71154,46.63462
Colombia,COL,Rule of Law: Number of Sources,RL.NO.SRC,11,12,12,15,15,17,18,18,18,18,19,19,18,16,16
Comoros,COM,Rule of Law: Estimate,RL.EST,-1.291203,-0.9509804,-0.8690328,-1.024127,-0.9953502,-0.9534047,-1.011351,-1.032968,-1.130065,-1.046386,-1.002944,-1.015769,-0.9368037,-0.8916997,-0.8152064
Comoros,COM,Rule of Law: Percentile Rank,RL.PER.RNK,9.405941,17.82178,20.79208,15.311,17.22488,18.18182,14.83254,15.38461,12.79621,14.69194,15.96244,16.43192,18.30986,18.26923,21.63461
Comoros,COM,Rule of Law: Number of Sources,RL.NO.SRC,5,5,5,6,6,6,6,7,8,9,9,9,10,9,8
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,-1.905428,-1.658461,-1.684144,-1.715358,-1.553693,-1.617157,-1.610379,-1.559321,-1.633182,-1.62074,-1.618146,-1.657,-1.573436,-1.451048,-1.572547
"Congo, Dem. Rep.",COD,Rule of Law: Percentile Rank,RL.PER.RNK,0.990099,2.475248,1.980198,2.392344,3.827751,2.392344,1.913876,2.884615,1.895735,1.895735,1.877934,0.9389671,2.816901,3.365385,2.884615
"Congo, Dem. Rep.",COD,Rule of Law: Number of Sources,RL.NO.SRC,6,8,8,10,10,10,11,12,14,14,14,14,15,13,13
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,-1.416019,-1.248263,-1.173443,-1.187755,-1.472559,-1.267088,-1.235258,-1.195394,-1.218485,-1.219576,-1.203139,-1.143013,-1.11283,-1.108604,-1.078537
"Congo, Rep.",COG,Rule of Law: Percentile Rank,RL.PER.RNK,4.950495,8.910892,11.88119,11.48325,5.263158,9.569378,10.04785,10.09615,10.90047,9.478673,11.26761,11.26761,12.67606,11.53846,12.98077
"Congo, Rep.",COG,Rule of Law: Number of Sources,RL.NO.SRC,7,7,7,8,10,10,11,11,13,13,13,13,14,13,13
Cook Islands,COK,Rule of Law: Estimate,RL.EST,0.6459185,0.6451816,0.6774979,0.638822,1.133692,0.9527782,0.5134499,..,-0.7772179,-0.911697,-0.8821267,-0.9361371,-0.9324356,..,..
Cook Islands,COK,Rule of Law: Percentile Rank,RL.PER.RNK,71.78218,69.80198,72.27723,69.85646,86.60287,79.9043,65.07177,..,25.11848,19.90521,21.59624,17.84038,18.77934,..,..
Cook Islands,COK,Rule of Law: Number of Sources,RL.NO.SRC,1,1,1,1,1,1,1,..,1,1,1,1,1,..,..
Costa Rica,CRI,Rule of Law: Estimate,RL.EST,0.6344857,0.7056363,0.7030329,0.559696,0.5587041,0.4662502,0.3818599,0.460335,0.5635187,0.5236668,0.4513585,0.5196874,0.55167,0.5605012,0.5047452
Costa Rica,CRI,Rule of Law: Percentile Rank,RL.PER.RNK,70.29703,71.78218,72.77228,67.46411,66.02871,63.63636,60.76555,63.94231,66.35071,65.40285,62.9108,65.7277,66.66666,72.11539,69.71154
Costa Rica,CRI,Rule of Law: Number of Sources,RL.NO.SRC,10,11,11,13,13,14,15,15,15,14,13,14,14,14,14
