ISO2,Economy,IndCode,IndNum,IndName,Rank,Score,Value,MinDatCov,Outdated,OverallStreWeak,IncomeStreWeak,DataYear
ALB,Albania,ISOEnv,3.3.3,ISO 14001 environmental certificates/bn PPP$ GDP,25,22.17682614,3.620234956,,0,S,,2019
ALB,Albania,P4,4,Market sophistication,79,44.14010584,,0,,,,
ALB,Albania,SP41,4.1.,Credit,89,34.63410158,,0,,,,
ALB,Albania,EaseCred,4.1.1,Ease of getting credit*,44,70,70,,0,,,2019
ALB,Albania,DomCred2Priv,4.1.2,"Domestic credit to private sector, % GDP",90,12.50395811,34.40645575,,0,,,2019
ALB,Albania,MicroLoan,4.1.3,"Microfinance gross loans, % GDP",37,8.16259166,0.461408113,,1,,,2015
ALB,Albania,SP42,4.2.,Investment,75,27.21909924,,1,,,,
ALB,Albania,EaseProtInv,4.2.1,Ease of protecting minority investors*,97,46,46,,0,,,2019
ALB,Albania,MarkCap,4.2.2,"Market capitalization, % GDP",,,,,,,,
ALB,Albania,r_VenCapDeal,4.2.3,"Venture capital investors, deals/bn PPP$ GDP",,,,,,,,
ALB,Albania,c_VenCapDeal,4.2.4,"Venture capital recipients, deals/bn PPP$ GDP",51,8.438198481,0.023975067,,1,,,2019
ALB,Albania,SP43,4.3.,"Trade, diversification, and market scale",61,70.56711669,,0,,,,
ALB,Albania,AppTarriff,4.3.1,"Applied tariff rate, weighted avg., %",12,94.29849046,1.02,,0,S,,2019
ALB,Albania,c_HHI,4.3.2,Domestic industry diversification,36,93.70046749,0.124479809,,0,,,2018
ALB,Albania,DomMarkSc,4.3.3,"Domestic market scale, bn PPP$",112,35.56807901,39.110001,,0,,W,2020
ALB,Albania,P5,5,Business sophistication,68,24.98688945,,0,,,,
ALB,Albania,SP51,5.1.,Knowledge workers,42,40.30167188,,1,,,,
ALB,Albania,KnowIntsEmp,5.1.1,"Knowledge-intensive employment, %",85,26.13163538,18.35870227,,0,,,2019
ALB,Albania,FirmTrain,5.1.2,"Firms offering formal training, %",22,54.97953615,46.2,,0,S,,2019
ALB,Albania,GERDPerf,5.1.3,"GERD performed by business, % GDP",,,,,,,,
ALB,Albania,GERDFinBus,5.1.4,"GERD financed by business, %",,,,,,,,
ALB,Albania,FemEmpDeg,5.1.5,"Females employed w/advanced degrees, %",55,39.28601632,12.89807458,,0,,,2019
ALB,Albania,SP52,5.2.,Innovation linkages,101,16.39718852,,0,,,,
ALB,Albania,UniResColl,5.2.1,University-industry R&D collaboration†,41,49.03315703,3.941989422,,0,,,2020
ALB,Albania,StatClustDev,5.2.2,State of cluster development and depth†,127,25.86375078,2.551825047,,0,W,W,2020
ALB,Albania,GERDFinAbr,5.2.3,"GERD financed by abroad, % GDP",,,,,,,,
ALB,Albania,JVStratAll,5.2.4,Joint venture/strategic alliance deals/bn PPP$ GDP,67,7.00983052,0.025583424,,1,,,2019
ALB,Albania,PatFam,5.2.5,Patent families/bn PPP$ GDP,100,0,0,,0,W,W,2017
ALB,Albania,SP53,5.3.,Knowledge absorption,100,18.26180795,,0,,,,
ALB,Albania,IntelPropPay,5.3.1,"Intellectual property payments, % total trade",73,9.892939387,0.440610652,,0,,,2019
ALB,Albania,HiTechImp,5.3.2,"High-tech imports, % total trade",130,1.533019675,1.999146283,,1,W,W,2018
ALB,Albania,ICTSevImp,5.3.3,"ICT services imports, % total trade",52,32.21740178,1.44204534,,0,,,2019
ALB,Albania,FDINetInfl,5.3.4,"FDI net inflows, % GDP",11,54.50152782,7.889089905,,0,S,S,2019
ALB,Albania,ResTalBus,5.3.5,"Research talent, % in businesses",,,,,,,,
ALB,Albania,P6,6,Knowledge and technology outputs,103,11.96372932,,0,,,,
ALB,Albania,SP61,6.1.,Knowledge creation,120,3.410392603,,0,,,,
ALB,Albania,PatOrig,6.1.1,Patents by origin/bn PPP$ GDP,106,1.081388281,0.1438504,,0,,,2019
ALB,Albania,PCTPatOrig,6.1.2,PCT patents by origin/bn PPP$ GDP,86,0.47376549,0.025566947,,0,,,2020
ALB,Albania,UtilModOrig,6.1.3,Utility models by origin/bn PPP$ GDP ,66,0.656351545,0.0249501,,1,,,2018
ALB,Albania,c_SciTechArt,6.1.4,Scientific and technical articles/bn PPP$ GDP,100,10.48950859,7.2104321,,0,,,2020
ALB,Albania,CitDoc,6.1.5,Citable documents H-index,123,2.882635553,72,,0,W,,2020
ALB,Albania,SP62,6.2.,Knowledge impact,106,19.76236514,,0,,,,
ALB,Albania,r_GrowPPP20,6.2.1,"Labor productivity growth, %",89,50.54908509,-1.21967591,,0,,,2020
ALB,Albania,NewBus,6.2.2,New businesses/th pop. 15–64,66,5.187480112,1.52098682,,0,,,2018
ALB,Albania,CompSoftSpend,6.2.3,"Software spending, % GDP",86,8.964351509,0.10299847,,0,,,2020
ALB,Albania,ISOQual,6.2.4,ISO 9001 quality certificates/bn PPP$ GDP,30,23.02903838,8.870774395,,0,S,,2019
ALB,Albania,c_HiTechManufIND2,6.2.5,"High-tech manufacturing, %",103,3.794428108,4.068719883,,0,W,W,2018
ALB,Albania,SP63,6.3.,Knowledge diffusion,79,12.7184302,,0,,,,
ALB,Albania,IntelPropRec,6.3.1,"Intellectual property receipts, % total trade",35,7.944750367,0.258234187,,0,,S,2019
ALB,Albania,c_EcComplexity,6.3.2,Production and export complexity,75,36.52049218,-0.3181,,0,,,2018
ALB,Albania,c_HTExpHKG,6.3.3,"High-tech exports, % total trade",130,0.042759484,0.010311991,,1,W,,2018
ALB,Albania,ICTServExp,6.3.4,"ICT services exports, % total trade",59,15.87990985,1.868696175,,0,,,2019
ALB,Albania,P7,7,Creative outputs,81,20.25585517,,0,,,,
ALB,Albania,SP71,7.1.,Intangible assets,103,19.49790451,,0,,,,
ALB,Albania,TradmkOrig,7.1.1,Trademarks by origin/bn PPP$ GDP,65,27.55366235,34.500946,,0,,,2019
ALB,Albania,BrandVal,7.1.2,"Global brand value, top 5,000, % GDP",80,0,0,,0,W,W,2020
ALB,Albania,IndustDes,7.1.3,Industrial designs by origin/bn PPP$ GDP,87,2.380529959,0.49186879,,1,,,2014
ALB,Albania,ICTOrgMod,7.1.4,ICTs and organizational model creation†,114,39.49873845,3.369924307,,0,,W,2018
ALB,Albania,SP72,7.2.,Creative goods and services,57,19.5422646,,0,,,,
ALB,Albania,CultServExp,7.2.1,"Cultural and creative services exports, % total trade",21,35.20516326,1.247942494,,0,S,,2019
ALB,Albania,NatFeatFilm,7.2.2,National feature films/mn pop. 15–69,56,10.8983602,3.325546803,,1,,,2015
ALB,Albania,EntMedia,7.2.3,Entertainment and media market/th pop. 15–69,,,,,,,,
ALB,Albania,PrintMedia,7.2.4,"Printing and other media, % manufacturing",8,47.68112104,2.458824757,,0,S,S,2018
ALB,Albania,CreaGoodExp,7.2.5,"Creative goods exports, % total trade",83,1.963339253,0.173944234,,1,,,2016
ALB,Albania,SP73,7.3.,Online creativity,53,22.48534704,,0,,,,
ALB,Albania,GenTLD,7.3.1,Generic top-level domains (TLDs)/th pop. 15–69,48,6.764535661,20.09749805,,0,,,2020
ALB,Albania,CCTLD,7.3.2,Country-code TLDs/th pop. 15–69,61,3.255645966,10.95509372,,0,,,2020
ALB,Albania,WikiEdit,7.3.3,Wikipedia edits/mn pop. 15–69,56,57.4358595,56.55195353,,0,,,2020
ALB,Albania,AppCrea,7.3.4,Mobile app creation/bn PPP$ GDP,,,,,,,,
DZA,Algeria,Inputs,.1,Innovation Input Sub-index,109,30.51969723,,,,,,
DZA,Algeria,Outputs,.2,Innovation Output Sub-index,128,9.213329569,,,,,W,
DZA,Algeria,Index,0,Global Innovation Index,120,19.8665134,,,,,,
DZA,Algeria,P1,1,Institutions,104,52.5406768,,0,,,,
DZA,Algeria,SP11,1.1.,Political environment,106,44.57161215,,0,,,,
DZA,Algeria,PolStab,1.1.1,Political and operational stability*,112,55.35714117,2.9000001,,0,,,2020
DZA,Algeria,GovEff,1.1.2,Government effectiveness*,100,39.17884764,-0.516174555,,0,,,2019
DZA,Algeria,SP12,1.2.,Regulatory environment,108,49.42477325,,0,,,,
DZA,Algeria,RegQua,1.2.1,Regulatory quality*,129,9.425411446,-1.30337894,,0,,W,2019
DZA,Algeria,RuleOL,1.2.2,Rule of law*,113,25.23737791,-0.815463781,,0,,,2019
DZA,Algeria,CostRedu,1.2.3,Cost of redudancy dismissal,69,81.51815182,17.33333333,,0,,,2019
DZA,Algeria,SP13,1.3.,Business environment,92,63.625645,,0,,,,
DZA,Algeria,EaseStartBus,1.3.1,Ease of starting a business*,114,78.01386,78.01386,,0,,,2019
DZA,Algeria,EaseInsol,1.3.2,Ease of resolving insolvency*,73,49.23743,49.23743,,0,,,2019
DZA,Algeria,P2,2,Human capital and research,74,29.83450287,,0,,,,
DZA,Algeria,SP21,2.1.,Education,91,41.22526849,,1,,,,
DZA,Algeria,ExpEdu,2.1.1,"Expenditure on education, % GDP",,,,,,,,
DZA,Algeria,GovFundPup,2.1.2,"Government funding/pupil, secondary, % GDP/cap",,,,,,,,
DZA,Algeria,SchLifeExp,2.1.3,"School life expectancy, years",64,56.19944591,14.33228,,1,,S,2011
DZA,Algeria,PISA,2.1.4,"PISA scales in reading, maths and science",77,11.27691363,361.7368572,,1,,,2015
DZA,Algeria,PupTeachR,2.1.5,"Pupil-teacher ratio, secondary",,,,,,,,
DZA,Algeria,SP22,2.2.,Tertiary education,31,43.1832784,,0,,S,S,
DZA,Algeria,TertEnrol,2.2.1,"Tertiary enrolment, % gross",59,36.46886902,52.61994,,0,S,S,2019
DZA,Algeria,SciEngGrad,2.2.2,"Graduates in science and engineering, %",8,70.77553789,34.23498,,0,S,S,2018
DZA,Algeria,TertMob,2.2.3,"Tertiary inbound mobility, %",95,1.427578162,0.53121,,0,,,2018
DZA,Algeria,SP23,2.3.,Research and development (R&D),76,5.094961729,,0,,,,
DZA,Algeria,ResPPop,2.3.1,"Researchers, FTE/mn pop.",54,9.606698952,819.3427,,1,S,,2017
DZA,Algeria,RDExp,2.3.2,"Gross expenditure on R&D, % GDP",62,10.77314797,0.54297,,1,S,,2017
DZA,Algeria,RDCompExp,2.3.3,"Global corporate R&D investors, top 3, mn US$",41,0,0,,0,W,W,2020
DZA,Algeria,QSRank,2.3.4,"QS university ranking, top 3*",74,0,0,,0,W,W,2020
DZA,Algeria,P3,3,Infrastructure,96,31.83844002,,0,,,,
DZA,Algeria,SP31,3.1.,Information and communication technologies (ICTs),112,39.07304945,,0,,,,
DZA,Algeria,ICTAcc,3.1.1,ICT access*,75,60.19728166,6.019728166,,0,,S,2019
DZA,Algeria,ICTUse,3.1.2,ICT use*,76,52.96491612,5.296491612,,0,,S,2019
DZA,Algeria,GovOLServ,3.1.3,Government's online service*,127,27.65,0.2765,,0,,W,2020
DZA,Algeria,Epart,3.1.4,E-participation*,131,15.48,0.1548,,0,W,W,2020
DZA,Algeria,SP32,3.2.,General infrastructure,50,32.38035799,,0,,S,,
DZA,Algeria,ElecOut,3.2.1,"Electricity output, GWh/mn pop.",86,6.537490053,1815.4542,,0,,,2018
DZA,Algeria,LogPerf,3.2.2,Logistics performance*,109,18.64778039,2.448071,,0,,,2018
DZA,Algeria,GroCap,3.2.3,"Gross capital formation, % GDP",10,52.16808075,37.5,,0,S,S,2020
DZA,Algeria,SP33,3.3.,Ecological sustainability,83,24.06191264,,0,,,,
DZA,Algeria,GDPEner,3.3.1,GDP/unit of energy use,64,25.82205354,10.165,,0,S,,2018
DZA,Algeria,EnvPerf,3.3.2,Environmental performance*,74,44.8,44.8,,0,,S,2020
DZA,Algeria,ISOEnv,3.3.3,ISO 14001 environmental certificates/bn PPP$ GDP,99,1.563684377,0.290589229,,0,,,2019
DZA,Algeria,P4,4,Market sophistication,132,23.68967681,,0,,W,W,
DZA,Algeria,SP41,4.1.,Credit,129,9.403086798,,0,,,W,
DZA,Algeria,EaseCred,4.1.1,Ease of getting credit*,129,10,10,,0,W,W,2019
DZA,Algeria,DomCred2Priv,4.1.2,"Domestic credit to private sector, % GDP",102,8.806173595,25.89840691,,0,,,2019
DZA,Algeria,MicroLoan,4.1.3,"Microfinance gross loans, % GDP",,,,,,,,
DZA,Algeria,SP42,4.2.,Investment,131,10,,1,,,,
DZA,Algeria,EaseProtInv,4.2.1,Ease of protecting minority investors*,130,20,20,,0,W,W,2019
DZA,Algeria,MarkCap,4.2.2,"Market capitalization, % GDP",75,0,0.226050518,,1,W,W,2018
DZA,Algeria,r_VenCapDeal,4.2.3,"Venture capital investors, deals/bn PPP$ GDP",,,,,,,,
DZA,Algeria,c_VenCapDeal,4.2.4,"Venture capital recipients, deals/bn PPP$ GDP",,,,,,,,
DZA,Algeria,SP43,4.3.,"Trade, diversification, and market scale",115,51.66594363,,0,,,,
DZA,Algeria,AppTarriff,4.3.1,"Applied tariff rate, weighted avg., %",117,44.1587459,9.9899998,,0,,,2019
DZA,Algeria,c_HHI,4.3.2,Domestic industry diversification,108,45.80176824,0.485824089,,1,,W,2017
DZA,Algeria,DomMarkSc,4.3.3,"Domestic market scale, bn PPP$",42,61.28371787,488.29001,,0,S,,2020
DZA,Algeria,P5,5,Business sophistication,124,14.69518964,,0,,,W,
DZA,Algeria,SP51,5.1.,Knowledge workers,116,13.29920315,,0,,,W,
DZA,Algeria,KnowIntsEmp,5.1.1,"Knowledge-intensive employment, %",88,25.26376225,17.86103225,,1,,,2017
DZA,Algeria,FirmTrain,5.1.2,"Firms offering formal training, %",,,,,,,,
DZA,Algeria,GERDPerf,5.1.3,"GERD performed by business, % GDP",78,0.688457269,0.0364,,1,,,2017
DZA,Algeria,GERDFinBus,5.1.4,"GERD financed by business, %",82,8.342605809,6.74413,,1,,,2017
DZA,Algeria,FemEmpDeg,5.1.5,"Females employed w/advanced degrees, %",78,24.50477139,8.09977494,,1,,,2017
DZA,Algeria,SP52,5.2.,Innovation linkages,107,15.22812397,,0,,,,
DZA,Algeria,UniResColl,5.2.1,University-industry R&D collaboration†,93,37.08868423,3.225321054,,1,,,2019
DZA,Algeria,StatClustDev,5.2.2,State of cluster development and depth†,57,48.29421838,3.897653103,,1,S,,2019
DZA,Algeria,GERDFinAbr,5.2.3,"GERD financed by abroad, % GDP",101,0.003468769,0.00013373,,1,W,,2017
DZA,Algeria,JVStratAll,5.2.4,Joint venture/strategic alliance deals/bn PPP$ GDP,119,1.684528594,0.006957636,,0,,,2020
DZA,Algeria,PatFam,5.2.5,Patent families/bn PPP$ GDP,100,0,0,,0,W,W,2017
DZA,Algeria,SP53,5.3.,Knowledge absorption,115,15.55824181,,0,,,,
DZA,Algeria,IntelPropPay,5.3.1,"Intellectual property payments, % total trade",85,6.489988745,0.289051186,,0,,,2019
DZA,Algeria,HiTechImp,5.3.2,"High-tech imports, % total trade",49,29.02423744,8.912165597,,1,S,,2017
DZA,Algeria,ICTSevImp,5.3.3,"ICT services imports, % total trade",97,13.72762829,0.623650586,,0,,,2019
DZA,Algeria,FDINetInfl,5.3.4,"FDI net inflows, % GDP",112,38.80789569,0.788713748,,0,,,2019
DZA,Algeria,ResTalBus,5.3.5,"Research talent, % in businesses",82,0.450979073,0.45618,,1,,,2017
DZA,Algeria,P6,6,Knowledge and technology outputs,125,8.118717241,,0,,,,
DZA,Algeria,SP61,6.1.,Knowledge creation,94,7.357644162,,0,,,,
DZA,Algeria,PatOrig,6.1.1,Patents by origin/bn PPP$ GDP,96,1.667887751,0.2218688,,0,,,2019
DZA,Algeria,PCTPatOrig,6.1.2,PCT patents by origin/bn PPP$ GDP,83,0.531292714,0.028671427,,0,,,2020
DZA,Algeria,UtilModOrig,6.1.3,Utility models by origin/bn PPP$ GDP ,,,,,,,,
DZA,Algeria,c_SciTechArt,6.1.4,Scientific and technical articles/bn PPP$ GDP,89,13.66036185,9.2588425,,0,,,2020
DZA,Algeria,CitDoc,6.1.5,Citable documents H-index,76,10.15785861,178,,0,,,2020
DZA,Algeria,SP62,6.2.,Knowledge impact,119,13.66509125,,0,,,,
DZA,Algeria,r_GrowPPP20,6.2.1,"Labor productivity growth, %",76,54.01492348,-0.619888054,,0,,,2020
DZA,Algeria,NewBus,6.2.2,New businesses/th pop. 15–64,105,1.097918832,0.353296619,,0,,,2018
DZA,Algeria,CompSoftSpend,6.2.3,"Software spending, % GDP",123,0.425795534,0.010325129,,0,,W,2020
DZA,Algeria,ISOQual,6.2.4,ISO 9001 quality certificates/bn PPP$ GDP,103,2.726097666,1.183954762,,0,,,2019
DZA,Algeria,c_HiTechManufIND2,6.2.5,"High-tech manufacturing, %",104,3.77713454,4.055749773,,1,,W,2017
DZA,Algeria,SP63,6.3.,Knowledge diffusion,125,3.333416309,,0,,,,
DZA,Algeria,IntelPropRec,6.3.1,"Intellectual property receipts, % total trade",112,0.009175119,0.000300643,,0,,,2019
DZA,Algeria,c_EcComplexity,6.3.2,Production and export complexity,115,13.64372282,-1.3072,,0,,W,2018
DZA,Algeria,c_HTExpHKG,6.3.3,"High-tech exports, % total trade",129,0.077079254,0.018587787,,1,W,,2017
DZA,Algeria,ICTServExp,6.3.4,"ICT services exports, % total trade",106,3.096720702,0.374255114,,0,,,2019
DZA,Algeria,P7,7,Creative outputs,118,10.3079419,,0,,,,
DZA,Algeria,SP71,7.1.,Intangible assets,113,16.57379524,,0,,,,
DZA,Algeria,TradmkOrig,7.1.1,Trademarks by origin/bn PPP$ GDP,101,10.24778358,14.266634,,1,,,2018
DZA,Algeria,BrandVal,7.1.2,"Global brand value, top 5,000, % GDP",80,0,0,,0,W,W,2020
DZA,Algeria,IndustDes,7.1.3,Industrial designs by origin/bn PPP$ GDP,40,12.90459877,2.6663682,,0,S,,2019
DZA,Algeria,ICTOrgMod,7.1.4,ICTs and organizational model creation†,111,41.30820037,3.478492022,,0,,,2018
DZA,Algeria,SP72,7.2.,Creative goods and services,128,1.02266123,,0,,,W,
DZA,Algeria,CultServExp,7.2.1,"Cultural and creative services exports, % total trade",104,0.460852032,0.016336391,,0,,,2019
DZA,Algeria,NatFeatFilm,7.2.2,National feature films/mn pop. 15–69,99,1.117629509,0.436428847,,0,,,2017
DZA,Algeria,EntMedia,7.2.3,Entertainment and media market/th pop. 15–69,56,1.329057036,0.048669979,,0,,,2020
DZA,Algeria,PrintMedia,7.2.4,"Printing and other media, % manufacturing",99,2.982531899,0.279402455,,1,,,2015
DZA,Algeria,CreaGoodExp,7.2.5,"Creative goods exports, % total trade",124,0.122948452,0.01253677,,1,,,2017
DZA,Algeria,SP73,7.3.,Online creativity,114,7.06151588,,0,,,,
DZA,Algeria,GenTLD,7.3.1,Generic top-level domains (TLDs)/th pop. 15–69,108,0.484505588,1.482593066,,0,,,2020
DZA,Algeria,CCTLD,7.3.2,Country-code TLDs/th pop. 15–69,116,0.120145428,0.440983048,,0,,,2020
DZA,Algeria,WikiEdit,7.3.3,Wikipedia edits/mn pop. 15–69,103,27.64034583,30.38120663,,0,,,2020
DZA,Algeria,AppCrea,7.3.4,Mobile app creation/bn PPP$ GDP,100,0.001066669,0.0000383,,1,,,2019
AGO,Angola,Inputs,.1,Innovation Input Sub-index,131,23.50596683,,,,W,W,
AGO,Angola,Outputs,.2,Innovation Output Sub-index,131,6.42336552,,,,W,W,
AGO,Angola,Index,0,Global Innovation Index,132,14.96466618,,,,W,W,
AGO,Angola,P1,1,Institutions,128,42.18762462,,0,,,W,
AGO,Angola,SP11,1.1.,Political environment,126,36.85984577,,0,,,W,
AGO,Angola,PolStab,1.1.1,Political and operational stability*,100,58.92857153,2.7,,0,,,2020
AGO,Angola,GovEff,1.1.2,Government effectiveness*,128,25.82548288,-1.11714375,,0,,W,2019
AGO,Angola,SP12,1.2.,Regulatory environment,105,50.0027281,,0,,,,
AGO,Angola,RegQua,1.2.1,Regulatory quality*,124,20.13063387,-0.893871367,,0,,,2019
AGO,Angola,RuleOL,1.2.2,Rule of law*,125,18.94361344,-1.054343104,,0,,W,2019
AGO,Angola,CostRedu,1.2.3,Cost of redudancy dismissal,75,80.46833255,17.86349206,,0,S,,2019
AGO,Angola,SP13,1.3.,Business environment,131,39.7003,,0,,W,W,
AGO,Angola,EaseStartBus,1.3.1,Ease of starting a business*,111,79.4006,79.4006,,0,,,2019
AGO,Angola,EaseInsol,1.3.2,Ease of resolving insolvency*,129,0,0,,0,W,W,2019
AGO,Angola,P2,2,Human capital and research,119,12.26504615,,0,,,W,
AGO,Angola,SP21,2.1.,Education,113,29.93427647,,1,,,,
AGO,Angola,ExpEdu,2.1.1,"Expenditure on education, % GDP",88,29.82932273,3.42132,,1,S,,2010
AGO,Angola,GovFundPup,2.1.2,"Government funding/pupil, secondary, % GDP/cap",,,,,,,,
AGO,Angola,SchLifeExp,2.1.3,"School life expectancy, years",109,22.35998375,9.56008,,1,,W,2011
AGO,Angola,PISA,2.1.4,"PISA scales in reading, maths and science",,,,,,,,
AGO,Angola,PupTeachR,2.1.5,"Pupil-teacher ratio, secondary",111,45.29276938,26.76618814,,1,,W,2016
AGO,Angola,SP22,2.2.,Tertiary education,119,6.743903592,,0,,,W,
AGO,Angola,TertEnrol,2.2.1,"Tertiary enrolment, % gross",116,5.993445666,9.33626,,1,,,2016
AGO,Angola,SciEngGrad,2.2.2,"Graduates in science and engineering, %",103,7.494361518,12.01046,,1,,W,2015
AGO,Angola,TertMob,2.2.3,"Tertiary inbound mobility, %",,,,,,,,
AGO,Angola,SP23,2.3.,Research and development (R&D),119,0.116958394,,0,,,,
AGO,Angola,ResPPop,2.3.1,"Researchers, FTE/mn pop.",106,0.07081477,18.81599,,1,,,2016
AGO,Angola,RDExp,2.3.2,"Gross expenditure on R&D, % GDP",113,0.397018806,0.03229,,1,,W,2016
AGO,Angola,RDCompExp,2.3.3,"Global corporate R&D investors, top 3, mn US$",41,0,0,,0,W,W,2020
AGO,Angola,QSRank,2.3.4,"QS university ranking, top 3*",74,0,0,,0,W,W,2020
AGO,Angola,P3,3,Infrastructure,125,22.32885579,,0,,,W,
AGO,Angola,SP31,3.1.,Information and communication technologies (ICTs),121,33.04519168,,0,,,W,
AGO,Angola,ICTAcc,3.1.1,ICT access*,125,26.07341152,2.607341152,,0,,W,2019
AGO,Angola,ICTUse,3.1.2,ICT use*,126,12.04735518,1.204735518,,0,,W,2019
AGO,Angola,GovOLServ,3.1.3,Government's online service*,109,48.82,0.4882,,0,,,2020
AGO,Angola,Epart,3.1.4,E-participation*,108,45.24,0.4524,,0,,,2020
AGO,Angola,SP32,3.2.,General infrastructure,123,13.02266843,,0,,,W,
AGO,Angola,ElecOut,3.2.1,"Electricity output, GWh/mn pop.",113,1.321030218,380.88284,,0,,,2018
AGO,Angola,LogPerf,3.2.2,Logistics performance*,125,0,2.046158,,0,W,W,2018
AGO,Angola,GroCap,3.2.3,"Gross capital formation, % GDP",74,25.38482176,21.527,,0,S,,2020
AGO,Angola,SP33,3.3.,Ecological sustainability,94,20.91870725,,0,,S,,
AGO,Angola,GDPEner,3.3.1,GDP/unit of energy use,47,32.81832533,12.248,,0,S,,2018
AGO,Angola,EnvPerf,3.3.2,Environmental performance*,121,29.7,29.7,,0,,,2020
AGO,Angola,ISOEnv,3.3.3,ISO 14001 environmental certificates/bn PPP$ GDP,129,0.237796434,0.076418232,,0,,,2019
AGO,Angola,P4,4,Market sophistication,127,27.60554746,,0,,,W,
AGO,Angola,SP41,4.1.,Credit,131,3.536427677,,0,,W,W,
AGO,Angola,EaseCred,4.1.1,Ease of getting credit*,131,5,5,,0,W,W,2019
AGO,Angola,DomCred2Priv,4.1.2,"Domestic credit to private sector, % GDP",120,3.790447201,14.35797103,,0,,,2019
