Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Algeria,DZA,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,45.2318078966866
Algeria,DZA,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,96
Algeria,DZA,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.421383
Angola,AGO,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,157
Angola,AGO,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.004317
Angola,AGO,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,155
Angola,AGO,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.004317
Angola,AGO,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,143
Angola,AGO,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.202283
Angola,AGO,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,160
Angola,AGO,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,1.571429
Angola,AGO,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,140
Angola,AGO,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.594983
Angola,AGO,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,159
Angola,AGO,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,142
Angola,AGO,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,160
Angola,AGO,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.046158
Angola,AGO,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,1.847173
Angola,AGO,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.245143
Angola,AGO,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,32.6776916916242
Angola,AGO,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,153
Angola,AGO,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,1.857143
Argentina,ARG,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,58
Argentina,ARG,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.046989
Argentina,ARG,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,68
Argentina,ARG,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.777043
Argentina,ARG,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,59
Argentina,ARG,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.923781
Argentina,ARG,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,98
Argentina,ARG,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.417844
Argentina,ARG,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,58
Argentina,ARG,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.368942
Argentina,ARG,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,61
Argentina,ARG,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,57
Argentina,ARG,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,72
Argentina,ARG,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.886984
Argentina,ARG,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.797332
Argentina,ARG,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.976636
Argentina,ARG,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,58.9416525792736
Argentina,ARG,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,62
Argentina,ARG,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.773509
Armenia,ARM,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,113
Armenia,ARM,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.511196
Armenia,ARM,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,97
Armenia,ARM,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.503441
Armenia,ARM,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,95
Armenia,ARM,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.649059
Armenia,ARM,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,81
Armenia,ARM,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.573787
Armenia,ARM,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,111
Armenia,ARM,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.896062
Armenia,ARM,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,92
Armenia,ARM,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,73
Armenia,ARM,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,122
Armenia,ARM,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.607607
Armenia,ARM,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.418165
Armenia,ARM,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.79705
Armenia,ARM,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,50.2150592045339
Armenia,ARM,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,86
Armenia,ARM,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.484109
Australia,AUS,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,20
Australia,AUS,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.816621
Australia,AUS,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,21
Australia,AUS,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.709445
Australia,AUS,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,40
Australia,AUS,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.247206
Australia,AUS,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,7
Australia,AUS,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.867186
Australia,AUS,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,21
Australia,AUS,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.976111
Australia,AUS,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,18
Australia,AUS,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,14
Australia,AUS,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,26
Australia,AUS,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.751431
Australia,AUS,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,3.601817
Australia,AUS,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,3.901046
Australia,AUS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,85.9434367741557
Australia,AUS,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,16
Australia,AUS,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.968431
Austria,AUT,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,7
Austria,AUT,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,4.087098
Austria,AUT,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,6
Austria,AUT,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,4.083611
Austria,AUT,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,3
Austria,AUT,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.87753
Austria,AUT,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,12
Austria,AUT,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.714068
Austria,AUT,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,12
Austria,AUT,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,4.250803
Austria,AUT,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,4
Austria,AUT,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,2
Austria,AUT,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,14
Austria,AUT,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,4.026005
Austria,AUT,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,3.88479
Austria,AUT,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,4.167221
Austria,AUT,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,94.5200040981507
Austria,AUT,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,5
Austria,AUT,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,4.181584
Azerbaijan,AZE,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,..
Azerbaijan,AZE,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,..
Azerbaijan,AZE,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,..
Azerbaijan,AZE,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,..
Azerbaijan,AZE,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,..
Azerbaijan,AZE,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,..
Azerbaijan,AZE,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,..
Azerbaijan,AZE,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,..
Azerbaijan,AZE,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,..
Azerbaijan,AZE,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,..
Azerbaijan,AZE,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,..
Azerbaijan,AZE,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..
Azerbaijan,AZE,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..
Azerbaijan,AZE,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,..
Azerbaijan,AZE,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..
Azerbaijan,AZE,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..
Azerbaijan,AZE,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,..
Azerbaijan,AZE,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,..
Azerbaijan,AZE,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,..
"Bahamas, The",BHS,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,110
"Bahamas, The",BHS,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.517881
"Bahamas, The",BHS,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,130
"Bahamas, The",BHS,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.267881
"Bahamas, The",BHS,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,114
"Bahamas, The",BHS,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.50145
"Bahamas, The",BHS,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,61
"Bahamas, The",BHS,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.684211
"Bahamas, The",BHS,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,125
"Bahamas, The",BHS,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.751119
"Bahamas, The",BHS,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,112
"Bahamas, The",BHS,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,85
"Bahamas, The",BHS,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,130
"Bahamas, The",BHS,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.525412
"Bahamas, The",BHS,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.365442
"Bahamas, The",BHS,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.685381
"Bahamas, The",BHS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,47.6476240096656
"Bahamas, The",BHS,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,98
"Bahamas, The",BHS,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.408433
Bahrain,BHR,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,60
Bahrain,BHR,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.012881
Bahrain,BHR,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,58
Bahrain,BHR,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.857267
Bahrain,BHR,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,55
Bahrain,BHR,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.024256
Bahrain,BHR,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,63
Bahrain,BHR,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.669956
Bahrain,BHR,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,68
Bahrain,BHR,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.285448
Bahrain,BHR,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,59
Bahrain,BHR,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,48
Bahrain,BHR,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,76
Bahrain,BHR,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.934817
Bahrain,BHR,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.746803
Bahrain,BHR,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,3.122831
Bahrain,BHR,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,60.4357596134744
Bahrain,BHR,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,68
Bahrain,BHR,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.72488
Bangladesh,BGD,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,79
Bangladesh,BGD,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.785
Bangladesh,BGD,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,102
Bangladesh,BGD,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.483444
Bangladesh,BGD,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,104
Bangladesh,BGD,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.562778
Bangladesh,BGD,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,121
Bangladesh,BGD,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.3
Bangladesh,BGD,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,107
Bangladesh,BGD,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.923681
Bangladesh,BGD,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,100
Bangladesh,BGD,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,68
Bangladesh,BGD,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,134
Bangladesh,BGD,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.576581
Bangladesh,BGD,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.335623
Bangladesh,BGD,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.817538
Bangladesh,BGD,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,49.2459340222724
Bangladesh,BGD,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,100
Bangladesh,BGD,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.38868
Belarus,BLR,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,109
Belarus,BLR,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.536468
Belarus,BLR,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,85
Belarus,BLR,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.641731
Belarus,BLR,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,134
Belarus,BLR,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.309091
Belarus,BLR,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,112
Belarus,BLR,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.349962
Belarus,BLR,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,78
Belarus,BLR,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.176941
Belarus,BLR,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,103
Belarus,BLR,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,78
Belarus,BLR,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,125
Belarus,BLR,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.574633
Belarus,BLR,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.411342
Belarus,BLR,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.737924
Belarus,BLR,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,49.185086479726
Belarus,BLR,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,92
Belarus,BLR,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.440539
Belgium,BEL,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,9
