Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2020,Turkmenistan ,158,0.4034,0.2024,0.1765,0.6783,0.3555
2020,Tuvalu ,151,0.4209,0.3571,0.3,0.6821,0.2807
2020,Uganda ,137,0.4499,0.5714,0.5824,0.5395,0.2278
2020,Ukraine,69,0.7119,0.8095,0.6824,0.8591,0.5942
2020,United Arab Emirates ,21,0.8555,0.9405,0.9,0.732,0.9344
2020,United Kingdom of Great Britain and Northern Ireland,7,0.9358,0.9762,0.9588,0.9292,0.9195
2020,United Republic of Tanzania ,152,0.4206,0.5595,0.5529,0.4659,0.243
2020,United States of America ,9,0.9297,1,0.9471,0.9239,0.9182
2020,Uruguay ,26,0.85,0.8571,0.8412,0.8514,0.8574
2020,Yemen ,173,0.3045,0.3095,0.3235,0.4142,0.1757
2020,Zambia ,148,0.4242,0.3095,0.2588,0.6745,0.3394
2020,Zimbabwe ,126,0.5019,0.4524,0.5235,0.6135,0.3688
2020,South Sudan,193,0.0875,0.0238,0,0.1973,0.0652
2020,Rwanda ,130,0.4789,0.631,0.6176,0.5261,0.2931
2020,Saint Kitts and Nevis ,95,0.6352,0.3333,0.3941,0.8035,0.708
2020,Saint Lucia ,112,0.5444,0.3929,0.3824,0.7205,0.5302
2020,Saint Vincent and the Grenadines ,109,0.5605,0.4643,0.4706,0.7214,0.4894
2020,Samoa ,149,0.4219,0.25,0.2647,0.7414,0.2596
2020,San Marino ,96,0.6175,0.3095,0.2824,0.7549,0.8153
2020,Sao Tome and Principe ,155,0.4074,0.2024,0.2471,0.6736,0.3015
2020,Saudi Arabia ,43,0.7991,0.7143,0.6882,0.8648,0.8442
2020,Senegal ,150,0.421,0.4405,0.4941,0.3332,0.4358
2020,Serbia,58,0.7474,0.8214,0.7941,0.828,0.62
2020,Seychelles ,76,0.692,0.5714,0.6176,0.766,0.6925
2020,Singapore ,11,0.915,0.9762,0.9647,0.8904,0.8899
2020,Slovakia ,48,0.7817,0.7024,0.7176,0.8286,0.7988
