Country,Facebook Users,Population in Thousands (2021),Percentage of Facebook Users
Liberia,"537,000","5,180",10.37
Malawi,"500,200","19,648",2.55
Niger,"500,200","25,131",1.99
Fiji,"470,000",903,52.05
Burundi,"450,000","12,255",3.67
Lesotho,"445,600","2,159",20.64
Bhutan,"413,100",780,52.96
Macau,"406,900",658,61.84
Brunei,"400,200",442,90.54
Timor-Leste,"390,000","1,344",29.02
Maldives,"375,100",544,68.95
Gambia,"370,100","2,487",14.88
Guyana,"360,000",790,45.57
Chad,"328,000","16,915",1.94
Malta,"320,000",443,72.23
Montenegro,"320,000",628,50.96
Luxembourg,"320,000",635,50.39
Suriname,"310,000",592,52.36
South Sudan,"282,901","11,381",2.49
Eswatini,"255,200","1,172",21.77
Iceland,"250,000",343,72.89
Cape Verde,"240,000",562,42.7
Bahamas,"220,000",397,55.42
Guadeloupe,"220,000",400,55
Djibouti,"211,700","1,002",21.13
Belize,"200,000",405,49.38
Comoros,"178,500",888,20.1
Martinique,"170,000",375,45.33
Barbados,"160,000",288,55.56
French Polynesia,"150,000",283,53
New Caledonia,"150,000",288,52.08
Guinea-Bissau,"140,000","2,015",6.95
Central African Republic,"122,100","4,920",2.48
Curacao,"120,000",165,72.73
Guam,"110,000",170,64.71
French Guiana,"110,000",306,35.95
Equatorial Guinea,"100,600","1,450",6.94
Samoa,"94,000",200,47
Saint Lucia,"92,000",184,50
Mayotte,"91,400",280,32.64
Aruba,"91,000",107,85.05
Seychelles,"71,000",99,71.72
Turkmenistan,"67,200","6,118",1.1
Vanuatu,"63,000",314,20.06
Antigua and Barbuda,"62,000",99,62.63
Grenada,"62,000",113,54.87
Saint Vincent and the Grenadines,"61,000",111,54.95
Sao Tome and Principe,"58,400",223,26.19
Tonga,"54,000",107,50.47
Isle of Man,"50,000",85,58.82
Cayman Islands,"48,000",66,72.73
Andorra,"42,000",77,54.55
Bermuda,"39,000",62,62.9
Dominica,"39,000",72,54.17
Greenland,"38,000",57,66.67
Northern Mariana Islands,"36,000",58,62.07
Saint Kitts and Nevis,"35,000",54,64.81
Faroe Islands,"33,000",49,67.35
Sint Maarten,"31,000",43,72.09
Kiribati,"30,000",121,24.79
Western Sahara,"27,000",612,4.41
Turks and Caicos Islands,"25,000",39,64.1
Gibraltar,"23,000",34,67.65
American Samoa,"22,000",55,40
United States Virgin Islands,"22,000",104,21.15
Eritrea,"21,900","3,601",0.61
Micronesia,"21,000",116,18.1
Marshall Islands,"20,000",60,33.33
Saint Martin,"15,000",39,38.46
Liechtenstein,"14,000",38,36.84
North Korea,"14,000","25,887",0.05
Monaco,"13,000",40,32.5
British Virgin Islands,"12,000",30,40
Anguilla,"9,000",15,60
Cook Islands,"8,600",18,47.78
San Marino,"7,900",34,23.24
Palau,"5,800",18,32.22
Nauru,"3,400",11,30.91
Wallis and Futuna,"3,400",11,30.91
Falkland Islands,"3,100",4,77.5
Montserrat,"2,600",5,52
Tuvalu,"1,700",12,14.17
Niue,820,2,41
Tokelau,410,1,41
Vatican City,20,1,2
Cuba,,"11,318",0
