SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",PRT,Portugal,2016,2016,6.45333,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",PRT,Portugal,2017,2017,7.9849,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",PRT,Portugal,2019,2019,8.2,,
ICTSKILLATTACH_F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)",BHR,Bahrain,2015,2015,61.0076,,
ICTSKILLATTACH_F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)",BHR,Bahrain,2016,2016,57.87634,,
ICTSKILLATTACH_F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)",BHR,Bahrain,2017,2017,72.2666,,
ICTSKILLATTACH_F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)",BHR,Bahrain,2018,2018,61.38079,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",MKD,North Macedonia,2014,2014,53.2746,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",MKD,North Macedonia,2015,2015,35.32048,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",MKD,North Macedonia,2016,2016,31.11341,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",ISL,Iceland,2014,2014,69.17979,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",ISL,Iceland,2017,2017,69.81795,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",FIN,Finland,2015,2015,57.16811,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",FIN,Finland,2016,2016,58.00503,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",FIN,Finland,2017,2017,59.84431,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",FIN,Finland,2019,2019,63.1,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",ITA,Italy,2014,2014,11.8273,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",ITA,Italy,2015,2015,7.0866,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",ITA,Italy,2016,2016,6.4613,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",EST,Estonia,2014,2014,71.22104,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",EST,Estonia,2015,2015,60.4634,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",DNK,Denmark,2014,2014,62.72049,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",DNK,Denmark,2015,2015,68.4344,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",DNK,Denmark,2016,2016,64.32709,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",DNK,Denmark,2017,2017,62.66844,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",SWE,Sweden,2014,2014,77.31129,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",SWE,Sweden,2015,2015,67.91559,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",HRV,Croatia,2015,2015,52.72596,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",HRV,Croatia,2016,2016,57.5107,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",FRA,France,2014,2014,67.256,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",FRA,France,2015,2015,56.35193,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",FRA,France,2016,2016,53.57925,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",FRA,France,2017,2017,54.67348,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",FRA,France,2019,2019,54.6,,
ICTSKILLATTACH_F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)",UZB,Uzbekistan,2018,2018,14.1,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",ESP,Spain,2014,2014,56.63626,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",ESP,Spain,2015,2015,53.25091,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",ESP,Spain,2016,2016,53.4303,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",ESP,Spain,2019,2019,54.67742,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",ESP,Spain,2014,2014,63.02567,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",ESP,Spain,2015,2015,52.3737,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",KAZ,Kazakhstan,2015,2015,42.29748,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",KAZ,Kazakhstan,2016,2016,43.82453,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",KAZ,Kazakhstan,2017,2017,47.45338,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",KAZ,Kazakhstan,2018,2018,47.82892,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",KAZ,Kazakhstan,2019,2019,51.7,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",LUX,Luxembourg,2015,2015,89.5956,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",LUX,Luxembourg,2016,2016,92.61857,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BGR,Bulgaria,2014,2014,35.47072,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BGR,Bulgaria,2016,2016,36.90125,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BGR,Bulgaria,2017,2017,45.7941,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",KAZ,Kazakhstan,2015,2015,2.65632,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",KAZ,Kazakhstan,2016,2016,4.29728,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",KAZ,Kazakhstan,2017,2017,4.80033,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",KAZ,Kazakhstan,2018,2018,5.88335,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",KAZ,Kazakhstan,2019,2019,6.3,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",KAZ,Kazakhstan,2015,2015,29.84661,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",KAZ,Kazakhstan,2016,2016,32.91329,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",KAZ,Kazakhstan,2017,2017,34.03477,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",KAZ,Kazakhstan,2018,2018,39.11034,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",BEL,Belgium,2014,2014,9.20008,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",BEL,Belgium,2015,2015,9.71241,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",BEL,Belgium,2016,2016,9.29387,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",BEL,Belgium,2017,2017,8.99727,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",BEL,Belgium,2019,2019,4.5,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",UZB,Uzbekistan,2018,2018,5,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",PRT,Portugal,2014,2014,49.29341,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",PRT,Portugal,2015,2015,39.5285,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",PRT,Portugal,2016,2016,38.87019,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",PRT,Portugal,2017,2017,41.4448,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",DEU,Germany,2014,2014,70.1447,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",DEU,Germany,2015,2015,58.425,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",DEU,Germany,2016,2016,47.87618,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",ZWE,Zimbabwe,2014,2014,2.67262,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",ARE,United Arab Emirates,2016,2016,60.6,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",ARE,United Arab Emirates,2017,2017,63.63,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",ARE,United Arab Emirates,2018,2018,59.3807,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",SRB,Serbia,2015,2015,36.68219,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",ROU,Romania,2014,2014,3.9693,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",ROU,Romania,2015,2015,1.00532,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",ROU,Romania,2016,2016,1.40356,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",ROU,Romania,2017,2017,1.29841,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",ROU,Romania,2019,2019,1,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",DEU,Germany,2014,2014,58.1857,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",DEU,Germany,2015,2015,53.2378,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",DEU,Germany,2016,2016,45.8257,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",DEU,Germany,2019,2019,52.66343,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",ZWE,Zimbabwe,2014,2014,2.29541,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",LUX,Luxembourg,2015,2015,62.86577,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",LUX,Luxembourg,2017,2017,64.26898,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",BIH,Bosnia and Herzegovina,2017,2017,3.27579,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",BIH,Bosnia and Herzegovina,2019,2019,3.46017,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",SRB,Serbia,2015,2015,41.81121,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",SRB,Serbia,2016,2016,48.44579,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",SRB,Serbia,2017,2017,41.48356,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",EST,Estonia,2014,2014,32.12531,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",EST,Estonia,2015,2015,46.68256,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",EST,Estonia,2016,2016,44.7527,,
