Indicator,Country,Industry,Information and communication technologies,Sex,Measure,Time,Value,Flags
ICT specialists within and outside information industries,Denmark,Total economy,ICT-intensive,Total,Share of jobs,2012,12.31604,
ICT specialists within and outside information industries,Denmark,Total economy,ICT-intensive,Total,Share of jobs,2013,12.58653,
ICT specialists within and outside information industries,Denmark,Total economy,ICT-intensive,Total,Share of jobs,2014,12.13376,
ICT specialists within and outside information industries,Denmark,Total economy,ICT-intensive,Total,Share of jobs,2015,11.96552,
ICT specialists within and outside information industries,Denmark,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Denmark,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Denmark,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Denmark,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Denmark,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.546832,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.794681,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,4.129595,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.991983,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.527624,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,5.190574,
ICT specialists within and outside information industries,Estonia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,5.458797,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,9.727962,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,9.43588,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,10.39114,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,10.27226,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,10.03596,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,10.195,
ICT specialists within and outside information industries,Estonia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,10.30263,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,86.74242,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,86.76944,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.46248,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,85.75246,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,85.43642,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,84.61443,
ICT specialists within and outside information industries,Estonia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,84.2401,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2011,13.27479,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2012,13.23056,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2013,14.52073,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2014,14.26424,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2015,14.56358,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2016,15.38557,
ICT specialists within and outside information industries,Estonia,Total economy,ICT-intensive,Total,Share of jobs,2017,15.76142,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Estonia,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.02033,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.178921,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.30601,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.340857,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.432983,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,6.823651,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,6.936455,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,7.208715,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,7.276113,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,7.363812,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,90.15602,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,89.88458,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,89.48528,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,89.38303,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,89.2032,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,ICT-intensive,Total,Share of jobs,2011,9.843981,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,ICT-intensive,Total,Share of jobs,2012,10.11537,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,ICT-intensive,Total,Share of jobs,2013,10.51472,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,ICT-intensive,Total,Share of jobs,2014,10.61697,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,ICT-intensive,Total,Share of jobs,2015,10.7968,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,European Union (28 countries),Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,5.766526,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,5.993469,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,6.147866,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,6.059458,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,6.167345,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,6.251562,
ICT specialists within and outside information industries,Finland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,6.510158,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,8.670472,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,8.192452,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,8.091278,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,7.945932,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,8.290946,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,8.210684,
ICT specialists within and outside information industries,Finland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,8.710324,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,85.56714,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,85.80995,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.76503,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,85.99461,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,85.54171,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,85.53817,
ICT specialists within and outside information industries,Finland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,84.77911,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2011,14.437,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2012,14.18592,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2013,14.23914,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2014,14.00539,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2015,14.45829,
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2016,14.46225,
