Country,Score,Rank,On-chain value received (Rank),On-chain retail value received (Rank),P2P exchange trade volume (Rank)
Slovenia,0.03,86,70,71,99
Finland,0.03,87,68,72,101
Norway,0.03,88,71,79,93
El Salvador,0.03,89,105,101,49
Mongolia,0.03,90,95,90,68
Greece,0.03,91,61,63,121
Lithuania,0.03,92,101,89,67
Senegal,0.03,93,111,100,39
Albania,0.03,94,83,103,71
Uzbekistan,0.03,95,52,58,146
New Zealand,0.02,96,88,95,85
Jordan,0.02,97,91,84,91
Austria,0.02,98,67,65,130
Israel,0.02,99,64,86,114
United Arab Emirates,0.02,100,82,88,104
Azerbaijan,0.02,101,96,69,110
Hungary,0.02,102,72,78,128
Kazakhstan,0.02,103,75,70,138
Namibia,0.02,104,124,127,14
Uruguay,0.02,105,117,116,42
Syrian Arab Republic,0.02,106,108,93,87
Armenia,0.02,107,107,105,81
Libya,0.02,108,112,118,59
Denmark,0.02,109,89,99,119
Nicaragua,0.02,110,120,114,55
Cyprus,0.02,111,114,119,63
Ethiopia,0.02,112,115,104,84
Saudi Arabia,0.02,113,87,94,135
Bosnia and Herzegovina,0.02,114,116,113,69
Mali,0.02,115,129,123,37
Myanmar,0.02,116,104,97,129
Angola,0.02,117,130,122,41
Ireland,0.01,118,98,108,132
Puerto Rico,0.01,119,80,117,134
Haiti,0.01,120,122,121,74
Iraq,0.01,121,84,98,150
Paraguay,0.01,122,119,124,75
North Macedonia,0.01,123,118,112,102
Barbados,0.01,124,135,134,24
Trinidad and Tobago,0.01,125,126,131,57
Malta,0.01,126,109,128,105
Seychelles,0.01,127,121,143,51
Bahamas,0.01,128,131,132,60
Botswana,0.01,129,143,138,22
Montenegro,0.01,130,128,129,90
Burkina Faso,0.01,131,125,120,139
Kuwait,0.01,132,123,126,142
Tajikistan,0.01,133,133,130,124
Malawi,0.01,134,151,145,20
Cuba,0.01,135,127,125,148
Monaco,0.01,136,147,152,19
Oman,0.01,137,134,135,117
Belize,0.01,138,140,148,58
French Polynesia,0.01,139,136,133,118
Turkmenistan,0,140,132,107,156
Qatar,0,141,139,136,120
Luxembourg,0,142,137,137,140
Bahrain,0,143,138,140,127
Maldives,0,144,146,146,88
Suriname,0,145,142,142,107
Fiji,0,146,153,150,65
Iceland,0,147,144,144,145
Macao,0,148,148,139,144
Cabo Verde,0,149,145,147,136
Gabon,0,150,149,149,116
Papua New Guinea,0,151,150,151,82
New Caledonia,0,152,141,141,152
Guyana,0,153,156,155,108
"Virgin Islands, U.S.",0,154,154,153,131
Brunei Darussalam,0,155,157,154,137
Bermuda,0,156,155,156,154
Cayman Islands,0,157,152,157,149
