Region,CountryName,ISO3,IncomeGroup,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,USDex,GNIpc_LCU_monthly,GNIpc_USD.Atlas_monthly
Africa,Cape Verde,CPV,Lower middle income,3.6,1.21%,3.6,1.21%,5.04,1.69%,8.73,2.94%,16.96,5.70%,25.69,8.64%,97.31,"28,947",303
Americas,Costa Rica,CRI,Upper middle income,6.88,0.71%,6.88,0.71%,6.88,0.71%,6.88,0.71%,20.63,2.13%,34.39,3.55%,581.54,"564,171",975
Americas,Cuba,CUB,Upper middle income,5,0.76%,5,0.76%,10,1.51%,15,2.27%,40,6.04%,75,11.33%,1.00,662,623
Americas,Dominican Republic,DOM,Upper middle income,7,1.19%,7,1.19%,7,1.19%,10.5,1.78%,14.7,2.49%,14.7,2.49%,57.14,"33,744",674
Africa,Algeria,DZA,Lower middle income,2.34,0.78%,2.34,0.78%,2.34,0.78%,3.11,1.04%,4.67,1.57%,9.34,3.13%,128.43,"38,300",331
Americas,Ecuador,ECU,Upper middle income,10,2.00%,10,2.00%,10,2.00%,10,2.00%,15,3.00%,24,4.80%,1.00,500,507
Africa,Egypt,EGY,Lower middle income,0.32,0.12%,0.63,0.23%,1.26,0.47%,2.52,0.94%,5.05,1.88%,9.47,3.52%,15.85,"4,257",224
Africa,Ethiopia,ETH,Low income,1.61,2.76%,1.61,2.76%,2.93,5.01%,5.57,9.52%,11.73,20.05%,20.53,35.09%,34.10,"1,995",71
Oceania,Fiji,FJI,Upper middle income,12.82,2.72%,12.82,2.72%,12.82,2.72%,12.82,2.72%,12.82,2.72%,12.82,2.72%,2.18,"1,029",488
Africa,Gabon,GAB,Upper middle income,4.32,0.72%,4.32,0.72%,7.78,1.29%,12.1,2.01%,17.28,2.87%,25.93,4.30%,578.58,"348,593",601
Asia,Georgia,GEO,Upper middle income,0.96,0.28%,0.96,0.28%,1.6,0.46%,2.24,0.65%,4.81,1.39%,9.62,2.79%,3.12,"1,076",395
Africa,Ghana,GHA,Lower middle income,0.36,0.21%,0.76,0.45%,2.27,1.36%,4.54,2.71%,11.36,6.78%,17.89,10.67%,5.59,937,185
Africa,Guinea,GIN,Low income,4.23,5.21%,4.23,5.21%,4.23,5.21%,5.29,6.51%,10.36,12.76%,19.56,24.08%,9458.83,"768,188",79
Africa,Gambia,GMB,Low income,0.78,1.29%,2.81,4.69%,4.84,8.08%,9.59,16.00%,14.92,24.89%,25.19,42.02%,51.61,"3,094",62
Africa,Guinea-Bissau,GNB,Low income,2.77,4.38%,3.46,5.48%,4.15,6.57%,6.91,10.96%,15.56,24.65%,25.93,41.09%,578.58,"36,508",68
Africa,Equatorial Guinea,GNQ,Upper middle income,24.2,4.67%,29.38,5.67%,34.57,6.67%,69.13,13.34%,138.27,26.67%,276.54,53.34%,578.58,"299,941",538
Americas,Guatemala,GTM,Upper middle income,12.84,3.40%,12.84,3.40%,12.84,3.40%,12.84,3.40%,12.84,3.40%,19.45,5.15%,7.71,"2,914",384
Americas,Guyana,GUY,Upper middle income,18.23,4.08%,18.23,4.08%,18.23,4.08%,18.23,4.08%,30.7,6.88%,54.68,12.25%,208.50,"93,052",432
Americas,Honduras,HND,Lower middle income,16.2,8.23%,16.2,8.23%,16.2,8.23%,19.24,9.78%,22.89,11.63%,40.51,20.58%,24.69,"4,858",199
Americas,Haiti,HTI,Low income,1.69,3.42%,1.69,3.42%,1.69,3.42%,1.69,3.42%,2.7,5.48%,4.61,9.36%,106.67,"5,258",66
Asia,Indonesia,IDN,Upper middle income,3.7,1.16%,3.7,1.16%,3.7,1.16%,4.24,1.33%,4.24,1.33%,6.73,2.11%,14854.07,"4,729,860",338
Asia,India,IND,Lower middle income,1.72,1.05%,1.72,1.05%,1.72,1.05%,1.72,1.05%,2.65,1.62%,2.65,1.62%,75.13,"12,297",178
Asia,Iran,IRN,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42000.00,"15,850,876",452
Americas,Jamaica,JAM,Upper middle income,11.84,2.85%,11.84,2.85%,11.84,2.85%,11.84,2.85%,11.84,2.85%,23.68,5.71%,143.56,"59,589",438
Asia,Jordan,JOR,Upper middle income,12.68,3.54%,12.68,3.54%,12.68,3.54%,12.68,3.54%,12.68,3.54%,12.68,3.54%,0.71,254,358
Asia,Kazakhstan,KAZ,Upper middle income,2.37,0.36%,2.37,0.36%,2.37,0.36%,2.37,0.36%,3.56,0.55%,4.76,0.73%,418.01,"271,980",734
Africa,Kenya,KEN,Lower middle income,1.31,0.93%,2.33,1.65%,3.69,2.62%,4.66,3.31%,9.33,6.61%,18.65,13.22%,107.22,"15,128",146
Asia,Kyrgyzstan,KGZ,Lower middle income,1.29,1.42%,1.29,1.42%,1.93,2.12%,2.32,2.55%,4.44,4.89%,4.44,4.89%,77.67,"7,059",103
Asia,Cambodia,KHM,Lower middle income,1,0.81%,1,0.81%,2,1.62%,3,2.42%,5,4.04%,9,7.27%,1.00,"508,095",123
Asia,Laos,LAO,Lower middle income,1.11,0.54%,2.23,1.08%,4.46,2.16%,4.46,2.16%,4.46,2.16%,6.69,3.24%,8974.42,"1,854,181",214
Asia,Lebanon,LBN,Upper middle income,10,1.55%,10,1.55%,21.89,3.39%,26,4.02%,26,4.02%,33,5.11%,1.00,"973,874",633
Africa,Liberia,LBR,Low income,2,4.35%,2,4.35%,4,8.70%,6,13.04%,8,17.39%,16,34.78%,1.00,46,48
Africa,Libya,LBY,Upper middle income,2.84,0.44%,8.53,1.32%,11.38,1.76%,17.07,2.63%,17.78,2.74%,17.78,2.74%,1.41,911,637
Asia,Sri Lanka,LKA,Lower middle income,0.82,0.28%,0.82,0.28%,0.82,0.28%,1.02,0.35%,2.22,0.75%,4.08,1.38%,188.97,"55,741",335
Africa,Lesotho,LSO,Lower middle income,3.21,3.52%,3.9,4.28%,4.13,4.53%,5.74,6.29%,10.04,11.01%,14.35,15.72%,17.43,"1,590",113
Africa,Morocco,MAR,Lower middle income,2.08,0.79%,2.08,0.79%,2.08,0.79%,3.12,1.19%,5.2,1.98%,10.4,3.97%,9.61,"2,519",266
Africa,Madagascar,MDG,Low income,2.62,6.56%,3.15,7.88%,5.51,13.78%,6.56,16.41%,16.4,41.02%,30.18,75.47%,3810.00,"152,378",43
Americas,Mexico,MEX,Upper middle income,8.8,1.30%,8.8,1.30%,8.8,1.30%,8.8,1.30%,17.59,2.60%,35.18,5.21%,22.74,"15,365",786
Africa,Mali,MLI,Low income,1.21,1.65%,3.46,4.72%,3.46,4.72%,6.05,8.26%,8.64,11.80%,17.28,23.61%,578.58,"42,361",73
Asia,Myanmar,MMR,Lower middle income,0.51,0.40%,0.58,0.46%,0.94,0.75%,1.88,1.50%,4.34,3.46%,8.47,6.75%,1379.60,"173,153",116
Asia,Mongolia,MNG,Lower middle income,5.85,1.95%,5.85,1.95%,5.85,1.95%,5.85,1.95%,5.85,1.95%,9.92,3.31%,2822.73,"845,909",315
Africa,Mozambique,MOZ,Low income,1.15,3.20%,1.72,4.80%,2.58,7.19%,4.29,11.99%,7.16,19.98%,14.31,39.97%,69.86,"2,502",40
Africa,Mauritius,MUS,High income,4.9,0.54%,4.9,0.54%,4.9,0.54%,7.47,0.82%,12.47,1.37%,24.95,2.73%,40.01,"36,529","1,062"
Africa,Malawi,MWI,Low income,1.61,4.80%,3.22,9.61%,4.69,14.01%,6.7,20.02%,14.08,42.04%,20.78,62.06%,745.96,"24,976",32
Asia,Malaysia,MYS,Upper middle income,5.86,0.65%,5.86,0.65%,5.86,0.65%,5.86,0.65%,6.57,0.73%,6.57,0.73%,4.26,"3,827",933
Africa,Namibia,NAM,Upper middle income,2.57,0.77%,6.62,1.99%,6.62,1.99%,6.62,1.99%,9.94,2.99%,11.1,3.34%,17.43,"5,801",422
Africa,Niger,NER,Low income,3.46,7.50%,3.46,7.50%,3.46,7.50%,6.05,13.12%,12.1,26.24%,13.83,29.99%,578.58,"26,673",47
Africa,Nigeria,NGA,Lower middle income,2.7,1.71%,2.7,1.71%,2.7,1.71%,3.24,2.05%,6.75,4.28%,9.45,5.99%,370.37,"58,415",169
Americas,Nicaragua,NIC,Lower middle income,8.18,5.44%,8.18,5.44%,8.18,5.44%,8.18,5.44%,8.18,5.44%,10.23,6.80%,34.21,"5,144",159
Asia,Nepal,NPL,Lower middle income,2.16,2.55%,2.16,2.55%,2.16,2.55%,2.16,2.55%,4.15,4.91%,5.82,6.87%,120.35,"10,191",91
Asia,Pakistan,PAK,Lower middle income,0.48,0.51%,0.48,0.51%,0.48,0.51%,0.48,0.51%,1.45,1.54%,2.42,2.57%,165.26,"15,594",128
Americas,Peru,PER,Upper middle income,8.23,1.51%,8.23,1.51%,8.23,1.51%,8.23,1.51%,10.28,1.89%,20.56,3.78%,3.40,"1,850",562
Asia,Philippines,PHL,Lower middle income,4.23,1.27%,4.23,1.27%,4.23,1.27%,6.02,1.81%,7.04,2.12%,7.24,2.18%,49.70,"16,539",321
Oceania,Papua New Guinea,PNG,Lower middle income,24.26,10.69%,24.26,10.69%,24.26,10.69%,28.88,12.72%,43.32,19.08%,57.76,25.45%,3.46,786,232
Americas,Paraguay,PRY,Upper middle income,6.2,1.55%,6.2,1.55%,6.2,1.55%,6.2,1.55%,0.83,0.21%,8.86,2.21%,6774.14,"2,712,791",459
Africa,Rwanda,RWA,Low income,1.06,1.72%,2.13,3.44%,2.13,3.44%,4.26,6.88%,8.51,13.75%,10.64,17.19%,939.97,"58,162",68
Africa,Sudan,SDN,Low income,0.9,2.30%,0.9,2.30%,0.9,2.30%,1.62,4.15%,3.81,9.73%,4.78,12.22%,55.00,"2,152",49
Africa,Senegal,SEN,Lower middle income,2.42,2.03%,3.28,2.76%,3.28,2.76%,3.28,2.76%,6.91,5.81%,8.99,7.56%,578.58,"68,800",121
Oceania,Solomon Islands,SLB,Lower middle income,19.95,11.97%,19.95,11.97%,19.95,11.97%,19.95,11.97%,33.86,20.30%,33.86,20.30%,8.27,"1,379",171
Africa,Sierra Leone,SLE,Low income,0.81,2.26%,2.04,5.64%,3.87,10.73%,5.63,15.60%,16.88,46.80%,28.14,78.01%,9773.37,"352,538",42
Americas,El Salvador,SLV,Lower middle income,10,3.01%,10,3.01%,10,3.01%,10,3.01%,10,3.01%,15,4.52%,1.00,332,333
Africa,Somalia,SOM,Low income,4,NA,4,NA,4,NA,4,NA,4,NA,7,NA,1.00,n.a.,n.a.
Africa,South Sudan,SSD,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.75,295,91
Americas,Surinam,SUR,Upper middle income,11.39,2.34%,11.39,2.34%,11.39,2.34%,11.39,2.34%,17.79,3.65%,17.79,3.65%,7.81,"3,808",462
Africa,Chad,TCD,Low income,4.32,7.33%,6.91,11.73%,8.64,14.66%,12.1,20.52%,17.28,29.32%,27.65,46.91%,578.58,"34,111",58
Africa,Togo,TGO,Low income,2.42,4.23%,4.32,7.55%,8.64,15.10%,10.37,18.12%,20.74,36.24%,31.11,54.37%,578.58,"33,109",58
Asia,Thailand,THA,Upper middle income,6.29,1.02%,6.29,1.02%,6.29,1.02%,7.55,1.23%,13.28,2.16%,15.05,2.45%,31.64,"19,457",605
Asia,Tajikistan,TJK,Low income,0.97,1.24%,2.73,3.48%,2.92,3.73%,5.75,7.33%,14.32,18.26%,24.35,31.06%,10.27,805,86
Asia,Timor-Leste,TLS,Lower middle income,4.2,2.68%,4.2,2.68%,4.2,2.68%,6.15,3.92%,13,8.28%,25,15.92%,1.00,157,158
Americas,Trinidad and Tobago,TTO,High income,33.17,2.33%,33.17,2.33%,33.17,2.33%,33.17,2.33%,33.17,2.33%,41.51,2.91%,6.75,"9,613","1,408"
Africa,Tunisia,TUN,Lower middle income,3.53,1.28%,3.53,1.28%,3.53,1.28%,3.53,1.28%,5.3,1.92%,8.84,3.20%,2.83,782,280
Asia,Turkey,TUR,Upper middle income,4.27,0.71%,4.27,0.71%,4.27,0.71%,5.68,0.95%,5.68,0.95%,5.68,0.95%,7.03,"4,205",801
Africa,Tanzania,TZA,Lower middle income,4.36,4.77%,4.36,4.77%,4.36,4.77%,5.23,5.72%,6.54,7.15%,13.07,14.31%,2294.85,"209,674",90
Africa,Uganda,UGA,Low income,1.47,2.34%,2.28,3.61%,3.75,5.95%,5.36,8.49%,10.72,16.99%,13.4,21.24%,3731.88,"235,444",65
Europe,Ukraine,UKR,Lower middle income,4.59,1.54%,4.59,1.54%,4.59,1.54%,4.59,1.54%,6.42,2.15%,6.42,2.15%,27.26,"8,124",281
Asia,Uzbekistan,UZB,Lower middle income,0.88,0.69%,1.96,1.54%,2.17,1.71%,2.17,1.71%,4.44,3.49%,9.86,7.76%,10144.80,"1,289,324",150
NA,Venezuela,VEN,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asia,Vietnam,VNM,Lower middle income,2.15,1.04%,2.15,1.04%,2.15,1.04%,2.15,1.04%,3.87,1.87%,5.16,2.49%,23244.64,"4,824,407",212
NA,Yemen,YEM,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,ZAF,Upper middle income,1.38,0.34%,4.53,1.13%,5.68,1.41%,11.36,2.82%,20.02,4.97%,26.91,6.68%,17.43,"7,022",503
Africa,Zambia,ZMB,Lower middle income,2.13,2.92%,2.67,3.65%,2.67,3.65%,5.33,7.30%,5.33,7.30%,10.67,14.61%,18.75,"1,369",121
Africa,Zimbabwe,ZWE,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.53,113,116
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
