Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Czech Republic,CZE,..,..,..,..,5,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Denmark,DNK,..,..,..,..,8,8,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Djibouti,DJI,..,..,..,..,1,1,1,1,1,5,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Dominica,DMA,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Dominican Republic,DOM,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ecuador,ECU,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Egypt, Arab Rep.",EGY,..,..,..,..,2,2,2,2,2,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,El Salvador,SLV,..,..,..,..,3,3,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Equatorial Guinea,GNQ,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Eritrea,ERI,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Estonia,EST,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Eswatini,SWZ,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ethiopia,ETH,..,..,..,..,3,3,3,3,3,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Fiji,FJI,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Finland,FIN,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,France,FRA,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Gabon,GAB,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Gambia, The",GMB,..,..,..,..,4,4,4,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Georgia,GEO,..,..,..,..,9,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Germany,DEU,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ghana,GHA,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Greece,GRC,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Grenada,GRD,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Guatemala,GTM,..,..,..,..,9,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Guinea,GIN,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Guinea-Bissau,GNB,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Guyana,GUY,..,..,..,..,3,3,3,3,3,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Haiti,HTI,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Honduras,HND,..,..,..,..,9,8,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Hong Kong SAR, China",HKG,..,..,..,..,7,7,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Hungary,HUN,..,..,..,..,6,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Iceland,ISL,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,India,IND,..,..,..,..,6,6,6,6,8,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Indonesia,IDN,..,..,..,..,4,4,5,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Iran, Islamic Rep.",IRN,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Iraq,IRQ,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ireland,IRL,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Israel,ISR,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Italy,ITA,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Jamaica,JAM,..,..,..,..,6,10,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Japan,JPN,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Jordan,JOR,..,..,..,..,0,0,0,0,0,0,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kazakhstan,KAZ,..,..,..,..,3,3,4,4,6,6,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kenya,KEN,..,..,..,..,7,7,7,7,7,10,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kiribati,KIR,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Korea, Rep.",KOR,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kosovo,XKX,..,..,..,..,9,9,9,9,11,11,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kuwait,KWT,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Kyrgyz Republic,KGZ,..,..,..,..,8,8,8,8,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Lao PDR,LAO,..,..,..,..,2,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Latvia,LVA,..,..,..,..,9,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Lebanon,LBN,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Lesotho,LSO,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Liberia,LBR,..,..,..,..,5,5,9,9,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Libya,LBY,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Lithuania,LTU,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Luxembourg,LUX,..,..,..,..,3,3,3,3,3,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Madagascar,MDG,..,..,..,..,1,1,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Malawi,MWI,..,..,..,..,5,5,5,9,11,11,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Malaysia,MYS,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Maldives,MDV,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mali,MLI,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Malta,MLT,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Marshall Islands,MHL,..,..,..,..,10,10,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mauritania,MRT,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mauritius,MUS,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mexico,MEX,..,..,..,..,7,8,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Micronesia, Fed. Sts.",FSM,..,..,..,..,10,10,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Moldova,MDA,..,..,..,..,8,8,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mongolia,MNG,..,..,..,..,5,5,5,5,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Montenegro,MNE,..,..,..,..,12,12,12,12,12,12,12,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Morocco,MAR,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Mozambique,MOZ,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Myanmar,MMR,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Namibia,NAM,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Nepal,NPL,..,..,..,..,6,6,6,6,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Netherlands,NLD,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,New Zealand,NZL,..,..,..,..,12,12,12,12,12,12,12,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Nicaragua,NIC,..,..,..,..,1,1,1,1,1,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Niger,NER,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Nigeria,NGA,..,..,..,..,6,6,6,6,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,North Macedonia,MKD,..,..,..,..,6,6,6,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Norway,NOR,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Oman,OMN,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Pakistan,PAK,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Palau,PLW,..,..,..,..,10,10,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Panama,PAN,..,..,..,..,4,7,7,7,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Papua New Guinea,PNG,..,..,..,..,3,3,3,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Paraguay,PRY,..,..,..,..,2,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Peru,PER,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Philippines,PHL,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Poland,POL,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Portugal,PRT,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Puerto Rico,PRI,..,..,..,..,11,11,11,11,12,12,12,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Qatar,QAT,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Romania,ROU,..,..,..,..,9,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Russian Federation,RUS,..,..,..,..,4,4,7,7,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Rwanda,RWA,..,..,..,..,9,10,10,10,10,11,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Samoa,WSM,..,..,..,..,5,5,5,5,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,San Marino,SMR,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sao Tome and Principe,STP,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Saudi Arabia,SAU,..,..,..,..,1,1,1,1,1,1,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Senegal,SEN,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Serbia,SRB,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Seychelles,SYC,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sierra Leone,SLE,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Singapore,SGP,..,..,..,..,8,8,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Slovak Republic,SVK,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Slovenia,SVN,..,..,..,..,3,3,3,3,3,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Solomon Islands,SLB,..,..,..,..,10,10,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Somalia,SOM,..,..,..,..,..,..,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,South Africa,ZAF,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,South Sudan,SSD,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Spain,ESP,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sri Lanka,LKA,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,St. Kitts and Nevis,KNA,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,St. Lucia,LCA,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,St. Vincent and the Grenadines,VCT,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sudan,SDN,..,..,..,..,3,3,3,3,3,5,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Suriname,SUR,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Sweden,SWE,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Switzerland,CHE,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Syrian Arab Republic,SYR,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Tajikistan,TJK,..,..,..,..,1,1,1,1,1,1,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Tanzania,TZA,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Thailand,THA,..,..,..,..,3,3,3,3,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Timor-Leste,TLS,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Togo,TGO,..,..,..,..,6,6,6,6,6,6,6,..
