Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Ethiopia,Finland,France,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kosovo,Kyrgyz Republic,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe,data_country,data_year
1.5 Government powers are subject to non-governmental checks,0.57,0.51,0.41,0.41,0.59,0.67,0.77,0.84,0.71,0.26,0.72,0.21,0.80,0.52,0.48,0.48,0.44,0.59,0.52,0.60,0.60,0.29,0.36,0.84,0.72,0.11,0.55,0.39,0.28,0.82,0.33,0.63,0.62,0.74,0.96,0.53,0.63,0.55,0.06,0.51,0.79,0.30,0.90,0.71,0.63,0.67,0.84,0.72,0.68,0.63,0.61,0.50,0.59,0.49,0.45,0.50,0.49,0.56,0.66,0.19,0.79,0.70,0.67,0.73,0.40,0.36,0.52,0.66,0.58,0.57,0.71,0.54,0.58,0.74,0.81,0.47,0.59,0.50,0.55,0.67,0.35,0.62,0.49,0.53,0.62,0.46,0.40,0.33,0.73,0.62,0.85,0.84,0.34,0.40,0.47,0.50,0.95,0.53,0.67,0.63,0.67,0.49,0.59,0.80,0.66,0.37,0.46,0.63,0.46,0.54,0.47,0.73,0.70,0.71,0.72,0.62,0.64,0.63,0.61,0.52,0.58,0.85,0.41,0.49,0.40,0.64,0.63,0.24,0.38,0.61,0.33,0.83,0.71,0.78,0.39,0.24,0.40,0.38,0.26,0.57,
1.6 Transition of power is subject to the law,0.33,0.45,0.47,0.44,0.76,0.76,0.92,0.96,0.80,0.30,0.82,0.21,0.90,0.61,0.72,0.47,0.51,0.72,0.61,0.52,0.66,0.29,0.36,0.95,0.88,0.24,0.61,0.41,0.45,0.91,0.41,0.72,0.79,0.86,0.98,0.56,0.58,0.51,0.34,0.58,0.91,0.32,0.98,0.88,0.79,0.56,0.96,0.73,0.87,0.69,0.63,0.45,0.61,0.41,0.27,0.57,0.49,0.73,0.72,0.43,0.93,0.79,0.75,0.83,0.38,0.38,0.47,0.84,0.59,0.45,0.80,0.48,0.63,0.86,0.88,0.48,0.65,0.58,0.55,0.86,0.45,0.71,0.60,0.53,0.56,0.55,0.42,0.56,0.73,0.65,0.91,0.94,0.21,0.47,0.49,0.52,0.98,0.49,0.77,0.67,0.74,0.51,0.72,0.91,0.70,0.36,0.71,0.71,0.43,0.56,0.75,0.89,0.78,0.73,0.85,0.67,0.69,0.72,0.66,0.49,0.54,0.92,0.52,0.38,0.36,0.71,0.75,0.33,0.34,0.64,0.53,0.86,0.72,0.91,0.46,0.19,0.44,0.44,0.24,0.33,
Factor 2: Absence of Corruption,0.30,0.37,0.45,0.44,0.59,0.48,0.81,0.82,0.64,0.35,0.69,0.51,0.80,0.43,0.38,0.27,0.42,0.58,0.43,0.44,0.43,0.23,0.25,0.82,0.69,0.53,0.39,0.16,0.31,0.65,0.35,0.56,0.68,0.65,0.95,0.60,0.39,0.41,0.38,0.36,0.80,0.46,0.89,0.74,0.47,0.68,0.83,0.39,0.56,0.66,0.33,0.27,0.45,0.28,0.31,0.85,0.49,0.40,0.40,0.40,0.80,0.64,0.55,0.82,0.59,0.49,0.27,0.67,0.46,0.30,0.66,0.36,0.31,0.69,0.87,0.27,0.43,0.58,0.32,0.68,0.30,0.58,0.26,0.36,0.43,0.42,0.36,0.44,0.52,0.41,0.87,0.88,0.32,0.40,0.32,0.45,0.94,0.31,0.41,0.30,0.32,0.44,0.72,0.72,0.55,0.42,0.65,0.54,0.43,0.36,0.91,0.51,0.66,0.48,0.74,0.49,0.65,0.63,0.69,0.40,0.44,0.90,0.42,0.47,0.43,0.49,0.48,0.46,0.26,0.33,0.80,0.82,0.72,0.73,0.46,0.29,0.41,0.36,0.31,0.30,
2.1 Government officials in the executive branch do not use public office for private gain,0.34,0.39,0.39,0.35,0.55,0.44,0.77,0.78,0.55,0.39,0.63,0.41,0.79,0.36,0.44,0.36,0.37,0.54,0.38,0.42,0.44,0.27,0.27,0.78,0.62,0.52,0.42,0.23,0.34,0.64,0.32,0.49,0.65,0.60,0.93,0.48,0.39,0.42,0.39,0.33,0.75,0.41,0.90,0.73,0.41,0.58,0.82,0.37,0.51,0.63,0.34,0.28,0.42,0.28,0.34,0.82,0.40,0.40,0.48,0.34,0.80,0.57,0.49,0.80,0.56,0.46,0.28,0.71,0.46,0.35,0.65,0.33,0.31,0.65,0.87,0.32,0.38,0.55,0.39,0.56,0.29,0.59,0.31,0.35,0.41,0.49,0.34,0.52,0.45,0.47,0.83,0.87,0.37,0.38,0.30,0.39,0.93,0.37,0.44,0.34,0.36,0.46,0.63,0.65,0.50,0.40,0.72,0.47,0.42,0.35,0.91,0.58,0.62,0.39,0.68,0.46,0.50,0.54,0.62,0.44,0.39,0.87,0.48,0.44,0.47,0.45,0.51,0.43,0.28,0.31,0.78,0.84,0.71,0.65,0.42,0.29,0.46,0.37,0.30,0.34,
2.2 Government officials in the judicial branch do not use public office for private gain,0.18,0.33,0.56,0.53,0.80,0.64,0.95,0.93,0.82,0.35,0.90,0.71,0.94,0.64,0.44,0.20,0.53,0.79,0.71,0.58,0.49,0.14,0.28,0.95,0.85,0.53,0.53,0.16,0.41,0.79,0.40,0.71,0.90,0.87,0.99,0.87,0.49,0.40,0.44,0.50,0.95,0.40,0.98,0.90,0.57,0.72,0.95,0.56,0.81,0.79,0.43,0.25,0.61,0.38,0.35,0.94,0.67,0.48,0.33,0.51,0.98,0.81,0.82,0.98,0.72,0.58,0.46,0.87,0.46,0.35,0.81,0.45,0.31,0.83,0.95,0.25,0.54,0.76,0.22,0.88,0.38,0.80,0.31,0.41,0.53,0.41,0.38,0.24,0.83,0.37,0.97,0.96,0.27,0.47,0.47,0.51,0.98,0.36,0.46,0.42,0.44,0.41,0.87,0.87,0.71,0.54,0.61,0.62,0.50,0.36,0.90,0.57,0.78,0.73,0.88,0.62,0.89,0.89,0.84,0.42,0.66,0.97,0.42,0.70,0.44,0.70,0.48,0.57,0.33,0.48,0.88,0.96,0.89,0.91,0.45,0.15,0.37,0.51,0.42,0.18,
2.3 Government officials in the police and the military do not use public office for private gain,0.42,0.53,0.47,0.48,0.70,0.60,0.90,0.93,0.77,0.29,0.81,0.63,0.88,0.54,0.46,0.29,0.57,0.73,0.58,0.63,0.55,0.22,0.25,0.88,0.81,0.67,0.52,0.19,0.29,0.75,0.44,0.75,0.75,0.79,0.98,0.74,0.47,0.55,0.42,0.53,0.91,0.47,0.97,0.85,0.49,0.89,0.91,0.36,0.73,0.74,0.50,0.32,0.43,0.36,0.45,0.88,0.68,0.42,0.50,0.51,0.84,0.86,0.61,0.94,0.77,0.54,0.26,0.77,0.62,0.36,0.72,0.52,0.38,0.75,0.88,0.35,0.41,0.62,0.32,0.82,0.25,0.60,0.33,0.51,0.64,0.43,0.38,0.44,0.53,0.59,0.90,0.92,0.47,0.45,0.33,0.67,0.96,0.28,0.56,0.32,0.39,0.50,0.87,0.87,0.73,0.52,0.70,0.68,0.55,0.36,0.94,0.56,0.77,0.57,0.89,0.57,0.77,0.70,0.78,0.39,0.53,0.96,0.37,0.47,0.45,0.57,0.58,0.66,0.24,0.43,0.84,0.86,0.81,0.82,0.43,0.36,0.45,0.35,0.31,0.42,
2.4 Government officials in the legislative branch do not use public office for private gain,0.25,0.22,0.37,0.38,0.32,0.25,0.59,0.63,0.41,0.37,0.40,0.29,0.61,0.18,0.19,0.24,0.24,0.29,0.06,0.14,0.25,0.30,0.19,0.68,0.48,0.41,0.10,0.08,0.19,0.42,0.24,0.26,0.40,0.33,0.91,0.30,0.22,0.27,0.27,0.08,0.58,0.55,0.72,0.49,0.39,0.51,0.63,0.26,0.19,0.47,0.05,0.23,0.34,0.10,0.10,0.75,0.23,0.31,0.28,0.25,0.60,0.31,0.26,0.57,0.31,0.36,0.08,0.31,0.31,0.13,0.47,0.13,0.25,0.54,0.76,0.16,0.38,0.38,0.36,0.46,0.26,0.33,0.10,0.15,0.16,0.37,0.36,0.55,0.27,0.21,0.80,0.76,0.19,0.28,0.17,0.24,0.90,0.22,0.19,0.13,0.09,0.40,0.51,0.49,0.27,0.23,0.56,0.41,0.26,0.35,0.89,0.32,0.47,0.23,0.49,0.32,0.43,0.41,0.52,0.34,0.19,0.81,0.40,0.26,0.37,0.26,0.36,0.18,0.20,0.08,0.71,0.64,0.47,0.53,0.53,0.37,0.36,0.22,0.23,0.25,
Factor 3: Open Government ,0.39,0.47,0.35,0.39,0.54,0.62,0.80,0.70,0.52,0.42,0.53,0.33,0.78,0.44,0.39,0.43,0.47,0.48,0.60,0.56,0.48,0.26,0.32,0.80,0.70,0.38,0.62,0.33,0.36,0.70,0.37,0.60,0.61,0.68,0.87,0.50,0.53,0.51,0.22,0.51,0.80,0.33,0.87,0.76,0.37,0.59,0.80,0.49,0.61,0.44,0.51,0.36,0.44,0.38,0.42,0.73,0.44,0.60,0.54,0.28,0.80,0.63,0.56,0.70,0.40,0.46,0.49,0.71,0.55,0.52,0.74,0.42,0.44,0.73,0.79,0.46,0.45,0.41,0.45,0.63,0.29,0.52,0.60,0.57,0.50,0.43,0.37,0.36,0.58,0.52,0.82,0.82,0.38,0.36,0.42,0.50,0.89,0.42,0.58,0.58,0.54,0.50,0.59,0.66,0.62,0.49,0.59,0.43,0.46,0.38,0.63,0.69,0.65,0.63,0.70,0.52,0.45,0.48,0.52,0.40,0.38,0.86,0.37,0.49,0.30,0.56,0.50,0.40,0.38,0.57,0.35,0.79,0.75,0.72,0.37,0.28,0.46,0.38,0.32,0.39,
3.1. Publicized laws and government data ,0.23,0.45,0.23,0.15,0.31,0.68,0.90,0.70,0.32,0.35,0.27,0.22,0.71,0.35,0.30,0.31,0.42,0.21,0.71,0.55,0.33,0.20,0.20,0.87,0.66,0.46,0.65,0.16,0.20,0.48,0.20,0.55,0.63,0.67,0.87,0.38,0.35,0.39,0.34,0.41,0.87,0.23,0.91,0.83,0.16,0.52,0.75,0.25,0.56,0.25,0.31,0.17,0.28,0.27,0.28,0.75,0.53,0.56,0.37,0.34,0.87,0.61,0.38,0.75,0.34,0.52,0.31,0.70,0.49,0.52,0.80,0.26,0.17,0.79,0.82,0.34,0.17,0.32,0.25,0.65,0.20,0.56,0.67,0.62,0.40,0.38,0.19,0.18,0.33,0.31,0.78,0.86,0.33,0.21,0.19,0.49,0.88,0.26,0.41,0.49,0.38,0.43,0.57,0.55,0.60,0.57,0.59,0.33,0.53,0.09,0.80,0.64,0.68,0.54,0.71,0.44,0.23,0.27,0.25,0.27,0.32,0.78,0.25,0.45,0.21,0.40,0.38,0.47,0.15,0.61,0.37,0.90,0.77,0.72,0.26,0.18,0.53,0.27,0.17,0.23,
3.2 Right to information,0.38,0.45,0.35,0.41,0.60,0.50,0.68,0.63,0.46,0.54,0.53,0.32,0.70,0.39,0.33,0.41,0.48,0.51,0.61,0.46,0.51,0.22,0.32,0.66,0.71,0.48,0.58,0.33,0.44,0.75,0.45,0.59,0.56,0.63,0.83,0.53,0.56,0.48,0.10,0.55,0.78,0.38,0.80,0.69,0.35,0.66,0.74,0.41,0.60,0.38,0.53,0.34,0.41,0.38,0.44,0.78,0.38,0.58,0.54,0.31,0.69,0.62,0.59,0.64,0.57,0.43,0.40,0.75,0.49,0.52,0.69,0.45,0.42,0.67,0.71,0.46,0.44,0.37,0.45,0.46,0.33,0.38,0.59,0.55,0.49,0.46,0.35,0.40,0.53,0.53,0.75,0.74,0.28,0.33,0.37,0.49,0.88,0.35,0.56,0.55,0.57,0.64,0.50,0.60,0.54,0.41,0.59,0.47,0.45,0.38,0.58,0.65,0.60,0.54,0.64,0.45,0.40,0.48,0.57,0.29,0.27,0.92,0.43,0.44,0.26,0.51,0.50,0.47,0.42,0.51,0.30,0.67,0.71,0.64,0.30,0.24,0.34,0.45,0.36,0.38,
