2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Country Code,Indicator Name,Indicator Code,
,,,,,,,0.412,0.42040342092514,,0.427129328250885,Afghanistan,AFG,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
,,,,,,,0.403,0.405301719903946,,0.412617266178131,Afghanistan,AFG,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
,,,,,,,4.87,4.94978761672974,,5.05283832550049,Afghanistan,AFG,Learning-Adjusted Years of School,HD.HCI.LAYS,
,,,,,,,3.77,3.80719375610352,,3.87448787689209,Afghanistan,AFG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
,,,,,,,5.27,5.46374702453613,,5.52743482589722,Afghanistan,AFG,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
0.912048280239105,,,,,,,0.9321,0.935266137123108,,0.937723577022552,Afghanistan,AFG,Probability of Survival to Age 5,HD.HCI.MORT,
0.915823578834534,,,,,,,0.9363,0.938916444778442,,0.941324710845947,Afghanistan,AFG,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
0.908484041690826,,,,,,,0.9282,0.931880831718445,,0.934254705905914,Afghanistan,AFG,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
0.747581243515015,,,,,,,0.7797,0.780381858348846,,0.78774082660675,Afghanistan,AFG,Survival Rate from Age 15-60,HD.HCI.AMRT,
0.771392226219177,,,,,,,0.8018,0.803774476051331,,0.811160564422607,Afghanistan,AFG,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
0.725200176239014,,,,,,,0.7597,0.758775651454926,,0.766116201877594,Afghanistan,AFG,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
11.6156501770019,,,,,,,12.99,12.8855075836182,,12.8893814086914,Albania,ALB,Expected Years of School,HD.HCI.EYRS,
11.6912155151367,,,,,,,12.89,13.2017545700073,,13.2685985565185,Albania,ALB,"Expected Years of School, Female",HD.HCI.EYRS.FE,
11.547945022583,,,,,,,13.08,12.6108322143555,,12.5587759017944,Albania,ALB,"Expected Years of School, Male",HD.HCI.EYRS.MA,
0.76812469959259,,,,,,,0.7681,0.886766493320465,,0.886766493320465,Albania,ALB,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
0.763706684112549,,,,,,,0.7637,0.889984011650085,,0.889984011650085,Albania,ALB,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
0.772571802139282,,,,,,,0.7726,0.883676111698151,,0.883676111698151,Albania,ALB,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
397.226867675781,,,,,,,429,429.329010009766,,434.127593994141,Albania,ALB,Harmonized Test Scores,HD.HCI.HLOS,
414.986541748047,,,,,,,445,445.010406494141,,444.322265625,Albania,ALB,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
380.352081298828,,,,,,,414,413.584289550781,,424.344635009766,Albania,ALB,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
0.54360294342041,,,,,,,0.621,0.628666281700134,,0.634250938892365,Albania,ALB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
0.56527054309845,,,,,,,0.637,0.662464320659637,,0.664508581161499,Albania,ALB,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
0.553243279457092,,,,,,,0.624,0.648584246635437,,0.653056144714355,Albania,ALB,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
0.577517807483673,,,,,,,0.65,0.675915539264679,,0.675461173057556,Albania,ALB,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
0.532257914543152,,,,,,,0.608,0.615919411182404,,0.624725520610809,Albania,ALB,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
0.523979902267456,,,,,,,0.606,0.598655641078949,,0.608002722263336,Albania,ALB,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
0.50961297750473,,,,,,,0.589,0.582826256752014,,0.595432937145233,Albania,ALB,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
0.538223922252655,,,,,,,0.622,0.613888561725616,,0.619630217552185,Albania,ALB,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
0.554806232452393,,,,,,,0.634,0.64091557264328,,0.643478035926819,Albania,ALB,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
7.38247776031494,,,,,,,8.92,8.85139560699463,,8.95301818847656,Albania,ALB,Learning-Adjusted Years of School,HD.HCI.LAYS,
7.76271533966065,,,,,,,9.18,9.39986896514893,,9.43285369873047,Albania,ALB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
7.02765560150146,,,,,,,8.66,8.34502792358398,,8.52679920196533,Albania,ALB,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
0.986695349216461,,,,,,,0.9912,0.990977764129639,,0.991176664829254,Albania,ALB,Probability of Survival to Age 5,HD.HCI.MORT,
0.987757682800293,,,,,,,0.9919,0.991616129875183,,0.991797208786011,Albania,ALB,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
0.985683441162109,,,,,,,0.9905,0.990374684333801,,0.990582585334778,Albania,ALB,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
0.918709218502045,,,,,,,0.9365,0.927792549133301,,0.929365992546082,Albania,ALB,Survival Rate from Age 15-60,HD.HCI.AMRT,
0.944311022758484,,,,,,,0.9503,0.950116038322449,,0.950911700725555,Albania,ALB,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
0.893816351890564,,,,,,,0.9227,0.905549943447113,,0.907820880413055,Albania,ALB,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
11.3269014358521,,,,,,,11.42,11.7753181457519,,11.8480348587036,Algeria,DZA,Expected Years of School,HD.HCI.EYRS,
11.6297826766968,,,,,,,11.84,12.1089897155762,,12.2455883026123,Algeria,DZA,"Expected Years of School, Female",HD.HCI.EYRS.FE,
10.9763736724853,,,,,,,11.01,11.4427652359009,,11.4679260253906,Algeria,DZA,"Expected Years of School, Male",HD.HCI.EYRS.MA,
0.845544934272766,,,,,,,0.8831,0.883103966712952,,0.883103966712952,Algeria,DZA,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
0.857715368270874,,,,,,,0.8929,0.892887473106384,,0.892887473106384,Algeria,DZA,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
0.833792507648468,,,,,,,0.8737,0.873736202716827,,0.873736202716827,Algeria,DZA,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
397.405700683594,,,,,,,374,374.089080810547,,374.089080810547,Algeria,DZA,Harmonized Test Scores,HD.HCI.HLOS,
396.205322265625,,,,,,,383,383.370758056641,,383.370758056641,Algeria,DZA,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
398.566650390625,,,,,,,366,365.758361816406,,365.758361816406,Algeria,DZA,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
0.531282901763916,,,,,,,0.523,0.531993925571442,,0.534556448459625,Algeria,DZA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
0.542771279811859,,,,,,,0.545,0.552215874195099,,0.556641519069672,Algeria,DZA,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
0.53702849149704,,,,,,,0.535,0.543569445610046,,0.547680258750916,Algeria,DZA,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
0.54828679561615,,,,,,,0.554,0.560430347919464,,0.565142750740051,Algeria,DZA,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
0.526217997074127,,,,,,,0.515,0.524997770786285,,0.527311027050018,Algeria,DZA,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
0.518848776817322,,,,,,,0.504,0.513784050941467,,0.515088617801666,Algeria,DZA,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
0.513028144836426,,,,,,,0.495,0.506278991699219,,0.507361650466919,Algeria,DZA,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
0.524350702762604,,,,,,,0.512,0.520891547203064,,0.52238005399704,Algeria,DZA,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
0.535836100578308,,,,,,,0.531,0.538729906082153,,0.541510224342346,Algeria,DZA,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
7.20220041275024,,,,,,,6.84,7.04802846908569,,7.091552734375,Algeria,DZA,Learning-Adjusted Years of School,HD.HCI.LAYS,
7.3724513053894,,,,,,,7.26,7.42757177352905,,7.51136064529419,Algeria,DZA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
6.99970626831055,,,,,,,6.45,6.69645929336548,,6.71118354797363,Algeria,DZA,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
0.972591459751129,,,,,,,0.976,0.975977122783661,,0.976517915725708,Algeria,DZA,Probability of Survival to Age 5,HD.HCI.MORT,
0.974139273166656,,,,,,,0.9775,0.977509140968323,,0.978036820888519,Algeria,DZA,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
0.971114635467529,,,,,,,0.9745,0.974519670009613,,0.975075542926788,Algeria,DZA,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
0.895640313625336,,,,,,,0.907,0.90692549943924,,0.909282267093658,Algeria,DZA,Survival Rate from Age 15-60,HD.HCI.AMRT,
0.90811824798584,,,,,,,0.9182,0.918195247650146,,0.920461475849152,Algeria,DZA,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
0.883614718914032,,,,,,,0.896,0.895942807197571,,0.898356080055237,Algeria,DZA,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
,,,,,,,,,,,American Samoa,ASM,Expected Years of School,HD.HCI.EYRS,
,,,,,,,,,,,American Samoa,ASM,"Expected Years of School, Female",HD.HCI.EYRS.FE,
,,,,,,,,,,,American Samoa,ASM,"Expected Years of School, Male",HD.HCI.EYRS.MA,
,,,,,,,,,,,American Samoa,ASM,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
,,,,,,,,,,,American Samoa,ASM,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
,,,,,,,,,,,American Samoa,ASM,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
,,,,,,,,,,,American Samoa,ASM,Harmonized Test Scores,HD.HCI.HLOS,
,,,,,,,,,,,American Samoa,ASM,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
,,,,,,,,,,,American Samoa,ASM,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
,,,,,,,,,,,American Samoa,ASM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
,,,,,,,,,,,American Samoa,ASM,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
,,,,,,,,,,,American Samoa,ASM,Learning-Adjusted Years of School,HD.HCI.LAYS,
,,,,,,,,,,,American Samoa,ASM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
,,,,,,,,,,,American Samoa,ASM,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
,,,,,,,,,,,American Samoa,ASM,Probability of Survival to Age 5,HD.HCI.MORT,
,,,,,,,,,,,American Samoa,ASM,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
,,,,,,,,,,,American Samoa,ASM,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
,,,,,,,,,,,American Samoa,ASM,Survival Rate from Age 15-60,HD.HCI.AMRT,
,,,,,,,,,,,American Samoa,ASM,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
,,,,,,,,,,,American Samoa,ASM,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
,,,,,,,,,,,Andorra,AND,Expected Years of School,HD.HCI.EYRS,
,,,,,,,,,,,Andorra,AND,"Expected Years of School, Female",HD.HCI.EYRS.FE,
,,,,,,,,,,,Andorra,AND,"Expected Years of School, Male",HD.HCI.EYRS.MA,
,,,,,,,,,,,Andorra,AND,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
,,,,,,,,,,,Andorra,AND,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
,,,,,,,,,,,Andorra,AND,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
,,,,,,,,,,,Andorra,AND,Harmonized Test Scores,HD.HCI.HLOS,
,,,,,,,,,,,Andorra,AND,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
,,,,,,,,,,,Andorra,AND,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
,,,,,,,,,,,Andorra,AND,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
,,,,,,,,,,,Andorra,AND,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
,,,,,,,,,,,Andorra,AND,Learning-Adjusted Years of School,HD.HCI.LAYS,
,,,,,,,,,,,Andorra,AND,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
,,,,,,,,,,,Andorra,AND,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
,,,,,,,,,,,Andorra,AND,Probability of Survival to Age 5,HD.HCI.MORT,
,,,,,,,,,,,Andorra,AND,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
,,,,,,,,,,,Andorra,AND,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
,,,,,,,,,,,Andorra,AND,Survival Rate from Age 15-60,HD.HCI.AMRT,
,,,,,,,,,,,Andorra,AND,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
,,,,,,,,,,,Andorra,AND,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
,,,,,,,7.89,8.12006568908691,,8.12006568908691,Angola,AGO,Expected Years of School,HD.HCI.EYRS,
,,,,,,,7.07,6.97390127182007,,6.97390127182007,Angola,AGO,"Expected Years of School, Female",HD.HCI.EYRS.FE,
,,,,,,,8.69,9.24362468719482,,9.24362468719482,Angola,AGO,"Expected Years of School, Male",HD.HCI.EYRS.MA,
0.708000004291534,,,,,,,0.6243,0.624288558959961,,0.624288558959961,Angola,AGO,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
0.708000004291534,,,,,,,0.6586,0.658562660217285,,0.658562660217285,Angola,AGO,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
0.708000004291534,,,,,,,0.5899,0.589939296245575,,0.589939296245575,Angola,AGO,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
,,,,,,,326,325.965484619141,,325.965484619141,Angola,AGO,Harmonized Test Scores,HD.HCI.HLOS,
,,,,,,,325,324.924713134766,,324.924713134766,Angola,AGO,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
,,,,,,,327,326.810150146484,,326.810150146484,Angola,AGO,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
,,,,,,,0.361,0.360190957784653,,0.362405389547348,Angola,AGO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
,,,,,,,0.358,0.353776037693024,,0.355706423521042,Angola,AGO,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
,,,,,,,0.325,0.323766797780991,,0.325340896844864,Angola,AGO,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
,,,,,,,0.381,0.375477969646454,,0.377216368913651,Angola,AGO,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
,,,,,,,0.326,0.328303992748261,,0.32986369729042,Angola,AGO,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
,,,,,,,0.365,0.366803884506226,,0.369158178567886,Angola,AGO,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
,,,,,,,0.326,0.329787015914917,,0.331409335136414,Angola,AGO,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
,,,,,,,0.394,0.395108729600906,,0.397130608558655,Angola,AGO,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
,,,,,,,0.387,0.383449137210846,,0.385374516248703,Angola,AGO,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
,,,,,,,4.11,4.23497772216797,,4.23497772216797,Angola,AGO,Learning-Adjusted Years of School,HD.HCI.LAYS,
,,,,,,,3.68,3.62558841705322,,3.62558841705322,Angola,AGO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
,,,,,,,4.54,4.83345651626587,,4.83345651626587,Angola,AGO,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
0.879509627819061,,,,,,,0.9189,0.919558048248291,,0.922835469245911,Angola,AGO,Probability of Survival to Age 5,HD.HCI.MORT,
0.887802124023438,,,,,,,0.9251,0.925984859466553,,0.928930759429932,Angola,AGO,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
0.871710300445557,,,,,,,0.9131,0.913508772850037,,0.917002379894257,Angola,AGO,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
0.680426359176636,,,,,,,0.7638,0.72148072719574,,0.729358732700348,Angola,AGO,Survival Rate from Age 15-60,HD.HCI.AMRT,
0.734374165534973,,,,,,,0.8,0.77623850107193,,0.78317928314209,Angola,AGO,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
0.630774855613709,,,,,,,0.7266,0.669002175331116,,0.676909208297729,Angola,AGO,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
,,,,,,,,12.7771034240723,,12.9675598144531,Antigua and Barbuda,ATG,Expected Years of School,HD.HCI.EYRS,
,,,,,,,,12.9144411087036,,13.2999496459961,Antigua and Barbuda,ATG,"Expected Years of School, Female",HD.HCI.EYRS.FE,
,,,,,,,,12.6448287963867,,12.6516132354736,Antigua and Barbuda,ATG,"Expected Years of School, Male",HD.HCI.EYRS.MA,
,,,,,,,,,,,Antigua and Barbuda,ATG,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
,,,,,,,,,,,Antigua and Barbuda,ATG,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
,,,,,,,,,,,Antigua and Barbuda,ATG,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
,,,,,,,,395.897796630859,,406.997436523438,Antigua and Barbuda,ATG,Harmonized Test Scores,HD.HCI.HLOS,
,,,,,,,,403.030090332031,,417.380493164063,Antigua and Barbuda,ATG,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
,,,,,,,,389.038848876953,,396.874908447266,Antigua and Barbuda,ATG,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
,,,,,,,,0.578216969966888,,0.595703899860382,Antigua and Barbuda,ATG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
,,,,,,,,0.597584545612335,,0.625670254230499,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
,,,,,,,,0.584537923336029,,0.61059558391571,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
,,,,,,,,0.610243797302246,,0.640509724617004,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
,,,,,,,,0.568297505378723,,0.584080040454865,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
,,,,,,,,0.559216916561127,,0.56757777929306,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
,,,,,,,,0.546115040779114,,0.553666532039642,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
,,,,,,,,0.571450889110565,,0.581206917762756,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
,,,,,,,,0.58822900056839,,0.607414603233337,Antigua and Barbuda,ATG,"Human Capital Index (HCI), Upper Bound (scale 0-1)",HD.HCI.OVRL.UB,
,,,,,,,,8.09348392486572,,8.44442176818848,Antigua and Barbuda,ATG,Learning-Adjusted Years of School,HD.HCI.LAYS,
,,,,,,,,8.32785415649414,,8.88182258605957,Antigua and Barbuda,ATG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,
,,,,,,,,7.87092733383179,,8.03377246856689,Antigua and Barbuda,ATG,"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,
0.990409433841705,,,,,,,,0.993308007717133,,0.993558526039124,Antigua and Barbuda,ATG,Probability of Survival to Age 5,HD.HCI.MORT,
0.991358697414398,,,,,,,,0.993889272212982,,0.994124472141266,Antigua and Barbuda,ATG,"Probability of Survival to Age 5, Female",HD.HCI.MORT.FE,
0.989501476287842,,,,,,,,0.992752850055695,,0.993029117584229,Antigua and Barbuda,ATG,"Probability of Survival to Age 5, Male",HD.HCI.MORT.MA,
0.889810144901276,,,,,,,,0.894959628582001,,0.89720755815506,Antigua and Barbuda,ATG,Survival Rate from Age 15-60,HD.HCI.AMRT,
0.917986571788788,,,,,,,,0.915811359882355,,0.917915642261505,Antigua and Barbuda,ATG,"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,
0.858989775180817,,,,,,,,0.871907949447632,,0.874258518218994,Antigua and Barbuda,ATG,"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,
12.5897855758667,,,,,,,13.07,12.8795232772827,,12.8795232772827,Argentina,ARG,Expected Years of School,HD.HCI.EYRS,
12.9220457077026,,,,,,,13.32,13.0612525939941,,13.0612525939941,Argentina,ARG,"Expected Years of School, Female",HD.HCI.EYRS.FE,
12.2673854827881,,,,,,,12.83,12.7036781311035,,12.7036781311035,Argentina,ARG,"Expected Years of School, Male",HD.HCI.EYRS.MA,
0.917999982833862,,,,,,,,0.921000003814697,,0.921000003814697,Argentina,ARG,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
0.917999982833862,,,,,,,,0.921000003814697,,0.921000003814697,Argentina,ARG,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
0.917999982833862,,,,,,,,0.921000003814697,,0.921000003814697,Argentina,ARG,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
408.973236083984,,,,,,,424,424.080810546875,,408.172637939453,Argentina,ARG,Harmonized Test Scores,HD.HCI.HLOS,
414.181762695313,,,,,,,421,420.933349609375,,406.452667236328,Argentina,ARG,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
