Country,Indicator,Breakdowns,Time,Unit,PowerCode,Reference Period,Value,Flags
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,32.5539,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,36.6604,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,45.4262,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,47.1132,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,49.8754,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,18.245,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,30.2391,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,23.0606,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,26.2371,Break
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,40.6232,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,45.2737,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,47.2516,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,49.7666,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,49.6119,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,55.0631,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,52.1393,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,54.9014,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,55.1383,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,56.4484,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,58.605,
Belgium,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,60.9016,Unreliable
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,7.5906,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,7.6548,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,10.6921,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,13.7547,Break
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,21.182,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,25.4888,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,23.6531,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,25.9445,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,25.9282,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,28.4809,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,27.1817,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,28.384,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,30.2188,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,30.5937,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,34.6279,
Belgium,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,35.3517,Unreliable
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,4.3826,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,7.4222,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,8.218,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,11.8036,Break
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,16.5018,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,22.4346,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,25.6812,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,28.6591,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,31.748,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,36.3752,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,33.771,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,34.8844,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,36.9535,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,37.421,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,40.4724,
Belgium,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,41.3964,Unreliable
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,16.2,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,19.3,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,12,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,12.8,Break
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,13,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,17.6,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,20.3,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,24,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,24.16276047,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,28.58263166,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,29.95944389,
Brazil,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,34.1941288,
Canada,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,55.3,Break
Canada,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,55.4,
Canada,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,69.5029,Break; Difference in methodology
Canada,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,18.47,
Canada,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,23.8,
Canada,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,28.6,
Canada,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,35.9958,Break; Difference in methodology
Canada,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,9.74,
Canada,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,13.4,
Canada,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,17.6,
Canada,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,21.7914,Break; Difference in methodology
Chile,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,7.561928174,
Chile,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,20.28042428,Break
Chile,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,23.33304789,
Chile,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,29.05597158,
Chile,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,28.81977194,
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,11.4,
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,5.49,
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,12.69451242,Break
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,11.69853824,
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,14.54267793,
Chile,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,13.12831824,
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,8.86,
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,4.17,
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,12.19158544,Break
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,11.27714955,
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,12.94290045,
Chile,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,13.47690075,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,0.856978176,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,1.32139023,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,1.536722219,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,2.5010215,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,3.62263917,Break
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,3.525867046,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,2.882150342,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,4.6,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,6.259676001,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,8.016965855,
Colombia,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,6.274581333,Break
Costa Rica,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,36,Difference in methodology
Costa Rica,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,30.08414926,Break; Difference in methodology
Costa Rica,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,23,Difference in methodology
Costa Rica,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,14.58637038,Break; Difference in methodology
Costa Rica,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,17.1,Difference in methodology
Costa Rica,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,12.13760249,Break; Difference in methodology
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,4.5942,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,17.3791,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,15.949,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,19.1215,Break
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,26.37,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,22.8984,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,42.199,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,30.7597,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,29.258,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,37.0786,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,32.3252,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,35.8952,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,45.596,Break
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,53.2145,Break
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,53.7766,
Czech Republic,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,56.7474,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,2.3646,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,7.5175,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,7.707,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,8.5657,Break
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,12.4676,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,10.1946,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,18.1238,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,15.0888,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,12.3357,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,16.6018,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,14.2817,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,16.058,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,18.3466,Break
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,25.5415,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,28.0509,
Czech Republic,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,28.3164,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,1.4216,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,3.0444,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,3.5108,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,4.6233,Break
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,6.3236,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,5.6993,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,32.5742,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,13.3143,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,6.9131,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,11.0976,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,9.9447,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,12.2791,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,13.9397,Break
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,25.6365,Break
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,25.0432,
Czech Republic,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,29.0663,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,43.1907,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,58.3676,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,49.4437,Break
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,72.7164,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,78.3375,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,80.8115,
Denmark,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,82.74,
