Rank,Country,Score,Income Group,Region
45,Greece ,55.2,High-income ,Europe 
46,Bulgaria ,55.03,Upper-middle-income ,Europe 
47,Uruguay ,54.87,High-income ,The Americas 
48,Russian Federation ,54.23,Upper-middle-income ,CIS 
49,Romania ,54.16,High-income ,Europe 
50,Chile ,54.06,High-income ,The Americas
51,Thailand ,53.45,Upper-middle-income ,Asia & Pacific 
52,Serbia ,52.96,Upper-middle-income ,Europe 
53,Kuwait ,52.27,High-income ,Arab States 
54,Costa Rica ,52.15,Upper-middle-income ,The Americas 
55,Armenia ,51.91,Upper-middle-income ,CIS 
56,Kazakhstan ,51.38,Upper-middle-income ,CIS 
57,Turkey ,51.24,Upper-middle-income ,Europe 
58,Montenegro ,50.95,Upper-middle-income ,Europe 
59,Brazil ,50.58,Upper-middle-income ,The Americas 
60,Argentina ,50.36,Upper-middle-income ,The Americas 
61,Mauritius ,49.83,High-income ,Africa 
62,Viet Nam ,49.68,Lower-middle-income ,Asia & Pacific 
63,Mexico ,49.67,Upper-middle-income ,The Americas 
64,Ukraine ,49.43,Lower-middle-income ,Europe 
65,Belarus ,49.16,Upper-middle-income ,CIS 
66,Azerbaijan ,48.76,Upper-middle-income ,CIS 
67,North Macedonia ,48.28,Upper-middle-income ,Europe 
68,Georgia ,47.95,Upper-middle-income ,Europe 
69,Jordan ,47.5,Upper-middle-income ,Arab States 
70,Jamaica ,47.36,Upper-middle-income ,The Americas 
71,Moldova ,47.09,Lower-middle-income ,Europe 
72,Colombia ,46.81,Upper-middle-income ,The Americas 
73,Indonesia ,46.71,Upper-middle-income ,Asia & Pacific 
74,Philippines ,45.95,Lower-middle-income ,Asia & Pacific 
75,Dominican Republic ,45.77,Upper-middle-income ,The Americas 
76,South Africa ,45.26,Upper-middle-income ,Africa 
77,Panama ,44.74,High-income ,The Americas 
78,Albania ,44.21,Upper-middle-income ,Europe 
79,"Iran, Islamic Rep. ",43.91,Upper-middle-income ,Asia & Pacific 
80,Peru ,43.67,Upper-middle-income ,The Americas 
81,Trinidad and Tobago ,43.61,High-income ,The Americas 
82,Kenya ,43.22,Lower-middle-income ,Africa 
83,Sri Lanka ,42.65,Lower-middle-income ,Asia & Pacific 
84,Egypt ,42.56,Lower-middle-income ,Arab States 
85,Ecuador ,42.2,Upper-middle-income ,The Americas 
86,Cabo Verde ,42.01,Lower-middle-income ,Africa 
87,Bosnia and Herzegovina ,41.73,Upper-middle-income ,Europe 
88,India ,41.57,Lower-middle-income ,Asia & Pacific 
89,Mongolia ,41.44,Lower-middle-income ,Asia & Pacific 
90,Lebanon ,41.3,Upper-middle-income ,Arab States
91,Tunisia ,41.3,Lower-middle-income ,Arab States 
92,Paraguay ,41.12,Upper-middle-income ,The Americas 
93,Morocco ,39.71,Lower-middle-income ,Arab States 
94,Kyrgyzstan ,38.6,Lower-middle-income ,CIS 
95,El Salvador ,37.33,Lower-middle-income ,The Americas 
96,Rwanda ,37.24,Low-income ,Africa 
97,Lao PDR ,37.12,Lower-middle-income ,Asia & Pacific 
98,Ghana ,36.97,Lower-middle-income ,Africa 
99,Botswana ,36.94,Upper-middle-income ,Africa 
100,Senegal ,36.9,Lower-middle-income ,Africa 
101,Bolivia ,36.72,Lower-middle-income ,The Americas 
102,Honduras ,36.23,Lower-middle-income ,The Americas 
103,Namibia ,36.11,Upper-middle-income ,Africa 
104,Cambodia ,36.01,Lower-middle-income ,Asia & Pacific 
105,Bangladesh ,36.01,Lower-middle-income ,Asia & Pacific 
106,Guatemala ,35.51,Upper-middle-income ,The Americas 
107,Algeria ,35.15,Lower-middle-income ,Arab States 
108,Venezuela ,34.57,Upper-middle-income ,The Americas 
109,Tajikistan ,34.14,Low-income ,CIS 
110,Tanzania ,33.92,Lower-middle-income ,Africa 
111,Pakistan ,33.29,Lower-middle-income ,Asia & Pacific 
112,Benin ,32.25,Lower-middle-income ,Africa 
113,Nepal ,31.81,Lower-middle-income ,Asia & Pacific 
114,Uganda ,31.4,Low-income ,Africa 
115,Côte d'Ivoire ,31.23,Lower-middle-income ,Africa 
116,Zambia ,30.54,Lower-middle-income ,Africa 
117,Nigeria ,30.44,Lower-middle-income ,Africa 
118,Cameroon ,29.86,Lower-middle-income ,Africa 
119,Gambia ,29.4,Low-income ,Africa 
120,Guinea ,28.42,Low-income ,Africa 
121,Lesotho ,27.72,Lower-middle-income ,Africa 
122,Eswatini ,27.21,Lower-middle-income ,Africa 
123,Mali ,27,Low-income ,Africa 
124,Madagascar ,25.84,Low-income ,Africa 
125,Burkina Faso ,25.79,Low-income ,Africa 
126,Zimbabwe ,25.78,Lower-middle-income ,Africa 
127,Malawi ,25.23,Low-income ,Africa 
128,Mozambique ,24.18,Low-income ,Africa 
129,Ethiopia ,23.49,Low-income ,Africa 
130,Burundi ,22.62,Low-income ,Africa
131,Angola ,20.96,Lower-middle-income ,Africa 
132,Yemen ,18,Low-income ,Arab States 
133,"Congo, Dem. Rep. ",16.6,Low-income ,Africa 
134,Chad ,14.8,Low-income ,Africa 
