IndCode,SDG,Global,OECD,Spillover,Trend_Global,Trend_OECD,Indicator,Years for Trend Rating,Reference Year,Optimum (= 100),Green threshold,Red threshold,Lower Bound (=0),Justification for Optimum,Dwldlink,Source,Description,Imputation,data_country,data_year
sdg4_tertiary,4,no,yes,,,yes,Tertiary educational attainment (% of population aged 25 to 34),2015 -2020,2020,52.2,40,10,0,Average of best performers,https://data.oecd.org/eduatt/population-with-tertiary-education.htm,OECD ,"The percentage of the population, aged 25 to 34, who have completed tertiary education.",,,
sdg4_pisa,4,no,yes,,,yes,PISA score (worst 0-600 best),2015 -2018,2018,525.6,493,400,350,Average of best performers,http://pisadataexplorer.oecd.org/ide/idepisa/dataset.aspx,OECD ,"National scores in the Programme for International Student Assessment (PISA), an internationally standardized assessment that is administered to 15-year-olds in schools. It assesses how far students near the end of compulsory education have acquired some of the knowledge and skills that are essential for full participation in society. Country PISA scores for reading, mathematics, and science were averaged to obtain an overall PISA score.",,,
sdg4_socioec,4,no,yes,,,yes,Variation in science performance explained by socio-economic status (%),2015 -2018,2018,8.3,10.5,20,21.4,Average of best performers,http://pisadataexplorer.oecd.org/ide/idepisa/dataset.aspx,OECD ,Percentage of variation in science performance explained by students' socio-economic status.,,,
sdg4_science,4,no,yes,,,yes,Underachievers in science (% of 15-year-olds) ,2015 -2018,2018,10,15,30,48,Average of best performers,http://pisadataexplorer.oecd.org/ide/idepisa/dataset.aspx,OECD ,Percentage of students with a performance in science below level 2 (less than 409.54 score points).,,,
sdg5_familypl,5,yes,yes,,,,Demand for family planning satisfied by modern methods (% of females aged 15 to 49),,2022,100,80,60,17.5,Leave no one behind,https://unstats.un.org/sdgs/indicators/database/,UNDESA ,The percentage of women of reproductive age whose demand for family planning has been met using modern methods of contraception.,"For countries missing administrative data, we impute modeled estimates from UNDESA Population Division  (https://www.un.org/development/desa/pd/data/family-planning-indicators).",,
sdg5_edat,5,yes,yes,,yes,yes,Ratio of female-to-male mean years of education received (%),2015 -2019,2019,100,98,75,41.8,SDG Target,http://hdr.undp.org/en/data (education > mean years of schooling),UNESCO ,The mean years of education received by women aged 25 and older divided by the mean years of education received by men aged 25 and older.,,,
sdg5_lfpr,5,yes,yes,,yes,yes,Ratio of female-to-male labor force participation rate (%),2015 -2020,2020,100,70,50,21.5,SDG Target,https://data.worldbank.org/indicator/SL.TLF.CACT.FM.ZS,ILO ,"Modeled estimate of the proportion of the female population aged 15 years and older that is economically active, divided by the same proportion for men.",,,
sdg5_parl,5,yes,yes,,yes,yes,Seats held by women in national parliament (%),2015 -2020,2020,50,40,20,1.2,SDG Target,http://data.worldbank.org/indicator/SG.GEN.PARL.ZS,IPU ,"The number of seats held by women in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats. Seats refer to the number of parliamentary mandates, or the number of members of parliament.",,,
sdg5_paygap,5,no,yes,,,yes,Gender wage gap (% of male median wage),2015 -2020,2020,0,8,20,36.7,Technical Optimum,https://data.oecd.org/earnwage/gender-wage-gap.htm,OECD ,"The difference between male and female median wages of full-time employees and those self-employed, divided by the male median wage.",,,
sdg6_water,6,yes,yes,,yes,yes,Population using at least basic drinking water services (%),2015 -2020,2020,100,98,80,40,Leave no one behind,https://data.worldbank.org/indicator/SH.H2O.BASW.ZS,JMP ,"The percentage of the population using at least a basic drinking water service, such as drinking water from an improved source, provided that the collection time is not more than 30 minutes for a round trip, including queuing. ",,,
sdg6_sanita,6,yes,yes,,yes,yes,Population using at least basic sanitation services (%),2015 -2020,2020,100,95,75,9.7,Leave no one behind,https://data.worldbank.org/indicator/SH.STA.BASS.ZS,JMP ,"The percentage of the population using at least a basic sanitation service, such as an improved sanitation facility that is not shared with other households. ",,,
sdg6_freshwat,6,yes,yes,,,,Freshwater withdrawal (% of available freshwater resources),,2018,12.5,25,75,100,Technical Optimum,https://unstats.un.org/sdgs/indicators/database/?indicator=6.4.2,FAO ,"The level of water stress: freshwater withdrawal as a proportion of available freshwater resources is the ratio between total freshwater withdrawn by all major sectors and total renewable freshwater resources, after taking into account environmental water requirements. Main sectors, as defined by ISIC standards, include agriculture, forestry and fishing, manufacturing, electricity industry, and services. This indicator is also known as water withdrawal intensity.",,,
sdg6_wastewat,6,yes,yes,,,,Anthropogenic wastewater that receives treatment (%),,2018,100,50,15,0,Technical Optimum,http://epi.yale.edu/ ,EPI ,"The percentage of collected, generated, or produced wastewater that is treated, normalized by the population connected to centralized wastewater treatment facilities. Scores were calculated by multiplying the wastewater treatment summary values, based on decadal averages, with the sewerage connection values to arrive at an overall total percentage of wastewater treated.",Eurostat data was used for Malta given the uncertainty of the UNSD estimation.,,
sdg6_scarcew,6,yes,yes,yes,,,Scarce water consumption embodied in imports (m3 H2O eq/capita),,2018,100,1000,4000,11000,Average of best performers,http://scp-hat.lifecycleinitiative.org/module-2-scp-hotspots/,UNEP,"Water scarcity is measured as water consumption weighted by scarcity indices. In order to incorporate water scarcity into the virtual water flow calculus, water use entries are weighted so that they reflect the scarcity of the water being used.  The weight used is a measure of water withdrawals as a percentage of the existing local renewable freshwater resources. ",,,
sdg6_safewat,6,no,yes,,,yes,Population using safely managed water services (%),2015 -2020,2020,100,95,80,10.5,Leave no one behind,https://data.worldbank.org/indicator/SH.H2O.SMDW.ZS,JMP ,"The percentage of the population using a safely managed drinking water service. A safely managed drinking water service is one where people use an ""improved"" source meeting three criteria: it is accessible on premises, water is available when needed, and the water supplied is free from contamination. Improved sources are those that have the potential to deliver safe water by nature of their design and construction.",The data point of New Zealand was imputed to Australia. ,,
sdg6_safesan,6,no,yes,,,yes,Population using safely managed sanitation services (%),2015 -2020,2020,100,90,65,14.1,Leave no one behind,https://data.worldbank.org/indicator/SH.STA.SMSS.ZS,JMP ,"The percentage of the population using safely managed sanitation services. Safely managed sanitation services are ""improved"" sanitation facilities that are not shared with other households, and where the excreta produced should either be treated and disposed of in situ, stored temporarily and then emptied, transported and treated off-site, or transported through a sewer with wastewater and then treated off-site. Improved sanitation facilities are those designed to hygienically separate excreta from human contact.",,,
sdg7_elecac,7,yes,yes,,yes,yes,Population with access to electricity (%),2015 -2019,2019,100,98,80,9.1,Leave no one behind,http://data.worldbank.org/indicator/EG.ELC.ACCS.ZS,SE4All ,The percentage of the population who has access to electricity.,,,
sdg7_cleanfuel,7,yes,yes,,yes,yes,Population with access to clean fuels and technology for cooking (%),2015 -2019,2019,100,85,50,2,Average of best performers, https://data.worldbank.org/indicator/EG.CFT.ACCS.ZS,SE4All ,"The percentage of the population primarily using clean cooking fuels and technologies for cooking. Under WHO guidelines, kerosene is excluded from clean cooking fuels.",,,
sdg7_co2twh,7,yes,yes,,yes,yes,CO₂ emissions from fuel combustion per total electricity output (MtCO₂/TWh),2015 -2019,2019,0,1,1.5,5.9,Technical Optimum,https://www.iea.org/reports/co2-emissions-from-fuel-combustion-2019,IEA ,"A measure of the carbon intensity of energy production, calculated by dividing CO₂ emissions from the combustion of fuel by electricity output. The data are reported in Megatonnes per billion kilowatt hours.",,,
sdg7_ren,7,yes,yes,,yes,yes,Share of renewable energy in total primary energy supply (%),2015 -2019,2019,51,20,10,3,Average of best performers,https://data.oecd.org/energy/renewable-energy.htm,OECD ,"The share of renewable energy in the total primary energy supply. Renewables include the primary energy equivalent of hydro (excluding pumped storage), geothermal, solar, wind, tide and wave sources. Energy derived from solid biofuels, biogasoline, biodiesels, other liquid biofuels, biogases and the renewable fraction of municipal waste are also included.",,,
sdg8_adjgrowth,8,yes,yes,,,,Adjusted GDP growth (%),,2020,5,0,-3,-14.7,Average of best performers,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD,World Bank ,"The growth rate of GDP adjusted to income levels (where rich countries are expected to grow less) and expressed relative to the US growth performance. World Bank data on GDP per capita, PPP (current international $) annual data were used as the starting point. The growth rate over the last 3-year period (t-3 to t) was calculated where  GRa=(At/At-3)^(1/3)-1 and where GRa is the growth rate for country A and At is the GDP per capita data for the year t in country A. Then our adjustment is as follows : ADJa= [GRa-(GRusa - 0,015*log(At-3/USAt-3))] * 100, where GRusa is the United States growth rate and USAt-3 is the United States GDP per capita 3 years ago.",,,
sdg8_slavery,8,yes,yes,,,,"Victims of modern slavery (per 1,000 population)",,2018,0,4,10,22,Leave no one behind,https://www.globalslaveryindex.org/,Walk Free Foundation (2018),Estimation of the number of people in modern slavery. Modern slavery is defined as people in forced labor or forced marriage. It is calculated based on standardized surveys and Multiple Systems Estimation (MSE).,We assume missing data points for those countries in which the Walk Free Foundation's methodology is not based on any empirical estimate due to survey unavailability.,,
sdg8_accounts,8,yes,yes,,yes,yes,Adults with an account at a bank or other financial institution or with a mobile-money-service provider (% of population aged 15 or over),2014 -2017,2017,100,80,50,8,Technical Optimum,https://data.worldbank.org/indicator/FX.OWN.TOTL.ZS,Demirguc-Kunt et al. (2018),"The percentage of adults, 15 years and older, who report having an account (by themselves or with someone else) at a bank or another type of financial institution, or who have personally used a mobile money service within the past 12 months.",,,
sdg8_unemp,8,yes,no,,yes,,"Unemployment rate (% of total labor force, ages 15+)",2015 -2022,2022,0.5,5,10,25.9,Average of best performers,https://www.ilo.org/shinyapps/bulkexplorer14/?lang=en&segment=indicator&id=UNE_2EAP_SEX_AGE_RT_A,ILO ,Modeled estimate of the share of the labor force that is without work but is available and actively seeking employment. The indicator reflects the inability of an economy to generate employment for people who want to work but are not doing so.,,,
sdg8_rights,8,yes,yes,,yes,yes,Fundamental labor rights are effectively guaranteed (worst 0–1 best),2015 -2020,2020,0.85,0.7,0.5,0.3,Average of best performers,https://worldjusticeproject.org/our-work/wjp-rule-law-index,World Justice Project,"Measures the effective enforcement of fundamental labor rights, including freedom of association and the right to collective bargaining, the absence of discrimination with respect to employment, and freedom from forced labor and child labor.",,,
sdg8_impacc,8,yes,yes,yes,yes,yes,"Fatal work-related accidents embodied in imports (per 100,000 population)",2010 -2015,2015,0,1,2.5,6,Technical Optimum,https://doi.org/10.1016/j.jclepro.2016.12.110,Alsamawi et al. (2017),The number of fatal work-related accidents associated with imported goods. Calculated using extensions to a multiregional input-output table.,,,
sdg8_empop,8,no,yes,,,yes,Employment-to-population ratio (%),2015 -2021,2021,77.8,60,50,50,Average of best performers,https://data.oecd.org/emp/employment-rate.htm,OECD ,The ratio of the employed to the working age population. Employed people are those aged 15 or older who were in paid employment or self-employed during a specified period. The working age population refers to people aged 15 to 64.,,,
sdg8_yneet,8,no,yes,,,yes,"Youth not in employment, education or training (NEET) (% of population aged 15 to 29)",2015 -2020,2020,8.1,10,15,28.2,Average of best performers,https://data.oecd.org/youthinac/youth-not-in-employment-education-or-training-neet.htm,OECD ,"The percentage of young people who are not in employment, education or training (NEET). Education includes part-time or full-time education, but exclude those in non-formal education and in educational activities of very short duration. Employment is defined according to the ILO Guidelines and covers all those who have been in paid work for at least one hour in the reference week or were temporarily absent from such work.",,,
sdg9_intuse,9,yes,yes,,yes,yes,Population using the internet (%),2015 -2020,2020,100,80,50,2.2,Leave no one behind,https://www.itu.int/en/ITU-D/Statistics/Pages/stat/default.aspx,ITU ,The percentage of the population who used the Internet from any location in the last three months. Access could be via a fixed or mobile network.,,,
sdg9_mobuse,9,yes,yes,,yes,yes,Mobile broadband subscriptions (per 100 population),2015 -2019,2019,100,75,40,1.4,Leave no one behind,https://www.itu.int/en/ITU-D/Statistics/Pages/stat/default.aspx,ITU ,"The number of mobile broadband subscriptions per 100 population. Mobile broadband subscriptions refer to subscriptions to mobile cellular networks with access to data communications (e.g. the Internet) at broadband speeds, irrespective of the device used to access the internet.",,,
sdg9_lpi,9,yes,yes,,yes,yes,Logistics Performance Index: Quality of trade and transport-related infrastructure (worst 1-5 best),2014 -2018,2018,3.8,3,2,1.6,Average of best performers,https://lpi.worldbank.org/international/global,World Bank ,"Survey-based average assessment of the quality of trade and transport related infrastructure, e.g. ports, roads, railroads and information technology, on a scale from 1 (worst) to 5 (best).",,,
sdg9_uni,9,yes,yes,,,,The Times Higher Education Universities Ranking: Average score of top 3 universities (worst 0-100 best),,2022,50,30,0,0,Average of best performers,https://www.timeshighereducation.com/world-university-rankings/2022/world-ranking#!/page/0/length/-1/sort_by/rank/sort_order/asc/cols/scores,Times Higher Education ,"The average score of the top three universities in each country that are listed in the global top 1,000 universities in the world. For countries with at least one university on the list, only the score of the ranked university was taken into account.  When a university score was missing in the Times Higher Education World University Ranking, an indicator from the Global Innovation Index on the top 3 universities in Quacquarelli Symonds (QS) University Ranking was used as a source when available.",We impute values from the Global Innovation Index's indicator on university scores in the QS University Rankings for countries with missing data. We assumed a value of 0 for countries with no universities in the rankings.,,
sdg9_articles,9,yes,yes,,yes,yes,"Articles published in academic journals (per 1,000 population)",2015 -2020,2020,1.2,0.7,0.05,0,Average of best performers,https://www.scimagojr.com/countryrank.php?year=2020,Scimago Jounal Rank,"Number of citable documents published by a journal in the three previous years (selected year documents are excluded). Exclusively articles, reviews and conference papers are considered.",,,
sdg9_rdex,9,yes,yes,,yes,yes,Expenditure on research and development (% of GDP),2015 -2018,2018,3.7,1.5,1,0,Average of best performers,http://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS,UNESCO ,Gross domestic expenditure on scientific research and experimental development (R&D) expressed as a percentage of Gross Domestic Product (GDP). We assumed zero R&D expenditure for low-income countries that do not report any data.,We assumed zero R&D expenditure for low-income countries that did not report any data for this variable. ,,
sdg9_rdres,9,no,yes,,,yes,"Researchers (per 1,000 employed population)",2015 -2019,2019,15.6,8,7,0.8,Average of best performers,https://data.oecd.org/rd/researchers.htm,OECD ,"The number of researchers per thousand employed people. Researchers are professionals engaged in the conception or creation of new knowledge, products, processes, methods and systems, as well as in the management of the projects concerned",,,
sdg9_patents,9,no,yes,,,yes,Triadic patent families filed (per million population),2015 -2019,2019,115.7,20,10,0.1,Average of best performers,https://data.oecd.org/rd/triadic-patent-families.htm#indicator-chart,OECD ,"A triadic patent family is defined as a set of patents registered in various countries (i.e. patent offices) to protect the same invention. Triadic patent families are a set of patents filed at three of these major patent offices: the European Patent Office (EPO), the Japan Patent Office (JPO) and the United States Patent and Trademark Office (USPTO). The number of triadic patent families is ""nowcast"" for timeliness.",,,
sdg9_netacc,9,no,yes,,,yes,Gap in internet access by income (percentage points),2015 -2020,2020,0,7,45,63.6,Leave no one behind,https://www.oecd-ilibrary.org/science-and-technology/oecd-science-technology-and-industry-scoreboard-2013/household-internet-access-by-income-quartile-2008-and-2012_sti_scoreboard-2013-graph159-en,OECD ,The difference in the percentage of household Internet access between the top and bottom income quartiles.,,,
sdg9_womensci,9,no,yes,,,yes,Female share of graduates from STEM fields at the tertiary level (%),2014 -2018,2018,50,30,20,15,Leave no one behind,https://databank.worldbank.org/source/gender-statistics/Series/SE.TER.GRAD.FE.SI.ZS,World Bank ,"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)",,,
sdg10_gini,10,yes,yes,,yes,yes,Gini coefficient,2015 -2019,2019,27.5,30,40,63,Average of best performers,https://data.worldbank.org/indicator/SI.POV.GINI,World Bank ,The Gini coefficient measures the extent to which the distribution of income among individuals or households within an economy deviates from a perfectly equal distribution.,,,
