Indicator,Country,Variable,Unit,Scope,Time,Value,Flags
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,3.8232,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,9.5418,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,9.273822,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,12.27321,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,24.5424,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,23.395,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,22.36278,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,18.77055,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,23.388,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,29.7163,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,14.53724,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,11.47463,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,28.5671,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,22.6854,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,26.12545,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Denmark,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,22.38719,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,23.3477,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,6.1681,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,5.548214,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,4.357608,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,18.1172,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,3.6509,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,3.740714,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,0,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,25.2222,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,6.289,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,5.174309,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Estonia,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,3.795943,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,41.2184,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,32.4604,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,30.80873,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,33.7173,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,25.8157,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,19.26424,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,45.9109,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,36.5984,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (15 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,37.01283,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (25 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,35.9491,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (25 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,28.7458,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (25 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,41.5984,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,34.907,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,26.6604,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,25.33919,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,27.6141,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,21.1326,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,16.39643,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,41.0672,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,30.6124,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (27 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,31.15083,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,34.7041,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,26.664,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,25.20962,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,24.3086,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,27.4328,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,21.1686,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,16.34319,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,14.46593,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,40.8975,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,30.6109,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,31.01448,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",European Union (28 countries),"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,29.68819,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Finland,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,59.0653,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Finland,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,54.2478,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Finland,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,66.2648,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Finland,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,64.42721,
