Country name,ISO,Mobile Money Prevalence (2020):,Mobile Money Prevalence (2021):,Adult Population (2020):,Adult Population (2021):,,data_country,data_year
Guatemala,GTM,Very low,Very low," 11,934,591 "," 12,276,739 ",,,
Guinea,GIN,High,High," 7,589,561 "," 7,791,596 ",,,
Guinea-Bissau,GNB,High,High," 1,155,213 "," 1,184,502 ",,,
Guyana,GUY,Very low,Low," 567,676 "," 572,513 ",,,
Haiti,HTI,Medium,Medium," 7,686,311 "," 7,839,737 ",,,
Honduras,HND,Medium,Medium," 6,888,821 "," 7,039,645 ",,,
India,IND,Low,Low," 1,012,295,899 "," 1,033,775,068 ",,,
Indonesia,IDN,Medium,Medium," 203,457,597 "," 205,700,276 ",,,
Iran,IRN,Low,Low," 63,383,140 "," 64,358,163 ",,,
Iraq,IRQ,Very low,Very low," 25,234,571 "," 25,953,421 ",,,
Jamaica,JAM,Very low,Very low," 2,255,159 "," 2,283,319 ",,,
Jordan,JOR,Low,Low," 6,755,811 "," 6,905,312 ",,,
Kazakhstan,KAZ,Very low,Very low," 13,408,942 "," 13,532,352 ",,,
Kenya,KEN,Very high,Very high," 33,170,883 "," 34,144,242 ",,,
Kyrgyzstan,KGZ,Low,Low," 4,406,104 "," 4,497,845 ",,,
Lesotho,LSO,Very high,Very high," 1,462,451 "," 1,468,623 ",,,
Liberia,LBR,High,High," 3,020,175 "," 3,126,198 ",,,
Madagascar,MDG,Medium,Medium," 16,835,503 "," 17,264,340 ",,,
Malawi,MWI,Medium,Medium," 11,051,626 "," 11,353,121 ",,,
Malaysia,MYS,Low,Low," 24,754,033 "," 25,245,144 ",,,
Maldives,MDV,Low,Low," 433,664 "," 436,010 ",,,
Mali,MLI,High,High," 10,893,240 "," 11,217,317 ",,,
Mauritania,MRT,Low,Low," 2,827,433 "," 2,918,613 ",,,
Mauritius,MUS,Low,Low," 1,056,258 "," 1,060,290 ",,,
Mexico,MEX,Low,Low," 95,902,138 "," 97,097,796 ",,,
Mongolia,MNG,Medium,Low," 2,279,615 "," 2,310,688 ",,,
Morocco,MAR,Very low,Very low," 27,103,204 "," 27,508,047 ",,,
Mozambique,MOZ,High,High," 17,757,174 "," 18,251,126 ",,,
Myanmar,MMR,Medium,Medium," 40,409,850 "," 40,998,353 ",,,
Namibia,NAM,Low,Low," 1,615,398 "," 1,648,860 ",,,
Nepal,NPL,Low,Low," 20,584,104 "," 21,321,584 ",,,
Nicaragua,NIC,Very low,Low," 4,664,429 "," 4,752,223 ",,,
Niger,NER,Low,Low," 12,334,365 "," 12,888,123 ",,,
Nigeria,NGA,Medium,Medium," 116,911,283 "," 120,973,116 ",,,
Pakistan,PAK,Medium,Medium," 144,979,990 "," 148,183,123 ",,,
Papua New Guinea,PNG,Low,Low," 5,871,461 "," 5,969,826 ",,,
Paraguay,PRY,High,High," 5,095,022 "," 5,164,536 ",,,
Peru,PER,Very low,Low," 24,874,227 "," 25,245,277 ",,,
Philippines,PHL,Medium,High," 77,219,797 "," 78,199,856 ",,,
Qatar,QAT,Low,Low," 2,498,980 "," 2,552,130 ",,,
Russian Federation,RUS,Low,Low," 119,657,060 "," 119,079,276 ",,,
Rwanda,RWA,Very high,Very high," 7,868,619 "," 8,134,318 ",,,
Samoa,WSM,Low,Low," 123,554 "," 126,351 ",,,
Senegal,SEN,High,Very high," 9,672,964 "," 10,003,685 ",,,
Seychelles,SYC,Very low,Very low," 74,957 "," 75,605 ",,,
Sierra Leone,SLE,High,Very high," 4,754,906 "," 4,906,372 ",,,
Singapore,SGP,Very low,Very low," 5,168,692 "," 5,191,942 ",,,
Somalia,SOM,Medium,Medium," 8,708,236 "," 8,939,451 ",,,
South Africa,ZAF,Very low,Low," 42,369,492 "," 43,004,134 ",,,
South Sudan,SSD,Very low,Low," 6,546,780 "," 6,747,018 ",,,
Sri Lanka,LKA,Very low,Very low," 16,306,012 "," 16,434,561 ",,,
Sudan,SDN,Very low,Very low," 26,401,250 "," 27,361,314 ",,,
Tajikistan,TJK,Very low,Very low," 6,075,490 "," 6,181,130 ",,,
Tanzania,TZA,Very high,Very high," 33,945,143 "," 35,217,709 ",,,
Thailand,THA,Low,Low," 57,996,593 "," 58,427,123 ",,,
Togo,TGO,High,High," 4,943,307 "," 5,093,676 ",,,
Tonga,TON,Medium,Medium," 71,391 "," 69,973 ",,,
Tunisia,TUN,Low,Low," 9,026,666 "," 9,078,546 ",,,
Turkey,TUR,Low,Low," 64,365,086 "," 64,880,973 ",,,
Uganda,UGA,Very high,Very high," 24,609,102 "," 25,795,449 ",,,
United Arab Emirates,ARE,Very low,Very low," 8,488,403 "," 8,549,037 ",,,
Vanuatu,VUT,Low,Low," 189,591 "," 195,948 ",,,
Vietnam,VNM,Low,Low," 75,270,353 "," 75,704,848 ",,,
Zambia,ZMB,High,Very high," 10,445,289 "," 10,745,609 ",,,
Zimbabwe,ZWE,Very high, N/A ," 8,686,977 "," 8,835,014 ",,,
