HDI rank,Country,Value,,(years),(2017 PPP $),data_country,data_year
92,Lebanon,0.744,,8.718636,14654.53395,,
93,Fiji,0.743,,10.90163,13009.07311,,
94,Dominica,0.742,,8.142186,11883.95528,,
95,Maldives,0.74,,7.020278,17416.77777,,
95,Tunisia,0.74,,7.22022,10414.06361,,
97,Saint Vincent and the Grenadines,0.738,,8.784648,12377.65413,,
97,Suriname,0.738,,9.261387,14324.37746,,
99,Mongolia,0.737,,10.2512725,10838.6743,,
100,Botswana,0.735,,9.56,16437.14142,,
101,Jamaica,0.734,,9.73305,9319.131127,,
102,Jordan,0.729,,10.518,9858.487276,,
103,Paraguay,0.728,,8.53508,12223.94045,,
104,Tonga,0.725,,11.24,6364.577962,,
105,Libya,0.724,,7.599985,15687.71357,,
106,Uzbekistan,0.72,,11.8072,7141.953943,,
107,Bolivia (Plurinational State of),0.718,,9.017540839,8553.783786,,
107,Indonesia,0.718,,8.16668,11459.09692,,
107,Philippines,0.718,,9.393091398,9777.798117,,
110,Belize,0.716,,9.921731875,6381.597682,,
111,Samoa,0.715,,10.77921,6308.652491,,
111,Turkmenistan,0.715,,10.27379667,14908.6706,,
113,Venezuela (Bolivarian Republic of),0.711,,10.30728,7044.638972,,
114,South Africa,0.709,,10.24064634,12129.23006,,
115,"Palestine, State of",0.708,,9.16551,6417.389121,,
116,Egypt,0.707,,7.434,11466.14512,,
117,Marshall Islands,0.704,,10.8856786,5039.043833,,
117,Viet Nam,0.704,,8.32,7432.706806,,
119,Gabon,0.703,,8.698,13929.80613,,
,MEDIUM HUMAN DEVELOPMENT,,,,,,
120,Kyrgyzstan,0.697,,11.10481377,4864.390351,,
121,Morocco,0.686,,5.648,7368.360268,,
122,Guyana,0.682,,8.489781305,9455.014358,,
123,Iraq,0.674,,7.316,10800.83898,,
124,El Salvador,0.673,,6.907268,8359.115144,,
125,Tajikistan,0.668,,10.7337,3953.598166,,
126,Cabo Verde,0.665,,6.287719287,7019.168144,,
127,Guatemala,0.663,,6.62261,8494.085111,,
128,Nicaragua,0.66,,6.912,5283.658869,,
129,Bhutan,0.654,,4.0738,10745.84396,,
130,Namibia,0.646,,6.99,9356.673607,,
131,India,0.645,,6.5,6681.346904,,
132,Honduras,0.634,,6.573452,5308.452598,,
133,Bangladesh,0.632,,6.219339024,4976.209148,,
134,Kiribati,0.63,,7.984461822,4259.732067,,
135,Sao Tome and Principe,0.625,,6.436763183,3952.072482,,
136,Micronesia (Federated States of),0.62,,7.804956,3982.736516,,
137,Lao People's Democratic Republic,0.613,,5.288,7413.33163,,
138,Eswatini (Kingdom of),0.611,,6.855161078,7919.058294,,
138,Ghana,0.611,,7.306,5268.919684,,
140,Vanuatu,0.609,,7.064846,3104.799016,,
141,Timor-Leste,0.606,,4.794383,4440.457586,,
142,Nepal,0.602,,5.014,3456.706213,,
143,Kenya,0.601,,6.564,4243.62556,,
144,Cambodia,0.594,,4.966,4246.178107,,
145,Equatorial Guinea,0.592,,5.910863,13944.13223,,
146,Zambia,0.584,,7.152016,3325.518591,,
147,Myanmar,0.583,,5.034490583,4960.528169,,
148,Angola,0.581,,5.173993233,6104.05464,,
149,Congo,0.574,,6.517170529,2879.190985,,
150,Zimbabwe,0.571,,8.4668,2665.612042,,
151,Solomon Islands,0.567,,5.711848,2253.346153,,
151,Syrian Arab Republic,0.567,,5.1,3613.05256,,
153,Cameroon,0.563,,6.310862,3580.902737,,
154,Pakistan,0.557,,5.158944258,5005.034893,,
155,Papua New Guinea,0.555,,4.66,4301.098542,,
156,Comoros,0.554,,5.078649,3099.445776,,
,LOW HUMAN DEVELOPMENT,,,,,,
157,Mauritania,0.546,,4.726,5134.570124,,
158,Benin,0.545,,3.826328,3254.245627,,
159,Uganda,0.544,,6.171951533,2123.26935,,
160,Rwanda,0.543,,4.417150539,2155.334054,,
161,Nigeria,0.539,,6.65519163,4910.208257,,
162,Côte d'Ivoire,0.538,,5.288,5068.606313,,
163,Tanzania (United Republic of),0.529,,6.122,2599.847211,,
164,Madagascar,0.528,,6.1,1596.28108,,
165,Lesotho,0.527,,6.53928325,3150.620131,,
166,Djibouti,0.524,,4.1,5689.348966,,
167,Togo,0.515,,4.949925584,1602.34934,,
168,Senegal,0.512,,3.183085,3309.385734,,
169,Afghanistan,0.511,,3.93,2229.362021,,
170,Haiti,0.51,,5.592369636,1708.809043,,
170,Sudan,0.51,,3.77,3828.660219,,
172,Gambia,0.496,,3.922,2167.883472,,
173,Ethiopia,0.485,,2.883189,2206.534378,,
174,Malawi,0.483,,4.73,1034.677638,,
175,Congo (Democratic Republic of the),0.48,,6.76008,1062.543004,,
175,Guinea-Bissau,0.48,,3.5626,1996.042927,,
175,Liberia,0.48,,4.806,1258.410853,,
178,Guinea,0.477,,2.774225,2405.181497,,
179,Yemen,0.47,,3.2,1593.704031,,
180,Eritrea,0.459,,3.9,2793.482718,,
181,Mozambique,0.456,,3.540898438,1250.405688,,
182,Burkina Faso,0.452,,1.644298557,2132.95557,,
182,Sierra Leone,0.452,,3.7,1667.844447,,
184,Mali,0.434,,2.352954412,2268.77278,,
185,Burundi,0.433,,3.287982742,753.9087475,,
185,South Sudan,0.433,,4.8,2003.318894,,
187,Chad,0.398,,2.52368,1555.373575,,
188,Central African Republic,0.397,,4.282,993.0088419,,
189,Niger,0.394,,2.079048967,1200.898463,,
,OTHER COUNTRIES OR TERRITORIES,,,,,,
,Korea (Democratic People's Rep. of),..,,..,..,,
,Monaco,..,,..,..,,
,Nauru,..,,..,16237.48101,,
,San Marino,..,,..,..,,
,Somalia,..,,..,..,,
,Tuvalu,..,,..,6132.201761,,
,,,,,,,
,Human development groups,,,,,,
,Very high human development,0.898,,12.15191294,44566.19215,,
,High human development,0.753,,8.430378198,14255.13543,,
,Medium human development,0.631,,6.312499478,6153.405977,,
,Low human development,0.513,,4.852926424,2744.983431,,
,,,,,,,
,Developing countries,0.689,,7.495571114,10583.33709,,
,,,,,,,
,Regions,,,,,,
,Arab States,0.705,,7.290008195,14869.43441,,
,East Asia and the Pacific,0.747,,8.075379179,14710.15442,,
,Europe and Central Asia,0.791,,10.363461,17939.26003,,
,Latin America and the Caribbean,0.766,,8.724189205,14811.91469,,
,South Asia,0.641,,6.537414195,6531.552457,,
,Sub-Saharan Africa,0.547,,5.75777124,3685.644365,,
,,,,,,,
,Least developed countries,0.538,,4.876942745,2934.928762,,
,Small island developing states,0.728,,8.72367967,16824.75615,,
,,,,,,,
,Organisation for Economic Co-operation and Development,0.9,,11.97606452,44967.02354,,
,,,,,,,
,World,0.737,,8.532743734,16733.82257,,
,,,,,,,
,Notes,,,,,,
,a. Data refer to 2019 or the most recent year available.,,,,,,
,"b. In calculating the HDI value, expected years of schooling is capped at 18 years.",,,,,,
,c. Based on data from OECD (2019b).,,,,,,
,"d. In calculating the HDI value, GNI per capita is capped at $75,000.",,,,,,
,e. Updated by HDRO based on data from Eurostat (2019).,,,,,,
,f. Based on projections from Barro and Lee (2018).,,,,,,
,g. Value from UNDESA (2011).,,,,,,
,h. Imputed mean years of schooling for Austria.,,,,,,
,i. Estimated using the purchasing power parity (PPP) rate and projected growth rate of Switzerland.,,,,,,
,j. Updated by HDRO based on data from UNESCO Institute for Statistics (2020),,,,,,
,k. Based on data from the national statistical office.,,,,,,
,l. Estimated using the PPP rate and projected growth rate of Spain.,,,,,,
,m. Updated by HDRO based on data from United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys for 2006–2019.,,,,,,
,n. Based on cross-country regression.,,,,,,
,o. Updated by HDRO using projections from Barro and Lee (2018).,,,,,,
,p. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for 2006-2019.,,,,,,
,q. Based on cross-country regression and the projected growth rate from UN ECLAC (2020).,,,,,,
,r. Updated by HDRO based on data from CEDLAS and World Bank (2020).,,,,,,
,"s. HDRO estimate based on data from World Bank (2020a), United Nations Statistics Division (2020b) and UN ECLAC (2020)",,,,,,
,"t. HDRO estimate based on data from World Bank (2020a) and United Nations Statistics Division (2020b), and the projected growth rate from UNESCWA (2020).",,,,,,
,"u. HDRO estimate based on data from World Bank (2020a), United Nations Statistics Division (2020b) and IMF (2020).",,,,,,
,,,,,,,
,Definitions,,,,,,
,"Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details on how the HDI is calculated.",,,,,,
,Life expectancy at birth: Number of years a newborn infant could expect to live if prevailing patterns of age-specific mortality rates at the time of birth stay the same throughout the infant’s life.,,,,,,
,Expected years of schooling: Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrolment rates persist throughout the child’s life.,,,,,,
,"Mean years of schooling: Average number of years of education received by people ages 25 and older, converted from education attainment levels using official durations of each level.",,,,,,
,"Gross national income (GNI) per capita: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population.",,,,,,
,GNI per capita rank minus HDI rank: Difference in ranking by GNI per capita and by HDI value. A negative value means that the country is better ranked by GNI than by HDI value.,,,,,,
,"HDI rank for 2018: Ranking by HDI value for 2018, calculated using the same most recently revised data available in 2020 that were used to calculate HDI values for 2019.",,,,,,
,,,,,,,
,,,,,,,
,Main data sources,,,,,,
,"Columns 1 and 7: HDRO calculations based on data from UNDESA (2019a), UNESCO Institute for Statistics (2020), United Nations Statistics Division (2020b), World Bank (2020a), Barro and Lee (2018) and IMF (2020).",,,,,,
,Column 2: UNDESA (2019a). ,,,,,,
,"Column 3: UNESCO Institute for Statistics (2020), ICF Macro Demographic and Health Surveys, UNICEF Multiple Indicator Cluster Surveys and OECD (2019b).",,,,,,
,"Column 4: UNESCO Institute for Statistics (2020), Barro and Lee (2018), ICF Macro Demographic and Health Surveys, UNICEF Multiple Indicator Cluster Surveys and OECD (2019b).",,,,,,
,"Column 5: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)",,,,,,
,Column 6: Calculated based on data in columns 1 and 5.,,,,,,
