Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82578,82578,82578,82571,82561,82554,82531,82523,82520,82520,82520,82520,82520,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83092,82705,82605,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82663,82663,82670,82662,82654,82654,82654
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,780,780,780
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202830,202830,202810,202830,202900,202900,202900,202820,202900,202910,202910,202908,202973,202978,202988,202990,202980,202980,202980
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38144,38144,38140,38140,38140
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,,1105986,1105966,1105976,1105976,1105966,1105956,1105946,1105936,1105936,1105926,1105916,1105916,1105916,1105916,1105916,1105896,1105906,1105916,1105866,1105856,1105846,1105836,1105826,1105826,1105826,1105826,1105826,1105816,1104826,1104826,1104936,1104936,1104926,1104976,1104956,1105056,1105006,1104996,1105006,1104936,1104936,1103266,1103276,1103436,1103286,1103256,1103146,1103137.2,1104120.8,1104162.2,1104188,1103997.7,1105073,1106380,1106364.6,1106354,1106329.1,1106266.4,1106266.4,1106266.4
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39528,39527,39526,39525,39524,39523,39522,39521,39520,39518,39517,39516,39516,39516,39516,39516,39516,39516,39516,39516.03,39516.03,39516.03,39516.03,39516.03,39516.03
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424690,9424690,9424680,9424680,9424680,9424680,9424680,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424720,9424710,9424710,9424710,9424710,9424700,9424700.2,9424700.2,9424699.7,9424700.5,9424699.8,9424700,9424700,9424700,9424700.5,9424700.7,9424700.9,9424700.9,9424701.3,9424701.3,9424701.4,9424700.5,9424700.8,9424702.9,9424702.9,9424702.9
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404940,404940,404940,404940,404940,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106863,106649,104220,104020,104100,104040,103800,103800,103800,103800
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77220,77220,77210,77220,77210,77200,77200,77200
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348860,349360,349370,349380,349380,349380
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42380,42380,42380,42380,42380,42380,42380,42380,42390,42390,42390,42390,42390,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,40000,40000,40000,40000,40000,40000,40000,40000,40000
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741
