Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyz Republic,Lebanon,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe,data_country,data_year
1.5 Government powers are subject to non-governmental checks,0.59,0.53,0.41,0.43,0.60,0.70,0.79,0.84,0.69,0.28,0.71,0.25,0.80,0.52,0.51,0.46,0.44,0.59,0.54,0.61,0.61,0.30,0.36,0.85,0.72,0.14,0.56,0.39,0.83,0.36,0.63,0.76,0.97,0.53,0.63,0.53,0.06,0.56,0.79,0.31,0.89,0.71,0.63,0.66,0.85,0.74,0.69,0.62,0.62,0.51,0.61,0.46,0.56,0.48,0.58,0.68,0.19,0.69,0.67,0.71,0.44,0.34,0.52,0.57,0.60,0.55,0.61,0.49,0.58,0.51,0.55,0.35,0.61,0.51,0.51,0.62,0.46,0.41,0.38,0.74,0.63,0.85,0.83,0.36,0.41,0.50,0.50,0.95,0.54,0.69,0.69,0.53,0.62,0.80,0.66,0.67,0.39,0.45,0.62,0.48,0.55,0.48,0.71,0.71,0.72,0.63,0.65,0.65,0.61,0.59,0.85,0.42,0.54,0.39,0.65,0.65,0.26,0.39,0.61,0.33,0.84,0.79,0.78,0.33,0.24,0.40,0.39,0.27,,
1.6 Transition of power is subject to the law,0.34,0.47,0.44,0.45,0.74,0.79,0.92,0.94,0.79,0.34,0.80,0.29,0.90,0.61,0.77,0.45,0.51,0.77,0.60,0.53,0.63,0.31,0.37,0.95,0.89,0.25,0.62,0.41,0.91,0.49,0.72,0.85,0.99,0.57,0.57,0.52,0.39,0.59,0.91,0.32,0.98,0.88,0.80,0.59,0.96,0.72,0.86,0.69,0.63,0.47,0.64,0.29,0.58,0.51,0.73,0.72,0.46,0.79,0.74,0.81,0.42,0.36,0.46,0.55,0.52,0.51,0.65,0.51,0.60,0.61,0.59,0.43,0.72,0.60,0.50,0.55,0.57,0.39,0.62,0.74,0.66,0.90,0.93,0.23,0.46,0.51,0.53,0.98,0.51,0.77,0.73,0.53,0.75,0.91,0.85,0.70,0.40,0.70,0.72,0.46,0.58,0.74,0.79,0.71,0.87,0.69,0.69,0.72,0.67,0.57,0.93,0.52,0.35,0.37,0.70,0.76,0.35,0.35,0.61,0.54,0.86,0.70,0.90,0.50,0.19,0.45,0.48,0.24,,
Factor 2: Absence of Corruption,0.30,0.37,0.45,0.43,0.61,0.52,0.82,0.82,0.63,0.36,0.70,0.54,0.80,0.43,0.38,0.27,0.44,0.59,0.45,0.44,0.42,0.24,0.26,0.83,0.69,0.53,0.39,0.16,0.66,0.36,0.58,0.65,0.95,0.60,0.39,0.42,0.40,0.38,0.79,0.46,0.89,0.74,0.48,0.68,0.82,0.39,0.56,0.65,0.34,0.29,0.46,0.32,0.84,0.51,0.42,0.39,0.43,0.63,0.55,0.82,0.60,0.49,0.27,0.46,0.32,0.36,0.32,0.27,0.41,0.60,0.34,0.29,0.59,0.27,0.34,0.42,0.44,0.37,0.46,0.53,0.41,0.88,0.87,0.34,0.40,0.33,0.44,0.94,0.31,0.42,0.33,0.46,0.73,0.72,0.67,0.56,0.43,0.63,0.54,0.44,0.35,0.91,0.66,0.48,0.73,0.47,0.64,0.64,0.70,0.45,0.91,0.42,0.49,0.43,0.49,0.49,0.47,0.26,0.33,0.80,0.82,0.74,0.73,0.40,0.31,0.42,0.38,0.32,,
2.1 Government officials in the executive branch do not use public office for private gain,0.38,0.39,0.40,0.35,0.58,0.49,0.78,0.78,0.54,0.41,0.63,0.45,0.77,0.38,0.44,0.36,0.36,0.55,0.39,0.41,0.44,0.27,0.29,0.80,0.62,0.49,0.42,0.23,0.65,0.34,0.50,0.60,0.92,0.48,0.39,0.43,0.41,0.36,0.73,0.42,0.90,0.72,0.42,0.60,0.81,0.38,0.52,0.60,0.33,0.26,0.42,0.34,0.83,0.40,0.42,0.48,0.36,0.56,0.49,0.79,0.58,0.46,0.29,0.45,0.37,0.34,0.31,0.31,0.36,0.57,0.40,0.27,0.60,0.31,0.33,0.39,0.48,0.32,0.56,0.46,0.46,0.84,0.86,0.39,0.38,0.31,0.39,0.92,0.36,0.45,0.37,0.48,0.64,0.66,0.70,0.49,0.41,0.67,0.47,0.43,0.37,0.91,0.63,0.40,0.68,0.43,0.48,0.56,0.62,0.40,0.87,0.47,0.46,0.45,0.44,0.53,0.45,0.28,0.32,0.77,0.84,0.73,0.65,0.32,0.29,0.48,0.40,0.31,,
2.2 Government officials in the judicial branch do not use public office for private gain,0.19,0.32,0.54,0.51,0.83,0.67,0.97,0.94,0.79,0.35,0.89,0.73,0.94,0.60,0.46,0.18,0.57,0.76,0.73,0.58,0.48,0.14,0.28,0.95,0.84,0.55,0.52,0.15,0.80,0.42,0.73,0.87,0.99,0.87,0.50,0.42,0.46,0.50,0.95,0.40,0.98,0.90,0.59,0.73,0.95,0.54,0.80,0.79,0.45,0.29,0.60,0.39,0.94,0.71,0.50,0.32,0.54,0.81,0.81,0.97,0.70,0.57,0.46,0.45,0.39,0.44,0.33,0.28,0.53,0.76,0.24,0.37,0.79,0.32,0.39,0.51,0.45,0.37,0.27,0.86,0.40,0.97,0.96,0.28,0.49,0.49,0.49,0.97,0.38,0.47,0.44,0.40,0.88,0.88,0.88,0.72,0.55,0.60,0.60,0.51,0.35,0.91,0.79,0.73,0.88,0.59,0.89,0.88,0.85,0.66,0.98,0.42,0.71,0.45,0.70,0.46,0.58,0.33,0.49,0.88,0.96,0.89,0.91,0.44,0.16,0.38,0.53,0.43,,
2.3 Government officials in the police and the military do not use public office for private gain,0.41,0.52,0.49,0.47,0.73,0.61,0.91,0.93,0.78,0.30,0.82,0.66,0.89,0.52,0.45,0.28,0.58,0.74,0.59,0.63,0.55,0.23,0.28,0.88,0.82,0.68,0.53,0.18,0.75,0.44,0.76,0.79,0.98,0.74,0.47,0.55,0.42,0.55,0.92,0.45,0.96,0.85,0.51,0.89,0.91,0.37,0.74,0.74,0.50,0.34,0.42,0.48,0.88,0.70,0.43,0.51,0.52,0.85,0.62,0.93,0.78,0.57,0.26,0.64,0.38,0.52,0.41,0.35,0.41,0.62,0.35,0.29,0.63,0.32,0.51,0.63,0.44,0.44,0.44,0.53,0.58,0.91,0.92,0.49,0.47,0.35,0.67,0.96,0.29,0.55,0.39,0.53,0.87,0.87,0.76,0.75,0.51,0.70,0.67,0.56,0.36,0.94,0.76,0.57,0.88,0.56,0.77,0.71,0.78,0.53,0.97,0.37,0.49,0.46,0.56,0.57,0.67,0.23,0.42,0.84,0.85,0.83,0.82,0.39,0.37,0.44,0.35,0.31,,
2.4 Government officials in the legislative branch do not use public office for private gain,0.24,0.23,0.39,0.37,0.30,0.30,0.61,0.63,0.41,0.38,0.45,0.34,0.60,0.23,0.17,0.23,0.23,0.32,0.07,0.14,0.23,0.31,0.18,0.71,0.48,0.41,0.08,0.08,0.44,0.24,0.33,0.36,0.89,0.30,0.21,0.27,0.30,0.11,0.57,0.56,0.72,0.48,0.42,0.51,0.62,0.27,0.20,0.46,0.06,0.25,0.37,0.09,0.72,0.21,0.33,0.27,0.30,0.30,0.26,0.58,0.33,0.34,0.08,0.31,0.15,0.16,0.25,0.15,0.35,0.42,0.37,0.23,0.33,0.15,0.13,0.15,0.39,0.33,0.57,0.29,0.21,0.80,0.76,0.21,0.28,0.17,0.23,0.91,0.21,0.22,0.13,0.41,0.55,0.50,0.32,0.28,0.24,0.55,0.41,0.26,0.34,0.90,0.47,0.23,0.49,0.30,0.42,0.40,0.54,0.21,0.82,0.42,0.30,0.36,0.25,0.38,0.19,0.19,0.09,0.70,0.64,0.50,0.53,0.46,0.42,0.37,0.24,0.22,,
Factor 3: Open Government ,0.41,0.47,0.34,0.37,0.52,0.64,0.81,0.71,0.50,0.43,0.52,0.36,0.76,0.45,0.41,0.43,0.47,0.50,0.61,0.56,0.47,0.27,0.34,0.81,0.71,0.43,0.64,0.34,0.70,0.38,0.61,0.67,0.88,0.50,0.53,0.50,0.22,0.53,0.81,0.32,0.86,0.78,0.36,0.57,0.79,0.50,0.61,0.46,0.51,0.37,0.45,0.42,0.73,0.46,0.61,0.55,0.28,0.63,0.56,0.68,0.42,0.46,0.48,0.56,0.54,0.40,0.47,0.46,0.43,0.42,0.46,0.27,0.54,0.60,0.55,0.49,0.44,0.35,0.37,0.58,0.52,0.82,0.82,0.37,0.35,0.43,0.48,0.89,0.43,0.59,0.55,0.52,0.60,0.66,0.71,0.61,0.49,0.58,0.43,0.47,0.40,0.64,0.65,0.62,0.71,0.51,0.44,0.49,0.52,0.39,0.86,0.38,0.51,0.30,0.56,0.49,0.42,0.40,0.57,0.36,0.79,0.78,0.72,0.33,0.28,0.46,0.38,0.32,,
3.1. Publicized laws and government data ,0.24,0.46,0.24,0.12,0.29,0.70,0.91,0.71,0.31,0.35,0.25,0.24,0.70,0.36,0.29,0.32,0.45,0.21,0.71,0.56,0.30,0.21,0.20,0.88,0.66,0.47,0.67,0.19,0.47,0.19,0.54,0.68,0.86,0.38,0.35,0.38,0.33,0.42,0.88,0.23,0.90,0.84,0.17,0.51,0.75,0.25,0.57,0.29,0.30,0.17,0.27,0.30,0.72,0.55,0.56,0.36,0.35,0.61,0.37,0.74,0.35,0.53,0.29,0.50,0.53,0.24,0.18,0.34,0.17,0.33,0.25,0.17,0.60,0.67,0.60,0.39,0.37,0.17,0.20,0.33,0.31,0.79,0.85,0.35,0.20,0.20,0.49,0.88,0.25,0.41,0.38,0.43,0.58,0.56,0.69,0.60,0.57,0.60,0.33,0.54,0.09,0.79,0.67,0.54,0.71,0.42,0.19,0.27,0.26,0.32,0.78,0.25,0.44,0.21,0.38,0.37,0.48,0.15,0.60,0.37,0.89,0.77,0.72,0.27,0.18,0.54,0.25,0.17,,
3.2 Right to information,0.40,0.43,0.31,0.40,0.58,0.53,0.70,0.63,0.45,0.55,0.52,0.36,0.64,0.39,0.38,0.42,0.49,0.54,0.61,0.46,0.49,0.25,0.35,0.66,0.75,0.56,0.60,0.34,0.76,0.46,0.61,0.63,0.84,0.53,0.55,0.48,0.11,0.59,0.75,0.37,0.80,0.73,0.33,0.63,0.73,0.42,0.61,0.37,0.52,0.33,0.45,0.42,0.74,0.37,0.59,0.55,0.32,0.64,0.60,0.62,0.56,0.45,0.39,0.51,0.53,0.43,0.45,0.43,0.42,0.42,0.46,0.28,0.42,0.59,0.52,0.50,0.47,0.32,0.40,0.53,0.54,0.74,0.76,0.25,0.29,0.39,0.49,0.88,0.39,0.58,0.60,0.64,0.50,0.62,0.76,0.53,0.40,0.61,0.46,0.46,0.43,0.61,0.61,0.53,0.66,0.46,0.39,0.52,0.58,0.30,0.92,0.46,0.45,0.26,0.54,0.48,0.50,0.44,0.51,0.33,0.67,0.74,0.62,0.29,0.25,0.35,0.44,0.37,,
3.3 Civic participation,0.56,0.44,0.38,0.38,0.63,0.68,0.78,0.81,0.70,0.33,0.70,0.33,0.82,0.52,0.55,0.47,0.44,0.64,0.54,0.60,0.59,0.34,0.39,0.84,0.67,0.22,0.56,0.41,0.78,0.45,0.63,0.71,0.94,0.58,0.59,0.52,0.16,0.51,0.80,0.29,0.88,0.74,0.59,0.61,0.86,0.71,0.64,0.64,0.58,0.51,0.57,0.46,0.64,0.42,0.58,0.65,0.17,0.67,0.66,0.67,0.38,0.34,0.57,0.57,0.59,0.50,0.60,0.49,0.60,0.51,0.56,0.37,0.60,0.54,0.51,0.60,0.45,0.43,0.44,0.72,0.61,0.84,0.83,0.36,0.45,0.52,0.51,0.92,0.55,0.66,0.61,0.51,0.61,0.77,0.66,0.59,0.39,0.53,0.62,0.47,0.54,0.51,0.71,0.70,0.71,0.61,0.62,0.64,0.63,0.56,0.85,0.48,0.53,0.38,0.66,0.62,0.28,0.45,0.59,0.32,0.83,0.79,0.77,0.26,0.26,0.42,0.42,0.28,,
3.4 Complaint mechanisms,0.44,0.54,0.45,0.56,0.57,0.63,0.86,0.71,0.56,0.48,0.61,0.52,0.88,0.53,0.44,0.51,0.51,0.60,0.58,0.61,0.50,0.29,0.41,0.84,0.77,0.45,0.72,0.43,0.80,0.42,0.65,0.67,0.87,0.53,0.63,0.62,0.29,0.61,0.81,0.40,0.85,0.82,0.34,0.55,0.83,0.64,0.62,0.52,0.63,0.45,0.52,0.53,0.83,0.49,0.71,0.62,0.30,0.60,0.62,0.71,0.38,0.51,0.68,0.67,0.50,0.45,0.65,0.58,0.53,0.44,0.56,0.25,0.54,0.62,0.56,0.47,0.47,0.49,0.44,0.72,0.61,0.92,0.84,0.53,0.45,0.60,0.44,0.86,0.52,0.73,0.61,0.49,0.69,0.71,0.71,0.71,0.60,0.60,0.32,0.40,0.53,0.65,0.63,0.72,0.76,0.54,0.56,0.55,0.62,0.38,0.89,0.36,0.61,0.35,0.66,0.51,0.42,0.57,0.56,0.42,0.77,0.80,0.75,0.51,0.42,0.54,0.42,0.45,,
