,SDG3,SDG4.3,SDG4.4,SDG8.5,data_country,data_year
,53.28,7.56836,4.282,993.0088419,,
,62.42,6.47145,2.079048967,1200.898463,,
,,,,,,
,72.27,10.78317,..,..,,
,..,..,..,..,,
,..,11.23418,..,16237.48101,,
,..,13.04993,..,..,,
,57.4,..,..,..,,
,..,12.30895,..,6132.201761,,
,,,,,,
,,,,,,
,79.59118787,16.3118897,12.15191294,44566.19215,,
,75.31547674,13.98786727,8.430378198,14255.13543,,
,69.29956826,11.54807521,6.312499478,6153.405977,,
,61.44213085,9.419850034,4.852926424,2744.983431,,
,,,,,,
,71.28308589,12.2348791,7.495571114,10583.33709,,
,,,,,,
,,,,,,
,72.08207021,12.09259842,7.290008195,14869.43441,,
,75.44936067,13.60730763,8.075379179,14710.15442,,
,74.40824125,14.68012201,10.363461,17939.26003,,
,75.57619649,14.6120839,8.724189205,14811.91469,,
,69.94834879,11.6823154,6.537414195,6531.552457,,
,61.54115758,10.05352959,5.75777124,3685.644365,,
,,,,,,
,65.34563025,9.891632835,4.876942745,2934.928762,,
,72.00460252,12.30920512,8.72367967,16824.75615,,
,,,,,,
,80.35222359,16.28604633,11.97606452,44967.02354,,
,,,,,,
,72.75246611,12.70642963,8.532743734,16733.82257,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
