Global Rank,Region,Country and Region,Year,Technology,Data Science
75,MENA,Morocco,2020,0.35,0.36
76,Asia Pacific,Thailand,2020,0.39,0.46
77,Sub-Saharan Africa,Kenya,2020,0.22,0.19
78,Latin America and the Caribbean,Uruguay,2020,0.27,0.56
79,Asia Pacific,Myanmar,2020,0.42,0.15
80,Sub-Saharan Africa,Nigeria,2020,0.15,0.08
81,Asia Pacific,Kazakhstan,2020,0.36,0.20
82,Latin America and the Caribbean,Argentina,2020,0.25,0.54
83,Latin America and the Caribbean,Brazil,2020,0.48,0.22
84,Latin America and the Caribbean,El Salvador,2020,0.34,0.28
85,Latin America and the Caribbean,Saint Lucia,2020,0.66,0.04
86,Asia Pacific,Kyrgyzstan,2020,0.30,0.21
87,MENA,Sudan,2020,0.26,0.17
88,MENA,Oman,2020,0.24,0.10
89,Latin America and the Caribbean,Chile,2020,0.19,0.42
90,Sub-Saharan Africa,Botswana,2020,0.05,0.05
91,Latin America and the Caribbean,Colombia,2020,0.11,0.45
92,Latin America and the Caribbean,Dominican Republic,2020,0.18,0.14
93,Latin America and the Caribbean,Ecuador,2020,0.12,0.43
94,Latin America and the Caribbean,Puerto Rico,2020,0.16,0.30
95,MENA,Algeria,2020,0.31,0.21
96,Latin America and the Caribbean,Nicaragua,2020,0.17,0.12
97,Latin America and the Caribbean,Bolivia,2020,0.04,0.23
98,Latin America and the Caribbean,Honduras,2020,0.09,0.16
99,Latin America and the Caribbean,Guatemala,2020,0.04,0.13
100,Asia Pacific,Bhutan,2020,0.14,0.03
101,Latin America and the Caribbean,Panama,2020,0.13,0.07
102,Latin America and the Caribbean,Mexico,2020,0.10,0.26
103,MENA,Iraq,2020,0.03,0.06
104,Asia Pacific,Uzbekistan,2020,0.06,0.09
105,Sub-Saharan Africa,Sierra Leone,2020,0.02,0.04
106,Latin America and the Caribbean,Paraguay,2020,0.07,0.11
107,Latin America and the Caribbean,Guyana,2020,0.08,0.02
108,Sub-Saharan Africa,Somalia,2020,0.01,0.01
