Country,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Bhutan,"Bhutan Information, Communications and Media Act 2018 (in English and Dzongkha)",https://www.dit.gov.bt/information-communications-and-media-act-bhutan-2018,,
Bolivia (Plurinational State of),"Ley general de Telecomunicaciones, Tecnologías de Información y Comunicación – Ley 167 de 08 agosto de 2011 (in Spanish)",https://www.wipo.int/edocs/lexdocs/laws/es/bo/bo052es.pdf,,
Bosnia and Herzegovina,Law on the Protection of Personal Data (Unofficial in English),https://rm.coe.int/CoERMPublicCommonSearchServices/DisplayDCTMContent?documentId=09000016806af037,,
Bosnia and Herzegovina,General regulations of the Personal Data Protection Agency (in English),http://www.azlp.ba/propisi/default.aspx?id=8&langTag=en-US&template_id=149&pageIndex=1,,
Botswana,Bill - Data protection Law 2018 (in English),https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,,
Brazil,Protection of Personal Data Bill 2011 (in Portuguese),http://participacao.mj.gov.br/dadospessoais/texto-em-debate/anteprojeto-de-lei-para-a-protecao-de-dados-pessoais/,,
Brazil,"Internet Act (Law Nº 12.965, April 23rd 2014). Articles 7 and 8 (in Portuguese)",http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,,
Brazil,General Data Privacy Law (in Portuguese),http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13709.htm,,
Bulgaria,Law for Protection of Personal Data (in English),https://www.cpdp.bg/en/index.php?p=element&aid=1194,,
Bulgaria,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Burkina Faso,Loi n° 010-2004/AN Portant Protection des Données à Caractère Personnel (in French),http://www.afapdp.org/wp-content/uploads/2012/01/Burkina-Faso-Loi-portant-protection-des-donn%C3%A9es-%C3%A0-caract%C3%A8re-personnel-20042.pdf,,
Cambodia,Article 32 of the Law on Electronic Commerce (2019) (in English), https://www.ccfdg.gov.kh/pdf-view/?filename=https://www.ccfdg.gov.kh/wp-content/uploads/2021/02/Khmer_Law-on-E-Commerce.pdf  ,,
Cameroon,Loi n*2010/012 du 21 décembre 2010 relative à la cybersécurité et à la cybercriminalité (in French),http://www.art.cm/sites/default/files/documents/loi_2010-012_cybersecurite_cybercriminalite.pdf,,
Canada,Personal Information Protection and Electronic Documents Act (in English and French),https://laws-lois.justice.gc.ca/PDF/P-8.6.pdf,,
Cape Verde,Regime Jurídico Geral de Protecção de Dados Pessoais a Pessoas Singulares Lei n° 133/V/2001 of 22 January 2001 (in Portuguese),http://www.afapdp.org/wp-content/uploads/2012/01/Cap-vert-Lei-n%C2%B0133-V-2001-do-22-janeiro-20011.pdf,,
Chad,Law 007/PR/2015 on the Protection of Personal Data (in French and Arabic),https://arcep.td/sites/default/files/Loi-N%C2%B007-PR-2015.pdf,,
Chile,Law 19.628 (in Spanish),http://www.leychile.cl/Navegar?idNorma=141599,,
Chile,Boletín N° 11144-07 (in Spanish),https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=11661&prmBoletin=11144-07,,
China,"The Decision of the Standing Committee of the National People's Congress on Strengthening the Network Information Protection, 2012 (In English, unofficial translation)",https://chinacopyrightandmedia.wordpress.com/2012/12/28/national-peoples-congress-standing-committee-decision-concerning-strengthening-network-information-protection/,,
China,"The Decision of the Standing Committee of the National People's Congress on Strengthening the Network Information Protection, 2012 (in Chinese)",http://www.gov.cn/jrzg/2012-12/28/content_2301231.htm,,
Colombia,Ley 1581 de 2012 - Marco general de la protección de los datos personales en Colombia (in Spanish),https://www.funcionpublica.gov.co/eva/gestornormativo/norma_pdf.php?i=49981,,
Congo,Loi n° 29-2019 du 10 octobre 2019 portant protection des données à caractère personnel (in French),https://www.sgg.cg/JO/2019/congo-jo-2019-45.pdf,,
Costa Rica,"Political Constitution of the Republic of Costa Rica, consolidated version to October 5, 2005 (in English)",http://www.wipo.int/wipolex/en/text.jsp?file_id=219959,,
Costa Rica,"Constitución Política de la República de Costa Rica, versión refundida al 5 de octubre de 2005 (in Spanish)",http://www.wipo.int/wipolex/en/text.jsp?file_id=219833,,
Costa Rica,Ley de protección de la persona frente al tratamiento de sus datos personales - Ley n.º 8968 (in Spanish),http://www.oas.org/es/sla/ddi/docs/CR4%20Ley%20de%20Protecci%C3%B3n%20de%20la%20Persona%20frente%20al%20Tratamiento%20de%20sus%20Datos%20Personales.pdf,,
Côte d'Ivoire,Loi n° 2013-450 du 19 juin 2013 relative à la protection des données à caractère personnel (in French),http://media.mofo.com/files/PrivacyLibrary/3979/Cote-d-voire-loi_2013_450.pdf,,
Croatia,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Croatia,Act on Personal Data Protection (in English),http://www.right2info.org/resources/publications/laws-1/croatia-personal-data-protection-act/view,,
Cyprus,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Cyprus,The Processing of Personal Data (Protection of the Individual) Law (in English),http://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/2B53605103DCE4A4C225826300362211/$file/Law%20125(I)%20of%202018%20ENG%20final.pdf,,
Czech Republic,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Czech Republic,Act No. 11/2019 on changes related to Act on Processing Personal Data (In Czech),https://aplikace.mvcr.cz/sbirka-zakonu/ViewFile.aspx?type=z&id=63840,,
Czech Republic,Act No. 110/2019 on Processing of Personal Data (In Czech),https://aplikace.mvcr.cz/sbirka-zakonu/ViewFile.aspx?type=z&id=63839,,
Denmark,Act on Processing of Personal Data (in Danish),https://www.retsinformation.dk/Forms/R0710.aspx?id=201319,,
Denmark,Act on Processing of Personal Data (in English),https://rm.coe.int/16806af0e6,,
Denmark,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Dominica,Bill - Privacy and Data Protection,,,
Dominican Republic,"Ley No. 172-13, sobre Protección de Datos de Carácter Personal del 13 de diciembre de 2013 (in English)",https://indotel.gob.do/media/6200/ley_172_13.pdf,,
Ecuador, Protection of Privacy and Personal Data Bill 2019 (in Spanish),https://www.nmslaw.com.ec/wp-content/uploads/2019/09/Proyecto-de-Ley-Org%C3%A1nica-de-Protecci%C3%B3n-de-Datos-Personales.pdf,,
Egypt,"Personal Data Protection Law, Law No. 151 of 2020 (in Arabic)",https://mcit.gov.eg/Upcont/Documents/Reports%20and%20Documents_1232021000_Law_No_151_2020_Personal_Data_Protection.pdf,,
El Salvador,Bill - Ley de Comercio Electronico y Comunicaciones (in Spanish),https://www.asamblea.gob.sv/sites/default/files/documents/correspondencia/2A326CE8-F13A-4828-8640-648235C228BF.pdf,,
Equatorial Guinea,"Law No. 1/2016, Law on Personal Data Protection",https://platform.dataguidance.com/notes/equatorial-guinea-data-protection-overview,,
Estonia,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Estonia,Data Protection Act (in English),https://www.riigiteataja.ee/en/eli/ee/529012015008/consolide/current,,
Eswatini,"Bill Data Protection, 2013",,,
Finland,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Finland,"Personal Data Act (in English, unofficial translation)",http://www.finlex.fi/en/laki/kaannokset/1999/19990523,,
France,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
France,Law relating to the protection of individuals against the processing of personal data (in English),http://www.cnil.fr/fileadmin/documents/en/Act78-17VA.pdf,,
France,"Loi 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés modifiée (in French)",http://www.cnil.fr/fileadmin/documents/approfondir/textes/CNIL-78-17_definitive-annotee.pdf,,
Gabon,Loi n°001/2011 relative à la protection des données à caractère personnel (in French),http://www.afapdp.org/wp-content/uploads/2012/01/Gabon-Loi-relative-%C3%A0-la-protection-des-donn%C3%A9es-personnelles-du-4-mai-20112.pdf,,
Gambia,Information and Communications Act  No. 2 of 2009 (in English),http://www.pura.gm/wp-content/uploads/2018/01/IC-Info-Comms-Act-2009.pdf,,
Gambia,Bill to be enforced in 2020 : Data protection and Privacy Policy ,http://www.pura.gm/wp-content/uploads/2019/08/Data-Protection-and-Privacy-Draft-Policy-and-Strategy-August-2019.pdf,,
Georgia,Law of Georgia on Personal Data Protection (in English),https://matsne.gov.ge/en/document/download/1561437/7/en/pdf,,
Georgia,Law of Georgia on Personal Data Protection (in Georgian),https://matsne.gov.ge/en/document/view/1561437?impose=original,,
Germany,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Germany,Federal Data Protection Act (in English),https://www.gesetze-im-internet.de/englisch_bdsg/,,
Germany,Bundesdatenschutzgesetz - BDSG (in German),https://www.gesetze-im-internet.de/bdsg_2018/BJNR209710017.html,,
Ghana,Data Protection Act (Act No. 843) 2012 - DPA (in English),http://media.mofo.com/files/PrivacyLibrary/3981/GHANAbill.pdf,,
Greece,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Greece,Law No. 4624/2019 Hellenic Data Protection Authority (HDPA) (in Greek),"https://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=66,121,83,229,125,127,247,242",,
Guatemala,Iniciativa de Ley Número 4090 del Congreso de la República de Guatemala Ley de Protección de Datos Personales (in Spanish),https://www.congreso.gob.gt/assets/uploads/info_legislativo/iniciativas/Registro4090.pdf,,
Guinea,Loi L/2016/037/AN relative à la cyber-sécurité et la protection des données à caractère personnel (in French),https://mpten.gov.gn/wp-content/uploads/2019/06/loi_l2016037an_relative_a_la_cybersecurite_et_protection_des_do.pdf,,
Guyana,Draft Data Privacy Bill 2020,,,
Honduras,Ley de trasnparencia y accesso a la información pública DECRETO No. 170‐2006 (in Spanish),http://www.oas.org/es/sla/ddi/docs/H2%20LeyDeTransparencia.pdf,,
Hungary,Act CXII of 2011 on the right to informational self-determination and on the freedom of information (in Hungarian),http://njt.hu/translated/doc/J2011T0112P_20200101_FIN.PDF ,,
Hungary,Act CVIII of 2001 on the certain aspects of electronic commerce services and information society services (in Hungarian),https://njt.hu/jogszabaly/2001-108-00-00,,
Hungary,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Iceland,Data protection and the Processing of Personal Data Law No.90/2018 (in English),https://www.personuvernd.is/media/uncategorized/Act_No_90_2018_on_Data_Protection_and_the_Processing_of_Personal_Data.pdf,,
India,"Bill - Personal Data Protection, 2019 (in English)",http://164.100.47.4/BillsTexts/LSBillTexts/Asintroduced/373_2019_LS_Eng.pdf,,
India,Information Technology Act 2000 (in English),http://cc.tifrh.res.in/webdata/documents/events/facilities/IT_act_2008.pdf,,
Indonesia,Personal Data Protection in Electronic Systems Regulation 2016 (in English),,,
Indonesia,Systems Regulation 2016 (in English),http://zaico.nl/files/RUU-ITE_english.pdf,,
Iran (Islamic Republic of), Bill - Protection of Data and Privacy in the Cyber Space 2018,,,
Iran (Islamic Republic of),Electronic Commerce Law - General Law (in Persian) ,http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/91715/106512/F1311829502/IRN91715.pdf,,
Iraq,Bill - Data Protection and Privacy Law,,,
Ireland,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Ireland,"Data Protection Act, 1988 (in English)",http://www.irishstatutebook.ie/1988/en/act/pub/0025/print.html,,
Israel,Privacy Protection Act No.5741/1981 and 5752/1992 (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=347462,,
Italy,Data Protection Code Decree No. 196/2003 (in English),http://www.privacy.it/archivio/privacycode-en.html,,
Italy,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Italy,"Decreto Legislativo 30 giugno 2003, n. 196 - Codice in materia di protezione dei dati personali (in Italian)",http://www.camera.it/parlam/leggi/deleghe/03196dl.htm,,
Jamaica,The Constitution of Jamaica (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=214630,,
Jamaica,Data Protection Act 2020,"https://japarliament.gov.jm/attachments/article/341/The%20Data%20Protection%20Act,%202020%20No.%207.pdf",,
Jamaica,Electronic Transactions Act No 15 of 2006 (in English),http://moj.gov.jm/sites/default/files/laws/Electronic%20Transactions%20pgs.%201-34.pdf,,
Japan,"Act on the Protection of Personal Information (in English, unofficial translation)",http://www.cas.go.jp/jp/seisaku/hourei/data/APPI.pdf,,
Jordan,Data Protection Bill,,,
Kazakhstan,"Law of the Republic of Kazakhstandated April 12, 2004 No. 544 On Regulation of Trading Activities (in Russian)",http://10.61.42.188/rus/docs/Z040000544_,,
Kenya,"The Data Protection Act, 2019 (in English)",http://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/2019/TheDataProtectionAct__No24of2019.pdf,,
Republic of Korea,"Personal Information Protection Act (in English, Korean)",https://law.go.kr/LSW/eng/engLsSc.do?menuId=2&section=lawNm&query=Personal+Information+Protection+Act&x=0&y=0,,
Kuwait,Law No. 20 of 2014 (in English),http://www.informatica-juridica.com/etiqueta/law-no-20-of-2014-concerning-electronic-transactions/,,
Kyrgyzstan,Personal Data No.58/2008 ,https://www.legislationline.org/download/id/4220/file/Kyrgyz_Law_personal_data_2008_EN.pdf,,
Lao People's Democratic Republic,Law on Electronic Data Protection (in Laocian),https://laoofficialgazette.gov.la/kcfinder/upload/files/0918570.pdf,,
Latvia,Personal Data Processing Law,https://likumi.lv/ta/en/en/id/300099-personal-data-processing-law,,
Latvia,Amendments to the Electronic Communications Law - point 2 (in Latvian),https://www.vestnesis.lv/op/2020/21.1,,
Lebanon,Law No. 81 Relating to Electronic Transactions and Personal Data,https://cyrilla.org/api/files/1588765194459b2ei80i27m.pdf,,
Lesotho,Data Protection Act No. 19 2012 (in English),http://www.nic.ls/lsnic/community/policies/Data_Protection_Act_2011_Lesotho.pdf,,
Liechtenstein,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Liechtenstein,"Gesetz über die Abänderung des Datenschutzgesetzes, 2002 (in German)",http://www.wipo.int/edocs/lexdocs/laws/de/li/li069de.pdf,,
Lithuania,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Lithuania,Law on Legal Protection of Personal Data (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=202094,,
Luxembourg,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Luxembourg,Data Protection Law (in French),http://legilux.public.lu/eli/etat/leg/loi/2002/08/02/n2/jo,,
Madagascar,Law No. 38/2014 Protection of personal data (in French),http://www.afapdp.org/wp-content/uploads/2015/01/Madagascar-L-2014-038-du-09-01-15-sur-la-protection-des-donn%C3%A9es-%C3%A0-caract%C3%A8re-personnel.pdf,,
Malawi,"Electronic Transactions and Cyber Security Act, 2016 (in English)",https://www.macra.org.mw/?wpdmpro=electronic-transaction-and-cyber-security-act-2016,,
Malaysia,Personal Data Protection Act 2010 (in English),http://www.kkmm.gov.my/pdf/Personal%20Data%20Protection%20Act%202010.pdf,,
Maldives,Bill - Law coming on Q3 2020,,,
Mali,Loi sur la protection des données à caractère personnel - Loi n° 2013-015 du 21 mai 2013 (in French),http://www.afapdp.org/wp-content/uploads/2012/01/Mali-Loi-sur-la-protection-des-donn%C3%A9es-personnelles-du-21-mai-2013.pdf,,
Malta,"Data Protection Act, Cap 586 (in English)",https://maltacvs.org/wp-content/uploads/2019/05/Data-Protection-Act.pdf,,
Malta,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Mauritania,Loi 2017-020 sur la protection des données à caractère personnel (in French),http://tic.gov.mr/IMG/pdf/imp1fr-2.pdf,,
Mauritius,Data Protection Act No. 20/2017 (in English),https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/108724/134563/F686980207/MUS108724.pdf,,
Mexico,Ley General de Protección de Datos Personales en posesión de sujetos obligados (In Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LGPDPPSO.pdf,,
Mexico,Ley Federal de Protección de Datos Personales en Posesión de los Particulares 2010 (in Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LFPDPPP.pdf,,
Mexico,"Convenio para la Protección de las Personas con respecto al Tratamiento Automatizado de Datos de Carácter Personal y Protocolo Adicional al Convenio para la Protección de las Personas con Respecto al Tratamiento Automatizado de Datos de Carácter Personal, a las Autoridades de Control y los Flujos Transfronterizos de Datos (Decreto Promulgatorio) (in Spanish)",https://www.dof.gob.mx/nota_detalle.php?codigo=5539473&fecha=28/09/20,,
Mexico,Lineamientos Generales de Protección de Datos Personales para el Sector Público (In Spanish) ,http://inicio.inai.org.mx/AcuerdosDelPleno/ACT-PUB-19-12-2017.10.pdf                           https://home.inai.org.mx/wp-content/documentos/AcuerdosDelPleno/ACT-PUB-11-11-2020.05.pdf,,
Mexico,Reglamento Ley Federal de Protección de Datos Personales en Poesesión de Particulares (in Spanish),http://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LFPDPPP.pdf,,
Mexico,Ley General de Transparencia y Acceso a la Información Pública (in Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LGTAIP_200521.pdf,,
Mexico,Ley Federal de Transparencia y Acceso a la Información Pública (in Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LFTAIP_200521.pdf,,
Monaco,"Loi No. 1.165/1996 consolidée par la loi No.1,462/2018 (in French)",https://journaldemonaco.gouv.mc/Journaux/2018/Journal-8389/Loi-n-1.462-du-28-juin-2018-renforcant-le-dispositif-de-lutte-contre-le-blanchiment-de-capitaux-le-financement-du-terrorisme-et-la-corruption,,
Mongolia,"Law on information transparency and right to information, 2011 (updated in 2015)",https://www.iaac.mn/old/pdf/law_en/6_law_on_the_information_transparency_and_right_to_information.pdf,,
Montenegro," Law on Protection of Personal Data No. 79/2009, 70/2009, 44/2012, 22/2017 (in English)",http://www.afapdp.org/wp-content/uploads/2012/01/Mont%C3%A9n%C3%A9gro-Personal-Data-Protection-Law-79-08-and-70-09.pdf,,
Morocco,Law No. 09-08/2009 on the protection of people toward data protection of a personal nature (in French),https://www.dgssi.gov.ma/sites/default/files/attached_files/loi_09-08protection_donnees_personnelles.pdf,,
Myanmar,Bill -  Cyber Security Law and privacy and data protection ,,,
Namibia,Bill - Electronic Transaction Act of 2019 (in English),https://laws.parliament.na/cms_documents/electronic-transactions-e6007fa08d.pdf,,
Nepal,"The Privacy Act, 2018 (in English)",http://www.lawcommission.gov.np/en/wp-content/uploads/2019/07/The-Privacy-Act-2075-2018.pdf,,
Netherlands,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Netherlands,Personal Data Protection Act 1998 (in Dutch),http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_04-07-2011,,
Netherlands,"Personal Data Protection Act (in English, unofficial translation)",http://www.legislationline.org/documents/action/popup/id/5342,,
New Zealand,Privacy Act 1993 (in English),http://www.legislation.govt.nz/act/public/1993/0028/latest/DLM296639.html,,
Nicaragua,Ley No. 787 Ley de Protección de Datos Personales (in Spanish),http://www.pgr.gob.ni/PDF/Constitucional/ley%20787.pdf,,
Niger,"Loi n°2017-28 du 03 Mai 2017 relative à la protection des données à caractère personnel, révisé en 2019 (in French)",https://www.afapdp.org/wp-content/uploads/2017/02/Loi-n%c2%b02017-28-du-03-mai-2017.pdf,,
Nigeria,Nigerian Data Protection Regulation 2019 (in English),https://ndpr.nitda.gov.ng/Content/Doc/NigeriaDataProtectionRegulation.pdf,,
Norway,Personal Data Act 2018 (in Norwegian),Lov om behandling av personopplysninger (personopplysningsloven) - Lovdata,,
Norway,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Norway,Personal Data Act 2000 (in English),https://www.legislationline.org/download/id/5545/file/Norway_Personal_Data_Act_am2012_en.pdf,,
Oman,Royal Decree no. 69 of 2008 - Electronic Transactions Law (in English),http://www.cert.gov.om/library/information/Electronic%20Transactions%20Law%20English.pdf,,
Pakistan,Bill - Electronic Data Protection Act 2005 (in English),http://media.mofo.com/docs/mofoprivacy/PAKISTAN%20Draft%20Law%202nd%20Revision%20.pdf,,
Panama,"Ley 81, Protección de datos personales, 2019 (in Spanish)",https://www.gacetaoficial.gob.pa/pdfTemp/28743_A/GacetaNo_28743a_20190329.pdf,,
Paraguay,Ley 1682/2001 Reglamenta la Informacion de Caracter Privado (in Spanish),http://www.oas.org/es/sla/ddi/docs/PA6%20Ley%20N%201682%20de%202001.pdf,,
Paraguay,"Ley Nº 1969/2002 “Que modifica, amplía y deroga varios artículos de la Ley Nº 1682/2001” (in Spanish)",http://digesto.senado.gov.py/ups/leyes/10389.pdf,,
Paraguay,Ley Nº 5543/2015 “Que modifica parcialmente la Ley Nº 1969/2002” (in Spanish),http://www.bacn.gov.py/archivos/4524/20160224131953.pdf ,,
Paraguay,Ley Nº 5830/2017 “Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil” (in Spanish),https://drive.google.com/file/d/1Sa1-pI1tCPffeTVqNCiVb-tLyvjHBzlx/view,,
Paraguay,Decreto Nº 8000/2017 “Por el cual se reglamenta la Ley 5830/2017 Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil” (in Spanish),https://drive.google.com/file/d/1YJGCA1i7W5Ok_t_JlNkSXw8ae__zdQG-/view ,,
Paraguay,Resolución Nº 80/2018 “Por la cual se aprueba la normativa reglamentaria de la Ley Nº 5830 Que prohíbe Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil” (in Spanish),https://drive.google.com/file/d/1Uzc78s9ZSTOGPwmcn1kRVHTp9U_EwKle/view ,,
Peru,Ley N° 29733 - Ley de Protección de Datos Personales (in Spanish),http://doc.contraloria.gob.pe/documentos/Cuadro_Ley_Proteccion_Datos_Personales.pdf,,
Philippines,Data Privacy Act of 2012 (in English),http://www.lawphil.net/statutes/repacts/ra2012/ra_10173_2012.html,,
