Country Name,Indicator,data_col,higher_is_better,Pillar,Sub-Pillar,indicator_score,country_sub_pillar_score,country_sub_pillar_rank,country_pillar_score,country_pillar_rank,data_availability,country_pillar_availability,Data Source,Data Link,Year
Mauritius,Ease of finding skilled employees,4.04,True,Business,Startup Environment,4.03392,4.30257983139,37,3.3168641588244445,80,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Mexico,Ease of finding skilled employees,4.18,True,Business,Startup Environment,4.17364,4.473273628909666,24,3.442415423669333,66,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Republic of Moldova (the),Ease of finding skilled employees,3.2,True,Business,Startup Environment,3.1955999999999998,4.111716142363734,51,3.200040409092356,88,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Mongolia,Ease of finding skilled employees,2.8,True,Business,Startup Environment,2.7964,3.8363565460454,74,2.8729780765762443,121,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Montenegro,Ease of finding skilled employees,4.03,True,Business,Startup Environment,4.02394,4.4794842622468005,23,3.5883266041039334,47,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Morocco,Ease of finding skilled employees,3.96,True,Business,Startup Environment,3.9540800000000003,3.1851723405893333,127,2.973462677799778,106,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Mozambique,Ease of finding skilled employees,3.29,True,Business,Startup Environment,3.2854200000000002,2.3910892101771513,168,2.089754632682384,178,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Namibia,Ease of finding skilled employees,3.9,True,Business,Startup Environment,3.8941999999999997,3.169992852030498,129,2.832714522384055,127,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Nepal,Ease of finding skilled employees,3.97,True,Business,Startup Environment,3.96406,3.6657877412523825,87,2.816990711467461,131,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Netherlands (the),Ease of finding skilled employees,4.81,True,Business,Startup Environment,4.802379999999999,4.319636129750445,35,4.2989386997340375,13,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
New Zealand,Ease of finding skilled employees,4.15,True,Business,Startup Environment,4.1437,5.122972491831834,4,4.453849624362833,6,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Nicaragua,Ease of finding skilled employees,3.32,True,Business,Startup Environment,3.31536,2.715675555555556,155,2.3808191506162966,166,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Nigeria,Ease of finding skilled employees,3.95,True,Business,Startup Environment,3.9441000000000006,4.1376635441982,49,2.8702369489155113,122,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Norway,Ease of finding skilled employees,5.24,True,Business,Startup Environment,5.23152,4.4898450813707775,22,4.086983714084624,19,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Oman,Ease of finding skilled employees,4.55,True,Business,Startup Environment,4.5428999999999995,3.5126565285120663,102,3.593327357244578,45,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Pakistan,Ease of finding skilled employees,4.32,True,Business,Startup Environment,4.31336,2.9108109264295967,147,3.019124680236532,103,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Panama,Ease of finding skilled employees,3.61,True,Business,Startup Environment,3.60478,4.313215638381333,36,3.3579729360832222,72,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Paraguay,Ease of finding skilled employees,3.23,True,Business,Startup Environment,3.2255399999999996,2.4977678867522193,164,2.64801788415074,147,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Peru,Ease of finding skilled employees,3.64,True,Business,Startup Environment,3.6347199999999997,3.6368399774686666,92,3.126639081041222,94,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Philippines (the),Ease of finding skilled employees,5.03,True,Business,Startup Environment,5.02194,2.9144985068528078,146,3.1745491301809365,90,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Poland,Ease of finding skilled employees,4.09,True,Business,Startup Environment,4.083819999999999,3.52620218273136,101,3.24122442899712,86,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Portugal,Ease of finding skilled employees,4.57,True,Business,Startup Environment,4.56286,3.5364100266098966,99,3.550166329690839,53,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Qatar,Ease of finding skilled employees,5.25,True,Business,Startup Environment,5.241499999999999,3.615669368491666,93,4.019753502288332,23,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Romania,Ease of finding skilled employees,3.25,True,Business,Startup Environment,3.2455,3.4148223417185286,111,3.185941287265065,89,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Russian Federation (the),Ease of finding skilled employees,4.52,True,Business,Startup Environment,4.51296,3.660051065736777,90,3.211197769521148,87,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Rwanda,Ease of finding skilled employees,4.12,True,Business,Startup Environment,4.11376,4.811983956650534,11,3.547150274229067,54,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Saudi Arabia,Ease of finding skilled employees,5.02,True,Business,Startup Environment,5.011959999999999,3.7283765446020665,84,3.9333413780540223,29,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Senegal,Ease of finding skilled employees,4.8,True,Business,Startup Environment,4.7924,4.1110068192092,52,3.106556793625844,96,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Serbia,Ease of finding skilled employees,4.44,True,Business,Startup Environment,4.43312,4.0565407722704,55,3.517031907984022,58,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Seychelles,Ease of finding skilled employees,4.12,True,Business,Startup Environment,4.11376,2.635436339869281,158,2.825115619453807,129,50.0,66.66666666666666,World Bank: GovData,https://datacatalog.worldbank.org,2019
Singapore,Ease of finding skilled employees,5.13,True,Business,Startup Environment,5.12174,5.198181333333333,2,4.653328502577223,2,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Slovakia,Ease of finding skilled employees,3.43,True,Business,Startup Environment,3.42514,3.4552756560345017,108,3.5216304880542784,56,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Slovenia,Ease of finding skilled employees,4.26,True,Business,Startup Environment,4.25348,3.725805809053,85,3.4878911989218726,63,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
South Africa,Ease of finding skilled employees,3.94,True,Business,Startup Environment,3.93412,3.1265879491904975,133,2.8544787847012767,124,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
