Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Pillar,Sub-Pillar,UN Member States
Cabo Verde,2019,Ease of finding skilled employees,4.21,4.21,True,Business,Startup Environment,x
Cambodia,2019,Ease of finding skilled employees,3.5,3.5,True,Business,Startup Environment,x
Cameroon,2019,Ease of finding skilled employees,4.42,4.42,True,Business,Startup Environment,x
Canada,2019,Ease of finding skilled employees,4.87,4.87,True,Business,Startup Environment,x
Chad,2019,Ease of finding skilled employees,3.85,3.85,True,Business,Startup Environment,x
Chile,2019,Ease of finding skilled employees,4.86,4.86,True,Business,Startup Environment,x
China,2019,Ease of finding skilled employees,4.58,4.58,True,Business,Startup Environment,x
Colombia,2019,Ease of finding skilled employees,4.31,4.31,True,Business,Startup Environment,x
Costa Rica,2019,Ease of finding skilled employees,4.81,4.81,True,Business,Startup Environment,x
Croatia,2019,Ease of finding skilled employees,3.15,3.15,True,Business,Startup Environment,x
Cyprus,2019,Ease of finding skilled employees,4.73,4.73,True,Business,Startup Environment,x
Czechia,2019,Ease of finding skilled employees,3.25,3.25,True,Business,Startup Environment,x
Denmark,2019,Ease of finding skilled employees,4.92,4.92,True,Business,Startup Environment,x
Dominican Republic (the),2019,Ease of finding skilled employees,4.11,4.11,True,Business,Startup Environment,x
Ecuador,2019,Ease of finding skilled employees,4.16,4.16,True,Business,Startup Environment,x
Egypt,2019,Ease of finding skilled employees,4.01,4.01,True,Business,Startup Environment,x
El Salvador,2019,Ease of finding skilled employees,3.79,3.79,True,Business,Startup Environment,x
Estonia,2019,Ease of finding skilled employees,3.53,3.53,True,Business,Startup Environment,x
Ethiopia,2019,Ease of finding skilled employees,3.64,3.64,True,Business,Startup Environment,x
Finland,2019,Ease of finding skilled employees,5.2,5.2,True,Business,Startup Environment,x
France,2019,Ease of finding skilled employees,4.58,4.58,True,Business,Startup Environment,x
Gabon,2019,Ease of finding skilled employees,3.84,3.84,True,Business,Startup Environment,x
Gambia (the),2019,Ease of finding skilled employees,4.61,4.61,True,Business,Startup Environment,x
Georgia,2019,Ease of finding skilled employees,3.56,3.56,True,Business,Startup Environment,x
Germany,2019,Ease of finding skilled employees,4.9,4.9,True,Business,Startup Environment,x
Ghana,2019,Ease of finding skilled employees,4.61,4.61,True,Business,Startup Environment,x
Greece,2019,Ease of finding skilled employees,4.27,4.27,True,Business,Startup Environment,x
Guatemala,2019,Ease of finding skilled employees,4.16,4.16,True,Business,Startup Environment,x
Guinea,2019,Ease of finding skilled employees,3.98,3.98,True,Business,Startup Environment,x
Haiti,2019,Ease of finding skilled employees,2.94,2.94,True,Business,Startup Environment,x
Honduras,2019,Ease of finding skilled employees,4.03,4.03,True,Business,Startup Environment,x
Hungary,2019,Ease of finding skilled employees,3.0,3.0,True,Business,Startup Environment,x
Iceland,2019,Ease of finding skilled employees,5.17,5.17,True,Business,Startup Environment,x
India,2019,Ease of finding skilled employees,4.17,4.17,True,Business,Startup Environment,x
Indonesia,2019,Ease of finding skilled employees,4.55,4.55,True,Business,Startup Environment,x
Iran (Islamic Republic of),2019,Ease of finding skilled employees,3.89,3.89,True,Business,Startup Environment,x
Ireland,2019,Ease of finding skilled employees,4.72,4.72,True,Business,Startup Environment,x
Israel,2019,Ease of finding skilled employees,5.31,5.31,True,Business,Startup Environment,x
Italy,2019,Ease of finding skilled employees,4.28,4.28,True,Business,Startup Environment,x
Jamaica,2019,Ease of finding skilled employees,4.3,4.3,True,Business,Startup Environment,x
Japan,2019,Ease of finding skilled employees,4.4,4.4,True,Business,Startup Environment,x
Jordan,2019,Ease of finding skilled employees,4.83,4.83,True,Business,Startup Environment,x
Kazakhstan,2019,Ease of finding skilled employees,4.07,4.07,True,Business,Startup Environment,x
Kenya,2019,Ease of finding skilled employees,4.87,4.87,True,Business,Startup Environment,x
Republic of Korea (the),2019,Ease of finding skilled employees,4.91,4.91,True,Business,Startup Environment,x
Kuwait,2019,Ease of finding skilled employees,4.28,4.28,True,Business,Startup Environment,x
Kyrgyzstan,2019,Ease of finding skilled employees,3.59,3.59,True,Business,Startup Environment,x
Lao People's Democratic Republic (the),2019,Ease of finding skilled employees,4.19,4.19,True,Business,Startup Environment,x
Latvia,2019,Ease of finding skilled employees,3.92,3.92,True,Business,Startup Environment,x
Lebanon,2019,Ease of finding skilled employees,5.07,5.07,True,Business,Startup Environment,x
Lesotho,2019,Ease of finding skilled employees,3.43,3.43,True,Business,Startup Environment,x
Lithuania,2019,Ease of finding skilled employees,3.46,3.46,True,Business,Startup Environment,x
Luxembourg,2019,Ease of finding skilled employees,4.38,4.38,True,Business,Startup Environment,x
North Macedonia,2019,Ease of finding skilled employees,3.46,3.46,True,Business,Startup Environment,x
Madagascar,2019,Ease of finding skilled employees,3.82,3.82,True,Business,Startup Environment,x
Malawi,2019,Ease of finding skilled employees,3.76,3.76,True,Business,Startup Environment,x
Malaysia,2019,Ease of finding skilled employees,5.07,5.07,True,Business,Startup Environment,x
Mali,2019,Ease of finding skilled employees,3.96,3.96,True,Business,Startup Environment,x
Malta,2019,Ease of finding skilled employees,3.55,3.55,True,Business,Startup Environment,x
Mauritania,2019,Ease of finding skilled employees,3.68,3.68,True,Business,Startup Environment,x
Mauritius,2019,Ease of finding skilled employees,4.04,4.04,True,Business,Startup Environment,x
Mexico,2019,Ease of finding skilled employees,4.18,4.18,True,Business,Startup Environment,x
Republic of Moldova (the),2019,Ease of finding skilled employees,3.2,3.2,True,Business,Startup Environment,x
Mongolia,2019,Ease of finding skilled employees,2.8,2.8,True,Business,Startup Environment,x
Montenegro,2019,Ease of finding skilled employees,4.03,4.03,True,Business,Startup Environment,x
Morocco,2019,Ease of finding skilled employees,3.96,3.96,True,Business,Startup Environment,x
Mozambique,2019,Ease of finding skilled employees,3.29,3.29,True,Business,Startup Environment,x
Namibia,2019,Ease of finding skilled employees,3.9,3.9,True,Business,Startup Environment,x
Nepal,2019,Ease of finding skilled employees,3.97,3.97,True,Business,Startup Environment,x
Netherlands (the),2019,Ease of finding skilled employees,4.81,4.81,True,Business,Startup Environment,x
New Zealand,2019,Ease of finding skilled employees,4.15,4.15,True,Business,Startup Environment,x
Nicaragua,2019,Ease of finding skilled employees,3.32,3.32,True,Business,Startup Environment,x
Nigeria,2019,Ease of finding skilled employees,3.95,3.95,True,Business,Startup Environment,x
Norway,2019,Ease of finding skilled employees,5.24,5.24,True,Business,Startup Environment,x
Oman,2019,Ease of finding skilled employees,4.55,4.55,True,Business,Startup Environment,x
Pakistan,2019,Ease of finding skilled employees,4.32,4.32,True,Business,Startup Environment,x
Panama,2019,Ease of finding skilled employees,3.61,3.61,True,Business,Startup Environment,x
Paraguay,2019,Ease of finding skilled employees,3.23,3.23,True,Business,Startup Environment,x
Peru,2019,Ease of finding skilled employees,3.64,3.64,True,Business,Startup Environment,x
Philippines (the),2019,Ease of finding skilled employees,5.03,5.03,True,Business,Startup Environment,x
Poland,2019,Ease of finding skilled employees,4.09,4.09,True,Business,Startup Environment,x
Portugal,2019,Ease of finding skilled employees,4.57,4.57,True,Business,Startup Environment,x
Qatar,2019,Ease of finding skilled employees,5.25,5.25,True,Business,Startup Environment,x
Romania,2019,Ease of finding skilled employees,3.25,3.25,True,Business,Startup Environment,x
Russian Federation (the),2019,Ease of finding skilled employees,4.52,4.52,True,Business,Startup Environment,x
Rwanda,2019,Ease of finding skilled employees,4.12,4.12,True,Business,Startup Environment,x
Saudi Arabia,2019,Ease of finding skilled employees,5.02,5.02,True,Business,Startup Environment,x
Senegal,2019,Ease of finding skilled employees,4.8,4.8,True,Business,Startup Environment,x
Serbia,2019,Ease of finding skilled employees,4.44,4.44,True,Business,Startup Environment,x
Seychelles,2019,Ease of finding skilled employees,4.12,4.12,True,Business,Startup Environment,x
Singapore,2019,Ease of finding skilled employees,5.13,5.13,True,Business,Startup Environment,x
Slovakia,2019,Ease of finding skilled employees,3.43,3.43,True,Business,Startup Environment,x
Slovenia,2019,Ease of finding skilled employees,4.26,4.26,True,Business,Startup Environment,x
South Africa,2019,Ease of finding skilled employees,3.94,3.94,True,Business,Startup Environment,x
Spain,2019,Ease of finding skilled employees,4.63,4.63,True,Business,Startup Environment,x
Sri Lanka,2019,Ease of finding skilled employees,4.45,4.45,True,Business,Startup Environment,x
Sweden,2019,Ease of finding skilled employees,4.82,4.82,True,Business,Startup Environment,x
Switzerland,2019,Ease of finding skilled employees,4.92,4.92,True,Business,Startup Environment,x
Tajikistan,2019,Ease of finding skilled employees,4.18,4.18,True,Business,Startup Environment,x
United Republic of Tanzania (the),2019,Ease of finding skilled employees,4.29,4.29,True,Business,Startup Environment,x
Thailand,2019,Ease of finding skilled employees,4.02,4.02,True,Business,Startup Environment,x
Trinidad and Tobago,2019,Ease of finding skilled employees,4.35,4.35,True,Business,Startup Environment,x
Tunisia,2019,Ease of finding skilled employees,4.01,4.01,True,Business,Startup Environment,x
Turkey,2019,Ease of finding skilled employees,3.92,3.92,True,Business,Startup Environment,x
Uganda,2019,Ease of finding skilled employees,4.45,4.45,True,Business,Startup Environment,x
Ukraine,2019,Ease of finding skilled employees,4.4,4.4,True,Business,Startup Environment,x
United Arab Emirates (the),2019,Ease of finding skilled employees,5.15,5.15,True,Business,Startup Environment,x
United Kingdom of Great Britain and Northern Ireland (the),2019,Ease of finding skilled employees,5.05,5.05,True,Business,Startup Environment,x
United States of America (the),2019,Ease of finding skilled employees,5.32,5.32,True,Business,Startup Environment,x
Uruguay,2019,Ease of finding skilled employees,4.12,4.12,True,Business,Startup Environment,x
Venezuela (Bolivarian Republic of),2019,Ease of finding skilled employees,3.39,3.39,True,Business,Startup Environment,x
Viet Nam,2019,Ease of finding skilled employees,3.96,3.96,True,Business,Startup Environment,x
Yemen,2019,Ease of finding skilled employees,3.71,3.71,True,Business,Startup Environment,x
Zambia,2019,Ease of finding skilled employees,4.76,4.76,True,Business,Startup Environment,x
Zimbabwe,2019,Ease of finding skilled employees,4.38,4.38,True,Business,Startup Environment,x
Albania,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Algeria,2019.0,Ease of Getting Credit,10.0,1.499,True,Business,Startup Environment,x
Angola,2019.0,Ease of Getting Credit,5.0,1.2495,True,Business,Startup Environment,x
Argentina,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Armenia,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Australia,2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Austria,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
Azerbaijan,2019.0,Ease of Getting Credit,100.0,5.99,True,Business,Startup Environment,x
Bahrain,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
Bangladesh,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Belarus,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Belgium,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Benin,2019.0,Ease of Getting Credit,30.0,2.497,True,Business,Startup Environment,x
Bolivia (Plurinational State of),2019.0,Ease of Getting Credit,35.0,2.7465,True,Business,Startup Environment,x
Bosnia and Herzegovina,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Botswana,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Brazil,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Brunei Darussalam,2019.0,Ease of Getting Credit,100.0,5.99,True,Business,Startup Environment,x
Bulgaria,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Burkina Faso,2019.0,Ease of Getting Credit,30.0,2.497,True,Business,Startup Environment,x
Cabo Verde,2019.0,Ease of Getting Credit,35.0,2.7465,True,Business,Startup Environment,x
Cambodia,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Cameroon,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Canada,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Chile,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
China,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Colombia,2019.0,Ease of Getting Credit,90.0,5.4910000000000005,True,Business,Startup Environment,x
Costa Rica,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Côte d'Ivoire,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Croatia,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Cyprus,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Czechia,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Denmark,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Dominican Republic (the),2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Ecuador,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Egypt,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
El Salvador,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Estonia,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Ethiopia,2019.0,Ease of Getting Credit,15.0,1.7485,True,Business,Startup Environment,x
Finland,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
France,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Georgia,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Germany,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Ghana,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Greece,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Guatemala,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Guinea,2019.0,Ease of Getting Credit,30.0,2.497,True,Business,Startup Environment,x
Honduras,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Hungary,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Iceland,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
India,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Indonesia,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Iran (Islamic Republic of),2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Ireland,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Israel,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Italy,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Jamaica,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Japan,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
Jordan,2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Kazakhstan,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Kenya,2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Kuwait,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Kyrgyzstan,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Lao People's Democratic Republic (the),2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Latvia,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Lebanon,2019.0,Ease of Getting Credit,40.0,2.9960000000000004,True,Business,Startup Environment,x
Lithuania,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Luxembourg,2019.0,Ease of Getting Credit,15.0,1.7485,True,Business,Startup Environment,x
Madagascar,2019.0,Ease of Getting Credit,40.0,2.9960000000000004,True,Business,Startup Environment,x
Malawi,2019.0,Ease of Getting Credit,90.0,5.4910000000000005,True,Business,Startup Environment,x
Malaysia,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Mali,2019.0,Ease of Getting Credit,30.0,2.497,True,Business,Startup Environment,x
Malta,2019.0,Ease of Getting Credit,35.0,2.7465,True,Business,Startup Environment,x
Mauritius,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Mexico,2019.0,Ease of Getting Credit,90.0,5.4910000000000005,True,Business,Startup Environment,x
Mongolia,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Montenegro,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
Morocco,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Mozambique,2019.0,Ease of Getting Credit,25.0,2.2475,True,Business,Startup Environment,x
Myanmar,2019.0,Ease of Getting Credit,10.0,1.499,True,Business,Startup Environment,x
Namibia,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Nepal,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Netherlands (the),2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
New Zealand,2019.0,Ease of Getting Credit,100.0,5.99,True,Business,Startup Environment,x
Niger (the),2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Nigeria,2019.0,Ease of Getting Credit,85.0,5.2415,True,Business,Startup Environment,x
North Macedonia,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Norway,2019.0,Ease of Getting Credit,55.0,3.7445,True,Business,Startup Environment,x
Oman,2019.0,Ease of Getting Credit,35.0,2.7465,True,Business,Startup Environment,x
Pakistan,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Panama,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Paraguay,2019.0,Ease of Getting Credit,40.0,2.9960000000000004,True,Business,Startup Environment,x
Peru,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Philippines (the),2019.0,Ease of Getting Credit,40.0,2.9960000000000004,True,Business,Startup Environment,x
Poland,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Portugal,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Qatar,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
Republic of Korea (the),2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Republic of Moldova (the),2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Romania,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Russian Federation (the),2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Rwanda,2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Saudi Arabia,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Senegal,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Serbia,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Singapore,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Slovakia,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Slovenia,2019.0,Ease of Getting Credit,45.0,3.2455000000000003,True,Business,Startup Environment,x
South Africa,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Spain,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Sri Lanka,2019.0,Ease of Getting Credit,40.0,2.9960000000000004,True,Business,Startup Environment,x
Sweden,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Switzerland,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Tajikistan,2019.0,Ease of Getting Credit,90.0,5.4910000000000005,True,Business,Startup Environment,x
Thailand,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Togo,2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
Trinidad and Tobago,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Tunisia,2019.0,Ease of Getting Credit,50.0,3.495,True,Business,Startup Environment,x
Turkey,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
Uganda,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Ukraine,2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
United Arab Emirates (the),2019.0,Ease of Getting Credit,70.0,4.493,True,Business,Startup Environment,x
United Kingdom of Great Britain and Northern Ireland (the),2019.0,Ease of Getting Credit,75.0,4.7425,True,Business,Startup Environment,x
United Republic of Tanzania (the),2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
United States of America (the),2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Uruguay,2019.0,Ease of Getting Credit,60.0,3.994,True,Business,Startup Environment,x
Uzbekistan,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Viet Nam,2019.0,Ease of Getting Credit,80.0,4.992000000000001,True,Business,Startup Environment,x
Yemen,2019.0,Ease of Getting Credit,0.0,1.0,True,Business,Startup Environment,x
Zambia,2019.0,Ease of Getting Credit,95.0,5.7405,True,Business,Startup Environment,x
Zimbabwe,2019.0,Ease of Getting Credit,65.0,4.2435,True,Business,Startup Environment,x
Austria,2017,ICT task-intensive jobs as a percentage of total employment,10.88416,1.543119584,True,Business,Technology Adoption,x
Belgium,2017,ICT task-intensive jobs as a percentage of total employment,14.44826,1.720968174,True,Business,Technology Adoption,x
Czechia,2017,ICT task-intensive jobs as a percentage of total employment,9.219953,1.4600756547,True,Business,Technology Adoption,x
Estonia,2017,ICT task-intensive jobs as a percentage of total employment,15.76142,1.786494858,True,Business,Technology Adoption,x
Finland,2017,ICT task-intensive jobs as a percentage of total employment,15.22048,1.759501952,True,Business,Technology Adoption,x
France,2017,ICT task-intensive jobs as a percentage of total employment,12.00835,1.599216665,True,Business,Technology Adoption,x
Germany,2017,ICT task-intensive jobs as a percentage of total employment,10.4419,1.5210508100000002,True,Business,Technology Adoption,x
Greece,2017,ICT task-intensive jobs as a percentage of total employment,6.675247,1.3330948253,True,Business,Technology Adoption,x
Hungary,2017,ICT task-intensive jobs as a percentage of total employment,8.369766,1.4176513234,True,Business,Technology Adoption,x
Iceland,2017,ICT task-intensive jobs as a percentage of total employment,14.27687,1.7124158130000002,True,Business,Technology Adoption,x
Italy,2017,ICT task-intensive jobs as a percentage of total employment,7.254931,1.3620210569,True,Business,Technology Adoption,x
Latvia,2017,ICT task-intensive jobs as a percentage of total employment,12.48296,1.622899704,True,Business,Technology Adoption,x
