Country Name,Business,Foundations,Government,Infrastructure,People,Regulation,Strategy,Ambition,Capabilities,Connectivity Technology,Culture,Cybersecurity,Data Exchange,Data standards and protection,Digital Legal Identity,Digital Literacy Skills,Digital Payments,Digital Public Services,Digital Wellbeing,Ethical Standards,Financing Incentives,Funding and procurement,Innovation Ecosystem,Leadership and coordination,Startup Environment,Technology Adoption,Usage and ownership
Belarus,44.44,84.62,0.0,59.57,62.86,40.0,100.0,100.0,0.0,82.14,40.0,100.0,0.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,0.0,0.0,26.32,0.0,37.5,55.56,81.25
Belgium,72.22,100.0,0.0,72.34,82.86,20.0,100.0,100.0,0.0,85.71,60.0,0.0,100.0,0.0,100.0,83.33,100.0,0.0,87.5,100.0,100.0,0.0,52.63,0.0,62.5,77.78,87.5
Belize,16.67,30.77,0.0,48.94,31.43,20.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,16.67,0.0,0.0,12.5,100.0,100.0,0.0,10.53,0.0,12.5,11.11,43.75
Benin,55.56,84.62,0.0,59.57,45.71,20.0,100.0,100.0,0.0,78.57,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,62.5
Bermuda,0.0,0.0,0.0,8.51,8.57,0.0,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,5.26,0.0,0.0,0.0,12.5
Bhutan,16.67,38.46,0.0,48.94,28.57,0.0,100.0,100.0,0.0,78.57,40.0,0.0,100.0,0.0,100.0,16.67,0.0,0.0,12.5,0.0,100.0,0.0,5.26,0.0,12.5,11.11,37.5
Bolivia (Plurinational State of),16.67,0.0,0.0,21.28,28.57,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12.5,0.0,0.0,0.0,15.79,0.0,25.0,11.11,31.25
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,55.56,92.31,0.0,68.09,62.86,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,81.25
Botswana,55.56,92.31,0.0,55.32,45.71,20.0,100.0,100.0,0.0,75.0,40.0,0.0,100.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,26.32,0.0,50.0,55.56,62.5
Bouvet Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,66.67,92.31,0.0,68.09,80.0,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,83.33,87.5,0.0,75.0,100.0,100.0,0.0,42.11,0.0,50.0,77.78,87.5
British Indian Ocean Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,0.0,0.0,0.0,4.26,2.86,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Brunei Darussalam,27.78,30.77,0.0,55.32,42.86,0.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,66.67,0.0,0.0,12.5,0.0,100.0,0.0,26.32,0.0,50.0,0.0,50.0
Bulgaria,61.11,92.31,0.0,70.21,62.86,20.0,100.0,100.0,0.0,82.14,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,52.63,0.0,62.5,55.56,81.25
Burkina Faso,55.56,84.62,0.0,55.32,45.71,20.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,26.32,0.0,50.0,55.56,62.5
Burundi,44.44,30.77,0.0,51.06,37.14,0.0,100.0,100.0,0.0,78.57,40.0,0.0,0.0,0.0,100.0,16.67,0.0,0.0,37.5,0.0,100.0,0.0,10.53,0.0,25.0,55.56,43.75
Cabo Verde,50.0,30.77,0.0,46.81,48.57,0.0,100.0,100.0,0.0,64.29,40.0,0.0,0.0,0.0,100.0,66.67,0.0,0.0,25.0,0.0,100.0,0.0,21.05,0.0,50.0,44.44,56.25
Cambodia,55.56,92.31,0.0,61.7,62.86,40.0,100.0,100.0,0.0,85.71,40.0,100.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,26.32,0.0,50.0,55.56,81.25
Cameroon,55.56,92.31,0.0,63.83,45.71,20.0,100.0,100.0,0.0,78.57,40.0,0.0,100.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,62.5
Canada,72.22,100.0,0.0,70.21,62.86,40.0,100.0,100.0,0.0,78.57,60.0,100.0,100.0,0.0,100.0,33.33,100.0,0.0,75.0,100.0,100.0,0.0,57.89,0.0,62.5,77.78,68.75
Cayman Islands,0.0,0.0,0.0,6.38,5.71,0.0,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
Central African Republic,5.56,84.62,0.0,27.66,25.71,0.0,100.0,100.0,0.0,46.43,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,37.5
Chad,44.44,84.62,0.0,46.81,42.86,0.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,0.0,100.0,0.0,5.26,0.0,25.0,55.56,56.25
Chile,55.56,92.31,0.0,61.7,57.14,20.0,100.0,100.0,0.0,78.57,60.0,0.0,100.0,0.0,100.0,33.33,87.5,0.0,62.5,100.0,100.0,0.0,36.84,0.0,50.0,55.56,62.5
China,61.11,84.62,0.0,70.21,80.0,40.0,100.0,100.0,0.0,82.14,60.0,100.0,0.0,0.0,100.0,83.33,87.5,0.0,75.0,100.0,100.0,0.0,52.63,0.0,50.0,66.67,87.5
"China, Hong Kong Special Administrative Region",0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao Special Administrative Region",0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christmas Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocos (Keeling) Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,61.11,92.31,0.0,65.96,74.29,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,83.33,87.5,0.0,62.5,100.0,100.0,0.0,36.84,0.0,50.0,66.67,81.25
Comoros,11.11,30.77,0.0,42.55,34.29,0.0,100.0,100.0,0.0,71.43,40.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,11.11,43.75
Congo,5.56,0.0,0.0,23.4,17.14,0.0,0.0,0.0,0.0,39.29,40.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,18.75
Cook Islands,0.0,0.0,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Costa Rica,55.56,92.31,0.0,63.83,65.71,40.0,100.0,100.0,0.0,85.71,40.0,100.0,100.0,0.0,100.0,66.67,87.5,0.0,50.0,100.0,100.0,0.0,31.58,0.0,50.0,55.56,81.25
Croatia,55.56,92.31,0.0,68.09,62.86,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,81.25
Cuba,0.0,30.77,0.0,34.04,34.29,20.0,100.0,100.0,0.0,53.57,20.0,100.0,0.0,0.0,100.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,43.75
Curaçao,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0
Cyprus,55.56,84.62,0.0,72.34,62.86,0.0,100.0,100.0,0.0,85.71,40.0,0.0,0.0,0.0,100.0,66.67,87.5,0.0,37.5,0.0,100.0,0.0,52.63,0.0,50.0,55.56,81.25
Czechia,11.11,0.0,0.0,31.91,22.86,0.0,0.0,0.0,0.0,39.29,40.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,12.5,0.0,0.0,0.0,21.05,0.0,12.5,11.11,25.0
Côte d’Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,0.0,0.0,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,0.0,0.0,0.0,4.26,2.86,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,66.67,100.0,0.0,74.47,82.86,20.0,100.0,100.0,0.0,85.71,80.0,0.0,100.0,0.0,100.0,83.33,100.0,0.0,75.0,100.0,100.0,0.0,57.89,0.0,62.5,66.67,87.5
Djibouti,11.11,30.77,0.0,25.53,17.14,0.0,100.0,100.0,0.0,42.86,20.0,0.0,0.0,0.0,100.0,16.67,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,11.11,18.75
Dominica,5.56,30.77,0.0,27.66,20.0,20.0,100.0,100.0,0.0,46.43,20.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0
Dominican Republic,55.56,92.31,0.0,46.81,40.0,20.0,100.0,100.0,0.0,60.71,40.0,0.0,100.0,0.0,100.0,33.33,87.5,0.0,25.0,100.0,100.0,0.0,26.32,0.0,50.0,55.56,50.0
Ecuador,55.56,84.62,0.0,59.57,48.57,40.0,100.0,100.0,0.0,78.57,40.0,100.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,68.75
Egypt,38.89,7.69,0.0,59.57,68.57,40.0,0.0,0.0,0.0,71.43,40.0,100.0,0.0,0.0,25.0,83.33,0.0,0.0,62.5,100.0,0.0,0.0,42.11,0.0,25.0,55.56,75.0
El Salvador,55.56,92.31,0.0,63.83,60.0,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,75.0
Equatorial Guinea,5.56,30.77,0.0,23.4,20.0,0.0,100.0,100.0,0.0,39.29,20.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0
Eritrea,5.56,30.77,0.0,25.53,20.0,0.0,100.0,100.0,0.0,42.86,20.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0
Estonia,77.78,92.31,0.0,70.21,74.29,40.0,100.0,100.0,0.0,85.71,80.0,100.0,0.0,0.0,100.0,66.67,100.0,0.0,62.5,100.0,100.0,0.0,47.37,0.0,62.5,88.89,81.25
Eswatini,33.33,7.69,0.0,40.43,37.14,0.0,100.0,100.0,0.0,67.86,20.0,0.0,0.0,0.0,25.0,33.33,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,12.5,55.56,50.0
Ethiopia,55.56,84.62,0.0,55.32,48.57,40.0,100.0,100.0,0.0,71.43,40.0,100.0,0.0,0.0,100.0,16.67,87.5,0.0,50.0,100.0,100.0,0.0,31.58,0.0,50.0,55.56,62.5
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0.0,0.0,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Fiji,5.56,30.77,0.0,46.81,37.14,0.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,12.5,0.0,0.0,0.0,5.26,0.0,12.5,0.0,50.0
Finland,72.22,100.0,0.0,74.47,74.29,20.0,100.0,100.0,0.0,85.71,60.0,0.0,100.0,0.0,100.0,83.33,100.0,0.0,62.5,100.0,100.0,0.0,57.89,0.0,62.5,77.78,81.25
France,83.33,92.31,0.0,72.34,88.57,40.0,100.0,100.0,0.0,85.71,80.0,100.0,100.0,0.0,100.0,83.33,87.5,0.0,100.0,100.0,100.0,0.0,52.63,0.0,62.5,100.0,87.5
French Guiana,0.0,0.0,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
French Polynesia,0.0,0.0,0.0,6.38,5.71,0.0,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
French Southern Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,22.22,84.62,0.0,44.68,40.0,0.0,100.0,100.0,0.0,71.43,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,25.0,0.0,100.0,0.0,5.26,0.0,25.0,11.11,56.25
Gambia,22.22,7.69,0.0,29.79,34.29,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,25.0,16.67,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,43.75
Georgia,55.56,84.62,0.0,65.96,60.0,40.0,100.0,100.0,0.0,82.14,40.0,100.0,0.0,0.0,100.0,50.0,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,81.25
Germany,83.33,100.0,0.0,72.34,91.43,40.0,100.0,100.0,0.0,85.71,80.0,100.0,100.0,0.0,100.0,83.33,100.0,0.0,100.0,100.0,100.0,0.0,52.63,0.0,62.5,100.0,93.75
Ghana,55.56,92.31,0.0,57.45,51.43,40.0,100.0,100.0,0.0,78.57,40.0,100.0,100.0,0.0,100.0,16.67,87.5,0.0,50.0,100.0,100.0,0.0,26.32,0.0,50.0,55.56,68.75
Gibraltar,0.0,0.0,0.0,4.26,5.71,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Greece,72.22,92.31,0.0,72.34,77.14,20.0,100.0,100.0,0.0,85.71,60.0,0.0,100.0,0.0,100.0,83.33,87.5,0.0,75.0,100.0,100.0,0.0,52.63,0.0,62.5,77.78,81.25
Greenland,0.0,0.0,0.0,6.38,2.86,0.0,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Grenada,5.56,30.77,0.0,29.79,22.86,20.0,100.0,100.0,0.0,50.0,20.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0
Guadeloupe,0.0,0.0,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Guam,0.0,0.0,0.0,6.38,2.86,0.0,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Guatemala,55.56,92.31,0.0,63.83,60.0,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,75.0
Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,55.56,84.62,0.0,51.06,42.86,20.0,100.0,100.0,0.0,71.43,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,21.05,0.0,50.0,55.56,56.25
Guinea-Bissau,5.56,30.77,0.0,36.17,28.57,0.0,100.0,100.0,0.0,60.71,40.0,0.0,0.0,0.0,100.0,16.67,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,37.5
Guyana,11.11,38.46,0.0,53.19,37.14,20.0,100.0,100.0,0.0,82.14,40.0,0.0,100.0,0.0,100.0,33.33,0.0,0.0,12.5,100.0,100.0,0.0,10.53,0.0,12.5,0.0,50.0
Haiti,22.22,84.62,0.0,46.81,40.0,0.0,100.0,100.0,0.0,75.0,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,25.0,0.0,100.0,0.0,5.26,0.0,25.0,11.11,56.25
Heard Island and McDonald Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holy See,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0
Honduras,55.56,84.62,0.0,59.57,51.43,20.0,100.0,100.0,0.0,82.14,40.0,0.0,0.0,0.0,100.0,33.33,87.5,0.0,37.5,100.0,100.0,0.0,26.32,0.0,50.0,55.56,68.75
Hungary,77.78,84.62,0.0,72.34,77.14,40.0,100.0,100.0,0.0,85.71,60.0,100.0,0.0,0.0,100.0,83.33,87.5,0.0,75.0,100.0,100.0,0.0,52.63,0.0,62.5,88.89,81.25
Iceland,72.22,30.77,0.0,61.7,48.57,20.0,100.0,100.0,0.0,75.0,60.0,100.0,0.0,0.0,100.0,16.67,0.0,0.0,62.5,0.0,100.0,0.0,42.11,0.0,50.0,88.89,50.0
India,61.11,92.31,0.0,72.34,71.43,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,50.0,87.5,0.0,75.0,100.0,100.0,0.0,52.63,0.0,50.0,66.67,81.25
Indonesia,61.11,92.31,0.0,68.09,80.0,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,83.33,87.5,0.0,62.5,100.0,100.0,0.0,42.11,0.0,50.0,66.67,93.75
Iran (Islamic Republic of),16.67,0.0,0.0,31.91,31.43,0.0,0.0,0.0,0.0,32.14,20.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,12.5,0.0,0.0,0.0,31.58,0.0,25.0,11.11,31.25
Iraq,11.11,84.62,0.0,46.81,40.0,20.0,100.0,100.0,0.0,75.0,40.0,100.0,0.0,0.0,100.0,33.33,87.5,0.0,25.0,0.0,0.0,0.0,5.26,0.0,12.5,11.11,50.0
Ireland,72.22,84.62,0.0,72.34,80.0,0.0,100.0,100.0,0.0,85.71,60.0,0.0,0.0,0.0,100.0,83.33,87.5,0.0,75.0,0.0,100.0,0.0,52.63,0.0,62.5,77.78,87.5
Isle of Man,0.0,7.69,0.0,2.13,2.86,0.0,0.0,0.0,0.0,3.57,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Israel,55.56,92.31,0.0,70.21,71.43,0.0,100.0,100.0,0.0,85.71,60.0,0.0,100.0,0.0,100.0,83.33,87.5,0.0,50.0,0.0,100.0,0.0,47.37,0.0,50.0,55.56,81.25
Italy,83.33,92.31,0.0,70.21,71.43,40.0,100.0,100.0,0.0,78.57,60.0,100.0,100.0,0.0,100.0,33.33,87.5,0.0,100.0,100.0,100.0,0.0,57.89,0.0,62.5,100.0,75.0
Jamaica,55.56,38.46,0.0,63.83,45.71,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,33.33,0.0,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,56.25
Japan,72.22,92.31,0.0,74.47,80.0,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,83.33,87.5,0.0,75.0,100.0,100.0,0.0,57.89,0.0,62.5,77.78,87.5
Jersey,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,55.56,84.62,0.0,59.57,45.71,40.0,100.0,100.0,0.0,78.57,40.0,100.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,62.5
Kazakhstan,55.56,84.62,0.0,68.09,65.71,40.0,100.0,100.0,0.0,85.71,60.0,100.0,0.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,81.25
