Country Name,Pillar,Indicator,higher_is_better,data_status,data_col,Year,data_availability,new_rank_score,Source Name,Source URL,raw_data_col,rank
Bolivia (Plurinational State of),"Freedom of Expression, Assembly and Association",,,,,,,3.61,,,,68.0
Bolivia (Plurinational State of),Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Bolivia (Plurinational State of),Right to Privacy,,,,,,,3.2,,,,136.0
Bosnia and Herzegovina,Cross-Cutting Indicators,,,,,,,3.64,,,,73.0
Bosnia and Herzegovina,"Freedom of Expression, Assembly and Association",,,,,,,3.51,,,,85.0
Bosnia and Herzegovina,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Bosnia and Herzegovina,Right to Privacy,,,,,,,4.78,,,,41.0
Botswana,Cross-Cutting Indicators,,,,,,,2.36,,,,176.0
Botswana,"Freedom of Expression, Assembly and Association",,,,,,,4.61,,,,7.0
Botswana,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Botswana,Right to Privacy,,,,,,,4.3,,,,91.0
Brazil,Cross-Cutting Indicators,,,,,,,3.23,,,,121.0
Brazil,"Freedom of Expression, Assembly and Association",,,,,,,4.7,,,,6.0
Brazil,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Brazil,Right to Privacy,,,,,,,4.8,,,,36.0
British Virgin Islands,Cross-Cutting Indicators,,,,,,,1.67,,,,193.0
British Virgin Islands,"Freedom of Expression, Assembly and Association",,,,,,,3.75,,,,51.0
British Virgin Islands,Right to Equality and Non-Discrimination,,,,,,,1.25,,,,146.0
British Virgin Islands,Right to Privacy,,,,,,,2.5,,,,156.0
Brunei Darussalam,Cross-Cutting Indicators,,,,,,,2.84,,,,155.0
Brunei Darussalam,"Freedom of Expression, Assembly and Association",,,,,,,3.36,,,,105.0
Brunei Darussalam,Right to Privacy,,,,,,,1.25,,,,185.0
Bulgaria,Cross-Cutting Indicators,,,,,,,3.13,,,,133.0
Bulgaria,"Freedom of Expression, Assembly and Association",,,,,,,3.71,,,,55.0
Bulgaria,Right to Privacy,,,,,,,4.75,,,,43.0
Burkina Faso,Cross-Cutting Indicators,,,,,,,2.68,,,,164.0
Burkina Faso,"Freedom of Expression, Assembly and Association",,,,,,,3.39,,,,101.0
Burkina Faso,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Burkina Faso,Right to Privacy,,,,,,,4.68,,,,51.0
Burundi,Cross-Cutting Indicators,,,,,,,3.22,,,,123.0
Burundi,"Freedom of Expression, Assembly and Association",,,,,,,3.38,,,,102.0
Burundi,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Burundi,Right to Privacy,,,,,,,1.15,,,,194.0
Cabo Verde,Cross-Cutting Indicators,,,,,,,3.27,,,,112.0
Cabo Verde,"Freedom of Expression, Assembly and Association",,,,,,,4.08,,,,29.0
Cabo Verde,Right to Privacy,,,,,,,4.53,,,,71.0
Cambodia,Cross-Cutting Indicators,,,,,,,2.36,,,,175.0
Cambodia,"Freedom of Expression, Assembly and Association",,,,,,,3.23,,,,117.0
Cambodia,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Cambodia,Right to Privacy,,,,,,,2.37,,,,167.0
Cameroon,Cross-Cutting Indicators,,,,,,,3.12,,,,135.0
Cameroon,"Freedom of Expression, Assembly and Association",,,,,,,3.38,,,,103.0
Cameroon,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Cameroon,Right to Privacy,,,,,,,3.02,,,,144.0
Canada,Cross-Cutting Indicators,,,,,,,4.23,,,,17.0
Canada,"Freedom of Expression, Assembly and Association",,,,,,,3.57,,,,76.0
Canada,Right to Privacy,,,,,,,4.35,,,,87.0
Cape Verde,Cross-Cutting Indicators,,,,,,,4.0,,,,31.0
Cape Verde,"Freedom of Expression, Assembly and Association",,,,,,,2.5,,,,169.0
Cape Verde,Right to Equality and Non-Discrimination,,,,,,,2.5,,,,135.0
Cape Verde,Right to Privacy,,,,,,,5.0,,,,1.0
Central African Republic (the),Cross-Cutting Indicators,,,,,,,2.28,,,,178.0
Central African Republic (the),"Freedom of Expression, Assembly and Association",,,,,,,3.23,,,,116.0
Central African Republic (the),Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Central African Republic (the),Right to Privacy,,,,,,,2.62,,,,155.0
Chad,Cross-Cutting Indicators,,,,,,,2.06,,,,185.0
Chad,"Freedom of Expression, Assembly and Association",,,,,,,2.98,,,,141.0
Chad,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Chad,Right to Privacy,,,,,,,4.56,,,,69.0
Chile,Cross-Cutting Indicators,,,,,,,4.29,,,,12.0
Chile,"Freedom of Expression, Assembly and Association",,,,,,,4.35,,,,13.0
Chile,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Chile,Right to Privacy,,,,,,,3.75,,,,109.0
China,Cross-Cutting Indicators,,,,,,,2.07,,,,184.0
China,"Freedom of Expression, Assembly and Association",,,,,,,2.09,,,,192.0
China,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
China,Right to Privacy,,,,,,,3.26,,,,135.0
Colombia,Cross-Cutting Indicators,,,,,,,3.8,,,,52.0
Colombia,"Freedom of Expression, Assembly and Association",,,,,,,3.68,,,,57.0
Colombia,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Colombia,Right to Privacy,,,,,,,4.68,,,,51.0
Comoros (the),Cross-Cutting Indicators,,,,,,,0.87,,,,203.0
Comoros (the),"Freedom of Expression, Assembly and Association",,,,,,,3.58,,,,75.0
Comoros (the),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Comoros (the),Right to Privacy,,,,,,,3.1,,,,140.0
Congo (the),Cross-Cutting Indicators,,,,,,,2.96,,,,148.0
Congo (the),"Freedom of Expression, Assembly and Association",,,,,,,3.37,,,,104.0
Congo (the),Right to Equality and Non-Discrimination,,,,,,,3.13,,,,121.0
Congo (the),Right to Privacy,,,,,,,1.65,,,,178.0
Cook Islands,Cross-Cutting Indicators,,,,,,,1.67,,,,193.0
Cook Islands,"Freedom of Expression, Assembly and Association",,,,,,,5.0,,,,1.0
Cook Islands,Right to Equality and Non-Discrimination,,,,,,,3.13,,,,121.0
Cook Islands,Right to Privacy,,,,,,,2.5,,,,156.0
Costa Rica,Cross-Cutting Indicators,,,,,,,4.28,,,,13.0
Costa Rica,"Freedom of Expression, Assembly and Association",,,,,,,3.8,,,,48.0
Costa Rica,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Costa Rica,Right to Privacy,,,,,,,3.81,,,,105.0
Croatia,Cross-Cutting Indicators,,,,,,,3.41,,,,98.0
Croatia,"Freedom of Expression, Assembly and Association",,,,,,,4.08,,,,28.0
Croatia,Right to Privacy,,,,,,,4.7,,,,48.0
Cuba,Cross-Cutting Indicators,,,,,,,1.07,,,,202.0
Cuba,"Freedom of Expression, Assembly and Association",,,,,,,2.2,,,,186.0
Cuba,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Cuba,Right to Privacy,,,,,,,3.47,,,,125.0
Curacao,Cross-Cutting Indicators,,,,,,,1.67,,,,193.0
Curacao,"Freedom of Expression, Assembly and Association",,,,,,,2.5,,,,169.0
Curacao,Right to Equality and Non-Discrimination,,,,,,,1.88,,,,143.0
Curacao,Right to Privacy,,,,,,,2.5,,,,156.0
Cyprus,Cross-Cutting Indicators,,,,,,,4.28,,,,13.0
Cyprus,"Freedom of Expression, Assembly and Association",,,,,,,3.14,,,,127.0
Cyprus,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Cyprus,Right to Privacy,,,,,,,4.79,,,,37.0
Czechia,Cross-Cutting Indicators,,,,,,,3.86,,,,45.0
Czechia,"Freedom of Expression, Assembly and Association",,,,,,,3.91,,,,44.0
Czechia,Right to Privacy,,,,,,,4.95,,,,14.0
Côte d'Ivoire,Cross-Cutting Indicators,,,,,,,3.44,,,,93.0
Côte d'Ivoire,"Freedom of Expression, Assembly and Association",,,,,,,3.22,,,,119.0
Côte d'Ivoire,Right to Equality and Non-Discrimination,,,,,,,3.13,,,,121.0
Côte d'Ivoire,Right to Privacy,,,,,,,4.4,,,,84.0
Democratic People's Republic of Korea (the),Cross-Cutting Indicators,,,,,,,2.03,,,,186.0
Democratic People's Republic of Korea (the),"Freedom of Expression, Assembly and Association",,,,,,,1.46,,,,201.0
Democratic People's Republic of Korea (the),Right to Privacy,,,,,,,0.0,,,,199.0
Democratic Republic of the Congo (the),Cross-Cutting Indicators,,,,,,,2.92,,,,152.0
Democratic Republic of the Congo (the),"Freedom of Expression, Assembly and Association",,,,,,,2.8,,,,149.0
Democratic Republic of the Congo (the),Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Democratic Republic of the Congo (the),Right to Privacy,,,,,,,3.6,,,,117.0
Denmark,Cross-Cutting Indicators,,,,,,,4.53,,,,4.0
Denmark,"Freedom of Expression, Assembly and Association",,,,,,,3.67,,,,58.0
Denmark,Right to Privacy,,,,,,,4.68,,,,53.0
Djibouti,Cross-Cutting Indicators,,,,,,,2.53,,,,171.0
Djibouti,"Freedom of Expression, Assembly and Association",,,,,,,3.65,,,,61.0
Djibouti,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Djibouti,Right to Privacy,,,,,,,2.15,,,,169.0
Dominica,Cross-Cutting Indicators,,,,,,,3.04,,,,141.0
Dominica,"Freedom of Expression, Assembly and Association",,,,,,,4.0,,,,33.0
Dominica,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Dominica,Right to Privacy,,,,,,,1.88,,,,175.0
Dominican Republic (the),Cross-Cutting Indicators,,,,,,,3.12,,,,134.0
Dominican Republic (the),"Freedom of Expression, Assembly and Association",,,,,,,3.08,,,,131.0
Dominican Republic (the),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Dominican Republic (the),Right to Privacy,,,,,,,3.72,,,,111.0
Ecuador,Cross-Cutting Indicators,,,,,,,3.55,,,,81.0
Ecuador,"Freedom of Expression, Assembly and Association",,,,,,,3.48,,,,90.0
Ecuador,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Ecuador,Right to Privacy,,,,,,,4.62,,,,61.0
Egypt,Cross-Cutting Indicators,,,,,,,3.24,,,,117.0
Egypt,"Freedom of Expression, Assembly and Association",,,,,,,3.24,,,,113.0
Egypt,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Egypt,Right to Privacy,,,,,,,3.78,,,,106.0
El Salvador,Cross-Cutting Indicators,,,,,,,3.59,,,,76.0
El Salvador,"Freedom of Expression, Assembly and Association",,,,,,,3.27,,,,110.0
El Salvador,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
El Salvador,Right to Privacy,,,,,,,3.0,,,,145.0
Equatorial Guinea,Cross-Cutting Indicators,,,,,,,2.45,,,,172.0
Equatorial Guinea,"Freedom of Expression, Assembly and Association",,,,,,,2.43,,,,179.0
Equatorial Guinea,Right to Equality and Non-Discrimination,,,,,,,3.13,,,,121.0
Equatorial Guinea,Right to Privacy,,,,,,,3.29,,,,133.0
Eritrea,Cross-Cutting Indicators,,,,,,,2.33,,,,177.0
Eritrea,"Freedom of Expression, Assembly and Association",,,,,,,2.29,,,,183.0
Eritrea,Right to Equality and Non-Discrimination,,,,,,,2.5,,,,135.0
Eritrea,Right to Privacy,,,,,,,1.0,,,,195.0
Estonia,Cross-Cutting Indicators,,,,,,,4.07,,,,25.0
Estonia,"Freedom of Expression, Assembly and Association",,,,,,,4.57,,,,8.0
Estonia,Right to Privacy,,,,,,,4.9,,,,17.0
Eswatini,Cross-Cutting Indicators,,,,,,,2.77,,,,159.0
Eswatini,"Freedom of Expression, Assembly and Association",,,,,,,3.48,,,,88.0
Eswatini,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Eswatini,Right to Privacy,,,,,,,4.41,,,,83.0
Ethiopia,Cross-Cutting Indicators,,,,,,,3.07,,,,138.0
Ethiopia,"Freedom of Expression, Assembly and Association",,,,,,,3.4,,,,100.0
Ethiopia,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Ethiopia,Right to Privacy,,,,,,,1.95,,,,174.0
Fiji,Cross-Cutting Indicators,,,,,,,2.81,,,,156.0
Fiji,"Freedom of Expression, Assembly and Association",,,,,,,2.75,,,,152.0
Fiji,Right to Privacy,,,,,,,0.6,,,,198.0
Finland,Cross-Cutting Indicators,,,,,,,4.48,,,,5.0
Finland,"Freedom of Expression, Assembly and Association",,,,,,,4.3,,,,16.0
Finland,Right to Privacy,,,,,,,4.67,,,,56.0
France,Cross-Cutting Indicators,,,,,,,4.02,,,,27.0
France,"Freedom of Expression, Assembly and Association",,,,,,,4.09,,,,27.0
France,Right to Privacy,,,,,,,4.59,,,,65.0
Gabon,Cross-Cutting Indicators,,,,,,,2.9,,,,154.0
Gabon,"Freedom of Expression, Assembly and Association",,,,,,,3.06,,,,133.0
Gabon,Right to Equality and Non-Discrimination,,,,,,,3.13,,,,121.0
Gabon,Right to Privacy,,,,,,,3.51,,,,122.0
Gambia (the),Cross-Cutting Indicators,,,,,,,3.34,,,,104.0
Gambia (the),"Freedom of Expression, Assembly and Association",,,,,,,3.17,,,,126.0
Gambia (the),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Gambia (the),Right to Privacy,,,,,,,2.75,,,,151.0
Georgia,Cross-Cutting Indicators,,,,,,,3.95,,,,36.0
Georgia,"Freedom of Expression, Assembly and Association",,,,,,,3.42,,,,95.0
Georgia,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Georgia,Right to Privacy,,,,,,,3.75,,,,107.0
Germany,Cross-Cutting Indicators,,,,,,,4.39,,,,9.0
Germany,"Freedom of Expression, Assembly and Association",,,,,,,3.47,,,,91.0
Germany,Right to Privacy,,,,,,,4.79,,,,40.0
Ghana,Cross-Cutting Indicators,,,,,,,3.66,,,,71.0
Ghana,"Freedom of Expression, Assembly and Association",,,,,,,3.95,,,,42.0
Ghana,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Ghana,Right to Privacy,,,,,,,4.85,,,,24.0
Greece,Cross-Cutting Indicators,,,,,,,3.65,,,,72.0
Greece,"Freedom of Expression, Assembly and Association",,,,,,,3.97,,,,37.0
Greece,Right to Privacy,,,,,,,4.58,,,,67.0
Grenada,Cross-Cutting Indicators,,,,,,,3.67,,,,68.0
Grenada,"Freedom of Expression, Assembly and Association",,,,,,,4.0,,,,33.0
Grenada,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Grenada,Right to Privacy,,,,,,,1.25,,,,185.0
Guatemala,Cross-Cutting Indicators,,,,,,,3.45,,,,92.0
Guatemala,"Freedom of Expression, Assembly and Association",,,,,,,3.55,,,,80.0
Guatemala,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Guatemala,Right to Privacy,,,,,,,3.64,,,,116.0
Guinea,Cross-Cutting Indicators,,,,,,,2.25,,,,181.0
Guinea,"Freedom of Expression, Assembly and Association",,,,,,,2.66,,,,160.0
Guinea,Right to Equality and Non-Discrimination,,,,,,,2.5,,,,135.0
Guinea,Right to Privacy,,,,,,,2.83,,,,149.0
Guinea-Bissau,Cross-Cutting Indicators,,,,,,,2.63,,,,167.0
Guinea-Bissau,"Freedom of Expression, Assembly and Association",,,,,,,3.18,,,,125.0
Guinea-Bissau,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Guinea-Bissau,Right to Privacy,,,,,,,0.93,,,,196.0
Guyana,Cross-Cutting Indicators,,,,,,,2.94,,,,150.0
Guyana,"Freedom of Expression, Assembly and Association",,,,,,,3.2,,,,120.0
Guyana,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Guyana,Right to Privacy,,,,,,,1.55,,,,180.0
Haiti,Cross-Cutting Indicators,,,,,,,3.0,,,,145.0
Haiti,"Freedom of Expression, Assembly and Association",,,,,,,3.3,,,,107.0
Haiti,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Haiti,Right to Privacy,,,,,,,2.65,,,,154.0
Honduras,Cross-Cutting Indicators,,,,,,,3.42,,,,95.0
Honduras,"Freedom of Expression, Assembly and Association",,,,,,,3.2,,,,122.0
Honduras,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Honduras,Right to Privacy,,,,,,,2.78,,,,150.0
Hungary,Cross-Cutting Indicators,,,,,,,3.15,,,,130.0
Hungary,"Freedom of Expression, Assembly and Association",,,,,,,3.54,,,,82.0
Hungary,Right to Privacy,,,,,,,4.46,,,,76.0
Iceland,Cross-Cutting Indicators,,,,,,,4.24,,,,16.0
Iceland,"Freedom of Expression, Assembly and Association",,,,,,,3.28,,,,109.0
Iceland,Right to Privacy,,,,,,,4.7,,,,46.0
India,Cross-Cutting Indicators,,,,,,,3.74,,,,57.0
India,"Freedom of Expression, Assembly and Association",,,,,,,3.46,,,,92.0
India,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
India,Right to Privacy,,,,,,,2.49,,,,165.0
Indonesia,Cross-Cutting Indicators,,,,,,,3.81,,,,50.0
Indonesia,"Freedom of Expression, Assembly and Association",,,,,,,3.06,,,,132.0
Indonesia,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Indonesia,Right to Privacy,,,,,,,2.46,,,,166.0
Iran (Islamic Republic of),Cross-Cutting Indicators,,,,,,,2.93,,,,151.0
Iran (Islamic Republic of),"Freedom of Expression, Assembly and Association",,,,,,,1.72,,,,199.0
Iran (Islamic Republic of),Right to Equality and Non-Discrimination,,,,,,,2.5,,,,135.0
Iran (Islamic Republic of),Right to Privacy,,,,,,,3.15,,,,138.0
Iraq,Cross-Cutting Indicators,,,,,,,3.56,,,,79.0
Iraq,"Freedom of Expression, Assembly and Association",,,,,,,2.78,,,,150.0
Iraq,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Iraq,Right to Privacy,,,,,,,2.05,,,,170.0
Ireland,Cross-Cutting Indicators,,,,,,,4.27,,,,15.0
Ireland,"Freedom of Expression, Assembly and Association",,,,,,,3.98,,,,35.0
Ireland,Right to Privacy,,,,,,,4.28,,,,92.0
Israel,Cross-Cutting Indicators,,,,,,,3.86,,,,44.0
Israel,"Freedom of Expression, Assembly and Association",,,,,,,3.19,,,,123.0
Israel,Right to Privacy,,,,,,,4.83,,,,30.0
Italy,Cross-Cutting Indicators,,,,,,,3.78,,,,54.0
Italy,"Freedom of Expression, Assembly and Association",,,,,,,3.57,,,,77.0
Italy,Right to Privacy,,,,,,,4.71,,,,45.0
Jamaica,Cross-Cutting Indicators,,,,,,,3.12,,,,135.0
Jamaica,"Freedom of Expression, Assembly and Association",,,,,,,3.57,,,,79.0
Jamaica,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Jamaica,Right to Privacy,,,,,,,4.97,,,,13.0
Japan,Cross-Cutting Indicators,,,,,,,4.01,,,,30.0
Japan,"Freedom of Expression, Assembly and Association",,,,,,,4.06,,,,30.0
Japan,Right to Privacy,,,,,,,4.81,,,,35.0
Jordan,Cross-Cutting Indicators,,,,,,,3.57,,,,77.0
Jordan,"Freedom of Expression, Assembly and Association",,,,,,,2.07,,,,193.0
Jordan,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Jordan,Right to Privacy,,,,,,,3.47,,,,126.0
Kazakhstan,Cross-Cutting Indicators,,,,,,,3.55,,,,82.0
Kazakhstan,"Freedom of Expression, Assembly and Association",,,,,,,3.41,,,,98.0
Kazakhstan,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Kazakhstan,Right to Privacy,,,,,,,3.35,,,,130.0
Kenya,Cross-Cutting Indicators,,,,,,,3.5,,,,86.0
Kenya,"Freedom of Expression, Assembly and Association",,,,,,,3.6,,,,73.0
Kenya,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Kenya,Right to Privacy,,,,,,,4.69,,,,49.0
Kiribati,Cross-Cutting Indicators,,,,,,,2.91,,,,153.0
Kiribati,"Freedom of Expression, Assembly and Association",,,,,,,5.0,,,,1.0
Kiribati,Right to Privacy,,,,,,,0.0,,,,199.0
Kosovo (UNSCR 1244),Cross-Cutting Indicators,,,,,,,2.61,,,,169.0
Kosovo (UNSCR 1244),"Freedom of Expression, Assembly and Association",,,,,,,3.71,,,,56.0
Kosovo (UNSCR 1244),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Kosovo (UNSCR 1244),Right to Privacy,,,,,,,4.9,,,,19.0
Kuwait,Cross-Cutting Indicators,,,,,,,3.26,,,,115.0
Kuwait,"Freedom of Expression, Assembly and Association",,,,,,,2.85,,,,147.0
Kuwait,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Kuwait,Right to Privacy,,,,,,,3.51,,,,123.0
Kyrgyzstan,Cross-Cutting Indicators,,,,,,,2.8,,,,157.0
Kyrgyzstan,"Freedom of Expression, Assembly and Association",,,,,,,3.54,,,,83.0
Kyrgyzstan,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Kyrgyzstan,Right to Privacy,,,,,,,3.58,,,,118.0
Lao People's Democratic Republic (the),Cross-Cutting Indicators,,,,,,,3.29,,,,107.0
Lao People's Democratic Republic (the),"Freedom of Expression, Assembly and Association",,,,,,,2.52,,,,168.0
Lao People's Democratic Republic (the),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Lao People's Democratic Republic (the),Right to Privacy,,,,,,,3.29,,,,134.0
Latvia,Cross-Cutting Indicators,,,,,,,3.84,,,,47.0
Latvia,"Freedom of Expression, Assembly and Association",,,,,,,4.28,,,,21.0
Latvia,Right to Privacy,,,,,,,5.0,,,,11.0
