Pillar,Sub-Pillar,Definition,Basic,Opportunistic,Systematic,Differentiating,Transformational
People,Digital Literacy Skills,"Ability to use digital technology of all parts of society (all regions, age groups, genders); particularly of traditionally marginalized groups of society (refugees and migrants, women and youth, persons with disabilities and special needs, older people,",Knowledge of how to access digital tools,Knowledge of how to use digital tools for personal use,Knowledge of how to access digital tools for professional use,Understanding of how to identify and use new digital tools,Knowledge of how to create digital tools and/or automations
People,Digital Wellbeing,"Understanding and mitigating harm inflicted by digital such as addiction, cyber bullying, disinformation, physical impacts",Reducing e-waste,Reducing physical security risks and online harassment,Access to health services,Digital addiction monitoring,Tracking and mitigating disinformation
People,Usage and Ownership,"Use of digital technology by different level so society, financial inclusiveness, e-commerce activity, information access trends",Significant mobile penetration,Minimal digital divides in mobile,Significant computer penetration,Minimal digital divides with computers,Digital economy positively impacting average citizen
Regulation,,Legal and policy digital support,Limited legal capacity,Regulations support fundamentals.,Initial policies and laws established.,Regulations enable innovation. Transparently online.,Foundations enabled. Regulations integrated.
Regulation,Cybersecurity,"Security standards and risk management, cybercrime, content filtering, breach notifications",Spam prevention,Cybercrime definitions,Cybersecurity regulation such as reporting requirements,Encryption and anonymity standards. Central regulator.,Decentralization (eg Bug Bounties)
Regulation,Ethical Standards,Standards/guidelines for emerging technology and specifically the use of artificial intelligence,Duties to disclose and advertising,"Terms & conditions of transactions, transparent/secure payment, and data protection",Dispute resolution and redress and the right to withdraw/cancel,Transparency standards,Manipulation protection
Regulation,Data Standards and Protection,"Government open data, data access, international data storage, data privacy and data protection",Intermediary liability protections,"Obligations applicable to each link of the data lifecycle (collection and processing, storage, transfer, and disposal)","Cross-cutting obligations that apply to all links (responses to data breach, jurisdictional applicability, and rights of data subjects)",Central regulator,Streamlined national and international compliance system
Strategy,,The relevant digital interventions for each country depend on the stage of digital readiness per pillar and sub-pillar,Basic foundations of digital transformation (particularly infrastructure and digital skills) are lacking hindering process for further stages ,Country is advancing in selected areas of digital transformation but without coordinated strategy ,"Country is systematically advancing in key areas of digital transformation based on identified priority areas (e.g. skills, digital public services, etc.)",Country has clear strengths in digital transformation and foundational elements in place ,Country is advancing in all areas of national digital transformation based on an integrated strategy
Strategy,Approach,Process for countries to become open & inclusive digital nations ,Analog Transformation,Information Technology Transformation,Digital Transformation,Whole-of-Society Digital Transformation,Inclusive Whole-of-Society Digital Transformation
Strategy,Ambition,Process and support for modernization,Status-Quo,"Improving through modernization, urbanization, and industrialization","Improving through support of skills, production capacity, and IT technologies",Leapfrogging: bypassing traditional stages of development by jumping directly into the latest technologies to pursue new opportunities,Leapfrogging: bypassing traditional stages of development by jumping into alternative path of technological development involving emerging technologies with new benefits and new opportunities
,,The relevant digital interventions for each country depend on the stage of digital readiness per pillar and sub-pillar,Basic foundations of digital transformation (particularly infrastructure and digital skills) are lacking hindering process for further stages ,Country is advancing in selected areas of digital transformation but without coordinated strategy ,"Country is systematically advancing in key areas of digital transformation based on identified priority areas (e.g. skills, digital public services, etc.)",Country has clear strengths in digital transformation and foundational elements in place ,Country is advancing in all areas of national digital transformation based on an integrated strategy
