name,format,endpoint,Excel sheet #,Excel sheet top row #,Country Column #,Year Column #
ease_doing_bus,csv,https://databank.worldbank.org/reports.aspx?source=2&series=IC.BUS.EASE.XQ#,,,,
%_population_using_internet,csv,http://hdr.undp.org/en/content/download-data,,,,
%_population_using_internet_gender_index,csv,https://stats.oecd.org/Index.aspx?DataSetCode=GIDDB2019,,,,
sdg_data,csv,https://apiportal.uis.unesco.org/bdds,,,,
undp_human_developmnt,csv,http://hdr.undp.org/en/content/download-data,,,,
fb_social_connectedness,tsv,https://data.humdata.org/dataset/e9988552-74e4-4ff4-943f-c782ac8bca87/resource/a9e327cc-d63f-4e61-b13d-d1968ee018bf/download/county_country_aug2020.tsv,,,,
financial_inclusiveness ,zip,https://databank.worldbank.org/data/download/FINDEX_EXCEL.zip,,,,
intenet_usage,zip,http://api.worldbank.org/v2/en/indicator/IT.NET.USER.ZS?downloadformat=csv&source=2,,,,
open_data_idx,csv,https://index.okfn.org/api/datasets.json,,,,
gender_gap_in_mobile_usage,csv,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2020.xlsx,,,,
tax_%_mobile_ownership,csv,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2020.xlsx,,,,
%_population_digital_financial_services,xlsx,https://globalfindex.worldbank.org/sites/globalfindex/files/2018-08/Global%20Findex%20Database.xlsx,1,1,,
list_of_countries,xlsx,https://unstats.un.org/unsd/demographic-social/products/worldswomen/annex_tables/List%20of%20countries%20-%20Table%209.xls,3,1,,
